sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,win,0.8278,0.8278,0,0,8793.5,8824.5,short
IS,2020-01-06T00:00:00,,win,0.6443,0.6443,0,0,8784.0,8770.5,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8841.75,8882.25,short
IS,2020-01-09T00:00:00,,win,0.9049,0.9049,0,0,9015.5,8957.0,long
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,9062.5,9022.0,long
IS,2020-01-28T00:00:00,,win,0.787,0.787,0,0,9015.5,9040.0,short
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9111.25,9130.75,short
IS,2020-01-31T00:00:00,,win,0.8015,0.8015,0,0,9196.25,9222.75,short
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9094.5,9052.5,long
IS,2020-02-04T00:00:00,,loss,-1.0,-1.0,0,0,9155.75,9196.25,short
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9316.0,9344.5,short
IS,2020-02-11T00:00:00,,win,0.7559,0.7559,0,0,9549.0,9570.0,short
IS,2020-02-21T00:00:00,,win,0.8714,0.8714,0,0,9584.25,9541.75,long
IS,2020-02-24T00:00:00,,win,0.932,0.932,0,0,9209.75,9292.75,short
IS,2020-02-25T00:00:00,,win,0.9278,0.9278,0,0,9146.5,9224.5,short
IS,2020-02-26T00:00:00,,win,0.9079,0.9079,0,0,8921.5,8861.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8870.5,8744.0,long
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8395.5,8230.0,long
IS,2020-03-02T00:00:00,,win,0.9328,0.9328,0,0,8579.25,8495.25,long
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8763.25,8831.75,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8653.0,8738.5,short
IS,2020-03-05T00:00:00,,win,0.9017,0.9017,0,0,8783.0,8839.5,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8067.5,8261.0,short
IS,2020-03-11T00:00:00,,win,0.9593,0.9593,0,0,8243.25,8102.75,long
IS,2020-03-13T00:00:00,,win,0.9849,0.9849,0,0,7708.25,7323.75,long
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,7276.75,7277.25,short
IS,2020-03-24T00:00:00,,win,0.9503,0.9503,0,0,7356.5,7242.0,long
IS,2020-04-17T00:00:00,,loss,-1.0,-1.0,0,0,8846.75,8924.75,short
IS,2020-04-22T00:00:00,,win,0.9241,0.9241,0,0,8572.5,8498.5,long
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,9110.0,9063.5,long
IS,2020-05-13T00:00:00,,win,0.9312,0.9312,0,0,9160.25,9078.25,long
IS,2020-05-14T00:00:00,,win,0.8896,0.8896,0,0,9031.5,8981.5,long
IS,2020-05-28T00:00:00,,win,0.9134,0.9134,0,0,9368.0,9432.5,short
IS,2020-05-29T00:00:00,,win,0.9086,0.9086,0,0,9444.75,9383.75,long
IS,2020-06-12T00:00:00,,win,0.9449,0.9449,0,0,9810.25,9707.25,long
IS,2020-06-16T00:00:00,,win,0.9205,0.9205,0,0,9922.75,9852.25,long
IS,2020-06-23T00:00:00,,loss,-1.0,-1.0,0,0,10160.5,10197.5,short
IS,2020-06-24T00:00:00,,loss,-1.0,-1.0,0,0,10074.0,10177.5,short
