sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-21T00:00:00,,win,1.3357,1.3357,0,0,23305.625,23357.5,short
IS,2025-08-25T00:00:00,,win,1.2783,1.2783,0,0,23501.0,23538.5,short
IS,2025-08-26T00:00:00,,win,1.3216,1.3216,0,0,23487.5,23440.0,long
IS,2025-08-28T00:00:00,,loss,-1.0,-1.0,0,0,23677.875,23622.25,long
IS,2025-08-29T00:00:00,,win,1.3477,1.3477,0,0,23640.75,23697.0,short
IS,2025-09-02T00:00:00,,loss,-1.0,-1.0,0,0,23399.375,23267.5,long
IS,2025-09-03T00:00:00,,win,1.3538,1.3538,0,0,23428.75,23370.0,long
IS,2025-09-08T00:00:00,,win,1.31,1.31,0,0,23785.125,23740.75,long
IS,2025-09-10T00:00:00,,win,1.26,1.26,0,0,23906.375,23940.75,short
IS,2025-09-12T00:00:00,,win,1.3023,1.3023,0,0,23976.5,24019.0,short
IS,2025-09-15T00:00:00,,win,1.4461,1.4461,0,0,24241.125,24075.5,long
IS,2025-09-16T00:00:00,,loss,-1.0,-1.0,0,0,24662.5,24601.25,long
IS,2025-09-18T00:00:00,,win,1.3508,1.3508,0,0,24713.75,24656.25,long
IS,2025-09-19T00:00:00,,win,1.2639,1.2639,0,0,24715.25,24680.25,long
IS,2025-09-22T00:00:00,,win,1.2939,1.2939,0,0,24819.125,24778.5,long
IS,2025-09-23T00:00:00,,loss,-1.0,-1.0,0,0,25035.75,24998.25,long
IS,2025-09-25T00:00:00,,loss,-1.0,-1.0,0,0,24788.625,24733.0,long
IS,2025-09-26T00:00:00,,loss,-1.0,-1.0,0,0,24672.875,24638.5,long
IS,2025-09-29T00:00:00,,win,1.3357,1.3357,0,0,24903.375,24851.5,long
IS,2025-09-30T00:00:00,,win,1.3594,1.3594,0,0,24828.0,24766.75,long
IS,2025-10-01T00:00:00,,win,1.3492,1.3492,0,0,24709.875,24653.0,long
IS,2025-10-02T00:00:00,,win,1.3633,1.3633,0,0,25136.625,25073.5,long
