sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,loss,-1.0,-1.0,0,0,8796.625,8818.5,short
IS,2020-01-08T00:00:00,,win,1.3729,1.3729,0,0,8875.875,8807.75,long
IS,2020-01-09T00:00:00,,win,1.2519,1.2519,0,0,8990.125,8957.0,long
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,9050.0,9028.75,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,8985.25,9054.0,short
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,9237.625,9212.0,long
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9087.5,9052.5,long
IS,2020-02-04T00:00:00,,loss,-1.0,-1.0,0,0,9167.5,9196.25,short
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9320.125,9344.5,short
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9455.25,9432.75,long
IS,2020-02-07T00:00:00,,loss,-1.0,-1.0,0,0,9478.375,9452.75,long
IS,2020-02-10T00:00:00,,win,1.2288,1.2288,0,0,9404.0,9434.0,short
IS,2020-02-13T00:00:00,,win,1.1335,1.1335,0,0,9556.5,9577.75,short
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9659.125,9634.75,long
IS,2020-02-18T00:00:00,,win,1.167,1.167,0,0,9544.0,9567.75,short
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9530.25,9562.75,short
IS,2020-02-24T00:00:00,,win,1.2519,1.2519,0,0,9259.625,9292.75,short
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,9234.75,9212.25,long
IS,2020-02-26T00:00:00,,win,1.3523,1.3523,0,0,8919.125,8861.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8712.875,8783.5,short
IS,2020-02-28T00:00:00,,win,1.4301,1.4301,0,0,8356.875,8230.0,long
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8590.0,8497.5,long
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8865.75,8799.5,long
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8767.25,8696.0,long
IS,2020-03-05T00:00:00,,win,1.1744,1.1744,0,0,8815.125,8839.5,short
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8630.375,8553.5,long
IS,2020-03-10T00:00:00,,win,1.3621,1.3621,0,0,8198.5,8261.0,short
IS,2020-03-11T00:00:00,,win,1.4254,1.4254,0,0,8221.5,8102.75,long
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7735.375,7671.0,long
IS,2020-03-13T00:00:00,,win,1.4069,1.4069,0,0,7418.125,7323.75,long
IS,2020-03-19T00:00:00,,loss,-1.0,-1.0,0,0,7045.5,7159.25,short
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7378.875,7488.25,short
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,6886.875,6771.25,long
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7229.25,7294.25,short
IS,2020-03-25T00:00:00,,win,1.3849,1.3849,0,0,7608.625,7533.0,long
IS,2020-03-26T00:00:00,,loss,-1.0,-1.0,0,0,7436.875,7342.5,long
IS,2020-03-27T00:00:00,,win,1.341,1.341,0,0,7715.75,7769.5,short
IS,2020-03-30T00:00:00,,win,1.412,1.412,0,0,7603.25,7503.25,long
IS,2020-03-31T00:00:00,,win,1.3171,1.3171,0,0,7957.0,7910.75,long
IS,2020-04-01T00:00:00,,loss,-1.0,-1.0,0,0,7666.375,7562.0,long
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7602.375,7563.0,long
IS,2020-04-03T00:00:00,,loss,-1.0,-1.0,0,0,7585.375,7556.0,long
IS,2020-04-06T00:00:00,,loss,-1.0,-1.0,0,0,7769.375,7837.5,short
IS,2020-04-07T00:00:00,,win,1.3671,1.3671,0,0,8256.25,8191.25,long
IS,2020-04-08T00:00:00,,win,1.3552,1.3552,0,0,8005.375,8064.75,short
IS,2020-04-09T00:00:00,,win,1.2996,1.2996,0,0,8224.125,8266.0,short
IS,2020-04-14T00:00:00,,loss,-1.0,-1.0,0,0,8405.0,8441.25,short
IS,2020-04-15T00:00:00,,loss,-1.0,-1.0,0,0,8629.375,8591.25,long
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8700.875,8664.0,long
IS,2020-04-17T00:00:00,,loss,-1.0,-1.0,0,0,8926.375,8888.25,long
IS,2020-04-20T00:00:00,,win,1.1948,1.1948,0,0,8755.0,8781.25,short
IS,2020-04-21T00:00:00,,loss,-1.0,-1.0,0,0,8716.875,8660.0,long
IS,2020-04-22T00:00:00,,win,1.2816,1.2816,0,0,8536.625,8498.5,long
IS,2020-04-23T00:00:00,,win,1.3279,1.3279,0,0,8646.375,8597.0,long
IS,2020-04-24T00:00:00,,loss,-1.0,-1.0,0,0,8524.0,8569.0,short
IS,2020-04-27T00:00:00,,loss,-1.0,-1.0,0,0,8843.375,8881.5,short
IS,2020-04-28T00:00:00,,loss,-1.0,-1.0,0,0,8847.25,8873.5,short
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8793.125,8820.0,short
