sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,win,1.4129,1.4129,0,0,8806.25,8788.25,long
IS,2020-01-03T00:00:00,,loss,-1.0,-1.0,0,0,8792.25,8818.5,short
IS,2020-01-06T00:00:00,,loss,-1.0,-1.0,0,0,8790.75,8770.5,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8887.75,8869.0,long
IS,2020-01-08T00:00:00,,win,1.8474,1.8474,0,0,8889.5,8807.75,long
IS,2020-01-09T00:00:00,,win,1.7022,1.7022,0,0,8996.75,8957.0,long
IS,2020-01-10T00:00:00,,loss,-1.0,-1.0,0,0,9048.75,9036.75,long
IS,2020-01-14T00:00:00,,win,1.1978,1.1978,0,0,9078.5,9090.5,short
IS,2020-01-15T00:00:00,,win,1.2947,1.2947,0,0,9058.75,9044.5,long
IS,2020-01-17T00:00:00,,win,1.1169,1.1169,0,0,9150.25,9139.75,long
IS,2020-01-20T00:00:00,,win,0.7341,0.7341,0,0,9174.0,9180.0,short
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,8971.5,9054.0,short
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9094.5,9052.5,long
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9459.75,9432.75,long
IS,2020-02-07T00:00:00,,loss,-1.0,-1.0,0,0,9483.5,9452.75,long
IS,2020-02-13T00:00:00,,win,1.5602,1.5602,0,0,9552.25,9577.75,short
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9664.0,9634.75,long
IS,2020-02-18T00:00:00,,win,1.6004,1.6004,0,0,9539.25,9567.75,short
IS,2020-02-19T00:00:00,,loss,-1.0,-1.0,0,0,9670.5,9661.5,long
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9523.75,9562.75,short
IS,2020-02-24T00:00:00,,win,1.7022,1.7022,0,0,9253.0,9292.75,short
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,9239.25,9212.25,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8698.75,8783.5,short
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8608.5,8497.5,long
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8781.5,8696.0,long
IS,2020-03-05T00:00:00,,win,1.6093,1.6093,0,0,8810.25,8839.5,short
IS,2020-03-13T00:00:00,,win,1.8883,1.8883,0,0,7437.0,7323.75,long
IS,2020-03-19T00:00:00,,loss,-1.0,-1.0,0,0,7022.75,7159.25,short
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,6910.0,6771.25,long
IS,2020-03-25T00:00:00,,win,1.8619,1.8619,0,0,7623.75,7533.0,long
IS,2020-03-27T00:00:00,,win,1.8092,1.8092,0,0,7705.0,7769.5,short
IS,2020-03-30T00:00:00,,win,1.8944,1.8944,0,0,7623.25,7503.25,long
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7966.25,7910.75,long
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7610.25,7563.0,long
IS,2020-04-07T00:00:00,,win,1.8405,1.8405,0,0,8269.25,8191.25,long
IS,2020-04-13T00:00:00,,loss,-1.0,-1.0,0,0,8133.5,8112.5,long
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8708.25,8664.0,long
IS,2020-04-20T00:00:00,,win,1.6338,1.6338,0,0,8749.75,8781.25,short
IS,2020-04-22T00:00:00,,win,1.7379,1.7379,0,0,8544.25,8498.5,long
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,9116.0,9063.5,long
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8722.25,8753.0,short
IS,2020-05-05T00:00:00,,loss,-1.0,-1.0,0,0,8921.25,8899.5,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,9011.25,8976.0,long
IS,2020-05-07T00:00:00,,loss,-1.0,-1.0,0,0,9075.0,9060.0,long
IS,2020-05-08T00:00:00,,loss,-1.0,-1.0,0,0,9165.0,9186.75,short
IS,2020-05-11T00:00:00,,win,1.5489,1.5489,0,0,9239.25,9264.0,short
IS,2020-05-12T00:00:00,,loss,-1.0,-1.0,0,0,9321.0,9264.0,long
IS,2020-05-13T00:00:00,,win,1.7749,1.7749,0,0,9132.25,9078.25,long
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,8956.25,8999.0,short
IS,2020-05-18T00:00:00,,loss,-1.0,-1.0,0,0,9276.75,9219.75,long
IS,2020-05-20T00:00:00,,win,1.6746,1.6746,0,0,9374.75,9338.75,long
IS,2020-05-21T00:00:00,,loss,-1.0,-1.0,0,0,9405.25,9451.0,short
IS,2025-08-20T00:00:00,,loss,-1.0,-1.0,0,0,23363.75,23408.0,short
IS,2025-08-25T00:00:00,,win,1.7339,1.7339,0,0,23493.5,23538.5,short
IS,2025-08-26T00:00:00,,win,1.7859,1.7859,0,0,23497.0,23440.0,long
IS,2025-08-27T00:00:00,,loss,-1.0,-1.0,0,0,23565.5,23600.0,short
IS,2025-08-28T00:00:00,,loss,-1.0,-1.0,0,0,23689.0,23622.25,long
IS,2025-08-29T00:00:00,,win,1.8172,1.8172,0,0,23629.5,23697.0,short
IS,2025-09-03T00:00:00,,win,1.8245,1.8245,0,0,23440.5,23370.0,long
IS,2025-09-04T00:00:00,,loss,-1.0,-1.0,0,0,23459.0,23492.75,short
IS,2025-09-05T00:00:00,,win,1.662,1.662,0,0,23783.0,23748.5,long
IS,2025-09-11T00:00:00,,loss,-1.0,-1.0,0,0,23961.5,23927.0,long
IS,2025-09-12T00:00:00,,loss,-1.0,-1.0,0,0,23968.0,24019.0,short
IS,2025-09-15T00:00:00,,win,1.9353,1.9353,0,0,24274.25,24075.5,long
IS,2025-09-16T00:00:00,,loss,-1.0,-1.0,0,0,24674.75,24601.25,long
IS,2025-09-17T00:00:00,,win,1.6805,1.6805,0,0,24514.0,24550.75,short
IS,2025-09-18T00:00:00,,win,1.8209,1.8209,0,0,24725.25,24656.25,long
IS,2025-09-23T00:00:00,,loss,-1.0,-1.0,0,0,25043.25,24998.25,long
IS,2025-09-24T00:00:00,,loss,-1.0,-1.0,0,0,24925.5,24890.25,long
IS,2025-09-26T00:00:00,,loss,-1.0,-1.0,0,0,24679.75,24638.5,long
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,24913.75,24851.5,long
IS,2025-10-02T00:00:00,,win,1.836,1.836,0,0,25149.25,25073.5,long
IS,2025-10-06T00:00:00,,win,1.791,1.791,0,0,25136.75,25078.25,long
IS,2025-10-08T00:00:00,,win,1.6178,1.6178,0,0,25109.75,25079.75,long
IS,2025-10-09T00:00:00,,win,1.5813,1.5813,0,0,25316.75,25343.75,short
IS,2025-10-15T00:00:00,,win,1.8329,1.8329,0,0,24972.0,24897.75,long
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,25071.5,25031.0,long
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24320.0,24492.5,short
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25256.25,25282.5,short
IS,2025-10-23T00:00:00,,loss,-1.0,-1.0,0,0,25122.5,25089.5,long
IS,2025-10-27T00:00:00,,win,1.591,1.591,0,0,25807.0,25779.25,long
IS,2025-10-28T00:00:00,,loss,-1.0,-1.0,0,0,26007.0,25956.75,long
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,26122.25,26163.5,short
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,25989.75,26049.75,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25701.75,25779.0,short
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25721.0,25669.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,25379.25,25314.0,long
IS,2025-11-10T00:00:00,,loss,-1.0,-1.0,0,0,25517.25,25463.25,long
IS,2025-11-11T00:00:00,,win,1.7256,1.7256,0,0,25647.0,25690.5,short
IS,2025-11-12T00:00:00,,win,1.6918,1.6918,0,0,25809.75,25771.5,long
IS,2025-11-14T00:00:00,,win,1.9047,1.9047,0,0,24940.75,25074.25,short
IS,2025-11-17T00:00:00,,win,1.7595,1.7595,0,0,25281.5,25231.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24515.25,24661.5,short
IS,2025-11-19T00:00:00,,win,1.9149,1.9149,0,0,24682.0,24532.0,long
IS,2025-11-20T00:00:00,,loss,-1.0,-1.0,0,0,25211.75,25164.5,long
IS,2025-11-24T00:00:00,,win,1.8526,1.8526,0,0,24535.0,24450.25,long
