sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,win,1.4129,1.4129,0,0,8806.25,8788.25,long
IS,2020-01-03T00:00:00,,loss,-1.0,-1.0,0,0,8792.25,8818.5,short
IS,2020-01-06T00:00:00,,loss,-1.0,-1.0,0,0,8790.75,8770.5,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8887.75,8869.0,long
IS,2020-01-08T00:00:00,,win,1.8474,1.8474,0,0,8889.5,8807.75,long
IS,2020-01-09T00:00:00,,win,1.7022,1.7022,0,0,8996.75,8957.0,long
IS,2020-01-10T00:00:00,,loss,-1.0,-1.0,0,0,9048.75,9036.75,long
IS,2020-01-13T00:00:00,,loss,-1.0,-1.0,0,0,8997.0,9013.5,short
IS,2020-01-14T00:00:00,,win,1.1978,1.1978,0,0,9078.5,9090.5,short
IS,2020-01-15T00:00:00,,win,1.2947,1.2947,0,0,9058.75,9044.5,long
IS,2020-01-16T00:00:00,,loss,-1.0,-1.0,0,0,9074.75,9084.5,short
IS,2020-01-17T00:00:00,,win,1.1169,1.1169,0,0,9150.25,9139.75,long
IS,2020-01-20T00:00:00,,win,0.7341,0.7341,0,0,9174.0,9180.0,short
IS,2020-01-21T00:00:00,,win,1.4823,1.4823,0,0,9139.5,9118.5,long
IS,2020-01-22T00:00:00,,loss,-1.0,-1.0,0,0,9227.25,9234.0,short
IS,2020-01-23T00:00:00,,win,1.3472,1.3472,0,0,9193.5,9177.75,long
IS,2020-01-24T00:00:00,,loss,-1.0,-1.0,0,0,9254.25,9266.25,short
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,9054.25,9028.75,long
IS,2020-01-28T00:00:00,,loss,-1.0,-1.0,0,0,9022.25,9039.5,short
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9112.75,9130.75,short
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,8971.5,9054.0,short
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,9242.75,9212.0,long
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9094.5,9052.5,long
IS,2020-02-04T00:00:00,,loss,-1.0,-1.0,0,0,9161.75,9196.25,short
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9315.25,9344.5,short
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9459.75,9432.75,long
IS,2020-02-07T00:00:00,,loss,-1.0,-1.0,0,0,9483.5,9452.75,long
IS,2020-02-10T00:00:00,,win,1.6746,1.6746,0,0,9398.0,9434.0,short
IS,2020-02-11T00:00:00,,win,1.3925,1.3925,0,0,9552.75,9570.0,short
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9547.0,9566.5,short
IS,2020-02-13T00:00:00,,win,1.5602,1.5602,0,0,9552.25,9577.75,short
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9664.0,9634.75,long
IS,2020-02-17T00:00:00,,loss,-1.0,-1.0,0,0,9661.25,9675.5,short
IS,2020-02-18T00:00:00,,win,1.6004,1.6004,0,0,9539.25,9567.75,short
IS,2020-02-19T00:00:00,,loss,-1.0,-1.0,0,0,9670.5,9661.5,long
IS,2020-02-20T00:00:00,,win,1.3472,1.3472,0,0,9738.0,9722.25,long
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9523.75,9562.75,short
IS,2020-02-24T00:00:00,,win,1.7022,1.7022,0,0,9253.0,9292.75,short
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,9239.25,9212.25,long
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,8930.75,8861.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8698.75,8783.5,short
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8382.25,8230.0,long
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8608.5,8497.5,long
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8879.0,8799.5,long
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8781.5,8696.0,long
IS,2020-03-05T00:00:00,,win,1.6093,1.6093,0,0,8810.25,8839.5,short
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8645.75,8553.5,long
IS,2020-03-09T00:00:00,,loss,-1.0,-1.0,0,0,8094.0,8093.25,long
IS,2020-03-10T00:00:00,,win,1.8345,1.8345,0,0,8186.0,8261.0,short
IS,2020-03-11T00:00:00,,win,1.9105,1.9105,0,0,8245.25,8102.75,long
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7748.25,7671.0,long
IS,2020-03-13T00:00:00,,win,1.8883,1.8883,0,0,7437.0,7323.75,long
IS,2020-03-19T00:00:00,,loss,-1.0,-1.0,0,0,7022.75,7159.25,short
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7357.0,7488.25,short
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,6910.0,6771.25,long
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7216.25,7294.25,short
IS,2020-03-25T00:00:00,,win,1.8619,1.8619,0,0,7623.75,7533.0,long
IS,2020-03-26T00:00:00,,loss,-1.0,-1.0,0,0,7455.75,7342.5,long
IS,2020-03-27T00:00:00,,win,1.8092,1.8092,0,0,7705.0,7769.5,short
IS,2020-03-30T00:00:00,,win,1.8944,1.8944,0,0,7623.25,7503.25,long
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7966.25,7910.75,long
IS,2020-04-01T00:00:00,,loss,-1.0,-1.0,0,0,7687.25,7562.0,long
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7610.25,7563.0,long
IS,2020-04-03T00:00:00,,loss,-1.0,-1.0,0,0,7591.25,7556.0,long
IS,2020-04-06T00:00:00,,loss,-1.0,-1.0,0,0,7755.75,7837.5,short
IS,2020-04-07T00:00:00,,win,1.8405,1.8405,0,0,8269.25,8191.25,long
IS,2020-04-08T00:00:00,,win,1.8263,1.8263,0,0,7993.5,8064.75,short
IS,2020-04-09T00:00:00,,win,1.7595,1.7595,0,0,8215.75,8266.0,short
IS,2020-04-13T00:00:00,,loss,-1.0,-1.0,0,0,8133.5,8112.5,long
IS,2020-04-14T00:00:00,,loss,-1.0,-1.0,0,0,8397.75,8441.25,short
IS,2020-04-15T00:00:00,,loss,-1.0,-1.0,0,0,8637.0,8591.25,long
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8708.25,8664.0,long
IS,2020-04-17T00:00:00,,loss,-1.0,-1.0,0,0,8934.0,8888.25,long
IS,2020-04-20T00:00:00,,win,1.6338,1.6338,0,0,8749.75,8781.25,short
IS,2020-04-21T00:00:00,,loss,-1.0,-1.0,0,0,8728.25,8660.0,long
IS,2020-04-22T00:00:00,,win,1.7379,1.7379,0,0,8544.25,8498.5,long
IS,2020-04-23T00:00:00,,win,1.7935,1.7935,0,0,8656.25,8597.0,long
IS,2020-04-24T00:00:00,,loss,-1.0,-1.0,0,0,8515.0,8569.0,short
IS,2020-04-27T00:00:00,,loss,-1.0,-1.0,0,0,8835.75,8881.5,short
IS,2020-04-28T00:00:00,,loss,-1.0,-1.0,0,0,8842.0,8873.5,short
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8787.75,8820.0,short
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,9116.0,9063.5,long
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8722.25,8753.0,short
IS,2020-05-04T00:00:00,,loss,-1.0,-1.0,0,0,8612.25,8679.75,short
IS,2020-05-05T00:00:00,,loss,-1.0,-1.0,0,0,8921.25,8899.5,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,9011.25,8976.0,long
IS,2020-05-07T00:00:00,,loss,-1.0,-1.0,0,0,9075.0,9060.0,long
IS,2020-05-08T00:00:00,,loss,-1.0,-1.0,0,0,9165.0,9186.75,short
IS,2020-05-11T00:00:00,,win,1.5489,1.5489,0,0,9239.25,9264.0,short
IS,2020-05-12T00:00:00,,loss,-1.0,-1.0,0,0,9321.0,9264.0,long
IS,2020-05-13T00:00:00,,win,1.7749,1.7749,0,0,9132.25,9078.25,long
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,8956.25,8999.0,short
IS,2020-05-15T00:00:00,,win,1.626,1.626,0,0,9107.0,9137.75,short
IS,2020-05-18T00:00:00,,loss,-1.0,-1.0,0,0,9276.75,9219.75,long
IS,2020-05-19T00:00:00,,loss,-1.0,-1.0,0,0,9283.75,9354.25,short
IS,2020-05-20T00:00:00,,win,1.6746,1.6746,0,0,9374.75,9338.75,long
