sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,loss,-0.75,-0.75,0,0,8792.25,8818.5,short
IS,2020-01-06T00:00:00,,loss,-0.75,-0.75,0,0,8790.75,8770.5,long
IS,2020-01-07T00:00:00,,loss,-0.75,-0.75,0,0,8887.75,8869.0,long
IS,2020-01-09T00:00:00,,win,1.7022,1.7022,0,0,8996.75,8957.0,long
IS,2020-01-14T00:00:00,,win,1.1978,1.1978,0,0,9078.5,9090.5,short
IS,2020-01-27T00:00:00,,loss,-0.75,-0.75,0,0,9054.25,9028.75,long
IS,2020-01-28T00:00:00,,loss,-0.75,-0.75,0,0,9022.25,9039.5,short
IS,2020-01-29T00:00:00,,loss,-0.75,-0.75,0,0,9112.75,9130.75,short
IS,2020-01-31T00:00:00,,loss,-0.75,-0.75,0,0,9242.75,9212.0,long
IS,2020-02-03T00:00:00,,loss,-0.75,-0.75,0,0,9094.5,9052.5,long
IS,2020-02-04T00:00:00,,loss,-0.75,-0.75,0,0,9161.75,9196.25,short
IS,2020-02-05T00:00:00,,loss,-0.75,-0.75,0,0,9315.25,9344.5,short
IS,2020-02-06T00:00:00,,loss,-0.75,-0.75,0,0,9459.75,9432.75,long
IS,2020-02-11T00:00:00,,win,1.3925,1.3925,0,0,9552.75,9570.0,short
IS,2020-02-21T00:00:00,,loss,-0.75,-0.75,0,0,9523.75,9562.75,short
IS,2020-02-24T00:00:00,,win,1.7022,1.7022,0,0,9253.0,9292.75,short
IS,2020-02-25T00:00:00,,loss,-0.75,-0.75,0,0,9239.25,9212.25,long
IS,2020-02-26T00:00:00,,loss,-0.75,-0.75,0,0,8930.75,8861.0,long
IS,2020-02-27T00:00:00,,loss,-0.75,-0.75,0,0,8698.75,8783.5,short
IS,2020-02-28T00:00:00,,loss,-0.75,-0.75,0,0,8382.25,8230.0,long
IS,2020-03-02T00:00:00,,loss,-0.75,-0.75,0,0,8608.5,8497.5,long
IS,2020-03-03T00:00:00,,loss,-0.75,-0.75,0,0,8879.0,8799.5,long
IS,2020-03-04T00:00:00,,loss,-0.75,-0.75,0,0,8781.5,8696.0,long
