sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,loss,-1.0,-1.0,0,0,8783.5,8818.5,short
IS,2020-01-06T00:00:00,,loss,-1.0,-1.0,0,0,8797.5,8770.5,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8894.0,8869.0,long
IS,2020-01-09T00:00:00,,win,2.603,2.603,0,0,9010.0,8957.0,long
IS,2020-01-14T00:00:00,,win,1.9304,1.9304,0,0,9074.5,9090.5,short
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,9062.75,9028.75,long
IS,2020-01-28T00:00:00,,loss,-1.0,-1.0,0,0,9016.5,9039.5,short
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9106.75,9130.75,short
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,9253.0,9212.0,long
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9108.5,9052.5,long
IS,2020-02-04T00:00:00,,loss,-1.0,-1.0,0,0,9150.25,9196.25,short
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9305.5,9344.5,short
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9468.75,9432.75,long
IS,2020-02-11T00:00:00,,win,2.19,2.19,0,0,9547.0,9570.0,short
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9510.75,9562.75,short
IS,2020-02-24T00:00:00,,win,2.603,2.603,0,0,9239.75,9292.75,short
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,9248.25,9212.25,long
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,8954.0,8861.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8670.5,8783.5,short
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8433.0,8230.0,long
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8645.5,8497.5,long
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8905.5,8799.5,long
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8810.0,8696.0,long
IS,2020-03-05T00:00:00,,win,2.479,2.479,0,0,8800.5,8839.5,short
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8676.5,8553.5,long
IS,2020-03-10T00:00:00,,win,2.7793,2.7793,0,0,8161.0,8261.0,short
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,8292.75,8102.75,long
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7774.0,7671.0,long
IS,2020-03-13T00:00:00,,win,2.8511,2.8511,0,0,7474.75,7323.75,long
IS,2020-03-19T00:00:00,,loss,-1.0,-1.0,0,0,6977.25,7159.25,short
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7313.25,7488.25,short
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7190.25,7294.25,short
IS,2020-03-25T00:00:00,,win,2.8158,2.8158,0,0,7654.0,7533.0,long
IS,2020-03-27T00:00:00,,win,2.7456,2.7456,0,0,7683.5,7769.5,short
IS,2020-04-07T00:00:00,,win,2.7873,2.7873,0,0,8295.25,8191.25,long
IS,2020-04-15T00:00:00,,loss,-1.0,-1.0,0,0,8652.25,8591.25,long
IS,2020-04-17T00:00:00,,loss,-1.0,-1.0,0,0,8949.25,8888.25,long
IS,2020-04-22T00:00:00,,win,2.6505,2.6505,0,0,8559.5,8498.5,long
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8777.0,8820.0,short
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,9133.5,9063.5,long
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8712.0,8753.0,short
IS,2020-05-13T00:00:00,,win,2.6999,2.6999,0,0,9150.25,9078.25,long
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,8942.0,8999.0,short
IS,2020-05-15T00:00:00,,win,2.5013,2.5013,0,0,9096.75,9137.75,short
IS,2025-08-20T00:00:00,,loss,-1.0,-1.0,0,0,23349.0,23408.0,short
IS,2025-08-21T00:00:00,,win,2.7371,2.7371,0,0,23274.5,23357.5,short
IS,2025-08-29T00:00:00,,win,2.7563,2.7563,0,0,23607.0,23697.0,short
IS,2025-09-03T00:00:00,,loss,-1.0,-1.0,0,0,23464.0,23370.0,long
IS,2025-09-05T00:00:00,,win,2.5494,2.5494,0,0,23794.5,23748.5,long
IS,2025-09-16T00:00:00,,loss,-1.0,-1.0,0,0,24699.25,24601.25,long
IS,2025-09-18T00:00:00,,win,2.7612,2.7612,0,0,24748.25,24656.25,long
IS,2025-09-23T00:00:00,,loss,-1.0,-1.0,0,0,25058.25,24998.25,long
IS,2025-09-24T00:00:00,,loss,-1.0,-1.0,0,0,24937.25,24890.25,long
IS,2025-09-25T00:00:00,,loss,-1.0,-1.0,0,0,24822.0,24733.0,long
IS,2025-09-26T00:00:00,,loss,-1.0,-1.0,0,0,24693.5,24638.5,long
IS,2025-10-02T00:00:00,,win,2.7814,2.7814,0,0,25174.5,25073.5,long
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,25119.75,25079.75,long
IS,2025-10-09T00:00:00,,win,2.4417,2.4417,0,0,25307.75,25343.75,short
IS,2025-10-15T00:00:00,,win,2.7772,2.7772,0,0,24996.75,24897.75,long
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,25085.0,25031.0,long
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24262.5,24492.5,short
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25247.5,25282.5,short
IS,2025-10-23T00:00:00,,loss,-1.0,-1.0,0,0,25133.5,25089.5,long
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,26108.5,26163.5,short
IS,2025-11-05T00:00:00,,win,2.6999,2.6999,0,0,25463.5,25535.5,short
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25738.25,25669.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,25401.0,25314.0,long
IS,2025-11-10T00:00:00,,loss,-1.0,-1.0,0,0,25535.25,25463.25,long
IS,2025-11-11T00:00:00,,win,2.6341,2.6341,0,0,25632.5,25690.5,short
IS,2025-11-14T00:00:00,,win,2.8729,2.8729,0,0,24896.25,25074.25,short
IS,2025-11-17T00:00:00,,win,2.6793,2.6793,0,0,25298.25,25231.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24466.5,24661.5,short
IS,2025-11-19T00:00:00,,win,2.8865,2.8865,0,0,24732.0,24532.0,long
IS,2025-11-20T00:00:00,,loss,-1.0,-1.0,0,0,25227.5,25164.5,long
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,24250.0,24154.0,long
IS,2025-11-24T00:00:00,,win,2.8034,2.8034,0,0,24563.25,24450.25,long
IS,2025-11-25T00:00:00,,loss,-1.0,-1.0,0,0,24847.75,24903.75,short
IS,2025-12-12T00:00:00,,loss,-1.0,-1.0,0,0,25645.75,25679.75,short
IS,2025-12-15T00:00:00,,loss,-1.0,-1.0,0,0,25216.25,25282.25,short
IS,2025-12-18T00:00:00,,win,2.8001,2.8001,0,0,25093.25,24982.25,long
IS,2025-12-19T00:00:00,,loss,-1.0,-1.0,0,0,25452.5,25298.5,long
IS,2021-06-11T00:00:00,,loss,-1.0,-1.0,0,0,13915.5,13951.5,short
IS,2021-06-15T00:00:00,,win,2.19,2.19,0,0,14121.0,14144.0,short
IS,2021-06-16T00:00:00,,loss,-1.0,-1.0,0,0,13995.5,14038.5,short
IS,2021-06-17T00:00:00,,loss,-1.0,-1.0,0,0,13821.0,13910.0,short
IS,2021-06-18T00:00:00,,loss,-1.0,-1.0,0,0,14228.5,14171.5,long
IS,2021-06-22T00:00:00,,win,2.6999,2.6999,0,0,14145.0,14073.0,long
IS,2021-06-23T00:00:00,,loss,-1.0,-1.0,0,0,14239.0,14275.0,short
IS,2021-06-29T00:00:00,,win,2.6999,2.6999,0,0,14540.75,14468.75,long
IS,2021-07-07T00:00:00,,loss,-1.0,-1.0,0,0,14874.75,14833.75,long
IS,2021-07-08T00:00:00,,loss,-1.0,-1.0,0,0,14530.75,14697.75,short
IS,2021-07-09T00:00:00,,loss,-1.0,-1.0,0,0,14764.5,14713.5,long
IS,2021-07-14T00:00:00,,loss,-1.0,-1.0,0,0,14847.0,14874.0,short
IS,2021-07-15T00:00:00,,loss,-1.0,-1.0,0,0,14991.25,14917.25,long
IS,2021-07-16T00:00:00,,loss,-1.0,-1.0,0,0,14756.75,14807.75,short
IS,2021-07-20T00:00:00,,loss,-1.0,-1.0,0,0,14662.0,14597.0,long
IS,2021-07-21T00:00:00,,loss,-1.0,-1.0,0,0,14766.25,14726.25,long
IS,2021-07-22T00:00:00,,loss,-1.0,-1.0,0,0,14823.25,14869.25,short
IS,2021-07-28T00:00:00,,win,2.5661,2.5661,0,0,14980.0,14932.0,long
IS,2021-07-29T00:00:00,,win,2.4547,2.4547,0,0,14974.25,15011.25,short
