sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2023-10-18T00:00:00,,scratch,-0.8176,-0.8176,1,0,15116.75,15023.75,long
IS,2023-10-20T00:00:00,,scratch,-0.1155,-0.1155,1,0,14625.0,14669.0,short
IS,2023-10-23T00:00:00,,scratch,0.0265,0.0265,1,0,14780.5,14705.0,long
IS,2023-10-25T00:00:00,,loss,-1.0,-1.0,0,0,14560.5,14440.0,long
IS,2023-10-31T00:00:00,,scratch,0.0114,0.0114,1,0,14442.5,14490.5,short
IS,2023-11-01T00:00:00,,scratch,0.3983,0.3983,1,0,14780.25,14732.75,long
IS,2023-11-02T00:00:00,,loss,-1.0,-1.0,0,0,14954.0,14999.5,short
IS,2023-11-06T00:00:00,,scratch,-0.1701,-0.1701,1,0,15209.0,15235.0,short
IS,2023-11-07T00:00:00,,scratch,-0.4488,-0.4488,1,0,15384.0,15371.5,long
IS,2023-11-08T00:00:00,,scratch,0.6315,0.6315,1,0,15357.5,15384.0,short
IS,2023-11-10T00:00:00,,loss,-1.0,-1.0,0,0,15625.0,15593.5,long
IS,2023-11-13T00:00:00,,scratch,0.195,0.195,1,0,15562.5,15544.5,long
IS,2023-11-14T00:00:00,,scratch,-0.3685,-0.3685,1,0,15928.25,15875.75,long
IS,2023-11-17T00:00:00,,scratch,0.4399,0.4399,1,0,15867.0,15899.5,short
IS,2023-11-20T00:00:00,,scratch,,0.0,1,0,16100.75,16079.25,long
IS,2023-11-21T00:00:00,,loss,-1.0,-1.0,0,0,15959.75,15990.75,short
IS,2023-11-28T00:00:00,,scratch,-0.3931,-0.3931,1,0,16063.75,16045.25,long
IS,2023-11-29T00:00:00,,scratch,-0.3214,-0.3214,1,0,16069.0,16025.5,long
IS,2023-11-30T00:00:00,,scratch,-0.05,-0.05,1,0,15929.5,15985.0,short
IS,2023-12-05T00:00:00,,scratch,0.4003,0.4003,1,0,15892.5,15926.0,short
IS,2023-12-06T00:00:00,,scratch,-0.378,-0.378,1,0,15799.75,15821.75,short
IS,2023-12-07T00:00:00,,scratch,0.167,0.167,1,0,16005.0,16035.5,short
IS,2023-12-11T00:00:00,,scratch,-0.0813,-0.0813,1,0,16261.5,16228.5,long
IS,2023-12-12T00:00:00,,scratch,-0.1863,-0.1863,1,0,16626.5,16573.5,long
IS,2023-12-15T00:00:00,,scratch,-0.0542,-0.0542,1,0,16800.25,16832.75,short
IS,2023-12-20T00:00:00,,scratch,0.5234,0.5234,1,0,16802.25,16757.25,long
IS,2023-12-21T00:00:00,,scratch,-0.3603,-0.3603,1,0,16967.0,16941.0,long
IS,2023-12-22T00:00:00,,scratch,0.102,0.102,1,0,16945.25,16987.25,short
IS,2023-12-26T00:00:00,,scratch,-0.0989,-0.0989,1,0,17097.75,17081.25,long
IS,2023-12-28T00:00:00,,scratch,-0.0883,-0.0883,1,0,17077.5,17102.0,short
IS,2023-12-29T00:00:00,,scratch,0.0908,0.0908,1,0,16991.5,17022.5,short
IS,2024-01-03T00:00:00,,scratch,-0.0735,-0.0735,1,0,16557.0,16527.0,long
IS,2024-01-08T00:00:00,,scratch,0.0459,0.0459,1,0,16774.5,16806.0,short
IS,2024-01-09T00:00:00,,scratch,-0.3312,-0.3312,1,0,16815.25,16837.75,short
IS,2024-01-10T00:00:00,,scratch,0.0707,0.0707,1,0,16966.25,16939.75,long
IS,2024-01-12T00:00:00,,scratch,-0.039,-0.039,1,0,16939.0,16972.5,short
IS,2024-01-16T00:00:00,,scratch,0.4246,0.4246,1,0,16982.75,16960.75,long
IS,2024-01-18T00:00:00,,scratch,0.3495,0.3495,1,0,17126.25,17091.75,long
IS,2024-01-19T00:00:00,,scratch,-0.0828,-0.0828,1,0,17492.5,17436.0,long
IS,2024-01-23T00:00:00,,scratch,-0.1269,-0.1269,1,0,17601.0,17510.0,long
IS,2024-01-25T00:00:00,,scratch,0.2661,0.2661,1,0,17539.0,17651.0,short
IS,2024-01-26T00:00:00,,scratch,0.0401,0.0401,1,0,17482.75,17531.75,short
IS,2024-01-30T00:00:00,,scratch,0.5644,0.5644,1,0,17433.5,17607.0,short
IS,2024-02-01T00:00:00,,scratch,0.5013,0.5013,1,0,17696.0,17416.5,long
IS,2024-02-02T00:00:00,,scratch,0.4065,0.4065,1,0,17670.25,17730.25,short
IS,2024-02-06T00:00:00,,scratch,-0.2874,-0.2874,1,0,17619.0,17668.0,short
IS,2024-02-07T00:00:00,,scratch,-0.0096,-0.0096,1,0,17875.25,17834.25,long
IS,2024-02-12T00:00:00,,scratch,-0.2055,-0.2055,1,0,17874.25,17968.25,short
IS,2024-02-13T00:00:00,,scratch,0.1206,0.1206,1,0,17718.25,17670.75,long
IS,2024-02-16T00:00:00,,scratch,-0.1204,-0.1204,1,0,17685.0,17752.0,short
IS,2024-02-20T00:00:00,,scratch,-0.1196,-0.1196,1,0,17546.25,17613.75,short
IS,2024-02-21T00:00:00,,win,0.8886,0.8886,0,0,17570.25,17520.75,long
IS,2024-02-22T00:00:00,,scratch,-0.2921,-0.2921,1,0,17990.0,18045.0,short
IS,2024-02-23T00:00:00,,scratch,-0.0522,-0.0522,1,0,17934.5,17987.5,short
IS,2024-02-26T00:00:00,,scratch,0.2607,0.2607,1,0,17935.75,17977.25,short
IS,2024-02-27T00:00:00,,scratch,-0.6877,-0.6877,1,0,18041.5,18006.0,long
IS,2024-02-28T00:00:00,,scratch,0.1253,0.1253,1,0,17817.75,17919.25,short
IS,2024-02-29T00:00:00,,scratch,-0.1358,-0.1358,1,0,18113.25,18035.75,long
IS,2024-03-04T00:00:00,,scratch,-0.3705,-0.3705,1,0,18211.75,18261.25,short
