sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-08T00:00:00,,scratch,-0.0826,-0.0826,1,0,8965.75,8927.25,long
IS,2020-01-29T00:00:00,,scratch,-0.4505,-0.4505,1,0,9034.75,9133.75,short
IS,2020-01-30T00:00:00,,scratch,0.149,0.149,1,0,9304.75,9142.75,long
IS,2020-02-04T00:00:00,,scratch,0.0703,0.0703,1,0,9382.0,9334.0,long
IS,2020-02-05T00:00:00,,scratch,0.1009,0.1009,1,0,9403.75,9366.25,long
IS,2020-02-20T00:00:00,,scratch,0.1009,0.1009,1,0,9603.0,9640.5,short
IS,2020-02-24T00:00:00,,scratch,0.0016,0.0016,1,0,9118.25,9072.25,long
IS,2020-02-25T00:00:00,,scratch,0.1254,0.1254,1,0,8904.0,8830.5,long
IS,2020-02-26T00:00:00,,scratch,0.3824,0.3824,1,0,8797.5,8885.0,short
IS,2020-02-27T00:00:00,,scratch,0.2402,0.2402,1,0,8276.0,8467.0,short
IS,2020-03-03T00:00:00,,scratch,0.1029,0.1029,1,0,8486.0,8654.0,short
IS,2020-03-04T00:00:00,,scratch,0.0224,0.0224,1,0,8835.5,8948.0,short
IS,2020-03-09T00:00:00,,loss,-1.0,-1.0,0,0,8034.5,7881.0,long
IS,2020-03-11T00:00:00,,win,0.9368,0.9368,0,0,8071.5,7982.0,long
IS,2020-03-12T00:00:00,,win,0.9745,0.9745,0,0,7075.5,7302.0,short
IS,2020-03-13T00:00:00,,scratch,0.3747,0.3747,1,0,7740.25,7961.75,short
IS,2020-03-17T00:00:00,,win,0.9646,0.9646,0,0,7298.0,7460.0,short
IS,2020-03-19T00:00:00,,win,0.9608,0.9608,0,0,7133.75,7279.75,short
IS,2020-03-20T00:00:00,,win,0.9394,0.9394,0,0,6910.0,7003.5,short
IS,2020-03-23T00:00:00,,win,0.9639,0.9639,0,0,7090.75,6931.75,long
IS,2020-03-24T00:00:00,,scratch,0.2109,0.2109,1,0,7654.25,7474.25,long
IS,2020-03-27T00:00:00,,scratch,-0.1395,-0.1395,1,0,7513.5,7596.0,short
IS,2020-03-30T00:00:00,,scratch,0.001,0.001,1,0,7906.75,7830.25,long
IS,2020-03-31T00:00:00,,win,0.921,0.921,0,0,7731.25,7802.25,short
IS,2020-04-01T00:00:00,,win,0.9205,0.9205,0,0,7504.5,7434.0,long
IS,2020-04-13T00:00:00,,win,0.8864,0.8864,0,0,8358.5,8310.0,long
IS,2020-04-14T00:00:00,,scratch,-0.3017,-0.3017,1,0,8722.0,8670.5,long
IS,2020-04-15T00:00:00,,win,0.8607,0.8607,0,0,8560.25,8599.25,short
