sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-20T00:00:00,,loss,-1.0,-1.0,0,0,23297.75,23331.75,short
IS,2025-08-21T00:00:00,,win,0.8806,0.8806,0,0,23245.5,23199.5,long
IS,2025-08-22T00:00:00,,scratch,0.2566,0.2566,1,0,23599.5,23549.5,long
IS,2025-08-25T00:00:00,,scratch,-0.0864,-0.0864,1,0,23539.5,23485.5,long
IS,2025-08-26T00:00:00,,win,0.8374,0.8374,0,0,23616.0,23583.0,long
IS,2025-08-27T00:00:00,,loss,-1.0,-1.0,0,0,23596.5,23629.5,short
IS,2025-08-29T00:00:00,,scratch,-0.0812,-0.0812,1,0,23418.0,23488.0,short
IS,2025-09-02T00:00:00,,win,0.8555,0.8555,0,0,23307.0,23269.5,long
IS,2025-09-03T00:00:00,,loss,-1.0,-1.0,0,0,23433.75,23469.25,short
IS,2025-09-04T00:00:00,,win,0.7981,0.7981,0,0,23684.5,23658.5,long
IS,2025-09-05T00:00:00,,scratch,0.1364,0.1364,1,0,23658.25,23696.25,short
IS,2025-09-08T00:00:00,,loss,-1.0,-1.0,0,0,23819.25,23795.25,long
IS,2025-09-09T00:00:00,,win,0.8555,0.8555,0,0,23890.5,23853.0,long
IS,2025-09-10T00:00:00,,loss,-1.0,-1.0,0,0,23846.5,23885.5,short
IS,2025-09-11T00:00:00,,win,0.779,0.779,0,0,24027.25,24003.75,long
IS,2025-09-12T00:00:00,,scratch,0.0314,0.0314,1,0,24128.25,24096.75,long
IS,2025-09-15T00:00:00,,scratch,0.0671,0.0671,1,0,24270.5,24313.5,short
IS,2025-09-16T00:00:00,,scratch,0.2718,0.2718,1,0,24557.25,24521.25,long
IS,2025-09-17T00:00:00,,win,0.932,0.932,0,0,24554.5,24471.5,long
IS,2025-09-18T00:00:00,,loss,-1.0,-1.0,0,0,24734.25,24687.75,long
IS,2025-09-22T00:00:00,,loss,-1.0,-1.0,0,0,24967.75,25001.25,short
IS,2025-09-25T00:00:00,,loss,-1.0,-1.0,0,0,24607.75,24644.75,short
IS,2025-09-26T00:00:00,,scratch,-0.5411,-0.5411,1,0,24747.25,24720.75,long
IS,2025-09-29T00:00:00,,win,0.8141,0.8141,0,0,24818.0,24846.5,short
IS,2025-09-30T00:00:00,,win,0.9079,0.9079,0,0,24840.75,24901.25,short
IS,2025-10-01T00:00:00,,loss,-1.0,-1.0,0,0,24977.75,25012.75,short
IS,2025-10-02T00:00:00,,win,0.8396,0.8396,0,0,25091.5,25125.0,short
IS,2025-10-07T00:00:00,,scratch,0.7241,0.7241,1,0,25084.0,25044.0,long
IS,2025-10-08T00:00:00,,win,0.846,0.846,0,0,25355.75,25320.75,long
IS,2025-10-09T00:00:00,,win,0.787,0.787,0,0,25275.5,25300.0,short
IS,2025-10-10T00:00:00,,loss,-1.0,-1.0,0,0,24484.0,24392.5,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24877.75,24927.25,short
IS,2025-10-14T00:00:00,,win,0.9278,0.9278,0,0,24712.0,24790.0,short
IS,2025-10-15T00:00:00,,loss,-1.0,-1.0,0,0,24877.0,24964.5,short
IS,2025-10-16T00:00:00,,win,0.9064,0.9064,0,0,24795.25,24854.75,short
IS,2025-10-17T00:00:00,,win,0.91,0.91,0,0,25038.0,24976.0,long
IS,2025-10-20T00:00:00,,win,0.8639,0.8639,0,0,25329.25,25289.25,long
IS,2025-10-22T00:00:00,,loss,-1.0,-1.0,0,0,25109.0,25031.0,long
IS,2025-10-23T00:00:00,,win,0.8946,0.8946,0,0,25299.75,25247.25,long
IS,2025-10-24T00:00:00,,scratch,-0.5314,-0.5314,1,0,25549.0,25497.5,long
IS,2025-10-27T00:00:00,,win,0.8111,0.8111,0,0,25988.0,25960.0,long
IS,2025-10-28T00:00:00,,scratch,-0.1086,-0.1086,1,0,26197.5,26150.5,long
IS,2025-10-29T00:00:00,,scratch,0.4236,0.4236,1,0,26131.0,26378.5,short
IS,2025-10-30T00:00:00,,win,0.9803,0.9803,0,0,26146.5,25853.0,long
IS,2025-11-03T00:00:00,,win,0.9278,0.9278,0,0,26175.75,26097.75,long
IS,2025-11-04T00:00:00,,win,0.9017,0.9017,0,0,25536.5,25593.0,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,25790.25,25715.75,long
IS,2025-11-06T00:00:00,,win,0.9086,0.9086,0,0,25302.5,25241.5,long
IS,2025-11-07T00:00:00,,scratch,0.4469,0.4469,1,0,25249.75,25160.75,long
IS,2025-11-10T00:00:00,,scratch,-0.5385,-0.5385,1,0,25762.25,25707.75,long
IS,2025-11-11T00:00:00,,scratch,-0.0064,-0.0064,1,0,25689.5,25626.5,long
IS,2025-11-12T00:00:00,,scratch,-0.7521,-0.7521,1,0,25666.75,25619.25,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,25207.0,25093.5,long
IS,2025-11-14T00:00:00,,win,0.9188,0.9188,0,0,25145.0,25076.0,long
IS,2025-11-17T00:00:00,,loss,-1.0,-1.0,0,0,24943.25,24885.75,long
IS,2025-11-19T00:00:00,,win,0.9605,0.9605,0,0,24809.25,24664.25,long
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,24262.5,24350.0,short
IS,2025-11-24T00:00:00,,scratch,0.0011,0.0011,1,0,24997.25,24924.75,long
IS,2025-11-25T00:00:00,,scratch,0.2278,0.2278,1,0,25045.25,25099.75,short
IS,2025-11-26T00:00:00,,scratch,-0.1587,-0.1587,1,0,25340.5,25293.5,long
IS,2025-12-01T00:00:00,,scratch,-0.5366,-0.5366,1,0,25372.5,25409.5,short
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25576.25,25607.25,short
IS,2025-12-03T00:00:00,,scratch,-0.0132,-0.0132,1,0,25632.5,25661.5,short
IS,2025-12-04T00:00:00,,loss,-1.0,-1.0,0,0,25605.75,25634.75,short
IS,2025-12-05T00:00:00,,scratch,-0.3548,-0.3548,1,0,25756.75,25723.25,long
IS,2025-12-08T00:00:00,,loss,-1.0,-1.0,0,0,25641.75,25674.75,short
IS,2025-12-09T00:00:00,,scratch,0.3778,0.3778,1,0,25667.0,25704.0,short
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25762.75,25805.25,short
IS,2025-12-11T00:00:00,,win,0.8742,0.8742,0,0,25752.0,25708.5,long
IS,2025-12-16T00:00:00,,win,0.9086,0.9086,0,0,25314.5,25375.5,short
IS,2025-12-17T00:00:00,,scratch,-0.0239,-0.0239,1,0,25011.5,24892.0,long
IS,2025-12-18T00:00:00,,win,0.9093,0.9093,0,0,25196.0,25257.5,short
IS,2025-12-19T00:00:00,,scratch,0.0259,0.0259,1,0,25625.0,25567.0,long
IS,2025-12-23T00:00:00,,scratch,-0.3843,-0.3843,1,0,25790.25,25822.25,short
IS,2025-12-26T00:00:00,,scratch,0.3058,0.3058,1,0,25850.75,25874.25,short
IS,2025-12-29T00:00:00,,scratch,-0.115,-0.115,1,0,25763.0,25727.5,long
IS,2025-12-30T00:00:00,,scratch,-0.7018,-0.7018,1,0,25709.25,25670.25,long
IS,2025-12-31T00:00:00,,scratch,0.3946,0.3946,1,0,25421.25,25471.75,short
IS,2020-01-06T00:00:00,,win,0.7274,0.7274,0,0,8854.0,8872.5,short
IS,2020-01-07T00:00:00,,win,0.7703,0.7703,0,0,8840.75,8863.25,short
IS,2020-01-08T00:00:00,,scratch,0.2492,0.2492,1,0,8954.75,8927.25,long
IS,2020-01-21T00:00:00,,scratch,-0.1671,-0.1671,1,0,9155.5,9191.0,short
IS,2020-01-22T00:00:00,,win,0.7831,0.7831,0,0,9182.75,9206.75,short
IS,2020-01-23T00:00:00,,scratch,-0.0471,-0.0471,1,0,9275.25,9226.75,long
IS,2020-01-24T00:00:00,,scratch,0.3831,0.3831,1,0,9131.25,9157.25,short
IS,2020-01-28T00:00:00,,win,0.7657,0.7657,0,0,9117.75,9095.75,long
