sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-06-15T00:00:00,,scratch,0.4237,0.4237,1,0,9823.5,9762.5,long
IS,2020-06-17T00:00:00,,loss,-0.75,-0.75,0,0,10012.5,9965.0,long
IS,2020-06-18T00:00:00,,loss,-0.75,-0.75,0,0,9955.25,10004.25,short
IS,2020-06-23T00:00:00,,scratch,0.1511,0.1511,1,0,10153.5,10214.0,short
IS,2020-06-25T00:00:00,,loss,-0.75,-0.75,0,0,10055.75,10107.25,short
IS,2020-06-29T00:00:00,,win,0.8946,0.8946,0,0,10003.25,9950.75,long
IS,2020-09-24T00:00:00,,win,0.9079,0.9079,0,0,10931.5,10871.0,long
IS,2020-09-28T00:00:00,,scratch,-0.071,-0.071,1,0,11442.5,11355.0,long
IS,2020-11-10T00:00:00,,scratch,-0.3762,-0.3762,1,0,11586.75,11644.75,short
IS,2020-11-11T00:00:00,,scratch,-0.3715,-0.3715,1,0,11942.75,11877.25,long
IS,2020-11-12T00:00:00,,scratch,-0.0752,-0.0752,1,0,11905.5,11823.0,long
IS,2020-11-16T00:00:00,,scratch,0.0014,0.0014,1,0,12065.5,12011.5,long
IS,2020-11-17T00:00:00,,loss,-0.75,-0.75,0,0,12001.25,11971.25,long
IS,2020-11-18T00:00:00,,scratch,-0.0997,-0.0997,1,0,11833.5,11910.0,short
IS,2020-11-19T00:00:00,,scratch,0.4844,0.4844,1,0,11957.5,11995.0,short
IS,2020-11-23T00:00:00,,scratch,-0.0263,-0.0263,1,0,11931.25,11899.25,long
IS,2020-11-24T00:00:00,,win,0.8396,0.8396,0,0,12104.75,12071.25,long
IS,2021-03-10T00:00:00,,scratch,0.2953,0.2953,1,0,12808.25,12748.25,long
IS,2021-03-11T00:00:00,,scratch,-0.207,-0.207,1,0,13009.5,13069.0,short
IS,2021-03-12T00:00:00,,scratch,-0.2202,-0.2202,1,0,12918.0,12946.5,short
IS,2021-03-17T00:00:00,,loss,-0.75,-0.75,0,0,13152.75,13197.75,short
IS,2021-03-19T00:00:00,,scratch,0.0508,0.0508,1,0,12809.25,12847.25,short
IS,2021-03-22T00:00:00,,loss,-0.75,-0.75,0,0,13048.25,13083.25,short
IS,2021-03-23T00:00:00,,scratch,-0.0599,-0.0599,1,0,13067.25,13004.75,long
IS,2020-02-05T00:00:00,,scratch,0.1009,0.1009,1,0,9403.75,9366.25,long
IS,2020-02-11T00:00:00,,scratch,0.1194,0.1194,1,0,9537.25,9522.75,long
IS,2020-02-13T00:00:00,,win,0.7609,0.7609,0,0,9625.5,9604.0,long
IS,2020-02-14T00:00:00,,scratch,-0.5698,-0.5698,1,0,9644.25,9626.25,long
IS,2020-02-18T00:00:00,,loss,-0.75,-0.75,0,0,9646.25,9633.75,long
IS,2020-02-20T00:00:00,,scratch,0.1009,0.1009,1,0,9603.0,9640.5,short
IS,2020-02-24T00:00:00,,scratch,0.0016,0.0016,1,0,9118.25,9072.25,long
IS,2020-02-25T00:00:00,,scratch,0.1254,0.1254,1,0,8904.0,8830.5,long
IS,2020-02-26T00:00:00,,scratch,0.3824,0.3824,1,0,8797.5,8885.0,short
IS,2020-02-27T00:00:00,,scratch,0.2402,0.2402,1,0,8276.0,8467.0,short
IS,2020-03-03T00:00:00,,scratch,0.1029,0.1029,1,0,8486.0,8654.0,short
IS,2020-03-04T00:00:00,,scratch,0.0224,0.0224,1,0,8835.5,8948.0,short
IS,2020-03-09T00:00:00,,loss,-0.75,-0.75,0,0,8034.5,7881.0,long
IS,2020-03-11T00:00:00,,loss,-0.75,-0.75,0,0,8071.5,7982.0,long
IS,2020-03-12T00:00:00,,win,0.9745,0.9745,0,0,7075.5,7302.0,short
IS,2020-03-13T00:00:00,,scratch,0.3747,0.3747,1,0,7740.25,7961.75,short
