sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-06T00:00:00,,win,0.9501,0.9501,0,0,8842.5,8728.5,long
IS,2020-01-08T00:00:00,,win,0.9397,0.9397,0,0,8942.0,8848.0,long
IS,2020-01-14T00:00:00,,loss,-1.0,-1.0,0,0,9014.75,9086.25,short
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9115.5,9051.0,long
IS,2020-01-21T00:00:00,,win,0.8623,0.8623,0,0,9191.75,9152.25,long
IS,2020-01-24T00:00:00,,win,0.9017,0.9017,0,0,9227.75,9284.25,short
IS,2020-01-27T00:00:00,,scratch,-0.4116,-0.4116,1,0,9039.5,8926.0,long
IS,2020-01-29T00:00:00,,win,0.9107,0.9107,0,0,9096.25,9158.75,short
IS,2020-01-31T00:00:00,,win,0.9619,0.9619,0,0,9033.5,9184.0,short
IS,2020-02-03T00:00:00,,scratch,-0.0535,-0.0535,1,0,9180.75,9035.75,long
IS,2020-02-04T00:00:00,,win,0.9378,0.9378,0,0,9318.0,9227.0,long
IS,2020-02-10T00:00:00,,win,0.9591,0.9591,0,0,9517.75,9377.75,long
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9533.75,9603.75,short
IS,2020-02-13T00:00:00,,win,0.9391,0.9391,0,0,9632.25,9539.25,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9553.25,9640.25,short
IS,2020-02-18T00:00:00,,scratch,0.3516,0.3516,1,0,9669.0,9575.0,long
IS,2020-02-19T00:00:00,,win,0.9127,0.9127,0,0,9745.5,9681.5,long
IS,2020-02-21T00:00:00,,scratch,0.4672,0.4672,1,0,9405.25,9604.75,short
IS,2020-02-24T00:00:00,,scratch,-0.6331,-0.6331,1,0,9342.0,9041.0,long
IS,2020-02-25T00:00:00,,win,0.9652,0.9652,0,0,9025.75,9190.75,short
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8508.0,8722.5,short
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8636.5,8904.5,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8561.0,8783.0,short
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8286.0,8462.0,short
IS,2020-03-09T00:00:00,,scratch,-0.1593,-0.1593,1,0,8306.0,7801.0,long
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7189.25,7524.75,short
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,7207.25,7721.75,short
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,6678.25,7235.75,short
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7476.0,6944.0,long
IS,2020-03-20T00:00:00,,win,0.9831,0.9831,0,0,7127.5,7470.0,short
IS,2020-03-27T00:00:00,,scratch,0.1291,0.1291,1,0,7459.0,7693.0,short
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7735.25,7875.25,short
IS,2020-04-02T00:00:00,,,,0.0,0,1,,,short
IS,2020-04-06T00:00:00,,win,0.9643,0.9643,0,0,7910.75,7750.25,long
IS,2020-04-08T00:00:00,,loss,-1.0,-1.0,0,0,8029.25,8154.75,short
IS,2020-04-13T00:00:00,,loss,-1.0,-1.0,0,0,8110.5,8244.0,short
IS,2020-04-14T00:00:00,,win,0.9669,0.9669,0,0,8630.5,8457.0,long
IS,2020-04-15T00:00:00,,loss,-1.0,-1.0,0,0,8422.25,8566.25,short
IS,2020-04-22T00:00:00,,,,0.0,0,1,,,short
IS,2020-04-24T00:00:00,,loss,-1.0,-1.0,0,0,8526.25,8667.25,short
IS,2020-04-28T00:00:00,,win,0.957,0.957,0,0,8772.25,8905.25,short
IS,2020-04-29T00:00:00,,win,0.9561,0.9561,0,0,8946.0,8816.0,long
IS,2020-05-04T00:00:00,,win,0.9531,0.9531,0,0,8772.0,8650.5,long
IS,2020-05-05T00:00:00,,win,0.9413,0.9413,0,0,8991.5,8895.0,long
IS,2020-05-11T00:00:00,,win,0.959,0.959,0,0,9287.0,9147.5,long
IS,2020-05-12T00:00:00,,win,0.9705,0.9705,0,0,9150.75,9345.75,short
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,8830.25,8976.25,short
IS,2020-05-15T00:00:00,,win,0.9613,0.9613,0,0,9091.5,8943.5,long
IS,2020-05-18T00:00:00,,win,0.9459,0.9459,0,0,9351.0,9246.0,long
IS,2020-05-20T00:00:00,,win,0.9304,0.9304,0,0,9482.75,9401.75,long
IS,2020-05-21T00:00:00,,win,0.9336,0.9336,0,0,9425.5,9510.5,short
IS,2020-05-22T00:00:00,,scratch,0.6143,0.6143,1,0,9444.5,9319.5,long
IS,2020-05-26T00:00:00,,win,0.9494,0.9494,0,0,9457.25,9569.75,short
IS,2020-05-27T00:00:00,,win,0.9653,0.9653,0,0,9219.75,9385.25,short
IS,2020-05-29T00:00:00,,loss,-1.0,-1.0,0,0,9537.5,9420.5,long
IS,2020-06-01T00:00:00,,scratch,0.0041,0.0041,1,0,9645.0,9505.5,long
IS,2020-06-02T00:00:00,,loss,-1.0,-1.0,0,0,9497.5,9605.5,short
IS,2020-06-04T00:00:00,,loss,-1.0,-1.0,0,0,9764.25,9669.75,long
IS,2020-06-05T00:00:00,,scratch,0.2469,0.2469,1,0,9897.75,9653.25,long
IS,2020-06-08T00:00:00,,loss,-1.0,-1.0,0,0,9731.5,9829.0,short
IS,2020-06-09T00:00:00,,win,0.9459,0.9459,0,0,9956.75,9851.75,long
IS,2021-07-29T00:00:00,,loss,-1.0,-1.0,0,0,15158.75,14982.25,long
IS,2021-07-30T00:00:00,,scratch,0.5292,0.5292,1,0,14995.5,14866.0,long
IS,2021-08-02T00:00:00,,scratch,-0.2744,-0.2744,1,0,14834.25,15044.25,short
IS,2021-08-03T00:00:00,,win,0.9561,0.9561,0,0,14868.5,14998.5,short
IS,2021-08-04T00:00:00,,loss,-1.0,-1.0,0,0,14996.25,15066.75,short
IS,2021-08-05T00:00:00,,win,0.9378,0.9378,0,0,15163.75,15072.75,long
IS,2021-08-11T00:00:00,,scratch,0.4778,0.4778,1,0,14958.5,15119.0,short
IS,2021-08-13T00:00:00,,win,0.9165,0.9165,0,0,15135.0,15068.0,long
IS,2021-08-16T00:00:00,,win,0.9494,0.9494,0,0,14999.5,15112.0,short
IS,2021-08-17T00:00:00,,loss,-1.0,-1.0,0,0,14893.5,15040.0,short
IS,2021-08-18T00:00:00,,loss,-1.0,-1.0,0,0,15060.25,14964.25,long
IS,2021-08-20T00:00:00,,win,0.9572,0.9572,0,0,15092.75,14959.25,long
IS,2021-08-23T00:00:00,,win,0.9637,0.9637,0,0,15282.75,15124.75,long
IS,2021-08-30T00:00:00,,win,0.9581,0.9581,0,0,15591.75,15455.25,long
IS,2021-08-31T00:00:00,,,,0.0,0,1,,,short
IS,2021-09-01T00:00:00,,loss,-1.0,-1.0,0,0,15749.5,15622.0,long
IS,2021-09-07T00:00:00,,loss,-1.0,-1.0,0,0,15564.0,15669.0,short
IS,2021-09-13T00:00:00,,scratch,-0.0534,-0.0534,1,0,15328.0,15557.5,short
IS,2021-09-14T00:00:00,,win,0.9652,0.9652,0,0,15358.75,15523.75,short
IS,2021-09-16T00:00:00,,loss,-1.0,-1.0,0,0,15321.25,15472.75,short
IS,2021-09-17T00:00:00,,win,0.9635,0.9635,0,0,15327.75,15484.75,short
IS,2021-09-20T00:00:00,,,,0.0,0,1,,,short
IS,2021-09-21T00:00:00,,loss,-1.0,-1.0,0,0,15205.0,15028.0,long
IS,2021-09-23T00:00:00,,scratch,0.2586,0.2586,1,0,15380.5,15182.0,long
IS,2021-09-28T00:00:00,,win,0.9755,0.9755,0,0,14796.25,15031.25,short
IS,2021-09-29T00:00:00,,loss,-1.0,-1.0,0,0,14940.75,14787.75,long
IS,2021-09-30T00:00:00,,,,0.0,0,1,,,short
IS,2021-10-01T00:00:00,,loss,-1.0,-1.0,0,0,14507.75,14735.25,short
IS,2021-10-04T00:00:00,,win,0.9797,0.9797,0,0,14435.0,14720.0,short
IS,2021-10-05T00:00:00,,win,0.966,0.966,0,0,14665.5,14496.5,long
IS,2021-10-11T00:00:00,,loss,-1.0,-1.0,0,0,14962.0,14721.5,long
IS,2021-10-12T00:00:00,,scratch,0.6392,0.6392,1,0,14574.25,14778.75,short
IS,2021-10-13T00:00:00,,loss,-1.0,-1.0,0,0,14618.75,14778.75,short
IS,2021-10-14T00:00:00,,win,0.9638,0.9638,0,0,15049.0,14890.5,long
IS,2021-10-18T00:00:00,,win,0.9655,0.9655,0,0,15218.25,15051.75,long
IS,2021-10-19T00:00:00,,win,0.9501,0.9501,0,0,15416.25,15302.25,long
IS,2021-10-20T00:00:00,,loss,-1.0,-1.0,0,0,15333.25,15435.25,short
IS,2021-10-21T00:00:00,,win,0.9485,0.9485,0,0,15444.75,15334.25,long
IS,2021-10-22T00:00:00,,loss,-1.0,-1.0,0,0,15329.25,15458.25,short
IS,2021-10-27T00:00:00,,win,0.9593,0.9593,0,0,15698.75,15558.25,long
IS,2021-10-28T00:00:00,,win,0.9451,0.9451,0,0,15739.25,15635.75,long
IS,2021-10-29T00:00:00,,win,0.9636,0.9636,0,0,15773.5,15616.0,long
IS,2021-11-01T00:00:00,,loss,-1.0,-1.0,0,0,15740.5,15868.5,short
IS,2021-11-02T00:00:00,,scratch,-0.0939,-0.0939,1,0,16036.25,15864.25,long
IS,2021-11-04T00:00:00,,win,0.9577,0.9577,0,0,16292.0,16157.0,long
IS,2021-11-05T00:00:00,,win,0.9556,0.9556,0,0,16320.0,16448.5,short
IS,2021-11-08T00:00:00,,scratch,0.0482,0.0482,1,0,16260.75,16394.25,short
IS,2021-11-09T00:00:00,,win,0.9559,0.9559,0,0,16262.25,16391.75,short
IS,2021-11-10T00:00:00,,loss,-1.0,-1.0,0,0,16238.0,16041.5,long
IS,2021-11-15T00:00:00,,win,0.9469,0.9469,0,0,16146.75,16253.75,short
IS,2021-11-17T00:00:00,,loss,-1.0,-1.0,0,0,16233.0,16322.5,short
IS,2021-11-18T00:00:00,,loss,-1.0,-1.0,0,0,16470.5,16353.5,long
IS,2021-11-19T00:00:00,,scratch,0.1084,0.1084,1,0,16643.25,16516.25,long
IS,2021-11-22T00:00:00,,loss,-1.0,-1.0,0,0,16806.75,16638.25,long
IS,2021-11-23T00:00:00,,loss,-1.0,-1.0,0,0,16525.75,16282.75,long
IS,2021-11-24T00:00:00,,,,0.0,0,1,,,short
IS,2021-11-25T00:00:00,,scratch,-0.0445,-0.0445,1,0,16430.75,16379.25,long
IS,2021-11-26T00:00:00,,win,0.9773,0.9773,0,0,16053.0,16307.5,short
IS,2021-11-29T00:00:00,,win,0.9681,0.9681,0,0,16390.0,16210.0,long
IS,2021-11-30T00:00:00,,loss,-1.0,-1.0,0,0,16460.25,16318.75,long
IS,2021-12-02T00:00:00,,loss,-1.0,-1.0,0,0,16212.0,15787.0,long
IS,2021-12-03T00:00:00,,win,0.9849,0.9849,0,0,15706.25,16090.75,short
IS,2021-12-07T00:00:00,,win,0.9556,0.9556,0,0,16247.5,16119.0,long
IS,2021-12-08T00:00:00,,scratch,0.3221,0.3221,1,0,16446.0,16251.5,long
IS,2021-12-10T00:00:00,,loss,-1.0,-1.0,0,0,16105.75,16328.25,short
IS,2021-12-13T00:00:00,,win,0.9624,0.9624,0,0,16187.5,16340.0,short
IS,2021-12-15T00:00:00,,loss,-1.0,-1.0,0,0,15735.25,15927.75,short
IS,2021-12-16T00:00:00,,win,0.9832,0.9832,0,0,15998.0,16342.0,short
IS,2021-12-17T00:00:00,,loss,-1.0,-1.0,0,0,16014.25,15656.75,long
IS,2021-12-21T00:00:00,,loss,-1.0,-1.0,0,0,15601.25,15798.75,short
IS,2021-12-22T00:00:00,,win,0.9718,0.9718,0,0,16138.25,15933.75,long
IS,2021-12-29T00:00:00,,win,0.9572,0.9572,0,0,16415.75,16549.25,short
IS,2021-12-31T00:00:00,,win,0.9593,0.9593,0,0,16323.5,16464.0,short
IS,2022-01-03T00:00:00,,loss,-1.0,-1.0,0,0,16153.25,16484.75,short
IS,2022-01-04T00:00:00,,win,0.9496,0.9496,0,0,16399.25,16512.25,short
IS,2022-01-07T00:00:00,,,,0.0,0,1,,,short
IS,2022-01-10T00:00:00,,loss,-1.0,-1.0,0,0,15110.5,15415.0,short
IS,2022-01-12T00:00:00,,scratch,-0.2385,-0.2385,1,0,15740.0,15992.5,short
IS,2022-01-14T00:00:00,,scratch,0.1431,0.1431,1,0,15796.75,15379.75,long
IS,2022-01-17T00:00:00,,scratch,-0.0696,-0.0696,1,0,15493.25,15611.25,short
IS,2022-01-19T00:00:00,,loss,-1.0,-1.0,0,0,15463.0,15251.5,long
IS,2022-01-20T00:00:00,,loss,-1.0,-1.0,0,0,15403.5,15160.5,long
IS,2022-01-21T00:00:00,,loss,-1.0,-1.0,0,0,14476.75,14818.75,short
IS,2022-01-24T00:00:00,,win,0.9842,0.9842,0,0,13896.75,14263.75,short
IS,2022-01-25T00:00:00,,loss,-1.0,-1.0,0,0,13952.25,14304.75,short
IS,2022-01-27T00:00:00,,loss,-1.0,-1.0,0,0,14501.25,14231.75,long
IS,2022-01-28T00:00:00,,loss,-1.0,-1.0,0,0,13647.25,14102.25,short
IS,2022-01-31T00:00:00,,win,0.985,0.985,0,0,14803.75,14416.25,long
IS,2022-02-02T00:00:00,,win,0.9769,0.9769,0,0,14928.5,15178.0,short
IS,2022-02-04T00:00:00,,win,0.9838,0.9838,0,0,14791.5,14433.0,long
IS,2022-02-07T00:00:00,,loss,-1.0,-1.0,0,0,14915.75,14670.25,long
IS,2022-02-09T00:00:00,,loss,-1.0,-1.0,0,0,14802.5,14951.5,short
IS,2022-02-10T00:00:00,,loss,-1.0,-1.0,0,0,15078.25,14735.25,long
IS,2022-02-11T00:00:00,,loss,-1.0,-1.0,0,0,14856.75,14656.25,long
IS,2022-02-14T00:00:00,,loss,-1.0,-1.0,0,0,14468.25,14182.25,long
IS,2022-02-16T00:00:00,,loss,-1.0,-1.0,0,0,14275.0,14516.0,short
IS,2022-02-17T00:00:00,,win,0.9618,0.9618,0,0,14346.0,14496.0,short
IS,2022-02-22T00:00:00,,loss,-1.0,-1.0,0,0,14166.0,13862.0,long
IS,2022-02-23T00:00:00,,win,0.9744,0.9744,0,0,13806.25,14031.25,short
IS,2022-02-24T00:00:00,,win,0.9889,0.9889,0,0,13582.25,13058.75,long
IS,2022-03-02T00:00:00,,loss,-1.0,-1.0,0,0,14214.75,14010.75,long
