sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2024-11-28T00:00:00,,scratch,-0.3561,-0.3561,1,0,20919.75,20873.75,long
IS,2024-11-29T00:00:00,,win,0.9692,0.9692,0,0,20992.25,20805.75,long
IS,2024-12-02T00:00:00,,scratch,0.3471,0.3471,1,0,21297.5,21026.5,long
IS,2024-12-05T00:00:00,,loss,-1.0,-1.0,0,0,21475.0,21552.0,short
IS,2024-12-06T00:00:00,,scratch,0.3706,0.3706,1,0,21699.5,21485.0,long
IS,2024-12-09T00:00:00,,,,0.0,0,1,,,short
IS,2024-12-10T00:00:00,,loss,-1.0,-1.0,0,0,21682.25,21505.25,long
IS,2024-12-11T00:00:00,,win,0.9702,0.9702,0,0,21766.0,21573.0,long
IS,2024-12-13T00:00:00,,,,0.0,0,1,,,short
IS,2024-12-16T00:00:00,,win,0.9695,0.9695,0,0,22084.5,21896.0,long
IS,2024-12-19T00:00:00,,win,0.9822,0.9822,0,0,21373.0,21698.0,short
IS,2024-12-20T00:00:00,,,,0.0,0,1,,,short
IS,2024-12-23T00:00:00,,loss,-1.0,-1.0,0,0,21459.5,21675.5,short
IS,2024-12-24T00:00:00,,win,0.9658,0.9658,0,0,21967.0,21799.0,long
IS,2024-12-26T00:00:00,,loss,-1.0,-1.0,0,0,21751.0,22008.5,short
IS,2025-01-02T00:00:00,,loss,-1.0,-1.0,0,0,21604.0,21166.5,long
IS,2025-01-06T00:00:00,,loss,-1.0,-1.0,0,0,21980.25,21723.75,long
IS,2025-01-10T00:00:00,,win,0.9813,0.9813,0,0,20887.25,21197.25,short
IS,2025-01-13T00:00:00,,win,0.9731,0.9731,0,0,20915.5,20701.5,long
IS,2025-01-14T00:00:00,,win,0.9789,0.9789,0,0,20854.75,21129.25,short
IS,2025-01-15T00:00:00,,scratch,0.2413,0.2413,1,0,21488.5,21186.5,long
IS,2025-01-16T00:00:00,,win,0.9727,0.9727,0,0,21287.0,21498.0,short
IS,2025-01-21T00:00:00,,loss,-1.0,-1.0,0,0,21372.0,21718.5,short
IS,2025-01-22T00:00:00,,scratch,-0.1509,-0.1509,1,0,22094.5,21902.5,long
IS,2025-01-24T00:00:00,,loss,-1.0,-1.0,0,0,22137.5,22000.0,long
IS,2025-01-27T00:00:00,,loss,-1.0,-1.0,0,0,21501.75,21108.25,long
IS,2025-01-28T00:00:00,,,,0.0,0,1,,,short
IS,2025-01-30T00:00:00,,loss,-1.0,-1.0,0,0,21881.75,21597.25,long
IS,2025-01-31T00:00:00,,win,0.967,0.967,0,0,21938.0,21764.0,long
IS,2025-02-04T00:00:00,,scratch,0.1754,0.1754,1,0,21707.5,21405.0,long
IS,2025-02-06T00:00:00,,win,0.9483,0.9483,0,0,21848.0,21738.0,long
IS,2025-02-10T00:00:00,,scratch,-0.0328,-0.0328,1,0,21935.25,21742.25,long
IS,2025-02-12T00:00:00,,win,0.9796,0.9796,0,0,21819.75,21535.75,long
IS,2025-02-14T00:00:00,,win,0.9562,0.9562,0,0,22218.5,22088.0,long
IS,2025-02-18T00:00:00,,scratch,-0.5041,-0.5041,1,0,22097.5,22268.0,short
IS,2025-02-19T00:00:00,,loss,-1.0,-1.0,0,0,22075.5,22221.5,short
IS,2025-02-20T00:00:00,,win,0.9681,0.9681,0,0,22047.0,22227.0,short
IS,2025-02-24T00:00:00,,win,0.9847,0.9847,0,0,21422.75,21801.75,short
IS,2025-02-25T00:00:00,,win,0.9798,0.9798,0,0,21111.5,21397.5,short
IS,2025-02-26T00:00:00,,win,0.9726,0.9726,0,0,21399.0,21188.5,long
IS,2025-02-27T00:00:00,,win,0.9906,0.9906,0,0,20765.5,21381.0,short
IS,2025-03-03T00:00:00,,win,0.9893,0.9893,0,0,20577.75,21120.75,short
IS,2025-03-06T00:00:00,,loss,-1.0,-1.0,0,0,20595.75,20228.25,long
IS,2025-03-07T00:00:00,,loss,-1.0,-1.0,0,0,20431.75,20024.25,long
IS,2025-03-10T00:00:00,,win,0.9851,0.9851,0,0,19513.5,19902.0,short
IS,2025-03-11T00:00:00,,loss,-1.0,-1.0,0,0,19744.0,19386.5,long
IS,2025-03-12T00:00:00,,win,0.9802,0.9802,0,0,19484.25,19776.75,short
IS,2025-03-13T00:00:00,,win,0.9832,0.9832,0,0,19232.0,19577.0,short
IS,2025-03-14T00:00:00,,scratch,0.1687,0.1687,1,0,19818.0,19450.0,long
IS,2025-03-18T00:00:00,,scratch,-0.1339,-0.1339,1,0,19459.75,19900.75,short
IS,2025-03-19T00:00:00,,win,0.976,0.976,0,0,19947.0,19706.5,long
IS,2025-03-20T00:00:00,,win,0.983,0.983,0,0,20096.75,19756.75,long
IS,2025-03-21T00:00:00,,win,0.9735,0.9735,0,0,19824.5,19607.0,long
IS,2025-03-24T00:00:00,,win,0.9666,0.9666,0,0,20400.75,20228.75,long
IS,2025-03-25T00:00:00,,,,0.0,0,1,,,short
IS,2025-03-26T00:00:00,,win,0.9672,0.9672,0,0,20300.0,20475.0,short
IS,2025-03-27T00:00:00,,scratch,-0.6206,-0.6206,1,0,20214.25,19937.75,long
IS,2025-03-31T00:00:00,,,,0.0,0,1,,,short
IS,2025-04-01T00:00:00,,loss,-1.0,-1.0,0,0,19563.25,19338.25,long
IS,2025-04-02T00:00:00,,win,0.9886,0.9886,0,0,19824.5,19317.0,long
IS,2025-04-07T00:00:00,,win,0.9932,0.9932,0,0,17526.5,16673.5,long
IS,2025-04-08T00:00:00,,loss,-1.0,-1.0,0,0,18397.75,18062.25,long
IS,2025-04-11T00:00:00,,loss,-1.0,-1.0,0,0,18880.5,18353.5,long
