sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-09T00:00:00,,win,0.8974,0.8974,0,0,8968.25,9022.25,short
IS,2020-01-10T00:00:00,,win,0.9251,0.9251,0,0,8966.75,9041.75,short
IS,2020-01-13T00:00:00,,win,0.9177,0.9177,0,0,9071.75,9003.75,long
IS,2020-01-14T00:00:00,,loss,-1.0,-1.0,0,0,9136.75,9036.25,long
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9122.5,9051.0,long
IS,2020-01-16T00:00:00,,loss,-1.0,-1.0,0,0,9148.0,9088.0,long
IS,2020-01-17T00:00:00,,loss,-1.0,-1.0,0,0,9100.25,9179.25,short
IS,2020-01-20T00:00:00,,loss,-1.0,-1.0,0,0,9154.0,9172.5,short
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9201.25,9152.25,long
IS,2020-01-22T00:00:00,,loss,-1.0,-1.0,0,0,9276.0,9212.0,long
IS,2020-01-23T00:00:00,,win,0.943,0.943,0,0,9251.25,9151.75,long
IS,2020-01-24T00:00:00,,win,0.9025,0.9025,0,0,9227.25,9284.25,short
IS,2020-01-27T00:00:00,,scratch,-0.4788,-0.4788,1,0,9054.5,8926.0,long
IS,2020-01-28T00:00:00,,win,0.9274,0.9274,0,0,9078.75,9001.25,long
IS,2020-01-29T00:00:00,,scratch,-0.1124,-0.1124,1,0,9042.25,9158.75,short
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,8973.5,9115.0,short
IS,2020-01-31T00:00:00,,win,0.9648,0.9648,0,0,9021.0,9184.0,short
IS,2020-02-03T00:00:00,,scratch,-0.249,-0.249,1,0,9219.25,9035.75,long
IS,2020-02-04T00:00:00,,win,0.9424,0.9424,0,0,9325.5,9227.0,long
IS,2020-02-05T00:00:00,,scratch,-0.2105,-0.2105,1,0,9285.25,9457.75,short
IS,2020-02-06T00:00:00,,scratch,0.8665,0.8665,1,0,9467.5,9363.0,long
IS,2020-02-07T00:00:00,,scratch,-0.636,-0.636,1,0,9464.5,9385.0,long
IS,2020-02-10T00:00:00,,win,0.9598,0.9598,0,0,9520.25,9377.75,long
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9625.25,9538.75,long
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9517.75,9603.75,short
IS,2020-02-13T00:00:00,,scratch,0.5622,0.5622,1,0,9646.75,9539.25,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9565.25,9640.25,short
IS,2020-02-17T00:00:00,,scratch,-0.0196,-0.0196,1,0,9674.0,9655.5,long
IS,2020-02-18T00:00:00,,scratch,0.3243,0.3243,1,0,9671.0,9575.0,long
IS,2020-02-19T00:00:00,,scratch,0.3856,0.3856,1,0,9754.0,9681.5,long
IS,2020-02-20T00:00:00,,loss,-1.0,-1.0,0,0,9752.25,9686.25,long
IS,2020-02-21T00:00:00,,scratch,0.1884,0.1884,1,0,9357.75,9604.75,short
IS,2020-02-24T00:00:00,,scratch,-0.6295,-0.6295,1,0,9339.0,9041.0,long
IS,2020-02-25T00:00:00,,win,0.9706,0.9706,0,0,8995.25,9190.75,short
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,9151.5,8880.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8487.0,8722.5,short
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8372.5,8596.5,short
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,9064.75,8744.75,long
IS,2020-03-04T00:00:00,,win,0.9755,0.9755,0,0,8901.0,8665.5,long
IS,2020-03-05T00:00:00,,win,0.9645,0.9645,0,0,8863.25,8701.75,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8560.75,8363.75,long
IS,2020-03-09T00:00:00,,scratch,-0.2792,-0.2792,1,0,8390.5,7801.0,long
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8356.0,8134.0,long
IS,2020-03-11T00:00:00,,win,0.9682,0.9682,0,0,8036.25,8217.25,short
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7819.5,7327.0,long
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,7185.25,7721.75,short
IS,2020-03-16T00:00:00,,loss,-1.0,-1.0,0,0,7719.75,7043.25,long
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,6662.25,7235.75,short
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7568.5,6944.0,long
IS,2020-03-19T00:00:00,,win,0.9871,0.9871,0,0,7459.0,7010.5,long
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7652.5,7288.0,long
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,7234.75,6834.25,long
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7549.5,7325.0,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7251.0,7665.0,short
IS,2020-03-26T00:00:00,,win,0.9776,0.9776,0,0,7771.75,7514.25,long
IS,2020-03-27T00:00:00,,loss,-1.0,-1.0,0,0,7808.5,7578.0,long
IS,2020-03-30T00:00:00,,win,0.9653,0.9653,0,0,7795.5,7630.0,long
IS,2020-03-31T00:00:00,,win,0.9636,0.9636,0,0,7954.25,7796.75,long
IS,2020-04-01T00:00:00,,loss,-1.0,-1.0,0,0,7704.75,7559.25,long
IS,2020-04-02T00:00:00,,win,0.9744,0.9744,0,0,7633.75,7408.75,long
IS,2020-04-03T00:00:00,,win,0.9681,0.9681,0,0,7480.5,7660.5,short
IS,2020-04-06T00:00:00,,win,0.973,0.973,0,0,7963.25,7750.25,long
IS,2020-04-07T00:00:00,,win,0.9705,0.9705,0,0,8103.75,8298.75,short
IS,2020-04-08T00:00:00,,loss,-1.0,-1.0,0,0,7973.25,8154.75,short
IS,2020-04-09T00:00:00,,scratch,-0.0434,-0.0434,1,0,8147.5,8327.0,short
IS,2020-04-13T00:00:00,,loss,-1.0,-1.0,0,0,8079.0,8244.0,short
IS,2020-04-14T00:00:00,,scratch,0.6883,0.6883,1,0,8729.5,8457.0,long
IS,2020-04-15T00:00:00,,win,0.9642,0.9642,0,0,8646.5,8486.5,long
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8581.0,8697.5,short
IS,2020-04-17T00:00:00,,scratch,-0.4186,-0.4186,1,0,8656.0,8871.5,short
IS,2020-04-20T00:00:00,,win,0.9485,0.9485,0,0,8840.0,8729.5,long
IS,2020-04-21T00:00:00,,win,0.9763,0.9763,0,0,8407.75,8651.75,short
IS,2020-04-22T00:00:00,,win,0.9554,0.9554,0,0,8662.25,8534.25,long
IS,2020-04-23T00:00:00,,loss,-1.0,-1.0,0,0,8826.75,8661.75,long
IS,2020-04-24T00:00:00,,win,0.9661,0.9661,0,0,8752.25,8582.75,long
IS,2020-04-27T00:00:00,,loss,-1.0,-1.0,0,0,8916.0,8819.5,long
IS,2020-04-28T00:00:00,,win,0.9635,0.9635,0,0,8748.25,8905.25,short
IS,2020-04-29T00:00:00,,win,0.9656,0.9656,0,0,8983.0,8816.0,long
IS,2020-04-30T00:00:00,,win,0.9642,0.9642,0,0,8857.5,9017.5,short
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8906.0,8780.0,long
IS,2020-05-04T00:00:00,,win,0.9617,0.9617,0,0,8800.0,8650.5,long
IS,2020-05-05T00:00:00,,loss,-1.0,-1.0,0,0,9020.5,8895.0,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,8908.0,9029.5,short
IS,2020-05-07T00:00:00,,loss,-1.0,-1.0,0,0,9007.5,9107.5,short
IS,2020-05-08T00:00:00,,win,0.9464,0.9464,0,0,9222.0,9116.0,long
IS,2020-05-11T00:00:00,,win,0.9625,0.9625,0,0,9300.5,9147.5,long
IS,2020-05-12T00:00:00,,win,0.9736,0.9736,0,0,9127.25,9345.75,short
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,9240.5,9042.5,long
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,8731.25,8976.25,short
IS,2020-05-15T00:00:00,,win,0.9621,0.9621,0,0,9094.5,8943.5,long
IS,2020-05-18T00:00:00,,win,0.9531,0.9531,0,0,9358.0,9236.5,long
IS,2020-05-19T00:00:00,,loss,-1.0,-1.0,0,0,9445.5,9313.5,long
IS,2020-05-20T00:00:00,,scratch,0.3693,0.3693,1,0,9522.25,9401.75,long
IS,2020-05-21T00:00:00,,win,0.9485,0.9485,0,0,9400.0,9510.5,short
IS,2020-05-22T00:00:00,,scratch,0.2714,0.2714,1,0,9479.0,9319.5,long
IS,2020-05-25T00:00:00,,loss,-1.0,-1.0,0,0,9543.0,9513.5,long
IS,2020-05-26T00:00:00,,win,0.9671,0.9671,0,0,9395.25,9569.75,short
IS,2020-05-27T00:00:00,,loss,-1.0,-1.0,0,0,9157.25,9385.25,short
IS,2020-05-28T00:00:00,,win,0.9645,0.9645,0,0,9543.75,9382.25,long
IS,2020-05-29T00:00:00,,loss,-1.0,-1.0,0,0,9357.75,9482.75,short
IS,2020-06-01T00:00:00,,scratch,0.1267,0.1267,1,0,9629.5,9505.5,long
IS,2020-06-02T00:00:00,,loss,-1.0,-1.0,0,0,9653.5,9558.0,long
IS,2020-06-03T00:00:00,,loss,-1.0,-1.0,0,0,9747.75,9650.75,long
IS,2020-06-04T00:00:00,,win,0.9608,0.9608,0,0,9596.5,9742.5,short
