sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,loss,-1.0,-1.0,0,0,8862.0,8815.5,long
IS,2020-01-03T00:00:00,,scratch,-0.2928,-0.2928,1,0,8880.0,8770.5,long
IS,2020-01-06T00:00:00,,win,0.9255,0.9255,0,0,8804.0,8728.5,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8892.75,8856.75,long
IS,2020-01-08T00:00:00,,win,0.9146,0.9146,0,0,8913.5,8848.0,long
IS,2020-01-09T00:00:00,,loss,-1.0,-1.0,0,0,9035.25,9001.25,long
IS,2020-01-10T00:00:00,,loss,-1.0,-1.0,0,0,8989.75,9041.75,short
IS,2020-01-13T00:00:00,,loss,-1.0,-1.0,0,0,8999.75,9030.25,short
IS,2020-01-14T00:00:00,,win,0.8639,0.8639,0,0,9046.25,9086.25,short
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9103.0,9051.0,long
IS,2020-01-16T00:00:00,,loss,-1.0,-1.0,0,0,9130.5,9088.0,long
IS,2020-01-17T00:00:00,,win,0.8875,0.8875,0,0,9130.25,9179.25,short
IS,2020-01-20T00:00:00,,loss,-1.0,-1.0,0,0,9178.0,9163.5,long
IS,2020-01-21T00:00:00,,win,0.8623,0.8623,0,0,9191.75,9152.25,long
IS,2020-01-22T00:00:00,,win,0.8141,0.8141,0,0,9240.5,9212.0,long
IS,2020-01-23T00:00:00,,loss,-1.0,-1.0,0,0,9122.75,9201.25,short
IS,2020-01-24T00:00:00,,win,0.8781,0.8781,0,0,9239.25,9284.25,short
IS,2020-01-27T00:00:00,,win,0.932,0.932,0,0,9009.0,8926.0,long
IS,2020-01-28T00:00:00,,loss,-1.0,-1.0,0,0,8990.25,9039.75,short
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9167.5,9139.0,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,9138.5,9044.5,long
IS,2020-01-31T00:00:00,,win,0.932,0.932,0,0,9101.0,9184.0,short
IS,2020-02-03T00:00:00,,win,0.9177,0.9177,0,0,9103.75,9035.75,long
IS,2020-02-04T00:00:00,,loss,-1.0,-1.0,0,0,9198.0,9269.5,short
IS,2020-02-05T00:00:00,,win,0.9114,0.9114,0,0,9394.75,9457.75,short
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9341.5,9408.0,short
IS,2020-02-07T00:00:00,,scratch,-0.6438,-0.6438,1,0,9464.0,9385.5,long
IS,2020-02-10T00:00:00,,win,0.9274,0.9274,0,0,9455.25,9377.75,long
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9524.25,9581.75,short
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9623.5,9579.0,long
IS,2020-02-13T00:00:00,,win,0.9269,0.9269,0,0,9616.25,9539.25,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9587.25,9638.75,short
IS,2020-02-17T00:00:00,,loss,-1.0,-1.0,0,0,9670.0,9656.5,long
IS,2020-02-18T00:00:00,,win,0.9236,0.9236,0,0,9648.5,9575.0,long
IS,2020-02-19T00:00:00,,win,0.8886,0.8886,0,0,9731.0,9681.5,long
IS,2020-02-20T00:00:00,,loss,-1.0,-1.0,0,0,9679.0,9719.0,short
IS,2020-02-21T00:00:00,,win,0.9107,0.9107,0,0,9542.25,9604.75,short
IS,2020-02-24T00:00:00,,scratch,-0.4776,-0.4776,1,0,9251.5,9041.0,long
IS,2020-02-25T00:00:00,,win,0.9509,0.9509,0,0,9074.75,9190.75,short
IS,2020-02-26T00:00:00,,win,0.9529,0.9529,0,0,9001.0,8880.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8740.25,8636.25,long
IS,2020-02-28T00:00:00,,scratch,-0.1189,-0.1189,1,0,8452.75,8124.25,long
IS,2020-03-02T00:00:00,,win,0.96,0.96,0,0,8453.5,8596.5,short
IS,2020-03-03T00:00:00,,win,0.9531,0.9531,0,0,8783.0,8904.5,short
IS,2020-03-04T00:00:00,,win,0.9388,0.9388,0,0,8690.5,8783.0,short
IS,2020-03-05T00:00:00,,win,0.9534,0.9534,0,0,8824.25,8701.75,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8297.5,8457.5,short
IS,2020-03-09T00:00:00,,scratch,-0.0424,-0.0424,1,0,8244.0,7801.0,long
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8122.25,8244.75,short
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,8073.75,8217.25,short
IS,2020-03-12T00:00:00,,win,0.9643,0.9643,0,0,7364.25,7524.75,short
IS,2020-03-13T00:00:00,,win,0.97,0.97,0,0,7530.25,7721.75,short
IS,2020-03-17T00:00:00,,win,0.967,0.967,0,0,7061.75,7235.75,short
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7423.5,6944.0,long
IS,2020-03-19T00:00:00,,loss,-1.0,-1.0,0,0,6935.25,7193.75,short
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7504.0,7376.0,long
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,6771.75,7010.25,short
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7506.75,7329.75,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7736.0,7484.5,long
IS,2020-03-26T00:00:00,,win,0.9726,0.9726,0,0,7724.25,7514.25,long
IS,2020-03-27T00:00:00,,loss,-1.0,-1.0,0,0,7719.25,7635.25,long
IS,2020-03-30T00:00:00,,loss,-1.0,-1.0,0,0,7586.5,7712.0,short
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7893.25,7818.25,long
IS,2020-04-01T00:00:00,,win,0.9372,0.9372,0,0,7649.25,7559.25,long
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7318.5,7514.5,short
IS,2020-04-03T00:00:00,,loss,-1.0,-1.0,0,0,7687.75,7570.75,long
IS,2020-04-06T00:00:00,,loss,-1.0,-1.0,0,0,7714.0,7811.5,short
IS,2020-04-07T00:00:00,,win,0.9391,0.9391,0,0,8205.75,8298.75,short
IS,2020-04-08T00:00:00,,win,0.9304,0.9304,0,0,8073.75,8154.75,short
IS,2020-04-09T00:00:00,,loss,-1.0,-1.0,0,0,8348.0,8237.5,long
IS,2020-04-13T00:00:00,,win,0.9033,0.9033,0,0,8234.0,8176.5,long
IS,2020-04-14T00:00:00,,win,0.9459,0.9459,0,0,8562.0,8457.0,long
IS,2020-04-15T00:00:00,,loss,-1.0,-1.0,0,0,8591.0,8527.0,long
IS,2020-04-16T00:00:00,,win,0.9114,0.9114,0,0,8634.5,8697.5,short
IS,2020-04-17T00:00:00,,win,0.9505,0.9505,0,0,8756.5,8871.5,short
IS,2020-04-20T00:00:00,,win,0.93,0.93,0,0,8810.0,8729.5,long
IS,2020-04-21T00:00:00,,win,0.9381,0.9381,0,0,8560.25,8651.75,short
IS,2020-04-22T00:00:00,,loss,-1.0,-1.0,0,0,8613.5,8541.5,long
IS,2020-04-23T00:00:00,,win,0.9538,0.9538,0,0,8785.25,8661.75,long
IS,2020-04-24T00:00:00,,win,0.9308,0.9308,0,0,8585.75,8667.25,short
IS,2020-04-27T00:00:00,,loss,-1.0,-1.0,0,0,8803.75,8859.25,short
IS,2020-04-28T00:00:00,,win,0.9381,0.9381,0,0,8813.75,8905.25,short
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8804.5,8864.5,short
IS,2020-04-30T00:00:00,,win,0.943,0.943,0,0,8918.0,9017.5,short
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8902.5,8780.0,long
IS,2020-05-04T00:00:00,,win,0.9241,0.9241,0,0,8724.5,8650.5,long
IS,2020-05-05T00:00:00,,win,0.941,0.941,0,0,8991.0,8895.0,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,9056.25,8972.25,long
IS,2020-05-07T00:00:00,,win,0.9171,0.9171,0,0,9040.0,9107.5,short
IS,2020-05-08T00:00:00,,loss,-1.0,-1.0,0,0,9083.25,9168.75,short
IS,2020-05-11T00:00:00,,win,0.9165,0.9165,0,0,9214.5,9147.5,long
IS,2020-05-12T00:00:00,,win,0.9388,0.9388,0,0,9253.25,9345.75,short
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,9001.25,9141.25,short
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,9006.25,8923.75,long
IS,2020-05-15T00:00:00,,loss,-1.0,-1.0,0,0,8915.75,8997.25,short
IS,2020-05-18T00:00:00,,loss,-1.0,-1.0,0,0,9305.5,9247.0,long
IS,2020-05-19T00:00:00,,win,0.9324,0.9324,0,0,9397.0,9313.5,long
IS,2020-05-20T00:00:00,,win,0.9041,0.9041,0,0,9459.75,9401.75,long
IS,2020-05-21T00:00:00,,loss,-1.0,-1.0,0,0,9510.75,9469.25,long
IS,2020-05-22T00:00:00,,loss,-1.0,-1.0,0,0,9309.0,9368.5,short
IS,2025-08-21T00:00:00,,loss,-1.0,-1.0,0,0,23348.0,23199.5,long
IS,2025-08-22T00:00:00,,win,0.9577,0.9577,0,0,23341.25,23206.25,long
IS,2025-08-25T00:00:00,,win,0.9612,0.9612,0,0,23592.5,23445.0,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23564.25,23466.25,long
IS,2025-08-27T00:00:00,,loss,-1.0,-1.0,0,0,23488.0,23559.5,short
IS,2025-08-28T00:00:00,,loss,-1.0,-1.0,0,0,23514.75,23743.25,short
IS,2025-08-29T00:00:00,,win,0.926,0.926,0,0,23592.0,23668.0,short
IS,2025-09-01T00:00:00,,scratch,-0.4819,-0.4819,1,0,23511.75,23443.25,long
IS,2025-09-02T00:00:00,,win,0.9627,0.9627,0,0,23178.5,23025.0,long
IS,2025-09-03T00:00:00,,loss,-1.0,-1.0,0,0,23321.5,23438.0,short
IS,2025-09-04T00:00:00,,loss,-1.0,-1.0,0,0,23377.75,23536.25,short
IS,2025-09-05T00:00:00,,win,0.9503,0.9503,0,0,23788.0,23902.5,short
IS,2025-09-08T00:00:00,,win,0.9435,0.9435,0,0,23871.75,23771.25,long
IS,2025-09-09T00:00:00,,win,0.9199,0.9199,0,0,23787.75,23857.75,short
IS,2025-09-10T00:00:00,,win,0.9586,0.9586,0,0,23862.75,24000.75,short
IS,2025-09-11T00:00:00,,win,0.9086,0.9086,0,0,23936.75,23997.75,short
IS,2025-09-12T00:00:00,,loss,-1.0,-1.0,0,0,23988.5,24063.5,short
IS,2025-09-15T00:00:00,,win,0.9304,0.9304,0,0,24253.0,24172.0,long
IS,2025-09-16T00:00:00,,win,0.9312,0.9312,0,0,24518.25,24600.25,short
IS,2025-09-17T00:00:00,,win,0.9372,0.9372,0,0,24450.75,24540.75,short
IS,2025-09-18T00:00:00,,win,0.9483,0.9483,0,0,24598.75,24708.75,short
IS,2025-09-19T00:00:00,,loss,-1.0,-1.0,0,0,24700.25,24783.75,short
IS,2025-09-22T00:00:00,,win,0.9336,0.9336,0,0,24899.25,24814.25,long
IS,2025-09-23T00:00:00,,win,0.8853,0.8853,0,0,24961.75,25009.75,short
IS,2025-09-24T00:00:00,,win,0.9598,0.9598,0,0,24756.75,24899.25,short
IS,2025-09-25T00:00:00,,win,0.9545,0.9545,0,0,24453.25,24578.75,short
IS,2025-09-26T00:00:00,,loss,-1.0,-1.0,0,0,24805.75,24596.75,long
IS,2025-09-29T00:00:00,,win,0.9283,0.9283,0,0,24926.75,24848.25,long
IS,2025-09-30T00:00:00,,loss,-1.0,-1.0,0,0,24684.75,24830.75,short
IS,2025-10-01T00:00:00,,loss,-1.0,-1.0,0,0,24650.25,24836.25,short
IS,2025-10-02T00:00:00,,win,0.9492,0.9492,0,0,25057.0,25169.0,short
IS,2025-10-03T00:00:00,,loss,-1.0,-1.0,0,0,25075.25,25164.25,short
IS,2025-10-06T00:00:00,,loss,-1.0,-1.0,0,0,25090.25,25221.75,short
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25279.0,25217.0,long
IS,2025-10-08T00:00:00,,win,0.954,0.954,0,0,25197.25,25073.25,long
IS,2025-10-09T00:00:00,,win,0.9265,0.9265,0,0,25258.25,25334.75,short
IS,2025-10-10T00:00:00,,loss,-1.0,-1.0,0,0,25400.25,25293.75,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24673.25,24842.75,short
IS,2025-10-14T00:00:00,,win,0.9653,0.9653,0,0,24476.5,24642.0,short
IS,2025-10-15T00:00:00,,loss,-1.0,-1.0,0,0,24886.75,25004.25,short
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,24975.5,25106.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24886.75,24699.75,long
IS,2025-10-20T00:00:00,,win,0.967,0.967,0,0,25288.75,25114.75,long
IS,2025-10-21T00:00:00,,win,0.9418,0.9418,0,0,25207.0,25304.5,short
IS,2025-10-22T00:00:00,,loss,-1.0,-1.0,0,0,25364.0,25179.5,long
IS,2025-10-23T00:00:00,,win,0.9424,0.9424,0,0,25097.25,24998.75,long
IS,2025-10-24T00:00:00,,win,0.9557,0.9557,0,0,25559.0,25430.0,long
IS,2025-10-27T00:00:00,,loss,-1.0,-1.0,0,0,25766.75,25859.75,short
IS,2025-10-28T00:00:00,,loss,-1.0,-1.0,0,0,26003.0,26094.0,short
IS,2025-10-29T00:00:00,,loss,-1.0,-1.0,0,0,26236.0,26292.5,short
IS,2025-10-30T00:00:00,,win,0.9661,0.9661,0,0,25958.0,26127.5,short
IS,2025-10-31T00:00:00,,win,0.9483,0.9483,0,0,26089.5,26199.5,short
IS,2025-11-03T00:00:00,,win,0.93,0.93,0,0,26185.25,26265.75,short
IS,2025-11-04T00:00:00,,win,0.9695,0.9695,0,0,25851.5,25663.0,long
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,25423.75,25577.25,short
IS,2025-11-06T00:00:00,,win,0.9476,0.9476,0,0,25576.25,25684.75,short
IS,2025-11-07T00:00:00,,win,0.957,0.957,0,0,24978.5,25111.5,short
IS,2025-11-10T00:00:00,,win,0.958,0.958,0,0,25660.0,25524.0,long
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25555.25,25635.25,short
IS,2025-11-12T00:00:00,,win,0.973,0.973,0,0,25567.0,25780.5,short
IS,2025-11-13T00:00:00,,win,0.9621,0.9621,0,0,25350.5,25501.5,short
IS,2025-11-14T00:00:00,,win,0.9786,0.9786,0,0,24896.0,24626.0,long
IS,2025-11-17T00:00:00,,win,0.9799,0.9799,0,0,25242.25,24955.25,long
IS,2025-11-18T00:00:00,,win,0.9827,0.9827,0,0,24496.5,24832.0,short
IS,2025-11-19T00:00:00,,win,0.9639,0.9639,0,0,24731.75,24572.75,long
IS,2025-11-20T00:00:00,,loss,-1.0,-1.0,0,0,25333.5,25151.5,long
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,24036.0,24280.0,short
IS,2025-11-24T00:00:00,,win,0.9831,0.9831,0,0,24856.5,24513.5,long
IS,2025-11-25T00:00:00,,win,0.9559,0.9559,0,0,24752.5,24882.0,short
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25144.5,25271.0,short
IS,2025-11-27T00:00:00,,scratch,-0.0114,-0.0114,1,0,25284.0,25318.0,short
IS,2025-11-28T00:00:00,,loss,-1.0,-1.0,0,0,25442.0,25352.5,long
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25366.0,25234.0,long
IS,2025-12-02T00:00:00,,win,0.9492,0.9492,0,0,25583.25,25471.25,long
IS,2025-12-03T00:00:00,,loss,-1.0,-1.0,0,0,25376.5,25538.0,short
IS,2025-12-04T00:00:00,,scratch,-0.4773,-0.4773,1,0,25406.25,25713.25,short
IS,2025-12-05T00:00:00,,loss,-1.0,-1.0,0,0,25878.0,25676.5,long
IS,2025-12-08T00:00:00,,win,0.9653,0.9653,0,0,25695.25,25860.75,short
IS,2025-12-09T00:00:00,,win,0.9638,0.9638,0,0,25718.5,25560.0,long
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25553.75,25663.25,short
IS,2025-12-11T00:00:00,,win,0.9669,0.9669,0,0,25476.25,25649.75,short
IS,2025-12-12T00:00:00,,loss,-1.0,-1.0,0,0,25653.5,25522.0,long
IS,2025-12-15T00:00:00,,win,0.97,0.97,0,0,25218.5,25410.0,short
IS,2025-12-16T00:00:00,,loss,-1.0,-1.0,0,0,25429.75,25209.75,long
IS,2025-12-17T00:00:00,,win,0.9494,0.9494,0,0,25336.75,25449.25,short
IS,2025-12-18T00:00:00,,win,0.9609,0.9609,0,0,25183.0,25329.5,short
IS,2025-12-19T00:00:00,,win,0.9724,0.9724,0,0,25565.25,25356.25,long
IS,2025-12-22T00:00:00,,scratch,-0.0777,-0.0777,1,0,25593.0,25795.0,short
IS,2025-12-23T00:00:00,,loss,-1.0,-1.0,0,0,25837.5,25638.0,long
IS,2025-12-24T00:00:00,,win,0.9385,0.9385,0,0,25873.75,25781.75,long
IS,2025-12-26T00:00:00,,loss,-1.0,-1.0,0,0,25960.0,25864.5,long
IS,2025-12-29T00:00:00,,win,0.9545,0.9545,0,0,25789.75,25664.25,long
IS,2025-12-30T00:00:00,,loss,-1.0,-1.0,0,0,25645.0,25733.0,short
IS,2025-12-31T00:00:00,,win,0.932,0.932,0,0,25609.25,25692.25,short
IS,2021-06-11T00:00:00,,loss,-1.0,-1.0,0,0,13985.25,13932.75,long
IS,2021-06-14T00:00:00,,win,0.9441,0.9441,0,0,14058.5,13957.0,long
IS,2021-06-15T00:00:00,,loss,-1.0,-1.0,0,0,14164.25,14063.25,long
IS,2021-06-16T00:00:00,,loss,-1.0,-1.0,0,0,14096.5,14042.5,long
IS,2021-06-17T00:00:00,,win,0.9401,0.9401,0,0,14026.5,13932.0,long
IS,2021-06-18T00:00:00,,loss,-1.0,-1.0,0,0,14199.0,14044.5,long
IS,2021-06-21T00:00:00,,loss,-1.0,-1.0,0,0,13916.25,14072.25,short
IS,2021-06-22T00:00:00,,win,0.9368,0.9368,0,0,14196.75,14107.25,long
IS,2021-06-23T00:00:00,,loss,-1.0,-1.0,0,0,14338.75,14253.75,long
IS,2021-06-24T00:00:00,,win,0.8937,0.8937,0,0,14396.0,14344.0,long
IS,2021-06-25T00:00:00,,win,0.8896,0.8896,0,0,14340.75,14390.75,short
IS,2021-06-28T00:00:00,,win,0.9485,0.9485,0,0,14501.5,14391.0,long
IS,2021-06-29T00:00:00,,win,0.9308,0.9308,0,0,14551.5,14470.0,long
IS,2021-06-30T00:00:00,,loss,-1.0,-1.0,0,0,14496.75,14568.75,short
IS,2021-07-01T00:00:00,,loss,-1.0,-1.0,0,0,14605.5,14515.5,long
IS,2021-07-02T00:00:00,,win,0.8896,0.8896,0,0,14669.25,14619.25,long
IS,2021-07-05T00:00:00,,win,0.595,0.595,0,0,14692.75,14704.25,short
IS,2021-07-06T00:00:00,,loss,-1.0,-1.0,0,0,14809.25,14738.75,long
IS,2021-07-07T00:00:00,,win,0.9525,0.9525,0,0,14763.75,14883.75,short
IS,2021-07-08T00:00:00,,loss,-1.0,-1.0,0,0,14683.5,14568.0,long
IS,2021-07-09T00:00:00,,loss,-1.0,-1.0,0,0,14643.5,14722.5,short
IS,2021-07-12T00:00:00,,win,0.8965,0.8965,0,0,14835.25,14888.75,short
IS,2021-07-13T00:00:00,,win,0.9114,0.9114,0,0,14913.0,14850.0,long
IS,2021-07-14T00:00:00,,loss,-1.0,-1.0,0,0,14912.75,14991.25,short
IS,2021-07-15T00:00:00,,win,0.9584,0.9584,0,0,14764.5,14902.0,short
IS,2021-07-16T00:00:00,,win,0.9316,0.9316,0,0,14786.25,14868.75,short
IS,2021-07-19T00:00:00,,loss,-1.0,-1.0,0,0,14619.0,14489.5,long
IS,2021-07-20T00:00:00,,loss,-1.0,-1.0,0,0,14480.25,14601.25,short
IS,2021-07-21T00:00:00,,win,0.9146,0.9146,0,0,14757.5,14692.0,long
IS,2021-07-22T00:00:00,,win,0.9165,0.9165,0,0,14906.75,14839.75,long
IS,2021-07-23T00:00:00,,loss,-1.0,-1.0,0,0,14899.25,14994.25,short
IS,2021-07-26T00:00:00,,win,0.9283,0.9283,0,0,15118.75,15040.25,long
IS,2021-07-27T00:00:00,,win,0.9336,0.9336,0,0,15022.0,15107.0,short
IS,2021-07-28T00:00:00,,win,0.932,0.932,0,0,14939.5,15022.5,short
IS,2021-07-29T00:00:00,,win,0.9372,0.9372,0,0,15072.25,14982.25,long
IS,2021-07-30T00:00:00,,win,0.9456,0.9456,0,0,14970.5,14866.0,long
IS,2021-08-02T00:00:00,,win,0.9114,0.9114,0,0,14981.25,15044.25,short
IS,2021-08-03T00:00:00,,loss,-1.0,-1.0,0,0,14910.5,14998.5,short
IS,2021-08-04T00:00:00,,loss,-1.0,-1.0,0,0,15001.75,15066.75,short
IS,2021-08-05T00:00:00,,win,0.9171,0.9171,0,0,15140.25,15072.75,long
IS,2021-08-06T00:00:00,,loss,-1.0,-1.0,0,0,15182.0,15104.5,long
IS,2021-08-09T00:00:00,,win,0.8875,0.8875,0,0,15089.75,15138.75,short
IS,2021-08-10T00:00:00,,loss,-1.0,-1.0,0,0,15188.5,15119.5,long
IS,2021-08-11T00:00:00,,win,0.9265,0.9265,0,0,15042.5,15119.0,short
IS,2021-08-12T00:00:00,,win,0.9114,0.9114,0,0,14942.25,15005.25,short
IS,2021-08-13T00:00:00,,loss,-1.0,-1.0,0,0,15045.75,15095.25,short
IS,2021-08-16T00:00:00,,loss,-1.0,-1.0,0,0,15130.0,15076.5,long
IS,2021-08-17T00:00:00,,loss,-1.0,-1.0,0,0,15070.5,14971.5,long
IS,2021-08-18T00:00:00,,loss,-1.0,-1.0,0,0,15053.75,14964.25,long
IS,2021-08-19T00:00:00,,win,0.954,0.954,0,0,14887.5,14763.5,long
IS,2021-08-20T00:00:00,,win,0.9241,0.9241,0,0,15033.25,14959.25,long
IS,2021-08-23T00:00:00,,win,0.9241,0.9241,0,0,15198.75,15124.75,long
IS,2021-08-24T00:00:00,,loss,-1.0,-1.0,0,0,15287.0,15353.5,short
IS,2021-08-25T00:00:00,,loss,-1.0,-1.0,0,0,15411.25,15360.75,long
IS,2021-08-26T00:00:00,,loss,-1.0,-1.0,0,0,15310.0,15360.0,short
IS,2021-08-27T00:00:00,,loss,-1.0,-1.0,0,0,15259.25,15332.25,short
IS,2021-08-30T00:00:00,,win,0.9265,0.9265,0,0,15531.75,15455.25,long
IS,2021-08-31T00:00:00,,scratch,-0.7619,-0.7619,1,0,15477.5,15609.0,short
IS,2021-09-01T00:00:00,,loss,-1.0,-1.0,0,0,15712.0,15622.0,long
IS,2021-09-02T00:00:00,,loss,-1.0,-1.0,0,0,15637.5,15680.5,short
IS,2021-09-03T00:00:00,,win,0.9487,0.9487,0,0,15665.75,15554.75,long
IS,2021-09-07T00:00:00,,loss,-1.0,-1.0,0,0,15590.5,15669.0,short
IS,2021-09-08T00:00:00,,win,0.9291,0.9291,0,0,15587.5,15667.0,short
IS,2021-09-09T00:00:00,,loss,-1.0,-1.0,0,0,15676.75,15621.75,long
IS,2021-09-10T00:00:00,,win,0.9093,0.9093,0,0,15598.25,15659.75,short
IS,2021-09-13T00:00:00,,win,0.9246,0.9246,0,0,15483.0,15557.5,short
IS,2021-09-14T00:00:00,,win,0.9332,0.9332,0,0,15439.25,15523.75,short
IS,2021-09-15T00:00:00,,win,0.9492,0.9492,0,0,15321.25,15433.25,short
IS,2021-09-16T00:00:00,,win,0.9492,0.9492,0,0,15360.75,15472.75,short
IS,2021-09-17T00:00:00,,win,0.9416,0.9416,0,0,15387.75,15484.75,short
IS,2021-09-20T00:00:00,,loss,-1.0,-1.0,0,0,15250.25,15035.25,long
IS,2021-09-21T00:00:00,,loss,-1.0,-1.0,0,0,15168.5,15028.0,long
IS,2021-09-22T00:00:00,,loss,-1.0,-1.0,0,0,14976.0,15071.5,short
IS,2021-09-23T00:00:00,,win,0.9365,0.9365,0,0,15278.0,15189.0,long
