sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,loss,-0.75,-0.75,0,0,8778.25,8852.25,short
IS,2020-01-03T00:00:00,,scratch,-0.4476,-0.4476,1,0,8911.5,8770.5,long
IS,2020-01-06T00:00:00,,win,0.9401,0.9401,0,0,8823.0,8728.5,long
IS,2020-01-07T00:00:00,,loss,-0.75,-0.75,0,0,8920.0,8835.0,long
IS,2020-01-08T00:00:00,,loss,-0.75,-0.75,0,0,8925.0,8848.0,long
IS,2020-01-09T00:00:00,,loss,-0.75,-0.75,0,0,8974.25,9022.25,short
IS,2020-01-10T00:00:00,,win,0.9251,0.9251,0,0,8966.75,9041.75,short
IS,2020-01-13T00:00:00,,win,0.8965,0.8965,0,0,9057.25,9003.75,long
IS,2020-01-14T00:00:00,,loss,-0.75,-0.75,0,0,9017.25,9086.25,short
IS,2020-01-15T00:00:00,,loss,-0.75,-0.75,0,0,9108.0,9051.0,long
IS,2020-01-16T00:00:00,,loss,-0.75,-0.75,0,0,9143.5,9088.0,long
IS,2020-01-17T00:00:00,,loss,-0.75,-0.75,0,0,9100.25,9179.25,short
IS,2020-01-20T00:00:00,,loss,-0.75,-0.75,0,0,9154.5,9172.0,short
IS,2020-01-21T00:00:00,,win,0.8623,0.8623,0,0,9191.75,9152.25,long
IS,2020-01-22T00:00:00,,loss,-0.75,-0.75,0,0,9271.5,9212.0,long
IS,2020-01-23T00:00:00,,win,0.943,0.943,0,0,9251.25,9151.75,long
IS,2020-01-24T00:00:00,,win,0.8781,0.8781,0,0,9239.25,9284.25,short
IS,2020-01-27T00:00:00,,scratch,-0.4039,-0.4039,1,0,9038.0,8926.0,long
IS,2020-01-28T00:00:00,,win,0.9274,0.9274,0,0,9078.75,9001.25,long
IS,2020-01-29T00:00:00,,win,0.8781,0.8781,0,0,9113.75,9158.75,short
IS,2020-01-30T00:00:00,,loss,-0.75,-0.75,0,0,8973.5,9115.0,short
IS,2020-01-31T00:00:00,,win,0.9534,0.9534,0,0,9061.5,9184.0,short
IS,2020-02-03T00:00:00,,win,0.9517,0.9517,0,0,9153.75,9035.75,long
IS,2020-02-04T00:00:00,,win,0.934,0.934,0,0,9312.5,9227.0,long
IS,2020-02-05T00:00:00,,scratch,-0.2105,-0.2105,1,0,9285.25,9457.75,short
IS,2020-02-06T00:00:00,,win,0.9375,0.9375,0,0,9453.5,9363.0,long
IS,2020-02-07T00:00:00,,loss,-0.75,-0.75,0,0,9464.5,9385.0,long
IS,2020-02-10T00:00:00,,win,0.9521,0.9521,0,0,9496.75,9377.75,long
IS,2020-02-11T00:00:00,,loss,-0.75,-0.75,0,0,9625.25,9538.75,long
IS,2020-02-12T00:00:00,,loss,-0.75,-0.75,0,0,9553.75,9603.75,short
IS,2020-02-13T00:00:00,,win,0.9287,0.9287,0,0,9618.25,9539.25,long
IS,2020-02-14T00:00:00,,loss,-0.75,-0.75,0,0,9575.75,9640.25,short
IS,2020-02-17T00:00:00,,scratch,-0.0216,-0.0216,1,0,9673.0,9656.5,long
IS,2020-02-18T00:00:00,,loss,-0.75,-0.75,0,0,9658.0,9575.0,long
