sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25279.0,25217.0,long
IS,2025-10-08T00:00:00,,win,0.954,0.954,0,0,25197.25,25073.25,long
IS,2025-10-09T00:00:00,,win,0.9265,0.9265,0,0,25258.25,25334.75,short
IS,2025-10-10T00:00:00,,loss,-1.0,-1.0,0,0,25400.25,25293.75,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24673.25,24842.75,short
IS,2025-10-14T00:00:00,,win,0.9653,0.9653,0,0,24476.5,24642.0,short
IS,2025-10-15T00:00:00,,loss,-1.0,-1.0,0,0,24886.75,25004.25,short
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,24975.5,25106.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24886.75,24699.75,long
IS,2025-10-20T00:00:00,,win,0.967,0.967,0,0,25288.75,25114.75,long
IS,2025-10-21T00:00:00,,win,0.9418,0.9418,0,0,25207.0,25304.5,short
IS,2025-10-22T00:00:00,,loss,-1.0,-1.0,0,0,25364.0,25179.5,long
IS,2025-10-23T00:00:00,,win,0.9424,0.9424,0,0,25097.25,24998.75,long
IS,2025-10-24T00:00:00,,win,0.9557,0.9557,0,0,25559.0,25430.0,long
IS,2025-10-27T00:00:00,,loss,-1.0,-1.0,0,0,25766.75,25859.75,short
IS,2025-10-28T00:00:00,,loss,-1.0,-1.0,0,0,26003.0,26094.0,short
IS,2025-10-29T00:00:00,,loss,-1.0,-1.0,0,0,26236.0,26292.5,short
IS,2025-10-30T00:00:00,,win,0.9661,0.9661,0,0,25958.0,26127.5,short
IS,2025-10-31T00:00:00,,win,0.9483,0.9483,0,0,26089.5,26199.5,short
IS,2025-11-03T00:00:00,,win,0.93,0.93,0,0,26185.25,26265.75,short
IS,2025-11-04T00:00:00,,win,0.9695,0.9695,0,0,25851.5,25663.0,long
