sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,loss,-1.0,-1.0,0,0,8759.75,8852.25,short
IS,2020-01-03T00:00:00,,scratch,-0.4476,-0.4476,1,0,8946.75,8770.5,long
IS,2020-01-06T00:00:00,,win,1.4251,1.4251,0,0,8846.625,8728.5,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8941.25,8835.0,long
IS,2020-01-08T00:00:00,,win,1.4087,1.4087,0,0,8944.25,8848.0,long
IS,2020-01-09T00:00:00,,win,1.3566,1.3566,0,0,8962.25,9022.25,short
IS,2020-01-10T00:00:00,,scratch,0.6299,0.6299,1,0,8948.0,9041.75,short
IS,2020-01-13T00:00:00,,win,1.3706,1.3706,0,0,9070.625,9003.75,long
IS,2020-01-14T00:00:00,,loss,-1.0,-1.0,0,0,9000.0,9086.25,short
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9122.25,9051.0,long
IS,2020-01-16T00:00:00,,loss,-1.0,-1.0,0,0,9157.375,9088.0,long
IS,2020-01-17T00:00:00,,loss,-1.0,-1.0,0,0,9080.5,9179.25,short
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9201.625,9152.25,long
IS,2020-01-22T00:00:00,,loss,-1.0,-1.0,0,0,9286.375,9212.0,long
IS,2020-01-23T00:00:00,,scratch,0.943,0.943,1,0,9276.125,9151.75,long
IS,2020-01-24T00:00:00,,win,1.3477,1.3477,0,0,9228.0,9284.25,short
IS,2020-01-27T00:00:00,,scratch,-0.4039,-0.4039,1,0,9066.0,8926.0,long
IS,2020-01-28T00:00:00,,win,1.4092,1.4092,0,0,9098.125,9001.25,long
IS,2020-01-29T00:00:00,,win,1.3477,1.3477,0,0,9102.5,9158.75,short
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,8938.125,9115.0,short
IS,2020-01-31T00:00:00,,win,1.4418,1.4418,0,0,9030.875,9184.0,short
IS,2020-02-03T00:00:00,,scratch,0.1578,0.1578,1,0,9183.25,9035.75,long
IS,2020-02-04T00:00:00,,win,1.4174,1.4174,0,0,9333.875,9227.0,long
IS,2020-02-05T00:00:00,,scratch,-0.2105,-0.2105,1,0,9242.125,9457.75,short
IS,2020-02-06T00:00:00,,scratch,1.1462,1.1462,1,0,9476.125,9363.0,long
IS,2020-02-07T00:00:00,,scratch,-0.636,-0.636,1,0,9484.375,9385.0,long
IS,2020-02-10T00:00:00,,win,1.4401,1.4401,0,0,9526.5,9377.75,long
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9646.875,9538.75,long
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9541.25,9603.75,short
IS,2020-02-13T00:00:00,,win,1.4109,1.4109,0,0,9638.0,9539.25,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9559.625,9640.25,short
IS,2020-02-18T00:00:00,,scratch,0.5247,0.5247,1,0,9678.75,9575.0,long
IS,2020-02-19T00:00:00,,scratch,0.6477,0.6477,1,0,9757.125,9681.5,long
IS,2020-02-20T00:00:00,,loss,-1.0,-1.0,0,0,9768.75,9686.25,long
IS,2020-02-21T00:00:00,,scratch,0.8572,0.8572,1,0,9408.5,9604.75,short
IS,2020-02-24T00:00:00,,scratch,-0.6045,-0.6045,1,0,9389.75,9041.0,long
IS,2020-02-25T00:00:00,,win,1.4496,1.4496,0,0,9013.25,9190.75,short
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,9219.375,8880.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8493.75,8722.5,short
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8316.5,8596.5,short
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8645.125,8904.5,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8543.0,8783.0,short
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8903.625,8701.75,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8250.75,8462.0,short
IS,2020-03-09T00:00:00,,scratch,-0.0424,-0.0424,1,0,8354.75,7801.0,long
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8405.125,8138.25,long
IS,2020-03-11T00:00:00,,win,1.4603,1.4603,0,0,7991.0,8217.25,short
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7316.0,7524.75,short
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,7134.875,7721.75,short
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,6683.25,7235.75,short
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7543.375,6944.0,long
IS,2020-03-19T00:00:00,,win,1.4803,1.4803,0,0,7469.25,7010.5,long
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7070.0,7470.0,short
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,7274.875,6834.25,long
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7601.875,7327.5,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7213.125,7665.0,short
