sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2023-12-05T00:00:00,,win,1.4453,1.4453,0,0,15946.375,15783.25,long
IS,2023-12-06T00:00:00,,scratch,1.1591,1.1591,1,0,15782.125,16039.0,short
IS,2023-12-07T00:00:00,,loss,-1.0,-1.0,0,0,15793.875,15982.0,short
IS,2023-12-08T00:00:00,,scratch,0.8459,0.8459,1,0,16140.5,15946.75,long
IS,2023-12-11T00:00:00,,scratch,1.2074,1.2074,1,0,16264.75,16068.5,long
IS,2023-12-12T00:00:00,,win,1.4327,1.4327,0,0,16528.375,16396.5,long
IS,2023-12-13T00:00:00,,loss,-1.0,-1.0,0,0,16528.5,16657.25,short
IS,2023-12-14T00:00:00,,loss,-1.0,-1.0,0,0,16941.5,16811.5,long
IS,2023-12-15T00:00:00,,loss,-1.0,-1.0,0,0,16940.875,16780.25,long
IS,2023-12-18T00:00:00,,win,1.4239,1.4239,0,0,16948.25,16832.0,long
IS,2023-12-19T00:00:00,,scratch,0.5536,0.5536,1,0,17072.0,16944.5,long
IS,2023-12-20T00:00:00,,loss,-1.0,-1.0,0,0,17095.75,16970.75,long
IS,2023-12-21T00:00:00,,loss,-1.0,-1.0,0,0,16813.125,16958.75,short
IS,2023-12-22T00:00:00,,loss,-1.0,-1.0,0,0,17104.25,16989.25,long
IS,2023-12-26T00:00:00,,scratch,0.7489,0.7489,1,0,17122.75,17005.25,long
IS,2023-12-27T00:00:00,,loss,-1.0,-1.0,0,0,17167.375,17091.75,long
IS,2023-12-28T00:00:00,,scratch,0.581,0.581,1,0,17052.75,17159.0,short
IS,2023-12-29T00:00:00,,loss,-1.0,-1.0,0,0,17142.625,17072.0,long
IS,2024-01-02T00:00:00,,scratch,0.3245,0.3245,1,0,16609.125,16873.5,short
IS,2024-01-03T00:00:00,,scratch,0.6034,0.6034,1,0,16490.125,16642.0,short
IS,2024-01-04T00:00:00,,loss,-1.0,-1.0,0,0,16586.125,16443.0,long
IS,2024-01-08T00:00:00,,win,1.4511,1.4511,0,0,16688.375,16505.25,long
IS,2024-01-09T00:00:00,,win,1.4342,1.4342,0,0,16795.75,16660.75,long
IS,2024-02-02T00:00:00,,win,1.468,1.468,0,0,17747.625,17465.75,long
IS,2024-03-21T00:00:00,,win,1.4339,1.4339,0,0,18574.125,18708.5,short
IS,2024-03-22T00:00:00,,loss,-1.0,-1.0,0,0,18441.25,18547.5,short
IS,2024-03-25T00:00:00,,scratch,0.7408,0.7408,1,0,18579.375,18415.0,long
IS,2024-03-26T00:00:00,,loss,-1.0,-1.0,0,0,18662.5,18550.0,long
IS,2024-03-27T00:00:00,,scratch,0.0145,0.0145,1,0,18353.875,18572.0,short
IS,2024-03-28T00:00:00,,loss,-1.0,-1.0,0,0,18588.875,18457.0,long
IS,2024-04-01T00:00:00,,scratch,0.0243,0.0243,1,0,18296.75,18605.5,short
IS,2024-04-02T00:00:00,,loss,-1.0,-1.0,0,0,18119.75,18292.25,short
IS,2024-04-03T00:00:00,,win,1.421,1.421,0,0,18350.875,18239.0,long
IS,2024-04-04T00:00:00,,win,1.413,1.413,0,0,18467.0,18568.25,short
IS,2024-04-05T00:00:00,,win,1.4552,1.4552,0,0,18302.5,18102.5,long
IS,2024-04-08T00:00:00,,scratch,-0.2373,-0.2373,1,0,18486.5,18237.75,long
IS,2024-04-09T00:00:00,,win,1.4429,1.4429,0,0,18248.75,18405.0,short
IS,2024-04-10T00:00:00,,loss,-1.0,-1.0,0,0,18002.5,18196.25,short
IS,2024-04-11T00:00:00,,loss,-1.0,-1.0,0,0,18144.25,18274.25,short
IS,2024-04-12T00:00:00,,loss,-1.0,-1.0,0,0,18397.0,18280.75,long
IS,2024-04-15T00:00:00,,win,1.4542,1.4542,0,0,18143.375,18339.0,short
IS,2024-04-16T00:00:00,,loss,-1.0,-1.0,0,0,17754.875,17888.0,short
IS,2024-04-17T00:00:00,,win,1.4247,1.4247,0,0,17842.0,17959.5,short
IS,2024-04-18T00:00:00,,loss,-1.0,-1.0,0,0,17871.0,17551.0,long
IS,2024-04-19T00:00:00,,loss,-1.0,-1.0,0,0,17605.25,17432.75,long
IS,2024-04-22T00:00:00,,loss,-1.0,-1.0,0,0,17373.375,17264.0,long
IS,2024-04-23T00:00:00,,win,1.4449,1.4449,0,0,17575.375,17413.5,long
IS,2024-04-24T00:00:00,,loss,-1.0,-1.0,0,0,17898.625,17713.0,long
IS,2024-04-25T00:00:00,,win,1.4475,1.4475,0,0,17478.0,17308.0,long
IS,2024-04-26T00:00:00,,scratch,0.7226,0.7226,1,0,17909.5,17668.25,long
