sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,loss,-1.0,-1.0,0,0,8885.25,8815.5,long
IS,2020-01-03T00:00:00,,scratch,-0.2928,-0.2928,1,0,8934.75,8770.5,long
IS,2020-01-06T00:00:00,,win,1.8883,1.8883,0,0,8841.75,8728.5,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8910.75,8856.75,long
IS,2020-01-08T00:00:00,,win,1.872,1.872,0,0,8946.25,8848.0,long
IS,2020-01-09T00:00:00,,loss,-1.0,-1.0,0,0,9052.25,9001.25,long
IS,2020-01-10T00:00:00,,loss,-1.0,-1.0,0,0,8963.75,9041.75,short
IS,2020-01-13T00:00:00,,loss,-1.0,-1.0,0,0,8984.5,9030.25,short
IS,2020-01-14T00:00:00,,loss,-1.0,-1.0,0,0,9026.25,9086.25,short
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9129.0,9051.0,long
IS,2020-01-16T00:00:00,,loss,-1.0,-1.0,0,0,9151.75,9088.0,long
IS,2020-01-17T00:00:00,,loss,-1.0,-1.0,0,0,9105.75,9179.25,short
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9211.5,9152.25,long
IS,2020-01-22T00:00:00,,loss,-1.0,-1.0,0,0,9254.75,9212.0,long
IS,2020-01-23T00:00:00,,loss,-1.0,-1.0,0,0,9083.5,9201.25,short
IS,2020-01-24T00:00:00,,win,1.8172,1.8172,0,0,9216.75,9284.25,short
IS,2020-01-27T00:00:00,,scratch,-0.2027,-0.2027,1,0,9050.5,8926.0,long
IS,2020-01-28T00:00:00,,loss,-1.0,-1.0,0,0,8965.5,9039.75,short
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9181.75,9139.0,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,9185.5,9044.5,long
IS,2020-01-31T00:00:00,,win,1.898,1.898,0,0,9059.5,9184.0,short
IS,2020-02-03T00:00:00,,win,1.8765,1.8765,0,0,9137.75,9035.75,long
IS,2020-02-04T00:00:00,,loss,-1.0,-1.0,0,0,9162.25,9269.5,short
IS,2020-02-05T00:00:00,,win,1.8671,1.8671,0,0,9363.25,9457.75,short
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9308.25,9408.0,short
IS,2020-02-07T00:00:00,,scratch,-0.6438,-0.6438,1,0,9503.25,9385.5,long
IS,2020-02-10T00:00:00,,win,1.8911,1.8911,0,0,9494.0,9377.75,long
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9495.5,9581.75,short
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9645.75,9579.0,long
IS,2020-02-13T00:00:00,,scratch,1.1584,1.1584,1,0,9654.75,9539.25,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9561.5,9638.75,short
IS,2020-02-18T00:00:00,,scratch,0.7142,0.7142,1,0,9685.25,9575.0,long
IS,2020-02-19T00:00:00,,scratch,0.9935,0.9935,1,0,9755.75,9681.5,long
IS,2020-02-20T00:00:00,,loss,-1.0,-1.0,0,0,9659.0,9719.0,short
IS,2020-02-21T00:00:00,,win,1.8661,1.8661,0,0,9511.0,9604.75,short
IS,2020-02-24T00:00:00,,scratch,-0.4776,-0.4776,1,0,9356.75,9041.0,long
IS,2020-02-25T00:00:00,,win,1.9263,1.9263,0,0,9016.75,9190.75,short
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,9061.5,8880.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8792.25,8636.25,long
IS,2020-02-28T00:00:00,,scratch,-0.1189,-0.1189,1,0,8617.0,8124.25,long
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8382.0,8596.5,short
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8722.25,8904.5,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8644.25,8783.0,short
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8885.5,8701.75,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8217.5,8457.5,short
IS,2020-03-09T00:00:00,,scratch,-0.0424,-0.0424,1,0,8465.5,7801.0,long
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8061.0,8244.75,short
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,8002.0,8217.25,short
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7284.0,7524.75,short
