sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-27T00:00:00,,win,1.1883,1.1883,0,0,9021.125,9046.75,short
IS,2020-01-28T00:00:00,,win,1.3917,1.3917,0,0,9047.375,8966.75,long
IS,2020-01-29T00:00:00,,win,1.1948,1.1948,0,0,9121.25,9095.0,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,9137.625,9092.0,long
IS,2020-01-31T00:00:00,,win,1.3646,1.3646,0,0,9184.75,9248.5,short
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9103.875,9028.25,long
IS,2020-02-04T00:00:00,,win,1.3659,1.3659,0,0,9169.375,9105.0,long
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9302.25,9336.0,short
IS,2020-02-06T00:00:00,,win,1.2385,1.2385,0,0,9414.75,9383.5,long
IS,2020-02-07T00:00:00,,loss,-1.0,-1.0,0,0,9474.375,9423.75,long
IS,2020-02-10T00:00:00,,win,1.3194,1.3194,0,0,9410.875,9364.0,long
IS,2020-02-11T00:00:00,,win,1.1335,1.1335,0,0,9562.5,9541.25,long
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9517.0,9544.5,short
IS,2020-02-13T00:00:00,,loss,-1.0,-1.0,0,0,9615.5,9580.5,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9599.875,9625.5,short
IS,2020-02-17T00:00:00,,win,1.1037,1.1037,0,0,9672.125,9652.75,long
IS,2020-02-18T00:00:00,,win,1.2996,1.2996,0,0,9554.375,9596.25,short
IS,2020-02-19T00:00:00,,loss,-1.0,-1.0,0,0,9634.875,9663.0,short
IS,2020-02-20T00:00:00,,win,0.9756,0.9756,0,0,9746.75,9760.5,short
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9630.125,9587.0,long
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9333.75,9292.5,long
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,9243.375,9164.0,long
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,8960.375,8841.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8676.625,8826.0,short
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8336.375,8427.0,short
IS,2020-03-02T00:00:00,,win,1.4075,1.4075,0,0,8443.25,8348.25,long
IS,2020-03-03T00:00:00,,win,1.4109,1.4109,0,0,8790.0,8888.75,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8603.75,8672.5,short
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8797.25,8874.75,short
IS,2020-03-06T00:00:00,,win,1.4174,1.4174,0,0,8576.625,8683.5,short
IS,2020-03-09T00:00:00,,win,1.3884,1.3884,0,0,8073.875,8152.0,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8235.875,8149.0,long
IS,2020-03-11T00:00:00,,win,1.4193,1.4193,0,0,8116.125,8225.5,short
IS,2020-03-12T00:00:00,,win,1.475,1.475,0,0,7636.75,7998.0,short
IS,2020-03-13T00:00:00,,win,1.4476,1.4476,0,0,6968.125,7138.75,short
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,7188.5,7277.25,short
IS,2020-03-18T00:00:00,,win,1.4378,1.4378,0,0,7233.125,7090.0,long
IS,2020-03-19T00:00:00,,loss,-1.0,-1.0,0,0,7369.625,7207.75,long
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7465.0,7217.5,long
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,6710.0,6651.25,long
IS,2020-03-24T00:00:00,,win,1.4598,1.4598,0,0,7320.875,7097.75,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7577.0,7445.75,long
IS,2020-03-26T00:00:00,,loss,-1.0,-1.0,0,0,7280.75,7485.75,short
IS,2020-03-27T00:00:00,,loss,-1.0,-1.0,0,0,7670.25,7804.0,short
