sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,win,2.1848,2.1848,0,0,8824.125,8772.5,long
IS,2020-01-07T00:00:00,,win,1.6771,1.6771,0,0,8879.125,8862.5,long
IS,2020-01-08T00:00:00,,win,2.3538,2.3538,0,0,8817.25,8700.0,long
IS,2020-01-13T00:00:00,,win,2.2472,2.2472,0,0,9060.625,8995.0,long
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9085.125,9035.25,long
IS,2020-01-22T00:00:00,,loss,-1.0,-1.0,0,0,9218.0,9184.75,long
IS,2020-01-23T00:00:00,,loss,-1.0,-1.0,0,0,9242.375,9185.5,long
IS,2020-01-28T00:00:00,,win,2.3517,2.3517,0,0,9082.25,8966.75,long
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9212.25,9095.0,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,9155.875,9092.0,long
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9134.125,9028.25,long
IS,2020-02-04T00:00:00,,win,2.3817,2.3817,0,0,9251.125,9105.0,long
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9535.75,9383.5,long
IS,2020-02-07T00:00:00,,loss,-1.0,-1.0,0,0,9494.625,9423.75,long
IS,2020-02-10T00:00:00,,win,2.3105,2.3105,0,0,9453.25,9364.0,long
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9620.875,9541.25,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9664.5,9610.25,long
IS,2020-02-17T00:00:00,,scratch,-0.1143,-0.1143,1,0,9700.0,9652.75,long
IS,2020-02-19T00:00:00,,win,2.2031,2.2031,0,0,9702.625,9647.5,long
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9357.25,9292.5,long
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,9329.375,9164.0,long
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,9021.25,8841.0,long
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8583.5,8364.75,long
IS,2020-03-02T00:00:00,,win,2.4349,2.4349,0,0,8617.75,8348.25,long
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7292.125,7090.0,long
