sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-08T00:00:00,,win,2.3538,2.3538,0,0,8817.25,8700.0,long
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9044.875,9170.0,short
IS,2020-01-28T00:00:00,,win,2.3517,2.3517,0,0,9082.25,8966.75,long
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9212.25,9095.0,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,9155.875,9092.0,long
IS,2020-01-31T00:00:00,,win,2.3139,2.3139,0,0,9158.0,9249.0,short
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9134.125,9028.25,long
IS,2020-02-04T00:00:00,,win,2.3817,2.3817,0,0,9251.125,9105.0,long
IS,2020-02-06T00:00:00,,loss,-1.0,-1.0,0,0,9535.75,9383.5,long
IS,2020-02-07T00:00:00,,loss,-1.0,-1.0,0,0,9494.625,9423.75,long
IS,2020-02-10T00:00:00,,win,2.3105,2.3105,0,0,9453.25,9364.0,long
IS,2020-02-21T00:00:00,,win,2.2953,2.2953,0,0,9528.0,9610.25,short
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9357.25,9292.5,long
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,9329.375,9164.0,long
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,9021.25,8841.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8616.875,8826.0,short
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8583.5,8364.75,long
IS,2020-03-02T00:00:00,,win,2.4349,2.4349,0,0,8617.75,8348.25,long
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8684.0,8888.75,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8576.25,8672.5,short
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8740.875,8874.75,short
IS,2020-03-06T00:00:00,,win,2.3888,2.3888,0,0,8527.75,8683.5,short
IS,2020-03-09T00:00:00,,win,2.3608,2.3608,0,0,8028.625,8152.0,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8018.75,8200.75,short
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,7949.875,8225.5,short
IS,2020-03-12T00:00:00,,win,2.4781,2.4781,0,0,7186.875,7998.0,short
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,6647.0,7138.75,short
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7292.125,7090.0,long
IS,2020-03-19T00:00:00,,win,2.4592,2.4592,0,0,6898.125,7331.25,short
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,6898.5,7344.75,short
IS,2020-03-23T00:00:00,,win,2.3336,2.3336,0,0,6753.375,6651.0,long
IS,2020-03-24T00:00:00,,win,2.4504,2.4504,0,0,7453.0,7097.75,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7671.5,7445.75,long
IS,2020-03-26T00:00:00,,loss,-1.0,-1.0,0,0,7099.875,7485.75,short
IS,2020-03-27T00:00:00,,loss,-1.0,-1.0,0,0,7584.375,7804.0,short
IS,2020-03-30T00:00:00,,win,2.3817,2.3817,0,0,7602.375,7456.25,long
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7697.5,7937.25,short
IS,2020-04-01T00:00:00,,win,2.3775,2.3775,0,0,7599.375,7740.25,short
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7606.0,7459.0,long
IS,2020-04-03T00:00:00,,loss,-1.0,-1.0,0,0,7683.125,7558.0,long
IS,2020-04-06T00:00:00,,loss,-1.0,-1.0,0,0,7702.625,7805.0,short
IS,2020-04-07T00:00:00,,loss,-1.0,-1.0,0,0,7943.875,8053.25,short
IS,2020-04-08T00:00:00,,scratch,1.5142,1.5142,1,0,8259.625,7963.0,long
IS,2020-04-09T00:00:00,,loss,-1.0,-1.0,0,0,8122.5,8222.25,short
IS,2020-04-13T00:00:00,,win,2.3729,2.3729,0,0,8220.875,8085.25,long
IS,2020-04-14T00:00:00,,win,2.3569,2.3569,0,0,8459.375,8339.5,long
IS,2020-04-15T00:00:00,,loss,-1.0,-1.0,0,0,8587.625,8669.0,short
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8603.75,8525.0,long
IS,2020-04-17T00:00:00,,loss,-1.0,-1.0,0,0,9009.25,8904.25,long
IS,2020-04-20T00:00:00,,loss,-1.0,-1.0,0,0,8675.625,8823.5,short
IS,2020-04-21T00:00:00,,win,2.3336,2.3336,0,0,8660.625,8763.0,short
IS,2020-04-22T00:00:00,,loss,-1.0,-1.0,0,0,8585.875,8427.5,long
IS,2020-04-23T00:00:00,,loss,-1.0,-1.0,0,0,8510.75,8652.5,short
IS,2020-04-24T00:00:00,,loss,-1.0,-1.0,0,0,8406.0,8540.75,short
IS,2020-04-27T00:00:00,,win,2.2619,2.2619,0,0,8839.25,8769.25,long
IS,2020-04-28T00:00:00,,loss,-1.0,-1.0,0,0,8715.625,8839.0,short
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8961.125,8787.0,long
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,9124.75,9056.5,long
IS,2020-05-01T00:00:00,,win,2.305,2.305,0,0,8774.875,8861.5,short
IS,2020-05-04T00:00:00,,win,2.3997,2.3997,0,0,8746.25,8573.0,long
IS,2020-05-05T00:00:00,,loss,-1.0,-1.0,0,0,8904.5,8838.0,long
IS,2020-05-06T00:00:00,,win,2.2699,2.2699,0,0,8950.375,8877.75,long
IS,2020-05-07T00:00:00,,loss,-1.0,-1.0,0,0,8913.0,9004.0,short
IS,2020-05-08T00:00:00,,win,2.1747,2.1747,0,0,9225.125,9175.25,long
IS,2020-05-11T00:00:00,,loss,-1.0,-1.0,0,0,9318.0,9253.25,long
IS,2020-05-12T00:00:00,,loss,-1.0,-1.0,0,0,9339.0,9239.25,long
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,8970.125,9055.0,short
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,8926.625,9016.75,short
IS,2020-05-15T00:00:00,,loss,-1.0,-1.0,0,0,9000.75,9097.0,short
IS,2020-05-18T00:00:00,,win,2.3322,2.3322,0,0,9263.25,9161.75,long
IS,2020-05-19T00:00:00,,loss,-1.0,-1.0,0,0,9261.25,9338.25,short
IS,2020-05-20T00:00:00,,loss,-1.0,-1.0,0,0,9388.375,9322.75,long
IS,2020-05-21T00:00:00,,win,2.1848,2.1848,0,0,9425.625,9477.25,short
IS,2020-05-22T00:00:00,,win,2.368,2.368,0,0,9264.875,9395.25,short
IS,2020-05-25T00:00:00,,win,2.3363,2.3363,0,0,9521.625,9417.5,long
IS,2020-05-26T00:00:00,,loss,-1.0,-1.0,0,0,9623.75,9520.5,long
IS,2020-05-27T00:00:00,,loss,-1.0,-1.0,0,0,9568.75,9407.75,long
IS,2020-05-28T00:00:00,,loss,-1.0,-1.0,0,0,9524.25,9443.75,long
IS,2020-05-29T00:00:00,,loss,-1.0,-1.0,0,0,9502.0,9381.25,long
IS,2020-06-01T00:00:00,,loss,-1.0,-1.0,0,0,9641.0,9525.5,long
IS,2020-06-02T00:00:00,,loss,-1.0,-1.0,0,0,9544.75,9588.5,short
IS,2020-06-03T00:00:00,,loss,-1.0,-1.0,0,0,9635.125,9692.0,short
IS,2020-06-04T00:00:00,,loss,-1.0,-1.0,0,0,9644.625,9691.0,short
IS,2020-06-05T00:00:00,,win,2.2867,2.2867,0,0,9701.0,9622.25,long
IS,2020-06-08T00:00:00,,win,2.2911,2.2911,0,0,9776.25,9856.75,short
IS,2020-06-09T00:00:00,,loss,-1.0,-1.0,0,0,9924.625,9859.0,long
IS,2020-06-10T00:00:00,,loss,-1.0,-1.0,0,0,10048.25,9987.0,long
IS,2020-06-11T00:00:00,,win,2.305,2.305,0,0,10009.375,10096.0,short
IS,2020-06-12T00:00:00,,win,2.4231,2.4231,0,0,9831.0,9603.5,long
IS,2020-06-15T00:00:00,,loss,-1.0,-1.0,0,0,9643.75,9528.25,long
IS,2020-06-16T00:00:00,,loss,-1.0,-1.0,0,0,9951.625,9851.0,long
IS,2020-06-17T00:00:00,,loss,-1.0,-1.0,0,0,9822.875,9983.0,short
IS,2020-06-18T00:00:00,,loss,-1.0,-1.0,0,0,9782.25,9948.5,short
IS,2020-06-19T00:00:00,,win,2.2774,2.2774,0,0,10057.25,9982.0,long
IS,2020-06-22T00:00:00,,win,2.3923,2.3923,0,0,10078.0,9917.0,long
IS,2020-06-24T00:00:00,,loss,-1.0,-1.0,0,0,10270.875,10203.5,long
IS,2020-06-25T00:00:00,,loss,-1.0,-1.0,0,0,9861.375,10032.0,short
IS,2020-06-26T00:00:00,,loss,-1.0,-1.0,0,0,10057.25,10109.75,short
IS,2020-06-29T00:00:00,,loss,-1.0,-1.0,0,0,9961.125,9839.5,long
IS,2020-06-30T00:00:00,,loss,-1.0,-1.0,0,0,10091.5,9988.25,long
IS,2020-07-01T00:00:00,,loss,-1.0,-1.0,0,0,10193.25,10128.5,long
IS,2021-09-09T00:00:00,,loss,-1.0,-1.0,0,0,15639.5,15581.75,long
IS,2021-09-13T00:00:00,,loss,-1.0,-1.0,0,0,15373.25,15466.0,short
IS,2021-09-16T00:00:00,,win,2.2953,2.2953,0,0,15442.0,15524.25,short
IS,2021-09-20T00:00:00,,win,2.328,2.328,0,0,15221.625,15320.5,short
IS,2021-09-21T00:00:00,,loss,-1.0,-1.0,0,0,14971.0,15049.75,short
IS,2021-09-22T00:00:00,,scratch,0.9803,0.9803,1,0,15367.25,14942.0,long
IS,2021-09-23T00:00:00,,loss,-1.0,-1.0,0,0,15285.875,15187.0,long
IS,2021-09-27T00:00:00,,loss,-1.0,-1.0,0,0,15426.125,15364.0,long
IS,2021-09-29T00:00:00,,loss,-1.0,-1.0,0,0,14668.75,14836.75,short
IS,2021-09-30T00:00:00,,loss,-1.0,-1.0,0,0,14720.25,14820.0,short
IS,2021-10-01T00:00:00,,loss,-1.0,-1.0,0,0,14280.625,14691.0,short
IS,2021-10-04T00:00:00,,win,2.3811,2.3811,0,0,14634.75,14780.0,short
IS,2021-10-05T00:00:00,,win,2.3617,2.3617,0,0,14534.25,14410.0,long
IS,2021-10-06T00:00:00,,win,2.3992,2.3992,0,0,14486.875,14659.25,short
IS,2021-10-07T00:00:00,,win,2.2155,2.2155,0,0,14868.25,14810.5,long
IS,2021-10-08T00:00:00,,loss,-1.0,-1.0,0,0,14968.625,14906.5,long
IS,2021-10-11T00:00:00,,loss,-1.0,-1.0,0,0,14835.375,14741.75,long
IS,2021-10-12T00:00:00,,loss,-1.0,-1.0,0,0,14737.75,14596.0,long
IS,2021-10-13T00:00:00,,loss,-1.0,-1.0,0,0,14527.5,14639.5,short
IS,2021-10-14T00:00:00,,loss,-1.0,-1.0,0,0,14789.625,14829.0,short
IS,2021-10-15T00:00:00,,win,2.3336,2.3336,0,0,15123.125,15020.75,long
IS,2021-10-18T00:00:00,,win,2.2845,2.2845,0,0,15039.125,15117.0,short
IS,2021-10-19T00:00:00,,win,2.2725,2.2725,0,0,15348.75,15275.25,long
IS,2021-10-20T00:00:00,,loss,-1.0,-1.0,0,0,15421.25,15370.5,long
IS,2021-10-21T00:00:00,,loss,-1.0,-1.0,0,0,15377.0,15326.25,long
IS,2021-10-22T00:00:00,,loss,-1.0,-1.0,0,0,15452.5,15401.75,long
IS,2021-10-25T00:00:00,,loss,-1.0,-1.0,0,0,15287.5,15336.5,short
IS,2021-10-26T00:00:00,,loss,-1.0,-1.0,0,0,15519.75,15586.25,short
IS,2021-10-27T00:00:00,,loss,-1.0,-1.0,0,0,15477.75,15544.25,short
IS,2021-10-29T00:00:00,,loss,-1.0,-1.0,0,0,15717.5,15645.75,long
IS,2021-11-01T00:00:00,,loss,-1.0,-1.0,0,0,15829.625,15898.75,short
IS,2021-11-02T00:00:00,,loss,-1.0,-1.0,0,0,15835.5,15888.0,short
IS,2021-11-03T00:00:00,,loss,-1.0,-1.0,0,0,16003.125,15953.25,long
IS,2021-11-04T00:00:00,,loss,-1.0,-1.0,0,0,16119.375,16174.5,short
IS,2021-11-05T00:00:00,,loss,-1.0,-1.0,0,0,16374.0,16316.25,long
IS,2021-11-08T00:00:00,,loss,-1.0,-1.0,0,0,16348.375,16286.25,long
IS,2021-11-09T00:00:00,,win,2.1526,2.1526,0,0,16331.625,16285.25,long
IS,2021-11-10T00:00:00,,win,2.0815,2.0815,0,0,16148.875,16186.5,short
IS,2021-11-11T00:00:00,,loss,-1.0,-1.0,0,0,15940.125,16026.75,short
IS,2021-11-16T00:00:00,,loss,-1.0,-1.0,0,0,16288.375,16191.25,long
IS,2021-11-22T00:00:00,,loss,-1.0,-1.0,0,0,16561.25,16633.0,short
IS,2021-11-23T00:00:00,,win,2.3414,2.3414,0,0,16301.375,16409.0,short
IS,2021-11-24T00:00:00,,loss,-1.0,-1.0,0,0,16352.25,16294.5,long
IS,2021-11-26T00:00:00,,win,2.3654,2.3654,0,0,16211.5,16339.25,short
IS,2021-11-29T00:00:00,,loss,-1.0,-1.0,0,0,16295.75,16194.25,long
IS,2021-12-01T00:00:00,,win,2.4162,2.4162,0,0,16393.25,16185.0,long
IS,2021-12-02T00:00:00,,loss,-1.0,-1.0,0,0,16033.375,15911.75,long
IS,2021-12-03T00:00:00,,loss,-1.0,-1.0,0,0,15827.0,15965.25,short
IS,2021-12-06T00:00:00,,loss,-1.0,-1.0,0,0,15800.375,15705.0,long
IS,2021-12-07T00:00:00,,win,2.3697,2.3697,0,0,15974.625,15842.5,long
IS,2021-12-08T00:00:00,,loss,-1.0,-1.0,0,0,16273.375,16391.5,short
IS,2021-12-13T00:00:00,,loss,-1.0,-1.0,0,0,16444.0,16382.75,long
IS,2021-12-15T00:00:00,,loss,-1.0,-1.0,0,0,16034.75,15896.5,long
IS,2021-12-17T00:00:00,,win,2.3617,2.3617,0,0,15773.0,15897.25,short
IS,2021-12-20T00:00:00,,win,2.3811,2.3811,0,0,15587.25,15732.5,short
IS,2021-12-21T00:00:00,,win,2.3745,2.3745,0,0,15812.875,15675.5,long
IS,2021-12-22T00:00:00,,loss,-1.0,-1.0,0,0,16003.125,15941.0,long
IS,2021-12-27T00:00:00,,loss,-1.0,-1.0,0,0,16391.875,16322.75,long
IS,2022-01-03T00:00:00,,loss,-1.0,-1.0,0,0,16366.25,16427.5,short
IS,2022-01-05T00:00:00,,win,2.2953,2.2953,0,0,16172.25,16254.5,short
IS,2022-01-06T00:00:00,,loss,-1.0,-1.0,0,0,15901.375,15743.0,long
IS,2022-01-07T00:00:00,,win,2.2502,2.2502,0,0,15786.75,15853.25,short
IS,2022-01-10T00:00:00,,loss,-1.0,-1.0,0,0,15484.0,15587.25,short
IS,2022-01-11T00:00:00,,loss,-1.0,-1.0,0,0,15445.125,15635.0,short
IS,2022-01-12T00:00:00,,loss,-1.0,-1.0,0,0,15775.75,15833.5,short
IS,2022-01-13T00:00:00,,win,2.2646,2.2646,0,0,15825.125,15896.0,short
IS,2022-01-14T00:00:00,,loss,-1.0,-1.0,0,0,15388.625,15512.0,short
IS,2022-01-17T00:00:00,,loss,-1.0,-1.0,0,0,15463.25,15564.75,short
IS,2022-01-18T00:00:00,,win,2.3473,2.3473,0,0,15490.75,15602.75,short
IS,2022-01-19T00:00:00,,loss,-1.0,-1.0,0,0,15339.375,15168.75,long
IS,2022-01-20T00:00:00,,win,2.4195,2.4195,0,0,15228.25,15011.25,long
IS,2022-01-21T00:00:00,,loss,-1.0,-1.0,0,0,14976.375,14636.0,long
IS,2022-01-25T00:00:00,,loss,-1.0,-1.0,0,0,14108.875,14368.75,short
IS,2022-01-26T00:00:00,,win,2.4115,2.4115,0,0,14314.875,14118.0,long
IS,2022-01-27T00:00:00,,loss,-1.0,-1.0,0,0,13616.25,14167.5,short
IS,2022-01-28T00:00:00,,loss,-1.0,-1.0,0,0,14006.75,14157.25,short
IS,2022-01-31T00:00:00,,win,2.3838,2.3838,0,0,14525.0,14376.25,long
IS,2022-02-01T00:00:00,,loss,-1.0,-1.0,0,0,14787.125,14877.25,short
IS,2022-02-02T00:00:00,,win,2.2953,2.2953,0,0,15208.0,15125.75,long
IS,2022-02-03T00:00:00,,loss,-1.0,-1.0,0,0,14679.625,14789.0,short
IS,2022-02-04T00:00:00,,loss,-1.0,-1.0,0,0,14611.125,14773.0,short
IS,2022-02-07T00:00:00,,loss,-1.0,-1.0,0,0,14506.5,14671.0,short
IS,2022-02-08T00:00:00,,loss,-1.0,-1.0,0,0,14487.5,14604.75,short
IS,2022-02-09T00:00:00,,win,2.2889,2.2889,0,0,14825.375,14745.75,long
IS,2022-02-10T00:00:00,,win,2.098,2.098,0,0,14972.875,15012.25,short
IS,2022-02-11T00:00:00,,loss,-1.0,-1.0,0,0,14794.0,14624.25,long
IS,2022-02-14T00:00:00,,loss,-1.0,-1.0,0,0,14134.375,14271.75,short
IS,2022-02-15T00:00:00,,loss,-1.0,-1.0,0,0,14218.75,14294.0,short
IS,2022-02-16T00:00:00,,loss,-1.0,-1.0,0,0,14625.125,14549.0,long
IS,2022-02-17T00:00:00,,loss,-1.0,-1.0,0,0,14632.5,14566.0,long
IS,2022-02-18T00:00:00,,win,2.305,2.305,0,0,14234.875,14148.25,long
IS,2022-02-21T00:00:00,,loss,-1.0,-1.0,0,0,14355.375,13924.0,long
IS,2022-02-22T00:00:00,,loss,-1.0,-1.0,0,0,13848.75,13663.25,long
IS,2022-02-23T00:00:00,,win,2.2305,2.2305,0,0,13918.5,13979.75,short
IS,2022-02-24T00:00:00,,loss,-1.0,-1.0,0,0,13584.25,13358.5,long
IS,2022-02-25T00:00:00,,loss,-1.0,-1.0,0,0,13728.625,13908.0,short
IS,2022-02-28T00:00:00,,loss,-1.0,-1.0,0,0,13571.0,13954.25,short
IS,2022-03-01T00:00:00,,loss,-1.0,-1.0,0,0,14303.125,14195.5,long
IS,2022-03-02T00:00:00,,loss,-1.0,-1.0,0,0,13909.5,14061.75,short
IS,2022-03-03T00:00:00,,loss,-1.0,-1.0,0,0,14143.5,14224.0,short
IS,2022-03-04T00:00:00,,loss,-1.0,-1.0,0,0,14204.375,13746.75,long
IS,2022-03-07T00:00:00,,loss,-1.0,-1.0,0,0,13465.25,13593.0,short
IS,2022-03-08T00:00:00,,loss,-1.0,-1.0,0,0,13065.0,13380.0,short
IS,2022-03-09T00:00:00,,loss,-1.0,-1.0,0,0,13399.625,13265.75,long
IS,2022-03-10T00:00:00,,loss,-1.0,-1.0,0,0,13668.875,13755.5,short
IS,2022-03-11T00:00:00,,loss,-1.0,-1.0,0,0,13334.75,13565.75,short
IS,2022-03-14T00:00:00,,win,2.3172,2.3172,0,0,13303.75,13396.5,short
IS,2022-03-15T00:00:00,,loss,-1.0,-1.0,0,0,12996.75,13108.75,short
IS,2022-03-16T00:00:00,,win,2.2798,2.2798,0,0,13496.625,13420.5,long
IS,2022-03-17T00:00:00,,loss,-1.0,-1.0,0,0,13811.0,13993.0,short
IS,2022-03-18T00:00:00,,win,2.2993,2.2993,0,0,14051.25,13967.25,long
IS,2022-03-21T00:00:00,,loss,-1.0,-1.0,0,0,14301.375,14395.0,short
IS,2022-03-22T00:00:00,,win,2.3336,2.3336,0,0,14394.875,14292.5,long
IS,2022-03-23T00:00:00,,loss,-1.0,-1.0,0,0,14690.75,14631.25,long
IS,2022-03-24T00:00:00,,loss,-1.0,-1.0,0,0,14394.0,14471.0,short
IS,2022-03-25T00:00:00,,win,2.234,2.234,0,0,14784.125,14722.0,long
IS,2022-03-28T00:00:00,,loss,-1.0,-1.0,0,0,14632.625,14714.0,short
IS,2022-03-30T00:00:00,,loss,-1.0,-1.0,0,0,15338.625,15217.0,long
IS,2022-03-31T00:00:00,,loss,-1.0,-1.0,0,0,15103.75,15161.5,short
IS,2022-04-01T00:00:00,,loss,-1.0,-1.0,0,0,14968.0,14891.0,long
IS,2022-04-04T00:00:00,,win,2.2725,2.2725,0,0,14883.5,14810.0,long
IS,2022-04-06T00:00:00,,loss,-1.0,-1.0,0,0,14889.75,14774.25,long
IS,2022-04-07T00:00:00,,loss,-1.0,-1.0,0,0,14396.125,14481.0,short
IS,2022-04-08T00:00:00,,loss,-1.0,-1.0,0,0,14461.625,14544.75,short
IS,2022-04-11T00:00:00,,win,2.2619,2.2619,0,0,14240.25,14310.25,short
IS,2022-04-12T00:00:00,,loss,-1.0,-1.0,0,0,13853.25,13949.5,short
IS,2022-04-13T00:00:00,,win,2.2115,2.2115,0,0,14060.375,14003.5,long
IS,2022-04-14T00:00:00,,win,2.244,2.244,0,0,14281.75,14217.0,long
