sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-02-03T00:00:00,,loss,-0.75,-0.75,0,0,9149.25,9028.25,long
IS,2020-02-04T00:00:00,,win,2.8648,2.8648,0,0,9272.0,9105.0,long
IS,2020-02-05T00:00:00,,loss,-0.75,-0.75,0,0,9282.0,9336.0,short
IS,2020-02-06T00:00:00,,loss,-0.75,-0.75,0,0,9557.5,9383.5,long
IS,2020-02-07T00:00:00,,loss,-0.75,-0.75,0,0,9504.75,9423.75,long
IS,2020-02-10T00:00:00,,win,2.7834,2.7834,0,0,9466.0,9364.0,long
IS,2020-02-11T00:00:00,,loss,-0.75,-0.75,0,0,9632.25,9541.25,long
IS,2020-02-12T00:00:00,,loss,-0.75,-0.75,0,0,9498.5,9544.5,short
IS,2020-02-13T00:00:00,,win,2.711,2.711,0,0,9524.0,9599.0,short
IS,2020-02-14T00:00:00,,loss,-0.75,-0.75,0,0,9672.25,9610.25,long
IS,2020-02-17T00:00:00,,loss,-0.75,-0.75,0,0,9706.75,9652.75,long
IS,2020-02-18T00:00:00,,loss,-0.75,-0.75,0,0,9523.25,9596.25,short
IS,2020-02-19T00:00:00,,win,2.6607,2.6607,0,0,9710.5,9647.5,long
IS,2020-02-20T00:00:00,,win,2.2887,2.2887,0,0,9733.5,9760.5,short
IS,2020-02-21T00:00:00,,loss,-0.75,-0.75,0,0,9516.25,9610.25,short
IS,2020-02-24T00:00:00,,loss,-0.75,-0.75,0,0,9366.5,9292.5,long
IS,2020-02-25T00:00:00,,loss,-0.75,-0.75,0,0,9353.0,9164.0,long
IS,2020-02-26T00:00:00,,loss,-0.75,-0.75,0,0,9047.0,8841.0,long
IS,2020-02-27T00:00:00,,loss,-0.75,-0.75,0,0,8587.0,8826.0,short
IS,2020-02-28T00:00:00,,loss,-0.75,-0.75,0,0,8614.75,8364.75,long
IS,2020-03-02T00:00:00,,win,2.9256,2.9256,0,0,8656.25,8348.25,long
IS,2020-03-03T00:00:00,,loss,-0.75,-0.75,0,0,8654.75,8888.75,short
IS,2020-03-04T00:00:00,,loss,-0.75,-0.75,0,0,8562.5,8672.5,short
