sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-08T00:00:00,,win,2.833,2.833,0,0,8834.0,8700.0,long
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9110.0,9170.0,short
IS,2020-01-28T00:00:00,,win,2.8268,2.8268,0,0,9095.75,8966.75,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,9165.0,9092.0,long
IS,2020-01-31T00:00:00,,win,2.7834,2.7834,0,0,9146.5,9248.5,short
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9149.25,9028.25,long
IS,2020-02-04T00:00:00,,win,2.7854,2.7854,0,0,9208.0,9105.0,long
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9282.0,9336.0,short
IS,2020-02-07T00:00:00,,loss,-1.0,-1.0,0,0,9504.75,9423.75,long
IS,2020-02-10T00:00:00,,win,2.711,2.711,0,0,9439.0,9364.0,long
IS,2020-02-13T00:00:00,,loss,-1.0,-1.0,0,0,9636.5,9580.5,long
IS,2020-02-18T00:00:00,,loss,-1.0,-1.0,0,0,9529.25,9596.25,short
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9656.0,9587.0,long
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9358.5,9292.5,long
IS,2020-02-25T00:00:00,,loss,-1.0,-1.0,0,0,9291.0,9164.0,long
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,9032.0,8841.0,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8587.0,8826.0,short
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8282.0,8427.0,short
IS,2020-03-02T00:00:00,,win,2.852,2.852,0,0,8500.25,8348.25,long
IS,2020-03-03T00:00:00,,loss,-1.0,-1.0,0,0,8730.75,8888.75,short
IS,2020-03-04T00:00:00,,loss,-1.0,-1.0,0,0,8562.5,8672.5,short
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8750.75,8874.75,short
IS,2020-03-06T00:00:00,,win,2.8679,2.8679,0,0,8512.5,8683.5,short
IS,2020-03-09T00:00:00,,win,2.8215,2.8215,0,0,8027.0,8152.0,short
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8288.0,8149.0,long
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,8050.5,8225.5,short
IS,2020-03-12T00:00:00,,win,2.96,2.96,0,0,7420.0,7998.0,short
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,6865.75,7138.75,short
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,7135.25,7277.25,short
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7319.0,7090.0,long
IS,2020-03-19T00:00:00,,loss,-1.0,-1.0,0,0,7466.75,7207.75,long
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7613.5,7217.5,long
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,6745.25,6651.25,long
IS,2020-03-24T00:00:00,,win,2.9356,2.9356,0,0,7454.75,7097.75,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7655.75,7445.75,long
IS,2020-03-26T00:00:00,,loss,-1.0,-1.0,0,0,7157.75,7485.75,short
IS,2020-03-27T00:00:00,,loss,-1.0,-1.0,0,0,7590.0,7804.0,short
IS,2020-03-30T00:00:00,,win,2.8129,2.8129,0,0,7575.5,7456.5,long
IS,2020-03-31T00:00:00,,loss,-1.0,-1.0,0,0,7663.25,7937.25,short
IS,2020-04-01T00:00:00,,loss,-1.0,-1.0,0,0,7628.25,7740.25,short
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7627.0,7459.0,long
IS,2020-04-03T00:00:00,,loss,-1.0,-1.0,0,0,7661.0,7558.0,long
IS,2020-04-06T00:00:00,,loss,-1.0,-1.0,0,0,7885.0,7776.0,long
IS,2020-04-07T00:00:00,,loss,-1.0,-1.0,0,0,7944.25,8053.25,short
IS,2020-04-08T00:00:00,,win,2.8387,2.8387,0,0,8102.0,7963.0,long
IS,2020-04-09T00:00:00,,win,2.6879,2.6879,0,0,8153.25,8222.25,short
IS,2020-04-13T00:00:00,,win,2.8341,2.8341,0,0,8220.25,8085.25,long
IS,2020-04-14T00:00:00,,win,2.7537,2.7537,0,0,8428.5,8339.5,long
IS,2020-04-15T00:00:00,,loss,-1.0,-1.0,0,0,8585.0,8669.0,short
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8598.0,8525.0,long
IS,2020-04-17T00:00:00,,loss,-1.0,-1.0,0,0,9008.25,8904.25,long
IS,2020-04-20T00:00:00,,loss,-1.0,-1.0,0,0,8674.5,8823.5,short
IS,2020-04-21T00:00:00,,loss,-1.0,-1.0,0,0,8807.75,8734.75,long
IS,2020-04-22T00:00:00,,loss,-1.0,-1.0,0,0,8552.5,8427.5,long
IS,2020-04-23T00:00:00,,loss,-1.0,-1.0,0,0,8490.5,8652.5,short
IS,2020-04-24T00:00:00,,loss,-1.0,-1.0,0,0,8484.75,8540.75,short
IS,2020-04-27T00:00:00,,win,2.718,2.718,0,0,8847.0,8770.0,long
IS,2020-04-28T00:00:00,,loss,-1.0,-1.0,0,0,8728.0,8839.0,short
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8917.0,8787.0,long
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,9134.5,9056.5,long
IS,2020-05-01T00:00:00,,win,2.731,2.731,0,0,8780.5,8861.5,short
IS,2020-05-04T00:00:00,,win,2.7814,2.7814,0,0,8674.0,8573.0,long
IS,2020-05-05T00:00:00,,loss,-1.0,-1.0,0,0,8914.0,8838.0,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,8831.0,8898.0,short
IS,2020-05-07T00:00:00,,loss,-1.0,-1.0,0,0,9056.25,8978.25,long
IS,2020-05-08T00:00:00,,win,2.6283,2.6283,0,0,9232.25,9175.25,long
IS,2020-05-11T00:00:00,,loss,-1.0,-1.0,0,0,9314.25,9253.25,long
IS,2020-05-12T00:00:00,,loss,-1.0,-1.0,0,0,9301.25,9239.25,long
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,8971.0,9055.0,short
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,9064.25,8991.25,long
IS,2020-05-15T00:00:00,,loss,-1.0,-1.0,0,0,8987.0,9097.0,short
IS,2020-05-18T00:00:00,,win,2.6341,2.6341,0,0,9219.75,9161.75,long
IS,2020-05-19T00:00:00,,loss,-1.0,-1.0,0,0,9250.25,9338.25,short
IS,2020-05-20T00:00:00,,loss,-1.0,-1.0,0,0,9376.75,9322.75,long
IS,2020-05-21T00:00:00,,win,2.6397,2.6397,0,0,9418.25,9477.25,short
IS,2020-05-22T00:00:00,,win,2.8491,2.8491,0,0,9246.25,9395.25,short
IS,2020-05-25T00:00:00,,loss,-1.0,-1.0,0,0,9340.0,9447.0,short
IS,2020-05-26T00:00:00,,loss,-1.0,-1.0,0,0,9619.5,9520.5,long
IS,2020-05-27T00:00:00,,loss,-1.0,-1.0,0,0,9554.75,9407.75,long
IS,2020-05-28T00:00:00,,loss,-1.0,-1.0,0,0,9403.5,9466.5,short
IS,2020-05-29T00:00:00,,loss,-1.0,-1.0,0,0,9467.25,9385.25,long
IS,2020-06-01T00:00:00,,loss,-1.0,-1.0,0,0,9601.5,9525.5,long
