sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-03-28T00:00:00,,loss,-0.75,-0.75,0,0,19924.0,19992.0,short
IS,2025-03-31T00:00:00,,loss,-0.75,-0.75,0,0,19025.25,19272.25,short
IS,2025-04-01T00:00:00,,win,2.8966,2.8966,0,0,19503.75,19283.75,long
IS,2025-04-02T00:00:00,,loss,-0.75,-0.75,0,0,19674.0,19561.0,long
IS,2025-04-03T00:00:00,,loss,-0.75,-0.75,0,0,19343.5,18994.5,long
IS,2025-04-04T00:00:00,,win,2.8672,2.8672,0,0,18530.5,18700.5,short
IS,2025-04-07T00:00:00,,loss,-0.75,-0.75,0,0,17635.75,16729.75,long
IS,2025-04-08T00:00:00,,loss,-0.75,-0.75,0,0,18087.5,17662.5,long
IS,2025-04-09T00:00:00,,loss,-0.75,-0.75,0,0,17391.75,16848.75,long
IS,2025-04-10T00:00:00,,win,2.9634,2.9634,0,0,18646.75,19278.75,short
IS,2025-04-11T00:00:00,,win,2.9634,2.9634,0,0,18791.0,18159.0,long
IS,2025-04-14T00:00:00,,loss,-0.75,-0.75,0,0,18817.75,19027.75,short
IS,2025-04-15T00:00:00,,loss,-0.75,-0.75,0,0,18772.0,18950.0,short
IS,2025-04-16T00:00:00,,loss,-0.75,-0.75,0,0,18839.5,18670.5,long
IS,2025-04-17T00:00:00,,loss,-0.75,-0.75,0,0,18386.5,18489.5,short
IS,2025-04-21T00:00:00,,loss,-0.75,-0.75,0,0,18470.0,18257.0,long
IS,2025-04-22T00:00:00,,loss,-0.75,-0.75,0,0,18258.0,17988.0,long
IS,2025-04-23T00:00:00,,loss,-0.75,-0.75,0,0,18571.0,18725.0,short
IS,2025-04-24T00:00:00,,win,2.8975,2.8975,0,0,18628.0,18850.0,short
IS,2025-04-25T00:00:00,,loss,-0.75,-0.75,0,0,19220.0,19467.0,short
IS,2025-04-28T00:00:00,,loss,-0.75,-0.75,0,0,19323.0,19432.0,short
IS,2025-04-29T00:00:00,,loss,-0.75,-0.75,0,0,19636.0,19544.0,long
IS,2025-04-30T00:00:00,,loss,-0.75,-0.75,0,0,19468.5,19544.5,short
IS,2025-05-01T00:00:00,,loss,-0.75,-0.75,0,0,19785.75,19951.75,short
IS,2025-05-02T00:00:00,,loss,-0.75,-0.75,0,0,19710.0,19982.0,short
IS,2025-05-05T00:00:00,,loss,-0.75,-0.75,0,0,19936.5,20103.5,short
IS,2025-05-06T00:00:00,,win,2.7948,2.7948,0,0,19896.0,20004.0,short
IS,2025-05-07T00:00:00,,win,2.9014,2.9014,0,0,19876.0,20107.0,short
IS,2025-05-08T00:00:00,,loss,-0.75,-0.75,0,0,20456.75,20012.75,long
IS,2025-05-09T00:00:00,,win,2.8591,2.8591,0,0,20271.75,20111.75,long
IS,2025-05-12T00:00:00,,win,2.9042,2.9042,0,0,20726.75,20488.75,long
IS,2025-05-13T00:00:00,,loss,-0.75,-0.75,0,0,20766.25,20896.25,short
IS,2025-05-14T00:00:00,,win,2.7966,2.7966,0,0,21355.0,21246.0,long
IS,2025-05-15T00:00:00,,loss,-0.75,-0.75,0,0,21279.5,21397.5,short
IS,2025-05-16T00:00:00,,win,2.7456,2.7456,0,0,21434.75,21348.75,long
IS,2025-05-19T00:00:00,,loss,-0.75,-0.75,0,0,21179.5,21307.5,short
IS,2025-05-20T00:00:00,,scratch,0.9541,0.9541,1,0,21287.0,21514.0,short
IS,2025-05-21T00:00:00,,win,2.8608,2.8608,0,0,21273.25,21435.25,short
IS,2025-05-22T00:00:00,,loss,-0.75,-0.75,0,0,21081.5,21208.5,short
IS,2025-05-23T00:00:00,,loss,-0.75,-0.75,0,0,21029.25,21201.25,short
IS,2025-05-26T00:00:00,,scratch,0.5076,0.5076,1,0,21325.0,21167.0,long
IS,2025-05-27T00:00:00,,loss,-0.75,-0.75,0,0,21014.5,21240.5,short
IS,2025-05-28T00:00:00,,win,2.6793,2.6793,0,0,21417.0,21484.0,short
IS,2025-05-30T00:00:00,,loss,-0.75,-0.75,0,0,21590.25,21268.25,long
IS,2025-06-02T00:00:00,,win,2.7834,2.7834,0,0,21211.25,21313.25,short
IS,2025-06-03T00:00:00,,win,2.7772,2.7772,0,0,21402.25,21501.25,short
IS,2025-06-04T00:00:00,,loss,-0.75,-0.75,0,0,21654.75,21710.75,short
IS,2025-06-05T00:00:00,,loss,-0.75,-0.75,0,0,21813.75,21731.75,long
IS,2025-06-06T00:00:00,,win,2.7428,2.7428,0,0,21648.0,21563.0,long
IS,2025-06-09T00:00:00,,loss,-0.75,-0.75,0,0,21689.0,21752.0,short
IS,2025-06-10T00:00:00,,loss,-0.75,-0.75,0,0,22195.0,21863.0,long
IS,2025-06-11T00:00:00,,loss,-0.75,-0.75,0,0,21776.75,21924.75,short
IS,2025-06-12T00:00:00,,loss,-0.75,-0.75,0,0,21633.0,21814.0,short
IS,2025-06-13T00:00:00,,loss,-0.75,-0.75,0,0,21816.0,21489.0,long
IS,2025-06-16T00:00:00,,loss,-0.75,-0.75,0,0,22023.75,21882.75,long
IS,2025-06-17T00:00:00,,loss,-0.75,-0.75,0,0,21868.25,22102.25,short
IS,2025-06-18T00:00:00,,loss,-0.75,-0.75,0,0,21842.0,22011.0,short
IS,2025-06-19T00:00:00,,loss,-0.75,-0.75,0,0,22207.0,21790.0,long
IS,2025-06-20T00:00:00,,loss,-0.75,-0.75,0,0,22043.5,21846.5,long
IS,2025-06-23T00:00:00,,win,2.8511,2.8511,0,0,21865.5,21714.5,long
IS,2025-06-24T00:00:00,,loss,-0.75,-0.75,0,0,22370.0,22214.0,long
IS,2025-06-25T00:00:00,,loss,-0.75,-0.75,0,0,22305.75,22424.75,short
IS,2025-06-26T00:00:00,,loss,-0.75,-0.75,0,0,22416.5,22479.5,short
IS,2025-06-27T00:00:00,,win,2.616,2.616,0,0,22717.25,22662.25,long
IS,2025-06-30T00:00:00,,loss,-0.75,-0.75,0,0,22893.5,22815.5,long
IS,2025-07-01T00:00:00,,loss,-0.75,-0.75,0,0,22980.25,22885.25,long
IS,2025-07-02T00:00:00,,loss,-0.75,-0.75,0,0,22661.5,22718.5,short
IS,2025-07-03T00:00:00,,loss,-0.75,-0.75,0,0,22755.5,22871.5,short
IS,2025-07-04T00:00:00,,win,2.7834,2.7834,0,0,22947.75,23049.75,short
IS,2025-07-07T00:00:00,,loss,-0.75,-0.75,0,0,23140.5,22914.5,long
IS,2025-07-08T00:00:00,,loss,-0.75,-0.75,0,0,22826.0,22922.0,short
IS,2025-07-09T00:00:00,,loss,-0.75,-0.75,0,0,22814.0,22891.0,short
IS,2025-07-10T00:00:00,,loss,-0.75,-0.75,0,0,23055.25,22997.25,long
IS,2025-07-11T00:00:00,,loss,-0.75,-0.75,0,0,23145.0,22866.0,long
IS,2025-07-14T00:00:00,,loss,-0.75,-0.75,0,0,22920.25,22841.25,long
IS,2025-07-15T00:00:00,,win,2.5405,2.5405,0,0,23041.25,22996.25,long
IS,2025-07-16T00:00:00,,loss,-0.75,-0.75,0,0,23134.0,22997.0,long
IS,2025-07-18T00:00:00,,loss,-0.75,-0.75,0,0,23311.25,23259.25,long
IS,2025-07-21T00:00:00,,loss,-0.75,-0.75,0,0,23169.0,23278.0,short
IS,2025-07-22T00:00:00,,loss,-0.75,-0.75,0,0,23409.5,23334.5,long
IS,2025-07-23T00:00:00,,loss,-0.75,-0.75,0,0,23385.75,23195.75,long
IS,2025-07-24T00:00:00,,loss,-0.75,-0.75,0,0,23290.5,23422.5,short
IS,2025-07-25T00:00:00,,loss,-0.75,-0.75,0,0,23455.75,23409.75,long
IS,2025-07-28T00:00:00,,loss,-0.75,-0.75,0,0,23586.5,23530.5,long
IS,2025-07-29T00:00:00,,loss,-0.75,-0.75,0,0,23483.5,23545.5,short
IS,2025-07-30T00:00:00,,loss,-0.75,-0.75,0,0,23420.0,23490.0,short
IS,2025-07-31T00:00:00,,win,2.7484,2.7484,0,0,23833.0,23746.0,long
IS,2025-08-01T00:00:00,,loss,-0.75,-0.75,0,0,23464.25,23272.25,long
IS,2025-08-04T00:00:00,,win,2.8317,2.8317,0,0,23065.25,22932.25,long
IS,2025-08-05T00:00:00,,loss,-0.75,-0.75,0,0,23230.5,23372.5,short
IS,2025-08-06T00:00:00,,win,2.7247,2.7247,0,0,23143.5,23064.5,long
IS,2025-08-07T00:00:00,,loss,-0.75,-0.75,0,0,23550.25,23481.25,long
IS,2025-08-08T00:00:00,,loss,-0.75,-0.75,0,0,23651.5,23554.5,long
IS,2025-08-11T00:00:00,,loss,-0.75,-0.75,0,0,23793.75,23726.75,long
