sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-09T00:00:00,,win,0.8303,0.8303,0,0,8933.25,8964.75,short
IS,2020-01-10T00:00:00,,win,0.5298,0.5298,0,0,9025.25,9015.75,long
IS,2020-01-13T00:00:00,,win,0.683,0.683,0,0,9000.75,8985.25,long
IS,2020-01-14T00:00:00,,loss,-1.0,-1.0,0,0,9118.75,9103.25,long
IS,2020-01-15T00:00:00,,win,0.808,0.808,0,0,9053.25,9025.75,long
IS,2020-01-16T00:00:00,,loss,-1.0,-1.0,0,0,9083.0,9067.0,long
IS,2020-01-17T00:00:00,,loss,-1.0,-1.0,0,0,9151.75,9142.25,long
IS,2020-01-20T00:00:00,,loss,-1.0,-1.0,0,0,9190.5,9182.5,long
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9175.0,9167.5,long
IS,2020-01-22T00:00:00,,win,0.5298,0.5298,0,0,9187.25,9177.75,long
IS,2020-01-23T00:00:00,,loss,-1.0,-1.0,0,0,9211.5,9180.5,long
IS,2020-01-24T00:00:00,,win,0.6332,0.6332,0,0,9258.25,9271.25,short
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,9055.0,9012.0,long
IS,2020-01-28T00:00:00,,win,0.714,0.714,0,0,8968.25,8985.75,short
IS,2020-01-29T00:00:00,,win,0.714,0.714,0,0,9110.5,9093.0,long
IS,2020-01-30T00:00:00,,win,0.7747,0.7747,0,0,9104.25,9127.25,short
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,9194.5,9224.0,short
IS,2020-02-03T00:00:00,,win,0.8864,0.8864,0,0,9059.5,9011.0,long
IS,2020-02-04T00:00:00,,win,0.8842,0.8842,0,0,9135.0,9087.5,long
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9369.0,9331.5,long
IS,2020-02-06T00:00:00,,win,0.7981,0.7981,0,0,9401.0,9375.0,long
IS,2020-02-07T00:00:00,,win,0.683,0.683,0,0,9455.25,9470.75,short
IS,2020-02-10T00:00:00,,win,0.7981,0.7981,0,0,9382.25,9356.25,long
IS,2020-02-11T00:00:00,,win,0.6741,0.6741,0,0,9533.75,9518.75,long
IS,2020-02-12T00:00:00,,loss,-1.0,-1.0,0,0,9511.75,9547.75,short
IS,2020-02-13T00:00:00,,loss,-1.0,-1.0,0,0,9626.5,9568.0,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9597.5,9614.5,short
IS,2020-02-17T00:00:00,,loss,-1.0,-1.0,0,0,9674.75,9658.25,long
IS,2020-02-18T00:00:00,,win,0.683,0.683,0,0,9588.25,9603.75,short
IS,2020-02-19T00:00:00,,win,0.714,0.714,0,0,9651.75,9669.25,short
IS,2020-02-20T00:00:00,,win,0.8537,0.8537,0,0,9726.0,9763.0,short
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9620.5,9572.0,long
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9336.75,9293.75,long
IS,2020-02-25T00:00:00,,win,0.9165,0.9165,0,0,9197.5,9130.5,long
IS,2020-02-26T00:00:00,,win,0.9033,0.9033,0,0,8866.5,8924.0,short
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8926.0,8750.0,long
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8346.0,8431.0,short
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8289.25,8390.25,short
IS,2020-03-03T00:00:00,,win,0.9269,0.9269,0,0,8815.75,8892.75,short
IS,2020-03-04T00:00:00,,win,0.9612,0.9612,0,0,8705.25,8557.75,long
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8916.75,8852.75,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8737.0,8689.5,long
IS,2020-03-09T00:00:00,,loss,-1.0,-1.0,0,0,8184.5,8101.0,long
IS,2020-03-10T00:00:00,,win,0.9699,0.9699,0,0,8225.5,8034.5,long
IS,2020-03-11T00:00:00,,win,0.9525,0.9525,0,0,8130.0,8250.0,short
IS,2020-03-12T00:00:00,,win,0.9361,0.9361,0,0,7930.25,8018.75,short
IS,2020-03-13T00:00:00,,win,0.9578,0.9578,0,0,7031.5,7167.0,short
IS,2020-03-16T00:00:00,,loss,-1.0,-1.0,0,0,7541.5,7541.0,long
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,7282.0,7067.5,long
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7257.75,7154.25,long
IS,2020-03-19T00:00:00,,win,0.966,0.966,0,0,7232.75,7401.75,short
IS,2020-03-20T00:00:00,,win,0.9401,0.9401,0,0,7255.5,7161.0,long
