sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-21T00:00:00,,loss,-1.0,-1.0,0,0,23335.75,23303.25,long
IS,2025-08-22T00:00:00,,win,0.8418,0.8418,0,0,23216.5,23250.5,short
IS,2025-10-09T00:00:00,,win,0.7703,0.7703,0,0,25356.75,25379.25,short
IS,2025-10-13T00:00:00,,win,0.9251,0.9251,0,0,24832.75,24757.75,long
IS,2025-10-14T00:00:00,,win,0.8794,0.8794,0,0,24950.0,24904.5,long
IS,2025-10-15T00:00:00,,loss,-1.0,-1.0,0,0,24738.75,24782.75,short
IS,2025-10-16T00:00:00,,win,0.8875,0.8875,0,0,24907.5,24956.5,short
IS,2025-10-17T00:00:00,,win,0.9,0.9,0,0,24801.25,24745.75,long
IS,2025-10-20T00:00:00,,win,0.8374,0.8374,0,0,24984.5,25017.5,short
IS,2025-10-23T00:00:00,,win,0.9378,0.9378,0,0,25042.0,24951.0,long
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25283.5,25305.0,short
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,26120.25,26172.75,short
IS,2025-11-03T00:00:00,,win,0.7908,0.7908,0,0,26103.75,26078.75,long
IS,2025-11-17T00:00:00,,win,0.8418,0.8418,0,0,25151.5,25185.5,short
IS,2025-11-18T00:00:00,,win,0.8917,0.8917,0,0,24887.75,24938.75,short
IS,2025-11-19T00:00:00,,win,0.934,0.934,0,0,24515.5,24601.0,short
IS,2025-11-20T00:00:00,,loss,-1.0,-1.0,0,0,25070.75,25117.25,short
IS,2025-11-21T00:00:00,,win,0.934,0.934,0,0,24196.5,24111.0,long
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24391.25,24470.75,short
IS,2025-11-25T00:00:00,,loss,-1.0,-1.0,0,0,24904.75,24960.25,short
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25060.5,25092.0,short
IS,2025-11-27T00:00:00,,loss,-1.0,-1.0,0,0,25350.25,25316.75,long
IS,2020-01-07T00:00:00,,win,0.7274,0.7274,0,0,8866.0,8847.5,long
IS,2020-01-09T00:00:00,,win,0.683,0.683,0,0,8964.75,8949.25,long
IS,2020-01-10T00:00:00,,loss,-1.0,-1.0,0,0,9024.75,9015.75,long
IS,2020-01-13T00:00:00,,win,0.6443,0.6443,0,0,8998.75,8985.25,long
IS,2020-01-14T00:00:00,,win,0.548,0.548,0,0,9113.25,9103.25,long
IS,2020-01-24T00:00:00,,win,0.6332,0.6332,0,0,9258.25,9271.25,short
IS,2020-01-27T00:00:00,,win,0.7609,0.7609,0,0,9033.5,9012.0,long
IS,2020-01-28T00:00:00,,win,0.6913,0.6913,0,0,8969.0,8985.0,short
IS,2020-01-29T00:00:00,,loss,-1.0,-1.0,0,0,9091.0,9101.5,short
IS,2020-01-30T00:00:00,,win,0.6648,0.6648,0,0,9112.75,9127.25,short
IS,2020-01-31T00:00:00,,win,0.6443,0.6443,0,0,9210.5,9224.0,short
IS,2020-02-03T00:00:00,,win,0.8048,0.8048,0,0,9038.0,9011.0,long
IS,2020-02-04T00:00:00,,win,0.7908,0.7908,0,0,9112.5,9087.5,long
IS,2020-02-05T00:00:00,,win,0.6913,0.6913,0,0,9347.5,9331.5,long
IS,2020-02-21T00:00:00,,win,0.7945,0.7945,0,0,9597.5,9572.0,long
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9336.75,9293.75,long
IS,2020-02-25T00:00:00,,win,0.8755,0.8755,0,0,9174.5,9130.5,long
IS,2020-02-26T00:00:00,,win,0.7559,0.7559,0,0,8903.0,8924.0,short
IS,2020-02-27T00:00:00,,win,0.9283,0.9283,0,0,8759.25,8837.75,short
IS,2020-02-28T00:00:00,,win,0.883,0.883,0,0,8384.0,8431.0,short
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8293.75,8385.75,short
IS,2020-03-03T00:00:00,,win,0.9241,0.9241,0,0,8817.25,8891.25,short
IS,2020-03-04T00:00:00,,win,0.8607,0.8607,0,0,8596.75,8557.75,long
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8826.0,8884.5,short
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8683.5,8701.0,short
IS,2020-03-09T00:00:00,,win,0.87,0.87,0,0,8143.0,8101.0,long
IS,2020-03-10T00:00:00,,win,0.9205,0.9205,0,0,8059.25,8129.75,short
IS,2020-03-11T00:00:00,,win,0.9041,0.9041,0,0,8248.25,8190.25,long
IS,2020-03-12T00:00:00,,win,0.8974,0.8974,0,0,7964.75,8018.75,short
IS,2020-03-13T00:00:00,,win,0.9093,0.9093,0,0,7161.0,7099.5,long
IS,2020-03-16T00:00:00,,loss,-1.0,-1.0,0,0,7541.5,7541.0,long
IS,2020-03-17T00:00:00,,win,0.8499,0.8499,0,0,7117.0,7153.0,short
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7238.75,7156.75,long
IS,2020-03-19T00:00:00,,win,0.9304,0.9304,0,0,7320.75,7401.75,short
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7129.0,7208.0,short
IS,2020-03-23T00:00:00,,win,0.9385,0.9385,0,0,6639.0,6731.0,short
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7452.5,7501.0,short
IS,2021-06-18T00:00:00,,win,0.8141,0.8141,0,0,14191.5,14163.0,long
IS,2021-06-21T00:00:00,,loss,-1.0,-1.0,0,0,14054.5,14031.5,long
IS,2021-06-22T00:00:00,,win,0.6086,0.6086,0,0,14143.25,14131.25,long
IS,2021-06-23T00:00:00,,win,0.6443,0.6443,0,0,14281.25,14267.75,long
IS,2021-06-24T00:00:00,,win,0.5101,0.5101,0,0,14293.75,14284.75,long
IS,2021-07-09T00:00:00,,loss,-1.0,-1.0,0,0,14723.75,14689.75,long
IS,2021-07-21T00:00:00,,win,0.848,0.848,0,0,14709.25,14744.75,short
IS,2021-07-22T00:00:00,,loss,-1.0,-1.0,0,0,14827.25,14837.25,short
IS,2021-07-23T00:00:00,,win,0.7068,0.7068,0,0,14981.25,14964.25,long
IS,2021-07-28T00:00:00,,win,0.7559,0.7559,0,0,14937.5,14916.5,long
IS,2021-07-29T00:00:00,,loss,-1.0,-1.0,0,0,14968.25,14993.25,short
IS,2021-07-30T00:00:00,,loss,-1.0,-1.0,0,0,14891.75,14852.75,long
IS,2021-08-19T00:00:00,,win,0.7274,0.7274,0,0,14863.0,14844.5,long
IS,2021-08-20T00:00:00,,win,0.848,0.848,0,0,14951.5,14916.0,long
IS,2021-09-20T00:00:00,,win,0.6443,0.6443,0,0,15337.5,15324.0,long
IS,2021-09-21T00:00:00,,win,0.808,0.808,0,0,15045.0,15017.5,long
IS,2021-09-22T00:00:00,,win,0.87,0.87,0,0,14931.5,14973.5,short
IS,2021-09-23T00:00:00,,loss,-1.0,-1.0,0,0,15213.5,15191.0,long
IS,2021-09-24T00:00:00,,win,0.683,0.683,0,0,15318.0,15302.5,long
IS,2021-09-29T00:00:00,,win,0.8351,0.8351,0,0,14831.0,14798.5,long
IS,2021-09-30T00:00:00,,win,0.8141,0.8141,0,0,14812.0,14783.5,long
IS,2021-10-01T00:00:00,,loss,-1.0,-1.0,0,0,14738.75,14705.25,long
IS,2021-10-04T00:00:00,,loss,-1.0,-1.0,0,0,14826.0,14806.0,long
IS,2021-10-05T00:00:00,,win,0.8519,0.8519,0,0,14458.25,14494.75,short
IS,2021-10-06T00:00:00,,win,0.7208,0.7208,0,0,14652.75,14634.75,long
IS,2021-10-07T00:00:00,,loss,-1.0,-1.0,0,0,14784.5,14820.0,short
IS,2021-10-08T00:00:00,,win,0.7831,0.7831,0,0,14900.25,14924.25,short
IS,2021-11-11T00:00:00,,win,0.7747,0.7747,0,0,16011.25,15988.25,long
IS,2021-11-23T00:00:00,,loss,-1.0,-1.0,0,0,16414.0,16386.5,long
IS,2021-11-24T00:00:00,,loss,-1.0,-1.0,0,0,16322.25,16286.75,long
IS,2021-11-25T00:00:00,,win,0.7068,0.7068,0,0,16374.75,16357.75,long
IS,2021-11-29T00:00:00,,win,0.8907,0.8907,0,0,16218.0,16167.5,long
IS,2021-11-30T00:00:00,,win,0.6741,0.6741,0,0,16419.75,16434.75,short
IS,2021-12-01T00:00:00,,loss,-1.0,-1.0,0,0,16274.5,16221.5,long
IS,2021-12-02T00:00:00,,loss,-1.0,-1.0,0,0,15922.5,15957.0,short
IS,2021-12-03T00:00:00,,loss,-1.0,-1.0,0,0,15979.75,15908.75,long
IS,2021-12-06T00:00:00,,win,0.8573,0.8573,0,0,15709.25,15747.25,short
IS,2021-12-07T00:00:00,,loss,-1.0,-1.0,0,0,15817.5,15846.5,short
IS,2021-12-08T00:00:00,,win,0.7068,0.7068,0,0,16328.75,16345.75,short
IS,2021-12-09T00:00:00,,loss,-1.0,-1.0,0,0,16366.75,16382.75,short
IS,2021-12-10T00:00:00,,win,0.8253,0.8253,0,0,16152.5,16183.0,short
IS,2021-12-15T00:00:00,,win,0.8048,0.8048,0,0,15936.5,15909.5,long
IS,2021-12-16T00:00:00,,win,0.859,0.859,0,0,16284.75,16323.25,short
IS,2021-12-17T00:00:00,,win,0.8328,0.8328,0,0,15870.25,15838.25,long
IS,2021-12-20T00:00:00,,loss,-1.0,-1.0,0,0,15775.75,15665.75,long
IS,2021-12-21T00:00:00,,win,0.8374,0.8374,0,0,15690.0,15723.0,short
IS,2021-12-22T00:00:00,,win,0.8111,0.8111,0,0,15941.25,15969.25,short
IS,2022-01-11T00:00:00,,loss,-1.0,-1.0,0,0,15649.25,15626.25,long
IS,2022-01-12T00:00:00,,win,0.6648,0.6648,0,0,15833.25,15818.75,long
IS,2022-01-24T00:00:00,,loss,-1.0,-1.0,0,0,14492.25,14554.25,short
IS,2022-01-25T00:00:00,,win,0.9265,0.9265,0,0,14413.5,14490.0,short
IS,2022-01-26T00:00:00,,loss,-1.0,-1.0,0,0,14103.25,14198.25,short
IS,2022-01-27T00:00:00,,win,0.9009,0.9009,0,0,14218.0,14274.0,short
IS,2022-01-28T00:00:00,,loss,-1.0,-1.0,0,0,14140.0,14073.0,long
IS,2022-01-31T00:00:00,,loss,-1.0,-1.0,0,0,14344.5,14400.0,short
IS,2022-02-01T00:00:00,,loss,-1.0,-1.0,0,0,14852.0,14870.5,short
IS,2022-02-02T00:00:00,,win,0.808,0.808,0,0,15145.0,15117.5,long
IS,2022-03-10T00:00:00,,loss,-1.0,-1.0,0,0,13711.25,13756.25,short
IS,2022-04-21T00:00:00,,loss,-1.0,-1.0,0,0,14112.25,14082.75,long
IS,2022-04-22T00:00:00,,loss,-1.0,-1.0,0,0,13710.25,13675.25,long
IS,2022-04-27T00:00:00,,loss,-1.0,-1.0,0,0,12972.25,13008.75,short
IS,2022-04-28T00:00:00,,win,0.7609,0.7609,0,0,13152.75,13174.25,short
IS,2022-04-29T00:00:00,,win,0.6648,0.6648,0,0,13259.0,13244.5,long
IS,2022-05-05T00:00:00,,win,0.6741,0.6741,0,0,13502.75,13517.75,short
IS,2022-05-06T00:00:00,,win,0.8842,0.8842,0,0,12842.5,12890.0,short
IS,2022-05-12T00:00:00,,win,0.9283,0.9283,0,0,11930.25,12008.75,short
IS,2022-05-13T00:00:00,,win,0.9241,0.9241,0,0,12081.0,12007.0,long
IS,2022-06-17T00:00:00,,win,0.9177,0.9177,0,0,11229.5,11161.5,long
IS,2020-06-12T00:00:00,,win,0.8685,0.8685,0,0,9647.0,9688.5,short
IS,2020-06-15T00:00:00,,loss,-1.0,-1.0,0,0,9580.75,9533.25,long
IS,2020-06-16T00:00:00,,loss,-1.0,-1.0,0,0,9887.25,9858.25,long
IS,2020-06-17T00:00:00,,win,0.8655,0.8655,0,0,9945.5,9986.0,short
IS,2020-06-18T00:00:00,,win,0.9159,0.9159,0,0,9891.75,9958.25,short
IS,2020-06-25T00:00:00,,win,0.8927,0.8927,0,0,10015.75,9964.25,long
IS,2020-06-26T00:00:00,,win,0.8048,0.8048,0,0,10082.5,10109.5,short
IS,2020-07-14T00:00:00,,win,0.8685,0.8685,0,0,10612.5,10654.0,short
IS,2020-07-15T00:00:00,,loss,-1.0,-1.0,0,0,10745.75,10714.25,long
IS,2020-07-16T00:00:00,,win,0.9246,0.9246,0,0,10572.5,10647.0,short
IS,2020-07-24T00:00:00,,win,0.7395,0.7395,0,0,10594.5,10575.0,long
IS,2020-07-28T00:00:00,,win,0.8956,0.8956,0,0,10745.75,10692.75,long
IS,2020-07-29T00:00:00,,loss,-1.0,-1.0,0,0,10540.0,10568.0,short
IS,2020-07-31T00:00:00,,loss,-1.0,-1.0,0,0,10874.75,10916.75,short
IS,2020-08-12T00:00:00,,loss,-1.0,-1.0,0,0,10950.0,10919.5,long
IS,2020-09-04T00:00:00,,win,0.8937,0.8937,0,0,11653.25,11601.25,long
IS,2020-09-07T00:00:00,,win,0.8655,0.8655,0,0,11391.5,11432.0,short
IS,2020-09-08T00:00:00,,win,0.8623,0.8623,0,0,11537.75,11577.25,short
IS,2020-09-09T00:00:00,,win,0.8623,0.8623,0,0,11076.75,11037.25,long
IS,2020-09-10T00:00:00,,win,0.8965,0.8965,0,0,11390.75,11444.25,short
IS,2020-09-11T00:00:00,,win,0.9231,0.9231,0,0,11252.5,11179.5,long
IS,2020-09-14T00:00:00,,win,0.7703,0.7703,0,0,11153.0,11175.5,short
IS,2020-09-16T00:00:00,,win,0.7747,0.7747,0,0,11401.0,11424.0,short
