sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-07T00:00:00,,win,0.7703,0.7703,0,0,8870.0,8847.5,long
IS,2020-01-09T00:00:00,,win,0.8303,0.8303,0,0,8933.25,8964.75,short
IS,2020-01-10T00:00:00,,win,0.5298,0.5298,0,0,9025.25,9015.75,long
IS,2020-01-13T00:00:00,,win,0.683,0.683,0,0,9000.75,8985.25,long
IS,2020-01-14T00:00:00,,loss,-1.0,-1.0,0,0,9118.75,9103.25,long
IS,2020-01-24T00:00:00,,win,0.6332,0.6332,0,0,9258.25,9271.25,short
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,9055.0,9012.0,long
IS,2020-01-28T00:00:00,,win,0.714,0.714,0,0,8968.25,8985.75,short
IS,2020-01-29T00:00:00,,win,0.714,0.714,0,0,9110.5,9093.0,long
IS,2020-01-30T00:00:00,,win,0.7747,0.7747,0,0,9104.25,9127.25,short
IS,2020-01-31T00:00:00,,loss,-1.0,-1.0,0,0,9194.5,9224.0,short
IS,2020-02-03T00:00:00,,win,0.8864,0.8864,0,0,9059.5,9011.0,long
IS,2020-02-04T00:00:00,,win,0.8842,0.8842,0,0,9135.0,9087.5,long
IS,2020-02-05T00:00:00,,loss,-1.0,-1.0,0,0,9369.0,9331.5,long
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9620.5,9572.0,long
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9336.75,9293.75,long
IS,2020-02-25T00:00:00,,win,0.9165,0.9165,0,0,9197.5,9130.5,long
IS,2020-02-26T00:00:00,,win,0.9033,0.9033,0,0,8866.5,8924.0,short
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8926.0,8750.0,long
IS,2020-02-28T00:00:00,,loss,-1.0,-1.0,0,0,8346.0,8431.0,short
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8289.25,8390.25,short
IS,2020-03-03T00:00:00,,win,0.9269,0.9269,0,0,8815.75,8892.75,short
IS,2020-03-04T00:00:00,,win,0.9612,0.9612,0,0,8705.25,8557.75,long
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8916.75,8852.75,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8737.0,8689.5,long
IS,2020-03-09T00:00:00,,loss,-1.0,-1.0,0,0,8184.5,8101.0,long
IS,2020-03-10T00:00:00,,win,0.9699,0.9699,0,0,8225.5,8034.5,long
IS,2020-03-11T00:00:00,,win,0.9525,0.9525,0,0,8130.0,8250.0,short
IS,2020-03-12T00:00:00,,win,0.9361,0.9361,0,0,7930.25,8018.75,short
IS,2020-03-13T00:00:00,,win,0.9578,0.9578,0,0,7031.5,7167.0,short
IS,2020-03-16T00:00:00,,loss,-1.0,-1.0,0,0,7541.5,7541.0,long
IS,2020-03-17T00:00:00,,loss,-1.0,-1.0,0,0,7282.0,7067.5,long
IS,2020-03-18T00:00:00,,loss,-1.0,-1.0,0,0,7257.75,7154.25,long
IS,2020-03-19T00:00:00,,win,0.966,0.966,0,0,7232.75,7401.75,short
IS,2020-03-20T00:00:00,,win,0.9401,0.9401,0,0,7255.5,7161.0,long
IS,2020-03-23T00:00:00,,win,0.9404,0.9404,0,0,6637.5,6732.5,short
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7543.75,7458.75,long
IS,2024-12-19T00:00:00,,win,0.8992,0.8992,0,0,21523.75,21468.75,long
IS,2024-12-20T00:00:00,,win,0.9578,0.9578,0,0,21253.0,21388.5,short
IS,2024-12-23T00:00:00,,loss,-1.0,-1.0,0,0,21589.0,21666.5,short
IS,2024-12-24T00:00:00,,win,0.91,0.91,0,0,21770.5,21708.5,long
IS,2024-12-26T00:00:00,,loss,-1.0,-1.0,0,0,22029.0,22070.0,short
IS,2024-12-30T00:00:00,,loss,-1.0,-1.0,0,0,21740.75,21674.25,long
IS,2024-12-31T00:00:00,,win,0.7831,0.7831,0,0,21379.0,21403.0,short
IS,2025-01-02T00:00:00,,win,0.957,0.957,0,0,21135.25,21268.25,short
IS,2025-01-03T00:00:00,,win,0.9487,0.9487,0,0,21264.25,21153.25,long
IS,2025-01-06T00:00:00,,loss,-1.0,-1.0,0,0,21475.0,21536.0,short
IS,2025-01-07T00:00:00,,loss,-1.0,-1.0,0,0,21790.5,21760.0,long
IS,2025-01-08T00:00:00,,win,0.8537,0.8537,0,0,21425.25,21388.25,long
IS,2025-01-09T00:00:00,,loss,-1.0,-1.0,0,0,21246.5,21324.0,short
IS,2025-01-28T00:00:00,,win,0.926,0.926,0,0,21265.0,21341.0,short
IS,2025-01-29T00:00:00,,win,0.9221,0.9221,0,0,21608.25,21536.25,long
IS,2025-03-04T00:00:00,,loss,-1.0,-1.0,0,0,20573.75,20492.75,long
IS,2025-03-05T00:00:00,,win,0.9009,0.9009,0,0,20533.0,20589.0,short
IS,2025-03-06T00:00:00,,loss,-1.0,-1.0,0,0,20670.0,20594.0,long
IS,2025-03-07T00:00:00,,loss,-1.0,-1.0,0,0,20229.0,20165.5,long
IS,2025-03-11T00:00:00,,win,0.9443,0.9443,0,0,19227.0,19329.0,short
