sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-21T00:00:00,,loss,-0.75,-0.75,0,0,23335.75,23303.25,long
IS,2025-08-22T00:00:00,,win,0.8418,0.8418,0,0,23216.5,23250.5,short
IS,2025-08-25T00:00:00,,loss,-0.75,-0.75,0,0,23613.0,23571.5,long
IS,2025-08-26T00:00:00,,loss,-0.75,-0.75,0,0,23596.0,23410.0,long
IS,2025-08-27T00:00:00,,loss,-0.75,-0.75,0,0,23588.75,23616.75,short
IS,2025-08-28T00:00:00,,loss,-0.75,-0.75,0,0,23522.25,23495.25,long
IS,2025-08-29T00:00:00,,loss,-0.75,-0.75,0,0,23760.0,23738.0,long
IS,2025-09-01T00:00:00,,loss,-0.75,-0.75,0,0,23555.75,23529.75,long
IS,2025-09-02T00:00:00,,loss,-0.75,-0.75,0,0,23419.75,23452.25,short
IS,2025-09-03T00:00:00,,loss,-0.75,-0.75,0,0,23347.5,23324.5,long
IS,2025-09-04T00:00:00,,win,0.9269,0.9269,0,0,23507.5,23430.5,long
IS,2025-09-05T00:00:00,,win,0.8015,0.8015,0,0,23728.25,23701.75,long
IS,2025-09-08T00:00:00,,loss,-0.75,-0.75,0,0,23802.5,23765.5,long
IS,2025-09-09T00:00:00,,loss,-0.75,-0.75,0,0,23834.25,23802.25,long
IS,2025-09-11T00:00:00,,win,0.808,0.808,0,0,23878.25,23905.75,short
IS,2025-09-12T00:00:00,,loss,-0.75,-0.75,0,0,23995.5,24020.5,short
IS,2025-09-18T00:00:00,,loss,-0.75,-0.75,0,0,24550.75,24584.75,short
IS,2025-09-22T00:00:00,,loss,-0.75,-0.75,0,0,24879.75,24846.25,long
IS,2025-09-23T00:00:00,,loss,-0.75,-0.75,0,0,24980.0,25002.0,short
IS,2025-09-25T00:00:00,,win,0.8396,0.8396,0,0,24786.0,24752.5,long
IS,2025-09-26T00:00:00,,loss,-0.75,-0.75,0,0,24599.25,24621.75,short
IS,2025-09-29T00:00:00,,win,0.8742,0.8742,0,0,24808.0,24764.5,long
IS,2025-09-30T00:00:00,,loss,-0.75,-0.75,0,0,24852.0,24805.5,long
IS,2025-10-02T00:00:00,,win,0.808,0.808,0,0,25046.75,25019.25,long
IS,2025-10-07T00:00:00,,win,0.779,0.779,0,0,25124.75,25148.25,short
IS,2025-10-08T00:00:00,,win,0.8519,0.8519,0,0,25063.75,25027.25,long
IS,2025-10-09T00:00:00,,win,0.7703,0.7703,0,0,25356.75,25379.25,short
IS,2025-10-10T00:00:00,,loss,-0.75,-0.75,0,0,25315.5,25346.0,short
IS,2025-10-13T00:00:00,,win,0.9251,0.9251,0,0,24832.75,24757.75,long
IS,2025-10-14T00:00:00,,win,0.8794,0.8794,0,0,24950.0,24904.5,long
IS,2025-10-15T00:00:00,,loss,-0.75,-0.75,0,0,24738.75,24782.75,short
IS,2025-10-16T00:00:00,,win,0.8875,0.8875,0,0,24907.5,24956.5,short
IS,2025-10-17T00:00:00,,win,0.9,0.9,0,0,24801.25,24745.75,long
IS,2025-10-20T00:00:00,,win,0.8374,0.8374,0,0,24984.5,25017.5,short
IS,2025-10-21T00:00:00,,win,0.8714,0.8714,0,0,25353.75,25311.25,long
IS,2025-10-22T00:00:00,,loss,-0.75,-0.75,0,0,25217.75,25256.25,short
IS,2025-10-23T00:00:00,,win,0.9378,0.9378,0,0,25042.0,24951.0,long
IS,2025-10-27T00:00:00,,loss,-0.75,-0.75,0,0,25755.0,25707.5,long
IS,2025-10-28T00:00:00,,win,0.779,0.779,0,0,25972.5,25996.0,short
