sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-21T00:00:00,,loss,-0.75,-0.75,0,0,23343.875,23303.25,long
IS,2025-08-22T00:00:00,,win,1.3023,1.3023,0,0,23208.0,23250.5,short
IS,2025-10-09T00:00:00,,win,1.2128,1.2128,0,0,25351.125,25379.25,short
IS,2025-10-13T00:00:00,,win,1.4063,1.4063,0,0,24851.5,24757.75,long
IS,2025-10-14T00:00:00,,win,1.3492,1.3492,0,0,24961.375,24904.5,long
IS,2025-10-15T00:00:00,,loss,-0.75,-0.75,0,0,24727.75,24782.75,short
IS,2025-10-16T00:00:00,,win,1.3594,1.3594,0,0,24895.25,24956.5,short
IS,2025-10-17T00:00:00,,win,1.375,1.375,0,0,24815.125,24745.75,long
IS,2025-10-20T00:00:00,,win,1.2968,1.2968,0,0,24976.25,25017.5,short
IS,2025-10-23T00:00:00,,win,1.4223,1.4223,0,0,25064.75,24951.0,long
IS,2025-10-24T00:00:00,,loss,-0.75,-0.75,0,0,25278.125,25305.0,short
IS,2025-10-31T00:00:00,,loss,-0.75,-0.75,0,0,26107.125,26172.75,short
IS,2025-11-03T00:00:00,,win,1.2385,1.2385,0,0,26110.0,26078.75,long
IS,2025-11-17T00:00:00,,win,1.3023,1.3023,0,0,25143.0,25185.5,short
IS,2025-11-18T00:00:00,,win,1.3646,1.3646,0,0,24875.0,24938.75,short
IS,2025-11-19T00:00:00,,loss,-0.75,-0.75,0,0,24494.125,24601.0,short
IS,2025-11-20T00:00:00,,loss,-0.75,-0.75,0,0,25059.125,25117.25,short
IS,2025-11-21T00:00:00,,win,1.4174,1.4174,0,0,24217.875,24111.0,long
IS,2025-11-24T00:00:00,,loss,-0.75,-0.75,0,0,24371.375,24470.75,short
IS,2025-11-25T00:00:00,,loss,-0.75,-0.75,0,0,24890.875,24960.25,short
IS,2025-11-26T00:00:00,,loss,-0.75,-0.75,0,0,25052.625,25092.0,short
IS,2025-11-27T00:00:00,,loss,-0.75,-0.75,0,0,25358.625,25316.75,long
IS,2020-01-07T00:00:00,,win,1.1592,1.1592,0,0,8870.625,8847.5,long
IS,2020-01-09T00:00:00,,loss,-0.75,-0.75,0,0,8968.625,8949.25,long
IS,2020-01-10T00:00:00,,loss,-0.75,-0.75,0,0,9027.0,9015.75,long
IS,2020-01-13T00:00:00,,loss,-0.75,-0.75,0,0,9002.125,8985.25,long
IS,2020-01-14T00:00:00,,loss,-0.75,-0.75,0,0,9115.75,9103.25,long
IS,2020-01-24T00:00:00,,win,1.0415,1.0415,0,0,9255.0,9271.25,short
IS,2020-01-27T00:00:00,,win,1.2011,1.2011,0,0,9038.875,9012.0,long
IS,2020-01-28T00:00:00,,loss,-0.75,-0.75,0,0,8965.0,8985.0,short
IS,2020-01-29T00:00:00,,loss,-0.75,-0.75,0,0,9088.375,9101.5,short
IS,2020-01-30T00:00:00,,win,1.0809,1.0809,0,0,9109.125,9127.25,short
IS,2020-01-31T00:00:00,,win,1.0554,1.0554,0,0,9207.125,9224.0,short
IS,2020-02-03T00:00:00,,win,1.256,1.256,0,0,9044.75,9011.0,long
IS,2020-02-04T00:00:00,,win,1.2385,1.2385,0,0,9118.75,9087.5,long
IS,2020-02-05T00:00:00,,win,1.1142,1.1142,0,0,9351.5,9331.5,long
IS,2020-02-21T00:00:00,,win,1.2431,1.2431,0,0,9603.875,9572.0,long
IS,2020-02-24T00:00:00,,loss,-0.75,-0.75,0,0,9347.5,9293.75,long
IS,2020-02-25T00:00:00,,win,1.3444,1.3444,0,0,9185.5,9130.5,long
IS,2020-02-26T00:00:00,,win,1.1948,1.1948,0,0,8897.75,8924.0,short
IS,2020-02-27T00:00:00,,loss,-0.75,-0.75,0,0,8739.625,8837.75,short
IS,2020-02-28T00:00:00,,loss,-0.75,-0.75,0,0,8372.25,8431.0,short
IS,2020-03-02T00:00:00,,loss,-0.75,-0.75,0,0,8270.75,8385.75,short
IS,2020-03-03T00:00:00,,loss,-0.75,-0.75,0,0,8798.75,8891.25,short
IS,2020-03-04T00:00:00,,win,1.3259,1.3259,0,0,8606.5,8557.75,long
IS,2020-03-05T00:00:00,,loss,-0.75,-0.75,0,0,8811.375,8884.5,short
IS,2020-03-06T00:00:00,,loss,-0.75,-0.75,0,0,8679.125,8701.0,short
IS,2020-03-09T00:00:00,,win,1.3375,1.3375,0,0,8153.5,8101.0,long
IS,2020-03-10T00:00:00,,win,1.4006,1.4006,0,0,8041.625,8129.75,short
IS,2020-03-11T00:00:00,,loss,-0.75,-0.75,0,0,8262.75,8190.25,long
IS,2020-03-12T00:00:00,,win,1.3717,1.3717,0,0,7951.25,8018.75,short
IS,2020-03-13T00:00:00,,loss,-0.75,-0.75,0,0,7176.375,7099.5,long
IS,2020-03-16T00:00:00,,loss,-0.75,-0.75,0,0,7541.625,7541.0,long
IS,2020-03-17T00:00:00,,win,1.3124,1.3124,0,0,7108.0,7153.0,short
IS,2020-03-18T00:00:00,,loss,-0.75,-0.75,0,0,7259.25,7156.75,long
IS,2020-03-19T00:00:00,,win,1.413,1.413,0,0,7300.5,7401.75,short
IS,2020-03-20T00:00:00,,loss,-0.75,-0.75,0,0,7109.25,7208.0,short
IS,2020-03-23T00:00:00,,loss,-0.75,-0.75,0,0,6616.0,6731.0,short
IS,2020-03-25T00:00:00,,loss,-0.75,-0.75,0,0,7440.375,7501.0,short
IS,2021-06-18T00:00:00,,win,1.2677,1.2677,0,0,14198.625,14163.0,long
IS,2021-06-21T00:00:00,,loss,-0.75,-0.75,0,0,14060.25,14031.5,long
IS,2021-06-22T00:00:00,,win,1.0107,1.0107,0,0,14146.25,14131.25,long
IS,2021-06-23T00:00:00,,win,1.0554,1.0554,0,0,14284.625,14267.75,long
IS,2021-06-24T00:00:00,,win,0.8876,0.8876,0,0,14296.0,14284.75,long
IS,2021-07-09T00:00:00,,loss,-0.75,-0.75,0,0,14732.25,14689.75,long
IS,2021-07-21T00:00:00,,loss,-0.75,-0.75,0,0,14700.375,14744.75,short
IS,2021-07-22T00:00:00,,loss,-0.75,-0.75,0,0,14824.75,14837.25,short
IS,2021-07-23T00:00:00,,win,1.1335,1.1335,0,0,14985.5,14964.25,long
IS,2021-07-28T00:00:00,,win,1.1948,1.1948,0,0,14942.75,14916.5,long
IS,2021-07-29T00:00:00,,loss,-0.75,-0.75,0,0,14962.0,14993.25,short
IS,2021-07-30T00:00:00,,loss,-0.75,-0.75,0,0,14901.5,14852.75,long
IS,2021-08-19T00:00:00,,win,1.1592,1.1592,0,0,14867.625,14844.5,long
IS,2021-08-20T00:00:00,,loss,-0.75,-0.75,0,0,14960.375,14916.0,long
IS,2021-09-20T00:00:00,,loss,-0.75,-0.75,0,0,15340.875,15324.0,long
IS,2021-09-21T00:00:00,,win,1.26,1.26,0,0,15051.875,15017.5,long
IS,2021-09-22T00:00:00,,loss,-0.75,-0.75,0,0,14921.0,14973.5,short
IS,2021-09-23T00:00:00,,loss,-0.75,-0.75,0,0,15219.125,15191.0,long
IS,2021-09-24T00:00:00,,win,1.1037,1.1037,0,0,15321.875,15302.5,long
IS,2021-09-29T00:00:00,,win,1.2939,1.2939,0,0,14839.125,14798.5,long
IS,2021-09-30T00:00:00,,loss,-0.75,-0.75,0,0,14819.125,14783.5,long
IS,2021-10-01T00:00:00,,loss,-0.75,-0.75,0,0,14747.125,14705.25,long
