sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-08T00:00:00,,loss,-0.75,-0.75,0,0,8651.125,8756.75,short
IS,2020-01-09T00:00:00,,loss,-0.75,-0.75,0,0,8925.375,8964.75,short
IS,2020-01-15T00:00:00,,loss,-0.75,-0.75,0,0,9060.125,9025.75,long
IS,2020-01-23T00:00:00,,loss,-0.75,-0.75,0,0,9219.25,9180.5,long
IS,2020-01-27T00:00:00,,loss,-0.75,-0.75,0,0,9065.75,9012.0,long
IS,2020-01-31T00:00:00,,loss,-0.75,-0.75,0,0,9187.125,9224.0,short
IS,2020-02-03T00:00:00,,win,1.358,1.358,0,0,9071.625,9011.0,long
IS,2020-02-04T00:00:00,,win,1.3552,1.3552,0,0,9146.875,9087.5,long
IS,2020-02-05T00:00:00,,loss,-0.75,-0.75,0,0,9378.375,9331.5,long
IS,2020-02-12T00:00:00,,loss,-0.75,-0.75,0,0,9502.75,9547.75,short
IS,2020-02-13T00:00:00,,loss,-0.75,-0.75,0,0,9641.125,9568.0,long
IS,2020-02-20T00:00:00,,win,1.3171,1.3171,0,0,9716.75,9763.0,short
IS,2020-02-21T00:00:00,,loss,-0.75,-0.75,0,0,9632.625,9572.0,long
IS,2020-02-24T00:00:00,,loss,-0.75,-0.75,0,0,9347.5,9293.75,long
IS,2020-02-25T00:00:00,,win,1.3956,1.3956,0,0,9214.25,9130.5,long
IS,2020-02-26T00:00:00,,win,1.3792,1.3792,0,0,8852.125,8924.0,short
IS,2020-02-27T00:00:00,,loss,-0.75,-0.75,0,0,8970.0,8750.0,long
IS,2020-02-28T00:00:00,,loss,-0.75,-0.75,0,0,8324.75,8431.0,short
IS,2020-03-02T00:00:00,,loss,-0.75,-0.75,0,0,8264.0,8390.25,short
IS,2020-03-03T00:00:00,,loss,-0.75,-0.75,0,0,8796.5,8892.75,short
IS,2020-03-04T00:00:00,,win,1.4515,1.4515,0,0,8742.125,8557.75,long
IS,2020-03-05T00:00:00,,loss,-0.75,-0.75,0,0,8932.75,8852.75,long
IS,2020-03-06T00:00:00,,loss,-0.75,-0.75,0,0,8748.875,8689.5,long
IS,2020-03-09T00:00:00,,loss,-0.75,-0.75,0,0,8205.375,8101.0,long
IS,2020-03-10T00:00:00,,win,1.4624,1.4624,0,0,8273.25,8034.5,long
IS,2020-03-11T00:00:00,,win,1.4406,1.4406,0,0,8100.0,8250.0,short
IS,2020-03-12T00:00:00,,win,1.4201,1.4201,0,0,7908.125,8018.75,short
