sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-08T00:00:00,,loss,-0.75,-0.75,0,0,8587.75,8756.75,short
IS,2020-01-27T00:00:00,,loss,-0.75,-0.75,0,0,9098.0,9012.0,long
IS,2020-02-13T00:00:00,,loss,-0.75,-0.75,0,0,9685.0,9568.0,long
IS,2020-02-20T00:00:00,,win,2.7074,2.7074,0,0,9689.0,9763.0,short
IS,2020-02-24T00:00:00,,loss,-0.75,-0.75,0,0,9379.75,9293.75,long
IS,2020-02-25T00:00:00,,loss,-0.75,-0.75,0,0,9264.5,9130.5,long
IS,2020-02-26T00:00:00,,loss,-0.75,-0.75,0,0,8809.0,8924.0,short
IS,2020-02-27T00:00:00,,loss,-0.75,-0.75,0,0,9102.0,8750.0,long
IS,2020-02-28T00:00:00,,loss,-0.75,-0.75,0,0,8261.0,8431.0,short
IS,2020-03-02T00:00:00,,loss,-0.75,-0.75,0,0,8188.25,8390.25,short
IS,2020-03-03T00:00:00,,loss,-0.75,-0.75,0,0,8738.75,8892.75,short
IS,2020-03-04T00:00:00,,win,2.9224,2.9224,0,0,8852.75,8557.75,long
IS,2020-03-09T00:00:00,,loss,-0.75,-0.75,0,0,8268.0,8101.0,long
IS,2020-03-10T00:00:00,,loss,-0.75,-0.75,0,0,8416.5,8034.5,long
IS,2020-03-11T00:00:00,,loss,-0.75,-0.75,0,0,8010.0,8250.0,short
IS,2020-03-12T00:00:00,,win,2.8722,2.8722,0,0,7841.75,8018.75,short
IS,2020-03-17T00:00:00,,loss,-0.75,-0.75,0,0,7496.5,7067.5,long
IS,2020-03-18T00:00:00,,loss,-0.75,-0.75,0,0,7361.25,7154.25,long
IS,2020-03-19T00:00:00,,win,2.9321,2.9321,0,0,7063.75,7401.75,short
IS,2020-03-20T00:00:00,,win,2.8801,2.8801,0,0,7350.0,7161.0,long
IS,2020-03-23T00:00:00,,loss,-0.75,-0.75,0,0,6542.5,6732.5,short
IS,2020-03-25T00:00:00,,loss,-0.75,-0.75,0,0,7628.75,7458.75,long
IS,2020-03-26T00:00:00,,loss,-0.75,-0.75,0,0,7744.0,7451.0,long
IS,2020-03-27T00:00:00,,win,2.842,2.842,0,0,7751.5,7893.5,short
IS,2020-03-30T00:00:00,,loss,-0.75,-0.75,0,0,7361.25,7500.25,short
IS,2020-04-01T00:00:00,,loss,-0.75,-0.75,0,0,7821.75,7687.75,long
IS,2020-04-02T00:00:00,,loss,-0.75,-0.75,0,0,7427.0,7521.0,short
IS,2020-04-03T00:00:00,,loss,-0.75,-0.75,0,0,7500.25,7610.25,short
IS,2020-04-06T00:00:00,,win,2.8098,2.8098,0,0,7768.25,7651.25,long
IS,2020-04-07T00:00:00,,win,2.8001,2.8001,0,0,7985.25,8096.25,short
IS,2020-04-08T00:00:00,,loss,-0.75,-0.75,0,0,7837.5,8049.5,short
IS,2020-04-13T00:00:00,,loss,-0.75,-0.75,0,0,8053.25,8134.25,short
IS,2020-04-14T00:00:00,,loss,-0.75,-0.75,0,0,8218.25,8366.25,short
IS,2020-04-16T00:00:00,,loss,-0.75,-0.75,0,0,8409.0,8568.0,short
IS,2020-04-17T00:00:00,,loss,-0.75,-0.75,0,0,8849.75,8933.75,short
IS,2020-04-20T00:00:00,,win,2.6999,2.6999,0,0,8818.5,8746.5,long
IS,2020-04-22T00:00:00,,loss,-0.75,-0.75,0,0,8166.0,8490.0,short
IS,2020-04-24T00:00:00,,loss,-0.75,-0.75,0,0,8396.5,8566.5,short
IS,2020-04-27T00:00:00,,win,2.8034,2.8034,0,0,8849.0,8736.0,long
IS,2020-05-01T00:00:00,,loss,-0.75,-0.75,0,0,8930.25,8820.25,long
IS,2020-05-07T00:00:00,,win,2.7511,2.7511,0,0,9052.75,8964.75,long
IS,2020-05-08T00:00:00,,loss,-0.75,-0.75,0,0,9248.5,9141.5,long
IS,2020-05-11T00:00:00,,loss,-0.75,-0.75,0,0,9329.0,9247.0,long
IS,2020-05-12T00:00:00,,loss,-0.75,-0.75,0,0,9165.5,9286.5,short
IS,2020-05-13T00:00:00,,win,2.8215,2.8215,0,0,9123.0,8998.0,long
IS,2020-05-14T00:00:00,,loss,-0.75,-0.75,0,0,8898.25,9012.25,short
IS,2020-05-18T00:00:00,,win,2.6283,2.6283,0,0,9212.75,9155.75,long
IS,2020-05-19T00:00:00,,loss,-0.75,-0.75,0,0,9284.25,9354.25,short
IS,2020-05-21T00:00:00,,loss,-0.75,-0.75,0,0,9406.75,9485.75,short
IS,2020-05-27T00:00:00,,win,2.8268,2.8268,0,0,9504.5,9375.5,long
IS,2020-05-28T00:00:00,,loss,-0.75,-0.75,0,0,9558.75,9433.75,long
IS,2020-05-29T00:00:00,,loss,-0.75,-0.75,0,0,9334.75,9429.75,short
IS,2020-06-01T00:00:00,,win,2.6793,2.6793,0,0,9572.5,9505.5,long
IS,2020-06-02T00:00:00,,loss,-0.75,-0.75,0,0,9665.0,9560.0,long
IS,2020-06-08T00:00:00,,win,2.7834,2.7834,0,0,9769.75,9871.75,short
IS,2020-06-11T00:00:00,,loss,-0.75,-0.75,0,0,10122.5,10037.5,long
IS,2020-06-15T00:00:00,,loss,-0.75,-0.75,0,0,9637.25,9533.25,long
IS,2020-06-16T00:00:00,,loss,-0.75,-0.75,0,0,9774.0,9875.0,short
IS,2020-06-17T00:00:00,,loss,-0.75,-0.75,0,0,9872.0,9986.0,short
IS,2020-06-18T00:00:00,,loss,-0.75,-0.75,0,0,9804.25,9958.25,short
IS,2020-06-22T00:00:00,,win,2.718,2.718,0,0,9972.0,9895.0,long
IS,2020-06-25T00:00:00,,loss,-0.75,-0.75,0,0,10114.25,9964.25,long
IS,2020-06-26T00:00:00,,loss,-0.75,-0.75,0,0,9996.5,10109.5,short
IS,2020-06-29T00:00:00,,loss,-0.75,-0.75,0,0,9901.0,9814.0,long
IS,2020-07-09T00:00:00,,loss,-0.75,-0.75,0,0,10614.0,10695.0,short
IS,2020-07-13T00:00:00,,loss,-0.75,-0.75,0,0,10807.25,10882.25,short
IS,2020-07-14T00:00:00,,loss,-0.75,-0.75,0,0,10515.0,10654.0,short
IS,2020-07-16T00:00:00,,loss,-0.75,-0.75,0,0,10498.0,10647.0,short
IS,2020-07-21T00:00:00,,loss,-0.75,-0.75,0,0,11058.5,10942.5,long
