sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,scratch,0.919,0.919,1,0,8902.5,8802.5,long
IS,2020-01-09T00:00:00,,loss,-1.0,-1.0,0,0,9038.5,8992.0,long
IS,2020-01-22T00:00:00,,loss,-1.0,-1.0,0,0,9266.75,9224.25,long
IS,2020-02-04T00:00:00,,win,0.9194,0.9194,0,0,9321.75,9252.25,long
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9642.75,9557.75,long
IS,2020-02-19T00:00:00,,scratch,0.1534,0.1534,1,0,9751.75,9705.25,long
IS,2020-02-28T00:00:00,,scratch,0.0494,0.0494,1,0,8388.25,8136.75,long
IS,2020-03-02T00:00:00,,win,0.973,0.973,0,0,8656.75,8443.25,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8656.0,8393.5,long
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,8033.75,7453.25,long
IS,2020-03-16T00:00:00,,win,0.9843,0.9843,0,0,7522.25,7153.75,long
IS,2020-03-24T00:00:00,,loss,-1.0,-1.0,0,0,7626.25,7311.25,long
IS,2020-03-30T00:00:00,,win,0.9718,0.9718,0,0,7879.25,7674.75,long
IS,2020-04-06T00:00:00,,win,0.9394,0.9394,0,0,7924.25,7830.75,long
IS,2020-04-23T00:00:00,,loss,-1.0,-1.0,0,0,8822.75,8709.25,long
IS,2020-05-05T00:00:00,,win,0.9283,0.9283,0,0,9015.75,8937.25,long
IS,2020-05-18T00:00:00,,scratch,0.5131,0.5131,1,0,9372.75,9251.75,long
IS,2020-05-20T00:00:00,,loss,-1.0,-1.0,0,0,9504.0,9449.0,long
IS,2020-06-05T00:00:00,,win,0.9274,0.9274,0,0,9813.75,9736.25,long
IS,2020-06-11T00:00:00,,,,0.0,0,1,,,short
IS,2020-06-22T00:00:00,,win,0.9251,0.9251,0,0,10093.25,10018.25,long
IS,2020-06-23T00:00:00,,win,0.9542,0.9542,0,0,10288.25,10163.75,long
IS,2020-07-01T00:00:00,,win,0.9608,0.9608,0,0,10287.25,10141.25,long
IS,2025-03-31T00:00:00,,win,0.9789,0.9789,0,0,19329.25,19055.75,long
IS,2025-04-23T00:00:00,,,,0.0,0,1,,,short
IS,2025-05-13T00:00:00,,scratch,0.1102,0.1102,1,0,21375.5,21114.5,long
IS,2025-05-23T00:00:00,,scratch,-0.4576,-0.4576,1,0,21144.5,20881.0,long
IS,2025-06-03T00:00:00,,win,0.9666,0.9666,0,0,21729.5,21557.5,long
IS,2025-06-13T00:00:00,,loss,-1.0,-1.0,0,0,21959.0,21617.5,long
IS,2025-06-16T00:00:00,,loss,-1.0,-1.0,0,0,22263.0,22143.5,long
IS,2025-06-19T00:00:00,,win,0.955,0.955,0,0,21798.25,21671.25,long
IS,2025-06-24T00:00:00,,win,0.9604,0.9604,0,0,22410.25,22265.75,long
IS,2025-07-03T00:00:00,,scratch,-0.3455,-0.3455,1,0,23152.5,22995.0,long
IS,2025-07-17T00:00:00,,win,0.9603,0.9603,0,0,23258.5,23114.5,long
IS,2025-07-22T00:00:00,,scratch,-0.305,-0.305,1,0,23321.5,23105.0,long
IS,2025-08-01T00:00:00,,loss,-1.0,-1.0,0,0,23198.25,22799.25,long
IS,2025-08-22T00:00:00,,scratch,-0.1712,-0.1712,1,0,24022.5,23269.5,long
IS,2025-09-15T00:00:00,,win,0.9251,0.9251,0,0,24304.0,24229.0,long
IS,2025-09-18T00:00:00,,loss,-1.0,-1.0,0,0,24901.0,24694.0,long
IS,2025-09-25T00:00:00,,scratch,-0.0666,-0.0666,1,0,24853.5,24444.5,long
IS,2025-10-14T00:00:00,,win,0.9833,0.9833,0,0,24902.0,24554.5,long
IS,2025-10-20T00:00:00,,scratch,0.2715,0.2715,1,0,25380.75,25210.25,long
IS,2025-11-14T00:00:00,,win,0.9864,0.9864,0,0,25288.5,24862.5,long
IS,2025-11-20T00:00:00,,,,0.0,0,1,,,short
IS,2025-11-24T00:00:00,,win,0.9763,0.9763,0,0,24907.0,24664.0,long
IS,2025-12-29T00:00:00,,loss,-1.0,-1.0,0,0,25853.0,25661.5,long
IS,2020-07-06T00:00:00,,win,0.9278,0.9278,0,0,10589.0,10511.0,long
IS,2020-07-14T00:00:00,,win,0.9814,0.9814,0,0,10669.25,10358.75,long
IS,2020-07-16T00:00:00,,win,0.9542,0.9542,0,0,10630.25,10505.75,long
IS,2020-07-24T00:00:00,,scratch,-0.1771,-0.1771,1,0,10587.75,10373.75,long
IS,2020-08-13T00:00:00,,loss,-1.0,-1.0,0,0,11292.75,11177.25,long
IS,2020-08-17T00:00:00,,scratch,0.2425,0.2425,1,0,11321.5,11237.5,long
IS,2020-08-26T00:00:00,,win,0.9328,0.9328,0,0,11855.25,11771.25,long
IS,2020-09-01T00:00:00,,scratch,0.5338,0.5338,1,0,12368.25,12190.25,long
IS,2020-09-17T00:00:00,,loss,-1.0,-1.0,0,0,11235.5,11006.0,long
IS,2020-10-12T00:00:00,,win,0.9557,0.9557,0,0,11997.0,11868.0,long
IS,2020-11-03T00:00:00,,scratch,-0.6493,-0.6493,1,0,11482.25,11195.75,long
IS,2020-11-04T00:00:00,,scratch,0.0758,0.0758,1,0,11967.25,11632.75,long
IS,2021-01-07T00:00:00,,scratch,0.3084,0.3084,1,0,12971.75,12831.75,long
IS,2021-01-08T00:00:00,,loss,-1.0,-1.0,0,0,13170.5,12953.5,long
IS,2021-01-20T00:00:00,,win,0.9624,0.9624,0,0,13316.25,13163.75,long
