sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,loss,-1.0,-1.0,0,0,8867.5,8805.0,long
IS,2020-01-06T00:00:00,,win,0.914,0.914,0,0,8857.25,8792.25,long
IS,2020-01-07T00:00:00,,loss,-1.0,-1.0,0,0,8833.0,8875.0,short
IS,2020-01-09T00:00:00,,loss,-1.0,-1.0,0,0,9037.5,8992.0,long
IS,2020-01-10T00:00:00,,,,0.0,0,1,,,short
IS,2020-01-13T00:00:00,,win,0.8519,0.8519,0,0,9058.5,9022.0,long
IS,2020-01-14T00:00:00,,loss,-1.0,-1.0,0,0,9114.75,9035.25,long
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9112.0,9072.0,long
IS,2020-01-16T00:00:00,,loss,-1.0,-1.0,0,0,9063.5,9119.5,short
IS,2020-01-17T00:00:00,,loss,-1.0,-1.0,0,0,9104.25,9164.25,short
IS,2020-01-21T00:00:00,,loss,-1.0,-1.0,0,0,9213.75,9161.25,long
IS,2020-01-22T00:00:00,,loss,-1.0,-1.0,0,0,9272.25,9224.25,long
IS,2020-01-23T00:00:00,,loss,-1.0,-1.0,0,0,9238.75,9183.25,long
IS,2020-01-24T00:00:00,,win,0.9407,0.9407,0,0,9174.0,9269.5,short
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,8917.75,8994.25,short
IS,2020-01-28T00:00:00,,win,0.9336,0.9336,0,0,9101.0,9016.0,long
IS,2020-01-29T00:00:00,,win,0.926,0.926,0,0,9148.25,9072.25,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,9020.75,9109.25,short
IS,2020-01-31T00:00:00,,win,0.9542,0.9542,0,0,9004.25,9128.75,short
IS,2020-02-03T00:00:00,,scratch,0.149,0.149,1,0,9072.75,9154.25,short
IS,2020-02-04T00:00:00,,win,0.921,0.921,0,0,9323.25,9252.25,long
IS,2020-02-05T00:00:00,,scratch,-0.7563,-0.7563,1,0,9254.5,9407.5,short
IS,2020-02-06T00:00:00,,win,0.9159,0.9159,0,0,9456.75,9390.25,long
IS,2020-02-12T00:00:00,,win,0.9165,0.9165,0,0,9626.0,9559.0,long
IS,2020-02-13T00:00:00,,win,0.9358,0.9358,0,0,9642.0,9554.0,long
IS,2020-02-18T00:00:00,,loss,-1.0,-1.0,0,0,9539.5,9628.0,short
IS,2020-02-19T00:00:00,,scratch,0.1534,0.1534,1,0,9751.75,9705.25,long
IS,2020-02-20T00:00:00,,win,0.9231,0.9231,0,0,9652.5,9725.5,short
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9430.75,9531.25,short
IS,2020-02-24T00:00:00,,win,0.9622,0.9622,0,0,9050.75,9202.25,short
IS,2020-02-25T00:00:00,,win,0.9821,0.9821,0,0,8825.25,9147.75,short
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,9133.5,8925.5,long
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8390.75,8698.25,short
IS,2020-02-28T00:00:00,,,,0.0,0,1,,,short
IS,2020-03-02T00:00:00,,win,0.9714,0.9714,0,0,8644.25,8443.25,long
IS,2020-03-03T00:00:00,,scratch,0.6419,0.6419,1,0,8466.0,9003.0,short
IS,2020-03-04T00:00:00,,scratch,0.5022,0.5022,1,0,8955.5,8679.5,long
IS,2020-03-05T00:00:00,,loss,-1.0,-1.0,0,0,8929.75,8715.25,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8659.0,8393.5,long
IS,2020-03-09T00:00:00,,loss,-1.0,-1.0,0,0,8368.5,8028.5,long
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,8061.25,7453.25,long
IS,2020-04-02T00:00:00,,loss,-1.0,-1.0,0,0,7641.25,7456.25,long
IS,2020-04-16T00:00:00,,win,0.9712,0.9712,0,0,8792.5,8592.5,long
IS,2020-04-17T00:00:00,,win,0.9618,0.9618,0,0,8697.0,8847.0,short
IS,2020-04-21T00:00:00,,win,0.9696,0.9696,0,0,8401.0,8590.5,short
IS,2020-04-24T00:00:00,,win,0.9637,0.9637,0,0,8745.5,8587.5,long
IS,2020-04-27T00:00:00,,scratch,0.2038,0.2038,1,0,8776.5,8877.0,short
IS,2020-04-28T00:00:00,,scratch,-0.1354,-0.1354,1,0,8632.0,8839.0,short
IS,2020-04-29T00:00:00,,win,0.9597,0.9597,0,0,9008.5,8866.5,long
IS,2020-04-30T00:00:00,,win,0.9496,0.9496,0,0,8901.0,9014.0,short
IS,2020-05-04T00:00:00,,loss,-1.0,-1.0,0,0,8835.0,8713.5,long
IS,2020-05-05T00:00:00,,win,0.9236,0.9236,0,0,9010.75,8937.25,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,9069.0,8935.5,long
IS,2020-05-07T00:00:00,,loss,-1.0,-1.0,0,0,8989.75,9090.75,short
IS,2020-05-11T00:00:00,,win,0.9421,0.9421,0,0,9300.25,9202.25,long
IS,2020-05-12T00:00:00,,loss,-1.0,-1.0,0,0,9366.25,9250.75,long
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,9276.0,9109.0,long
IS,2020-05-14T00:00:00,,win,0.9665,0.9665,0,0,9022.25,8850.75,long
IS,2020-05-15T00:00:00,,loss,-1.0,-1.0,0,0,8880.75,9057.25,short
IS,2020-05-19T00:00:00,,win,0.9534,0.9534,0,0,9275.5,9398.0,short
IS,2020-05-21T00:00:00,,win,0.9529,0.9529,0,0,9360.5,9481.5,short
IS,2020-05-26T00:00:00,,win,0.9182,0.9182,0,0,9457.0,9525.5,short
IS,2020-05-27T00:00:00,,loss,-1.0,-1.0,0,0,9141.5,9323.5,short
IS,2020-05-29T00:00:00,,,,0.0,0,1,,,short
IS,2020-06-02T00:00:00,,loss,-1.0,-1.0,0,0,9491.5,9611.5,short
IS,2020-06-03T00:00:00,,loss,-1.0,-1.0,0,0,9602.25,9703.75,short
IS,2020-06-05T00:00:00,,win,0.9296,0.9296,0,0,9816.25,9736.25,long
IS,2020-06-10T00:00:00,,loss,-1.0,-1.0,0,0,9977.75,10077.75,short
IS,2020-06-11T00:00:00,,,,0.0,0,1,,,short
IS,2020-06-16T00:00:00,,win,0.9586,0.9586,0,0,9864.25,10002.25,short
IS,2020-06-18T00:00:00,,loss,-1.0,-1.0,0,0,9884.5,9993.0,short
IS,2020-06-19T00:00:00,,win,0.9107,0.9107,0,0,10045.5,10108.0,short
IS,2020-06-24T00:00:00,,win,0.954,0.954,0,0,10003.0,10127.0,short
IS,2020-06-26T00:00:00,,scratch,0.2079,0.2079,1,0,9732.5,10018.5,short
IS,2020-06-29T00:00:00,,win,0.9648,0.9648,0,0,9945.0,9782.0,long
IS,2020-07-02T00:00:00,,scratch,-0.0032,-0.0032,1,0,10293.5,10422.5,short
IS,2020-07-06T00:00:00,,win,0.926,0.926,0,0,10587.0,10511.0,long
IS,2020-07-07T00:00:00,,loss,-1.0,-1.0,0,0,10753.25,10598.75,long
IS,2020-07-08T00:00:00,,win,0.934,0.934,0,0,10555.0,10640.5,short
IS,2020-07-09T00:00:00,,loss,-1.0,-1.0,0,0,10553.75,10743.75,short
IS,2020-07-10T00:00:00,,win,0.9731,0.9731,0,0,10839.5,10625.5,long
IS,2020-07-14T00:00:00,,win,0.9807,0.9807,0,0,10658.25,10358.75,long
IS,2020-07-15T00:00:00,,loss,-1.0,-1.0,0,0,10827.25,10686.25,long
IS,2020-07-17T00:00:00,,scratch,0.0275,0.0275,1,0,10701.5,10538.0,long
IS,2020-07-21T00:00:00,,scratch,-0.1847,-0.1847,1,0,10777.0,10955.0,short
IS,2020-07-22T00:00:00,,scratch,-0.2575,-0.2575,1,0,10760.75,10899.25,short
IS,2020-07-23T00:00:00,,win,0.9704,0.9704,0,0,10661.0,10855.5,short
IS,2020-07-24T00:00:00,,scratch,-0.2434,-0.2434,1,0,10606.75,10373.75,long
IS,2020-07-27T00:00:00,,loss,-1.0,-1.0,0,0,10479.25,10635.75,short
IS,2020-07-28T00:00:00,,loss,-1.0,-1.0,0,0,10679.0,10573.0,long
IS,2020-07-29T00:00:00,,loss,-1.0,-1.0,0,0,10684.25,10596.75,long
IS,2020-07-30T00:00:00,,win,0.9627,0.9627,0,0,10668.75,10515.25,long
IS,2020-08-03T00:00:00,,loss,-1.0,-1.0,0,0,10919.25,11067.75,short
IS,2020-08-04T00:00:00,,win,0.9278,0.9278,0,0,11004.0,11082.0,short
IS,2020-08-06T00:00:00,,loss,-1.0,-1.0,0,0,11051.75,11146.75,short
IS,2020-08-07T00:00:00,,loss,-1.0,-1.0,0,0,11323.5,11206.5,long
IS,2020-08-10T00:00:00,,win,0.9519,0.9519,0,0,10968.25,11086.75,short
IS,2020-08-12T00:00:00,,win,0.9503,0.9503,0,0,11164.75,11050.25,long
IS,2020-08-17T00:00:00,,scratch,0.2214,0.2214,1,0,11323.0,11237.5,long
IS,2020-08-18T00:00:00,,win,0.96,0.96,0,0,11420.5,11277.5,long
IS,2020-08-20T00:00:00,,win,0.9283,0.9283,0,0,11428.25,11349.75,long
IS,2020-08-24T00:00:00,,scratch,-0.6797,-0.6797,1,0,11504.5,11665.5,short
IS,2020-08-27T00:00:00,,loss,-1.0,-1.0,0,0,12104.25,11902.75,long
IS,2020-09-01T00:00:00,,scratch,0.5171,0.5171,1,0,12370.25,12190.25,long
IS,2020-09-02T00:00:00,,scratch,0.3556,0.3556,1,0,12497.75,12248.75,long
IS,2020-09-03T00:00:00,,win,0.9856,0.9856,0,0,11805.75,12208.25,short
IS,2020-09-04T00:00:00,,loss,-1.0,-1.0,0,0,11003.5,11612.0,short
IS,2020-09-08T00:00:00,,win,0.9822,0.9822,0,0,11068.75,11393.25,short
IS,2020-09-09T00:00:00,,scratch,0.4382,0.4382,1,0,11512.75,11230.25,long
IS,2020-09-10T00:00:00,,win,0.9707,0.9707,0,0,11370.5,11567.0,short
IS,2020-09-14T00:00:00,,win,0.9673,0.9673,0,0,11173.75,11349.25,short
IS,2020-09-15T00:00:00,,loss,-1.0,-1.0,0,0,11283.0,11472.0,short
IS,2020-09-16T00:00:00,,win,0.9642,0.9642,0,0,11296.25,11456.25,short
IS,2020-09-17T00:00:00,,loss,-1.0,-1.0,0,0,11228.0,11006.0,long
IS,2020-09-18T00:00:00,,win,0.9653,0.9653,0,0,10940.5,11106.0,short
IS,2020-09-21T00:00:00,,loss,-1.0,-1.0,0,0,10508.25,10821.75,short
IS,2020-09-23T00:00:00,,win,0.9649,0.9649,0,0,10941.5,11105.0,short
IS,2020-09-24T00:00:00,,loss,-1.0,-1.0,0,0,10681.0,10936.5,short
IS,2020-09-29T00:00:00,,scratch,-0.4594,-0.4594,1,0,11222.0,11386.5,short
IS,2020-10-01T00:00:00,,,,0.0,0,1,,,short
IS,2020-10-05T00:00:00,,win,0.9521,0.9521,0,0,11485.0,11366.0,long
IS,2020-10-14T00:00:00,,win,0.9723,0.9723,0,0,11930.75,12138.75,short
IS,2020-10-15T00:00:00,,loss,-1.0,-1.0,0,0,11658.75,11873.25,short
IS,2020-10-19T00:00:00,,win,0.9711,0.9711,0,0,11677.0,11876.5,short
IS,2020-10-20T00:00:00,,loss,-1.0,-1.0,0,0,11560.75,11736.75,short
IS,2020-10-22T00:00:00,,loss,-1.0,-1.0,0,0,11428.5,11683.5,short
IS,2020-10-26T00:00:00,,win,0.9697,0.9697,0,0,11505.75,11695.75,short
IS,2020-10-27T00:00:00,,scratch,-0.5819,-0.5819,1,0,11650.75,11486.25,long
IS,2020-10-28T00:00:00,,scratch,0.0562,0.0562,1,0,11096.5,11308.5,short
IS,2020-10-29T00:00:00,,win,0.9597,0.9597,0,0,11388.25,11246.25,long
IS,2020-10-30T00:00:00,,scratch,-0.3981,-0.3981,1,0,10853.25,11189.25,short
IS,2020-11-02T00:00:00,,win,0.9646,0.9646,0,0,11046.75,11208.75,short
IS,2020-11-03T00:00:00,,scratch,-0.6393,-0.6393,1,0,11474.25,11195.75,long
IS,2020-11-05T00:00:00,,loss,-1.0,-1.0,0,0,11866.25,12108.75,short
IS,2020-11-09T00:00:00,,win,0.9839,0.9839,0,0,11901.25,12260.75,short
IS,2020-11-10T00:00:00,,loss,-1.0,-1.0,0,0,11365.5,11690.0,short
IS,2020-11-11T00:00:00,,win,0.9443,0.9443,0,0,11879.25,11777.25,long
IS,2020-11-12T00:00:00,,loss,-1.0,-1.0,0,0,12019.25,11907.25,long
IS,2020-11-17T00:00:00,,loss,-1.0,-1.0,0,0,12052.75,11963.25,long
IS,2020-11-18T00:00:00,,win,0.9509,0.9509,0,0,12026.25,11910.25,long
IS,2020-11-19T00:00:00,,scratch,0.3619,0.3619,1,0,12000.5,11883.0,long
IS,2020-11-23T00:00:00,,scratch,-0.5832,-0.5832,1,0,11672.25,11981.25,short
IS,2020-11-30T00:00:00,,loss,-1.0,-1.0,0,0,12055.25,12265.75,short
IS,2020-12-02T00:00:00,,scratch,0.3153,0.3153,1,0,12511.5,12363.5,long
IS,2020-12-03T00:00:00,,scratch,-0.1175,-0.1175,1,0,12424.75,12540.25,short
IS,2020-12-04T00:00:00,,scratch,-0.3079,-0.3079,1,0,12578.0,12474.0,long
IS,2020-12-07T00:00:00,,win,0.8607,0.8607,0,0,12562.75,12601.75,short
IS,2020-12-08T00:00:00,,scratch,0.8906,0.8906,1,0,12653.5,12502.5,long
IS,2020-12-09T00:00:00,,win,0.9671,0.9671,0,0,12462.5,12637.0,short
IS,2020-12-10T00:00:00,,scratch,-0.5121,-0.5121,1,0,12510.0,12351.0,long
