sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,loss,-0.75,-0.75,0,0,8851.5,8805.0,long
IS,2020-01-06T00:00:00,,win,0.8794,0.8794,0,0,8837.75,8792.25,long
IS,2020-01-08T00:00:00,,win,0.9127,0.9127,0,0,8947.5,8883.5,long
IS,2020-01-09T00:00:00,,loss,-0.75,-0.75,0,0,9022.0,8992.0,long
IS,2020-01-17T00:00:00,,loss,-0.75,-0.75,0,0,9107.0,9161.5,short
IS,2020-01-20T00:00:00,,loss,-0.75,-0.75,0,0,9158.25,9171.75,short
IS,2020-01-22T00:00:00,,loss,-0.75,-0.75,0,0,9268.75,9224.25,long
IS,2020-01-23T00:00:00,,loss,-0.75,-0.75,0,0,9238.75,9183.25,long
IS,2020-01-24T00:00:00,,win,0.8806,0.8806,0,0,9223.5,9269.5,short
IS,2020-01-28T00:00:00,,win,0.9269,0.9269,0,0,9093.0,9016.0,long
IS,2020-01-31T00:00:00,,win,0.9427,0.9427,0,0,9029.75,9128.75,short
IS,2020-02-03T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-04T00:00:00,,win,0.9199,0.9199,0,0,9323.25,9253.25,long
IS,2020-02-05T00:00:00,,loss,-0.75,-0.75,0,0,9278.0,9407.5,short
IS,2020-02-06T00:00:00,,,,0.0,0,1,,,short
IS,2020-02-10T00:00:00,,win,0.8141,0.8141,0,0,9473.0,9444.5,long
IS,2020-02-11T00:00:00,,loss,-0.75,-0.75,0,0,9635.25,9557.75,long
IS,2020-02-12T00:00:00,,win,0.9134,0.9134,0,0,9623.5,9559.0,long
IS,2020-02-13T00:00:00,,win,0.9107,0.9107,0,0,9616.5,9554.0,long
IS,2020-02-19T00:00:00,,win,0.8328,0.8328,0,0,9737.25,9705.25,long
IS,2020-02-24T00:00:00,,win,0.9407,0.9407,0,0,9106.75,9202.25,short
IS,2020-02-25T00:00:00,,win,0.9513,0.9513,0,0,9030.75,9147.75,short
IS,2020-02-26T00:00:00,,loss,-0.75,-0.75,0,0,9054.0,8925.5,long
IS,2020-02-27T00:00:00,,loss,-0.75,-0.75,0,0,8503.25,8698.25,short
IS,2020-03-02T00:00:00,,,,0.0,0,1,,,short
IS,2020-03-04T00:00:00,,loss,-0.75,-0.75,0,0,8863.0,8679.5,long
IS,2020-03-13T00:00:00,,loss,-0.75,-0.75,0,0,7766.25,7466.25,long
IS,2020-03-16T00:00:00,,loss,-0.75,-0.75,0,0,7634.25,7153.75,long
IS,2020-03-19T00:00:00,,loss,-0.75,-0.75,0,0,7667.0,7184.0,long
IS,2020-03-24T00:00:00,,loss,-0.75,-0.75,0,0,7567.75,7311.25,long
IS,2020-03-26T00:00:00,,loss,-0.75,-0.75,0,0,7750.25,7607.75,long
IS,2020-03-27T00:00:00,,loss,-0.75,-0.75,0,0,7541.25,7660.75,short
IS,2020-03-30T00:00:00,,win,0.9638,0.9638,0,0,7833.25,7674.75,long
IS,2020-03-31T00:00:00,,loss,-0.75,-0.75,0,0,8116.75,7820.75,long
IS,2020-04-06T00:00:00,,loss,-0.75,-0.75,0,0,7905.75,7830.75,long
IS,2020-04-08T00:00:00,,win,0.9525,0.9525,0,0,8164.75,8044.75,long
IS,2020-04-14T00:00:00,,loss,-0.75,-0.75,0,0,8649.0,8568.0,long
IS,2020-04-17T00:00:00,,win,0.9521,0.9521,0,0,8728.0,8847.0,short
IS,2020-04-21T00:00:00,,win,0.9533,0.9533,0,0,8468.5,8590.5,short
IS,2020-04-22T00:00:00,,win,0.9534,0.9534,0,0,8668.0,8545.5,long
IS,2020-04-23T00:00:00,,loss,-0.75,-0.75,0,0,8790.75,8709.25,long
IS,2020-04-24T00:00:00,,win,0.9561,0.9561,0,0,8717.5,8587.5,long
IS,2020-04-28T00:00:00,,win,0.9637,0.9637,0,0,8681.0,8839.0,short
IS,2020-04-29T00:00:00,,win,0.932,0.932,0,0,8949.5,8866.5,long
IS,2020-04-30T00:00:00,,loss,-0.75,-0.75,0,0,8925.0,9014.0,short
IS,2020-05-04T00:00:00,,loss,-0.75,-0.75,0,0,8826.0,8713.5,long
IS,2020-05-05T00:00:00,,win,0.921,0.921,0,0,9012.0,8941.0,long
IS,2020-05-11T00:00:00,,win,0.9372,0.9372,0,0,9292.25,9202.25,long
IS,2020-05-13T00:00:00,,loss,-0.75,-0.75,0,0,9272.0,9109.0,long
IS,2020-05-14T00:00:00,,,,0.0,0,1,,,short
IS,2020-05-18T00:00:00,,win,0.9278,0.9278,0,0,9329.75,9251.75,long
IS,2020-05-21T00:00:00,,win,0.955,0.955,0,0,9354.5,9481.5,short
IS,2020-05-25T00:00:00,,loss,-0.75,-0.75,0,0,9538.0,9516.5,long
