sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,8921.75,8994.25,short
IS,2020-01-28T00:00:00,,win,0.9324,0.9324,0,0,9099.5,9016.0,long
IS,2020-01-29T00:00:00,,win,0.9171,0.9171,0,0,9139.75,9072.25,long
IS,2020-01-30T00:00:00,,win,0.9236,0.9236,0,0,9035.75,9109.25,short
IS,2020-01-31T00:00:00,,win,0.9523,0.9523,0,0,9009.25,9128.75,short
IS,2020-02-03T00:00:00,,scratch,0.3034,0.3034,1,0,9082.75,9154.25,short
IS,2020-02-04T00:00:00,,win,0.9041,0.9041,0,0,9310.25,9252.25,long
IS,2020-02-05T00:00:00,,scratch,-0.7152,-0.7152,1,0,9277.0,9407.5,short
IS,2020-02-06T00:00:00,,win,0.9025,0.9025,0,0,9447.25,9390.25,long
IS,2020-02-07T00:00:00,,win,0.9226,0.9226,0,0,9460.25,9387.75,long
IS,2020-02-10T00:00:00,,win,0.8537,0.8537,0,0,9481.5,9444.5,long
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9637.75,9557.75,long
IS,2020-02-12T00:00:00,,win,0.9127,0.9127,0,0,9623.0,9559.0,long
IS,2020-02-13T00:00:00,,win,0.9236,0.9236,0,0,9627.5,9554.0,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9651.25,9593.25,long
IS,2020-02-17T00:00:00,,win,0.548,0.548,0,0,9668.25,9658.25,long
IS,2020-02-18T00:00:00,,loss,-1.0,-1.0,0,0,9558.5,9628.0,short
IS,2020-02-19T00:00:00,,win,0.8519,0.8519,0,0,9741.75,9705.25,long
IS,2020-02-20T00:00:00,,win,0.9033,0.9033,0,0,9668.0,9725.5,short
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9452.75,9531.25,short
IS,2020-02-24T00:00:00,,win,0.9554,0.9554,0,0,9074.25,9202.25,short
IS,2020-02-25T00:00:00,,win,0.9737,0.9737,0,0,8928.75,9147.75,short
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,9102.5,8925.5,long
