sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-20T00:00:00,,win,0.943,0.943,0,0,23115.0,23214.5,short
IS,2025-08-21T00:00:00,,loss,-1.0,-1.0,0,0,23383.25,23155.25,long
IS,2025-08-22T00:00:00,,scratch,0.1679,0.1679,1,0,23803.0,23269.5,long
IS,2025-08-25T00:00:00,,win,0.9283,0.9283,0,0,23583.0,23504.5,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23540.75,23487.75,long
IS,2025-08-27T00:00:00,,win,0.8768,0.8768,0,0,23570.75,23526.25,long
IS,2025-08-28T00:00:00,,win,0.9316,0.9316,0,0,23675.75,23593.25,long
IS,2025-08-29T00:00:00,,win,0.9598,0.9598,0,0,23409.25,23551.75,short
IS,2025-09-01T00:00:00,,loss,-1.0,-1.0,0,0,23474.75,23493.75,short
IS,2025-09-02T00:00:00,,win,0.9538,0.9538,0,0,23156.75,23280.25,short
IS,2025-09-03T00:00:00,,loss,-1.0,-1.0,0,0,23528.5,23372.0,long
IS,2025-09-04T00:00:00,,loss,-1.0,-1.0,0,0,23362.75,23488.75,short
IS,2025-09-05T00:00:00,,win,0.9421,0.9421,0,0,23756.0,23854.0,short
IS,2025-09-08T00:00:00,,loss,-1.0,-1.0,0,0,23889.0,23827.0,long
IS,2025-09-09T00:00:00,,loss,-1.0,-1.0,0,0,23886.0,23781.0,long
IS,2025-09-10T00:00:00,,loss,-1.0,-1.0,0,0,24016.75,23923.75,long
IS,2025-09-11T00:00:00,,loss,-1.0,-1.0,0,0,24005.5,23961.5,long
IS,2025-09-12T00:00:00,,win,0.9251,0.9251,0,0,24093.0,24018.0,long
IS,2025-09-15T00:00:00,,win,0.8418,0.8418,0,0,24231.5,24265.5,short
IS,2025-09-16T00:00:00,,loss,-1.0,-1.0,0,0,24567.25,24529.25,long
IS,2025-09-17T00:00:00,,win,0.9171,0.9171,0,0,24413.0,24480.5,short
IS,2025-09-18T00:00:00,,win,0.9165,0.9165,0,0,24761.0,24694.0,long
IS,2025-09-19T00:00:00,,win,0.8685,0.8685,0,0,24763.25,24804.75,short
IS,2025-09-22T00:00:00,,loss,-1.0,-1.0,0,0,24908.0,24864.5,long
IS,2025-09-23T00:00:00,,loss,-1.0,-1.0,0,0,24976.0,24929.5,long
IS,2025-09-24T00:00:00,,win,0.9241,0.9241,0,0,24767.0,24841.0,short
IS,2025-09-25T00:00:00,,win,0.9629,0.9629,0,0,24599.0,24444.5,long
IS,2025-09-26T00:00:00,,win,0.9531,0.9531,0,0,24611.75,24733.25,short
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,25001.5,24919.5,long
IS,2025-09-30T00:00:00,,loss,-1.0,-1.0,0,0,24745.0,24812.5,short
IS,2025-10-01T00:00:00,,win,0.9586,0.9586,0,0,24893.0,24755.0,long
IS,2025-10-02T00:00:00,,loss,-1.0,-1.0,0,0,25112.0,25039.5,long
IS,2025-10-03T00:00:00,,loss,-1.0,-1.0,0,0,25022.25,25110.25,short
IS,2025-10-06T00:00:00,,loss,-1.0,-1.0,0,0,25103.5,25177.5,short
