sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,win,0.9401,0.9401,0,0,8897.0,8802.5,long
IS,2020-01-03T00:00:00,,loss,-0.75,-0.75,0,0,8862.5,8805.0,long
IS,2020-01-06T00:00:00,,win,0.8956,0.8956,0,0,8845.25,8792.25,long
IS,2020-01-07T00:00:00,,loss,-0.75,-0.75,0,0,8833.5,8875.0,short
IS,2020-01-08T00:00:00,,win,0.8499,0.8499,0,0,8861.75,8897.75,short
IS,2020-01-09T00:00:00,,loss,-0.75,-0.75,0,0,9029.5,8992.0,long
IS,2020-01-10T00:00:00,,loss,-0.75,-0.75,0,0,9055.0,9023.5,long
IS,2020-01-13T00:00:00,,win,0.8141,0.8141,0,0,9050.5,9022.0,long
IS,2020-01-14T00:00:00,,loss,-0.75,-0.75,0,0,9110.25,9035.25,long
IS,2020-01-15T00:00:00,,loss,-0.75,-0.75,0,0,9111.0,9072.0,long
IS,2020-01-16T00:00:00,,win,0.8623,0.8623,0,0,9080.0,9119.5,short
IS,2020-01-17T00:00:00,,loss,-0.75,-0.75,0,0,9125.25,9164.25,short
IS,2020-01-20T00:00:00,,win,0.4395,0.4395,0,0,9164.25,9171.75,short
IS,2020-01-21T00:00:00,,loss,-0.75,-0.75,0,0,9203.75,9161.25,long
IS,2020-01-22T00:00:00,,loss,-0.75,-0.75,0,0,9266.75,9224.25,long
IS,2020-01-23T00:00:00,,loss,-0.75,-0.75,0,0,9231.25,9183.25,long
IS,2020-01-24T00:00:00,,win,0.9251,0.9251,0,0,9194.5,9269.5,short
IS,2020-01-27T00:00:00,,loss,-0.75,-0.75,0,0,8921.75,8994.25,short
IS,2020-01-28T00:00:00,,win,0.9324,0.9324,0,0,9099.5,9016.0,long
IS,2020-01-29T00:00:00,,win,0.9171,0.9171,0,0,9139.75,9072.25,long
IS,2020-01-30T00:00:00,,win,0.9236,0.9236,0,0,9035.75,9109.25,short
IS,2020-01-31T00:00:00,,win,0.9523,0.9523,0,0,9009.25,9128.75,short
IS,2020-02-03T00:00:00,,loss,-0.75,-0.75,0,0,9082.75,9154.25,short
IS,2020-02-04T00:00:00,,win,0.9041,0.9041,0,0,9310.25,9252.25,long
IS,2020-02-05T00:00:00,,loss,-0.75,-0.75,0,0,9277.0,9407.5,short
IS,2020-02-06T00:00:00,,win,0.9025,0.9025,0,0,9447.25,9390.25,long
IS,2020-02-07T00:00:00,,win,0.9226,0.9226,0,0,9460.25,9387.75,long
IS,2020-02-10T00:00:00,,win,0.8537,0.8537,0,0,9481.5,9444.5,long
IS,2020-02-11T00:00:00,,loss,-0.75,-0.75,0,0,9637.75,9557.75,long
IS,2020-02-12T00:00:00,,win,0.9127,0.9127,0,0,9623.0,9559.0,long
IS,2020-02-13T00:00:00,,win,0.9236,0.9236,0,0,9627.5,9554.0,long
IS,2020-02-14T00:00:00,,loss,-0.75,-0.75,0,0,9651.25,9593.25,long
IS,2020-02-17T00:00:00,,win,0.548,0.548,0,0,9668.25,9658.25,long
IS,2020-02-18T00:00:00,,loss,-0.75,-0.75,0,0,9558.5,9628.0,short
IS,2020-02-19T00:00:00,,win,0.8519,0.8519,0,0,9741.75,9705.25,long
IS,2020-02-20T00:00:00,,win,0.9033,0.9033,0,0,9668.0,9725.5,short
IS,2020-02-21T00:00:00,,loss,-0.75,-0.75,0,0,9452.75,9531.25,short
IS,2020-02-24T00:00:00,,win,0.9554,0.9554,0,0,9074.25,9202.25,short
IS,2020-02-25T00:00:00,,win,0.9737,0.9737,0,0,8928.75,9147.75,short
IS,2020-02-26T00:00:00,,loss,-0.75,-0.75,0,0,9102.5,8925.5,long
IS,2020-02-27T00:00:00,,loss,-0.75,-0.75,0,0,8441.25,8698.25,short
IS,2020-02-28T00:00:00,,scratch,0.0813,0.0813,1,0,8380.75,8136.75,long
IS,2020-03-02T00:00:00,,win,0.9686,0.9686,0,0,8626.25,8443.25,long
IS,2020-03-03T00:00:00,,win,0.9873,0.9873,0,0,8547.0,9003.0,short
IS,2020-03-04T00:00:00,,win,0.9759,0.9759,0,0,8918.5,8679.5,long
IS,2020-03-05T00:00:00,,loss,-0.75,-0.75,0,0,8920.25,8715.25,long
IS,2020-03-06T00:00:00,,loss,-0.75,-0.75,0,0,8638.0,8393.5,long
IS,2020-03-09T00:00:00,,loss,-0.75,-0.75,0,0,8326.0,8028.5,long
IS,2020-03-10T00:00:00,,win,0.9669,0.9669,0,0,8081.75,8255.25,short
IS,2020-03-11T00:00:00,,win,0.9694,0.9694,0,0,8034.25,8222.25,short
IS,2020-03-12T00:00:00,,loss,-0.75,-0.75,0,0,7733.25,7453.25,long
IS,2020-03-13T00:00:00,,win,0.9822,0.9822,0,0,7303.25,7628.75,short
IS,2020-03-17T00:00:00,,win,0.987,0.987,0,0,7376.75,6931.25,long
IS,2020-03-18T00:00:00,,win,0.9786,0.9786,0,0,7055.5,7325.0,short
IS,2020-03-19T00:00:00,,loss,-0.75,-0.75,0,0,7605.0,7184.0,long
IS,2020-03-20T00:00:00,,loss,-0.75,-0.75,0,0,7535.5,7343.5,long
IS,2020-03-23T00:00:00,,win,0.9755,0.9755,0,0,6843.5,7079.0,short
IS,2020-03-24T00:00:00,,loss,-0.75,-0.75,0,0,7609.25,7311.25,long
IS,2020-03-25T00:00:00,,win,0.9737,0.9737,0,0,7591.5,7372.5,long
IS,2020-03-26T00:00:00,,loss,-0.75,-0.75,0,0,7805.75,7607.75,long
IS,2020-03-27T00:00:00,,loss,-0.75,-0.75,0,0,7526.25,7660.75,short
IS,2020-03-30T00:00:00,,win,0.9683,0.9683,0,0,7856.25,7674.75,long
IS,2020-03-31T00:00:00,,loss,-0.75,-0.75,0,0,8126.25,7820.75,long
IS,2020-04-01T00:00:00,,loss,-0.75,-0.75,0,0,7709.25,7564.25,long
IS,2020-04-02T00:00:00,,win,0.9603,0.9603,0,0,7600.25,7456.25,long
IS,2020-04-03T00:00:00,,win,0.9686,0.9686,0,0,7465.75,7648.75,short
IS,2020-04-06T00:00:00,,loss,-0.75,-0.75,0,0,7908.75,7830.75,long
IS,2020-04-07T00:00:00,,loss,-0.75,-0.75,0,0,7972.5,8270.0,short
IS,2020-04-08T00:00:00,,win,0.9517,0.9517,0,0,8162.75,8044.75,long
IS,2020-04-09T00:00:00,,scratch,-0.5475,-0.5475,1,0,8003.25,8309.75,short
IS,2020-04-13T00:00:00,,loss,-0.75,-0.75,0,0,8081.25,8229.25,short
IS,2020-04-14T00:00:00,,loss,-0.75,-0.75,0,0,8525.0,8610.5,short
IS,2020-04-15T00:00:00,,win,0.932,0.932,0,0,8583.75,8500.75,long
IS,2020-04-16T00:00:00,,win,0.9613,0.9613,0,0,8740.5,8592.5,long
IS,2020-04-17T00:00:00,,win,0.9586,0.9586,0,0,8709.0,8847.0,short
IS,2020-04-20T00:00:00,,loss,-0.75,-0.75,0,0,8867.75,8731.75,long
IS,2020-04-21T00:00:00,,win,0.9622,0.9622,0,0,8439.0,8590.5,short
IS,2020-04-22T00:00:00,,win,0.9407,0.9407,0,0,8641.0,8545.5,long
IS,2020-04-23T00:00:00,,loss,-0.75,-0.75,0,0,8807.25,8709.25,long
IS,2020-04-24T00:00:00,,win,0.9567,0.9567,0,0,8719.5,8587.5,long
IS,2020-04-27T00:00:00,,win,0.9278,0.9278,0,0,8799.0,8877.0,short
IS,2020-04-28T00:00:00,,win,0.9675,0.9675,0,0,8662.0,8839.0,short
IS,2020-04-29T00:00:00,,win,0.9569,0.9569,0,0,8999.0,8866.5,long
IS,2020-04-30T00:00:00,,loss,-0.75,-0.75,0,0,8915.5,9014.0,short
IS,2020-05-01T00:00:00,,win,0.9589,0.9589,0,0,8739.5,8878.5,short
IS,2020-05-04T00:00:00,,loss,-0.75,-0.75,0,0,8825.0,8713.5,long
IS,2020-05-05T00:00:00,,win,0.9205,0.9205,0,0,9007.75,8937.25,long
IS,2020-05-06T00:00:00,,win,0.9519,0.9519,0,0,9054.0,8935.5,long
IS,2020-05-07T00:00:00,,loss,-0.75,-0.75,0,0,8990.75,9090.75,short
IS,2020-05-08T00:00:00,,loss,-0.75,-0.75,0,0,9231.5,9143.0,long
IS,2020-05-11T00:00:00,,win,0.9358,0.9358,0,0,9290.25,9202.25,long
IS,2020-05-12T00:00:00,,loss,-0.75,-0.75,0,0,9343.75,9250.75,long
IS,2020-05-13T00:00:00,,loss,-0.75,-0.75,0,0,9259.5,9109.0,long
IS,2020-05-14T00:00:00,,win,0.9591,0.9591,0,0,8990.75,8850.75,long
IS,2020-05-15T00:00:00,,loss,-0.75,-0.75,0,0,8939.25,9057.25,short
IS,2020-05-18T00:00:00,,win,0.9456,0.9456,0,0,9356.25,9251.75,long
IS,2020-05-19T00:00:00,,loss,-0.75,-0.75,0,0,9336.5,9398.0,short
IS,2020-05-20T00:00:00,,loss,-0.75,-0.75,0,0,9499.0,9449.0,long
IS,2020-05-21T00:00:00,,win,0.9449,0.9449,0,0,9378.5,9481.5,short
IS,2020-05-22T00:00:00,,scratch,0.4234,0.4234,1,0,9453.25,9340.25,long
IS,2020-05-25T00:00:00,,win,0.7395,0.7395,0,0,9536.0,9516.5,long
IS,2020-05-26T00:00:00,,win,0.9093,0.9093,0,0,9464.0,9525.5,short
IS,2020-05-27T00:00:00,,win,0.9534,0.9534,0,0,9201.0,9323.5,short
IS,2020-05-28T00:00:00,,win,0.9584,0.9584,0,0,9545.75,9408.25,long
IS,2020-05-29T00:00:00,,loss,-0.75,-0.75,0,0,9294.25,9465.25,short
IS,2020-06-01T00:00:00,,loss,-0.75,-0.75,0,0,9500.0,9584.5,short
IS,2020-06-02T00:00:00,,win,0.9072,0.9072,0,0,9551.5,9611.5,short
IS,2020-06-03T00:00:00,,loss,-0.75,-0.75,0,0,9617.25,9703.75,short
IS,2020-06-04T00:00:00,,loss,-0.75,-0.75,0,0,9759.0,9706.0,long
IS,2020-06-05T00:00:00,,win,0.926,0.926,0,0,9812.25,9736.25,long
IS,2020-06-08T00:00:00,,win,0.932,0.932,0,0,9829.75,9746.75,long
IS,2020-06-09T00:00:00,,win,0.9283,0.9283,0,0,9953.75,9875.25,long
IS,2020-06-10T00:00:00,,loss,-0.75,-0.75,0,0,9982.25,10077.75,short
