sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-03T00:00:00,,win,0.867,0.867,0,0,8846.0,8805.0,long
IS,2020-01-08T00:00:00,,loss,-1.0,-1.0,0,0,8881.25,8894.25,short
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,8939.25,8986.25,short
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9175.75,9126.25,long
IS,2020-02-04T00:00:00,,loss,-1.0,-1.0,0,0,9241.5,9275.0,short
IS,2020-02-10T00:00:00,,win,0.7068,0.7068,0,0,9461.5,9444.5,long
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9229.75,9164.75,long
IS,2020-02-25T00:00:00,,win,0.9251,0.9251,0,0,9072.75,9147.75,short
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,8901.0,8965.0,short
IS,2020-02-27T00:00:00,,win,0.9536,0.9536,0,0,8575.25,8698.25,short
IS,2020-02-28T00:00:00,,win,0.9471,0.9471,0,0,8244.25,8136.75,long
IS,2020-03-02T00:00:00,,win,0.9354,0.9354,0,0,8447.0,8534.5,short
IS,2020-03-03T00:00:00,,win,0.9873,0.9873,0,0,8547.0,9003.0,short
IS,2020-03-04T00:00:00,,win,0.9328,0.9328,0,0,8763.5,8679.5,long
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8388.25,8443.25,short
IS,2020-03-09T00:00:00,,win,0.9534,0.9534,0,0,8151.75,8029.25,long
IS,2020-03-10T00:00:00,,loss,-1.0,-1.0,0,0,8259.75,8168.75,long
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,8237.25,8157.25,long
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7676.75,7453.75,long
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,7634.75,7466.25,long
IS,2020-03-17T00:00:00,,win,0.9481,0.9481,0,0,7040.75,6931.25,long
IS,2020-03-18T00:00:00,,win,0.9757,0.9757,0,0,7072.5,7309.5,short
IS,2020-03-19T00:00:00,,win,0.9507,0.9507,0,0,7299.5,7184.0,long
IS,2020-03-20T00:00:00,,loss,-1.0,-1.0,0,0,7479.0,7348.0,long
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,7124.5,6961.5,long
IS,2020-03-24T00:00:00,,win,0.9459,0.9459,0,0,7416.25,7311.25,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7341.75,7481.75,short
IS,2020-03-26T00:00:00,,win,0.9265,0.9265,0,0,7684.25,7607.75,long
IS,2020-03-27T00:00:00,,loss,-1.0,-1.0,0,0,7670.25,7608.25,long
IS,2020-03-30T00:00:00,,win,0.9456,0.9456,0,0,7779.25,7674.75,long
IS,2020-03-31T00:00:00,,win,0.9312,0.9312,0,0,7902.75,7820.75,long
IS,2020-04-01T00:00:00,,win,0.9265,0.9265,0,0,7646.25,7569.75,long
IS,2020-04-02T00:00:00,,win,0.9049,0.9049,0,0,7518.5,7460.0,long
IS,2020-04-03T00:00:00,,win,0.9153,0.9153,0,0,7577.75,7643.75,short
IS,2020-04-06T00:00:00,,loss,-1.0,-1.0,0,0,7816.5,7864.5,short
IS,2020-04-07T00:00:00,,win,0.9531,0.9531,0,0,8148.5,8270.0,short
IS,2020-04-08T00:00:00,,loss,-1.0,-1.0,0,0,8044.5,8092.5,short
IS,2020-04-09T00:00:00,,win,0.9265,0.9265,0,0,8233.25,8309.75,short
IS,2020-04-14T00:00:00,,loss,-1.0,-1.0,0,0,8547.5,8592.5,short
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8556.0,8652.5,short
IS,2020-04-21T00:00:00,,win,0.9205,0.9205,0,0,8519.5,8590.0,short
IS,2020-04-22T00:00:00,,loss,-1.0,-1.0,0,0,8517.75,8585.75,short
IS,2020-04-27T00:00:00,,loss,-1.0,-1.0,0,0,8847.5,8873.0,short
IS,2020-04-29T00:00:00,,loss,-1.0,-1.0,0,0,8851.0,8896.5,short
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,9035.25,8979.75,long
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8915.0,8820.0,long
IS,2020-05-04T00:00:00,,loss,-1.0,-1.0,0,0,8790.5,8713.5,long
IS,2020-05-06T00:00:00,,loss,-1.0,-1.0,0,0,8932.5,8994.5,short
IS,2020-05-07T00:00:00,,win,0.8875,0.8875,0,0,9041.75,9090.75,short
IS,2020-05-08T00:00:00,,win,0.8519,0.8519,0,0,9179.5,9143.0,long
IS,2020-05-13T00:00:00,,win,0.9375,0.9375,0,0,9199.5,9109.0,long
IS,2020-05-19T00:00:00,,loss,-1.0,-1.0,0,0,9401.5,9368.0,long
IS,2020-05-22T00:00:00,,win,0.8742,0.8742,0,0,9353.0,9396.5,short
IS,2025-08-20T00:00:00,,win,0.943,0.943,0,0,23115.0,23214.5,short
IS,2025-08-21T00:00:00,,loss,-1.0,-1.0,0,0,23383.25,23155.25,long
IS,2025-08-22T00:00:00,,scratch,0.1679,0.1679,1,0,23803.0,23269.5,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23540.75,23487.75,long
IS,2025-08-28T00:00:00,,win,0.9316,0.9316,0,0,23675.75,23593.25,long
IS,2025-09-01T00:00:00,,loss,-1.0,-1.0,0,0,23474.75,23493.75,short
IS,2025-09-04T00:00:00,,loss,-1.0,-1.0,0,0,23362.75,23488.75,short
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,25001.5,24919.5,long
IS,2025-10-01T00:00:00,,win,0.9586,0.9586,0,0,24893.0,24755.0,long
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24947.75,24864.75,long
IS,2025-10-14T00:00:00,,win,0.9507,0.9507,0,0,24670.0,24554.5,long
IS,2025-10-15T00:00:00,,win,0.9072,0.9072,0,0,25073.25,25013.25,long
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,25120.0,25035.0,long
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24990.25,24776.25,long
IS,2025-10-20T00:00:00,,win,0.9215,0.9215,0,0,25281.75,25210.25,long
IS,2025-10-21T00:00:00,,win,0.9086,0.9086,0,0,25273.0,25212.0,long
IS,2025-10-22T00:00:00,,win,0.9347,0.9347,0,0,25194.5,25281.0,short
IS,2025-10-23T00:00:00,,win,0.9283,0.9283,0,0,25097.75,25176.25,short
IS,2025-10-29T00:00:00,,win,0.934,0.934,0,0,26241.0,26326.5,short
IS,2025-10-30T00:00:00,,win,0.9667,0.9667,0,0,26007.0,26179.5,short
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,26056.5,26145.0,short
IS,2025-11-04T00:00:00,,win,0.8781,0.8781,0,0,25841.0,25886.0,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,25747.75,25642.75,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25614.5,25413.0,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24837.75,25033.75,short
IS,2025-11-10T00:00:00,,loss,-1.0,-1.0,0,0,25674.75,25620.75,long
IS,2025-11-11T00:00:00,,win,0.9199,0.9199,0,0,25558.5,25628.5,short
IS,2025-11-12T00:00:00,,loss,-1.0,-1.0,0,0,25690.25,25582.25,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,25504.25,25323.75,long
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25024.75,24900.25,long
IS,2025-11-17T00:00:00,,win,0.9743,0.9743,0,0,24991.5,25216.0,short
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24679.25,24434.25,long
IS,2025-11-19T00:00:00,,win,0.9456,0.9456,0,0,24984.75,24880.25,long
IS,2025-11-20T00:00:00,,win,0.9401,0.9401,0,0,25205.75,25300.25,short
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,23919.0,24229.0,short
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24819.75,24678.25,long
IS,2025-11-26T00:00:00,,win,0.9564,0.9564,0,0,25265.75,25134.75,long
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25295.0,25385.0,short
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25698.0,25595.0,long
IS,2025-12-03T00:00:00,,win,0.9663,0.9663,0,0,25659.25,25488.75,long
IS,2025-12-05T00:00:00,,loss,-1.0,-1.0,0,0,25870.5,25767.0,long
IS,2025-12-08T00:00:00,,win,0.9312,0.9312,0,0,25695.5,25777.5,short
IS,2025-12-11T00:00:00,,win,0.9614,0.9614,0,0,25538.75,25390.25,long
IS,2025-12-15T00:00:00,,win,0.955,0.955,0,0,25102.25,25229.25,short
IS,2025-12-16T00:00:00,,win,0.9693,0.9693,0,0,25221.0,25408.5,short
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25220.5,25340.0,short
IS,2025-12-18T00:00:00,,win,0.9274,0.9274,0,0,25223.5,25301.0,short
IS,2025-12-19T00:00:00,,win,0.9473,0.9473,0,0,25493.0,25601.0,short
IS,2025-12-31T00:00:00,,win,0.8728,0.8728,0,0,25572.25,25615.25,short
IS,2022-06-27T00:00:00,,loss,-1.0,-1.0,0,0,11999.75,12121.25,short
IS,2022-06-28T00:00:00,,win,0.9569,0.9569,0,0,11992.25,12124.75,short
IS,2022-06-30T00:00:00,,loss,-1.0,-1.0,0,0,11315.0,11401.0,short
IS,2022-07-01T00:00:00,,win,0.9666,0.9666,0,0,11446.0,11618.0,short
IS,2022-07-04T00:00:00,,loss,-1.0,-1.0,0,0,11526.0,11552.5,short
IS,2022-07-06T00:00:00,,loss,-1.0,-1.0,0,0,11922.75,11785.25,long
IS,2022-07-07T00:00:00,,win,0.9397,0.9397,0,0,12084.25,11990.25,long
IS,2022-07-11T00:00:00,,win,0.9127,0.9127,0,0,11917.0,11853.0,long
IS,2022-07-12T00:00:00,,win,0.9466,0.9466,0,0,11911.25,11804.75,long
IS,2022-07-14T00:00:00,,loss,-1.0,-1.0,0,0,11481.75,11567.75,short
IS,2022-07-18T00:00:00,,win,0.932,0.932,0,0,12100.75,12183.75,short
IS,2022-08-11T00:00:00,,win,0.9205,0.9205,0,0,13564.5,13494.0,long
IS,2022-08-19T00:00:00,,win,0.9017,0.9017,0,0,13266.5,13323.0,short
IS,2022-08-23T00:00:00,,win,0.9375,0.9375,0,0,13014.5,12924.0,long
IS,2022-08-25T00:00:00,,win,0.8742,0.8742,0,0,13087.0,13043.5,long
IS,2022-08-31T00:00:00,,loss,-1.0,-1.0,0,0,12393.25,12465.75,short
IS,2022-09-01T00:00:00,,win,0.9663,0.9663,0,0,12032.5,12203.0,short
IS,2022-09-06T00:00:00,,loss,-1.0,-1.0,0,0,11870.0,12045.5,short
IS,2022-09-07T00:00:00,,loss,-1.0,-1.0,0,0,11998.25,12094.25,short
IS,2022-09-19T00:00:00,,loss,-1.0,-1.0,0,0,11955.5,11878.5,long
IS,2022-09-23T00:00:00,,win,0.8768,0.8768,0,0,11382.75,11338.25,long
IS,2022-09-26T00:00:00,,loss,-1.0,-1.0,0,0,11421.75,11519.75,short
IS,2022-09-27T00:00:00,,loss,-1.0,-1.0,0,0,11323.0,11501.5,short
IS,2022-09-28T00:00:00,,loss,-1.0,-1.0,0,0,11219.0,11373.0,short
