sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-22T00:00:00,,win,0.9347,0.9347,0,0,25194.5,25281.0,short
IS,2025-10-23T00:00:00,,win,0.9283,0.9283,0,0,25097.75,25176.25,short
IS,2025-10-24T00:00:00,,loss,-0.75,-0.75,0,0,25569.0,25492.5,long
IS,2025-10-27T00:00:00,,loss,-0.75,-0.75,0,0,25808.25,25876.25,short
IS,2025-10-28T00:00:00,,loss,-0.75,-0.75,0,0,26033.75,26077.75,short
IS,2025-10-29T00:00:00,,win,0.934,0.934,0,0,26241.0,26326.5,short
IS,2025-10-30T00:00:00,,win,0.9667,0.9667,0,0,26007.0,26179.5,short
IS,2025-10-31T00:00:00,,loss,-0.75,-0.75,0,0,26165.0,26062.5,long
IS,2025-11-03T00:00:00,,loss,-0.75,-0.75,0,0,26056.5,26145.0,short
IS,2025-11-04T00:00:00,,win,0.8781,0.8781,0,0,25841.0,25886.0,short
IS,2025-11-05T00:00:00,,loss,-0.75,-0.75,0,0,25747.75,25642.75,long
IS,2025-11-06T00:00:00,,loss,-0.75,-0.75,0,0,25614.5,25413.0,long
IS,2025-11-07T00:00:00,,loss,-0.75,-0.75,0,0,24837.75,25033.75,short
IS,2025-11-10T00:00:00,,loss,-0.75,-0.75,0,0,25674.75,25620.75,long
IS,2025-11-11T00:00:00,,win,0.9199,0.9199,0,0,25558.5,25628.5,short
IS,2025-11-14T00:00:00,,loss,-0.75,-0.75,0,0,25024.75,24900.25,long
IS,2025-11-17T00:00:00,,win,0.9743,0.9743,0,0,24991.5,25216.0,short
IS,2025-11-18T00:00:00,,loss,-0.75,-0.75,0,0,24679.25,24434.25,long
IS,2025-11-19T00:00:00,,win,0.9456,0.9456,0,0,24984.75,24880.25,long
IS,2025-11-20T00:00:00,,win,0.9401,0.9401,0,0,25205.75,25300.25,short
IS,2025-11-21T00:00:00,,loss,-0.75,-0.75,0,0,23919.0,24229.0,short
IS,2025-11-24T00:00:00,,loss,-0.75,-0.75,0,0,24819.75,24678.25,long
IS,2025-11-25T00:00:00,,win,0.9827,0.9827,0,0,24989.5,24654.0,long
IS,2025-11-26T00:00:00,,loss,-0.75,-0.75,0,0,25265.75,25134.75,long
IS,2025-11-27T00:00:00,,loss,-0.75,-0.75,0,0,25304.25,25292.75,long
IS,2025-11-28T00:00:00,,loss,-0.75,-0.75,0,0,25340.0,25389.5,short
IS,2025-12-01T00:00:00,,loss,-0.75,-0.75,0,0,25295.0,25385.0,short
IS,2025-12-02T00:00:00,,loss,-0.75,-0.75,0,0,25698.0,25595.0,long
IS,2025-12-03T00:00:00,,loss,-0.75,-0.75,0,0,25659.25,25488.75,long
IS,2025-12-04T00:00:00,,loss,-0.75,-0.75,0,0,25604.5,25549.0,long
IS,2025-12-05T00:00:00,,loss,-0.75,-0.75,0,0,25870.5,25767.0,long
IS,2025-12-08T00:00:00,,win,0.9312,0.9312,0,0,25695.5,25777.5,short
IS,2025-12-09T00:00:00,,win,0.9461,0.9461,0,0,25723.0,25617.5,long
IS,2025-12-10T00:00:00,,loss,-0.75,-0.75,0,0,25663.5,25605.0,long
IS,2025-12-11T00:00:00,,win,0.9614,0.9614,0,0,25538.75,25390.25,long
IS,2025-12-12T00:00:00,,win,0.9643,0.9643,0,0,25398.75,25559.25,short
IS,2025-12-15T00:00:00,,win,0.955,0.955,0,0,25102.25,25229.25,short
IS,2025-12-16T00:00:00,,win,0.9693,0.9693,0,0,25221.0,25408.5,short
IS,2025-12-17T00:00:00,,loss,-0.75,-0.75,0,0,25220.5,25340.0,short
IS,2025-12-18T00:00:00,,win,0.9274,0.9274,0,0,25223.5,25301.0,short
IS,2023-10-09T00:00:00,,loss,-0.75,-0.75,0,0,14909.0,15067.0,short
IS,2023-10-10T00:00:00,,win,0.9121,0.9121,0,0,15303.75,15240.25,long
IS,2023-10-11T00:00:00,,loss,-0.75,-0.75,0,0,15359.5,15304.0,long
IS,2023-10-12T00:00:00,,win,0.9017,0.9017,0,0,15432.0,15375.5,long
IS,2023-10-13T00:00:00,,win,0.9523,0.9523,0,0,15233.25,15352.75,short
IS,2023-10-16T00:00:00,,win,0.9041,0.9041,0,0,15267.0,15209.0,long
IS,2023-10-17T00:00:00,,win,0.8875,0.8875,0,0,15120.5,15071.5,long
IS,2023-10-18T00:00:00,,win,0.9401,0.9401,0,0,15216.0,15121.5,long
IS,2023-10-19T00:00:00,,win,0.9194,0.9194,0,0,15104.5,15035.0,long
IS,2023-10-20T00:00:00,,win,0.9246,0.9246,0,0,14787.0,14861.5,short
IS,2023-10-23T00:00:00,,win,0.9064,0.9064,0,0,14670.0,14610.5,long
IS,2023-10-24T00:00:00,,loss,-0.75,-0.75,0,0,14884.25,14779.25,long
IS,2023-10-25T00:00:00,,loss,-0.75,-0.75,0,0,14565.25,14651.25,short
IS,2023-10-26T00:00:00,,loss,-0.75,-0.75,0,0,14264.0,14338.0,short
IS,2023-10-27T00:00:00,,loss,-0.75,-0.75,0,0,14394.5,14293.0,long
IS,2023-10-30T00:00:00,,win,0.9391,0.9391,0,0,14366.0,14459.0,short
IS,2023-10-31T00:00:00,,win,0.8937,0.8937,0,0,14374.0,14322.0,long
IS,2023-11-01T00:00:00,,loss,-0.75,-0.75,0,0,14514.0,14580.0,short
IS,2023-11-02T00:00:00,,win,0.8927,0.8927,0,0,14880.75,14932.25,short
IS,2023-11-03T00:00:00,,loss,-0.75,-0.75,0,0,15039.75,15163.25,short
IS,2023-11-06T00:00:00,,loss,-0.75,-0.75,0,0,15162.0,15228.5,short
IS,2023-11-07T00:00:00,,win,0.8781,0.8781,0,0,15274.5,15319.5,short
IS,2023-11-08T00:00:00,,win,0.9401,0.9401,0,0,15301.25,15395.75,short
IS,2023-11-09T00:00:00,,win,0.9291,0.9291,0,0,15353.25,15432.75,short
IS,2023-11-10T00:00:00,,loss,-0.75,-0.75,0,0,15286.0,15380.0,short
IS,2023-11-13T00:00:00,,win,0.8728,0.8728,0,0,15521.5,15478.5,long
IS,2023-11-14T00:00:00,,loss,-0.75,-0.75,0,0,15833.75,15886.25,short
IS,2023-11-15T00:00:00,,win,0.8607,0.8607,0,0,15948.0,15909.0,long
IS,2023-11-16T00:00:00,,loss,-0.75,-0.75,0,0,15919.5,15880.5,long
IS,2023-11-17T00:00:00,,loss,-0.75,-0.75,0,0,15821.75,15873.75,short
IS,2023-11-20T00:00:00,,loss,-0.75,-0.75,0,0,15971.75,15999.25,short
IS,2023-11-21T00:00:00,,loss,-0.75,-0.75,0,0,16018.25,15976.25,long
IS,2024-01-08T00:00:00,,win,0.9057,0.9057,0,0,16671.5,16612.5,long
IS,2024-01-09T00:00:00,,loss,-0.75,-0.75,0,0,16667.75,16712.25,short
IS,2024-01-10T00:00:00,,win,0.9205,0.9205,0,0,16874.75,16804.25,long
IS,2024-01-11T00:00:00,,win,0.9629,0.9629,0,0,16807.0,16961.5,short
IS,2024-01-12T00:00:00,,loss,-0.75,-0.75,0,0,17033.75,16943.25,long
IS,2024-01-15T00:00:00,,loss,-0.75,-0.75,0,0,16938.5,16956.5,short
IS,2024-01-18T00:00:00,,win,0.9481,0.9481,0,0,17096.75,16987.25,long
IS,2024-01-19T00:00:00,,loss,-0.75,-0.75,0,0,17159.5,17233.0,short
IS,2024-01-22T00:00:00,,loss,-0.75,-0.75,0,0,17448.25,17552.75,short
IS,2024-01-29T00:00:00,,loss,-0.75,-0.75,0,0,17595.25,17524.75,long
