sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2020-01-02T00:00:00,,loss,-0.75,-0.75,0,0,8782.0,8849.5,short
IS,2020-01-03T00:00:00,,loss,-0.75,-0.75,0,0,8858.75,8805.0,long
IS,2020-01-06T00:00:00,,win,1.2879,1.2879,0,0,8831.625,8792.25,long
IS,2020-01-07T00:00:00,,loss,-0.75,-0.75,0,0,8895.75,8857.0,long
IS,2020-01-08T00:00:00,,loss,-0.75,-0.75,0,0,8911.0,8883.5,long
IS,2020-01-09T00:00:00,,loss,-0.75,-0.75,0,0,9030.125,8992.0,long
IS,2020-01-10T00:00:00,,loss,-0.75,-0.75,0,0,9062.125,9024.0,long
IS,2020-01-13T00:00:00,,loss,-0.75,-0.75,0,0,9004.125,9036.0,short
IS,2020-01-14T00:00:00,,loss,-0.75,-0.75,0,0,9121.5,9035.25,long
IS,2020-01-15T00:00:00,,loss,-0.75,-0.75,0,0,9056.875,9091.25,short
IS,2020-01-16T00:00:00,,win,1.2519,1.2519,0,0,9086.375,9119.5,short
IS,2020-01-17T00:00:00,,loss,-0.75,-0.75,0,0,9125.875,9161.5,short
IS,2020-01-21T00:00:00,,loss,-0.75,-0.75,0,0,9146.0,9182.25,short
IS,2020-01-22T00:00:00,,loss,-0.75,-0.75,0,0,9273.0,9224.25,long
IS,2020-01-23T00:00:00,,loss,-0.75,-0.75,0,0,9236.375,9183.25,long
IS,2020-01-24T00:00:00,,win,1.2879,1.2879,0,0,9230.125,9269.5,short
IS,2020-01-27T00:00:00,,loss,-0.75,-0.75,0,0,9028.875,8958.25,long
IS,2020-01-28T00:00:00,,win,1.3444,1.3444,0,0,9071.0,9016.0,long
IS,2020-01-29T00:00:00,,win,1.3963,1.3963,0,0,9156.625,9072.25,long
IS,2020-01-30T00:00:00,,win,1.3821,1.3821,0,0,9035.5,9109.25,short
IS,2020-01-31T00:00:00,,win,1.4206,1.4206,0,0,9017.5,9128.75,short
IS,2020-02-03T00:00:00,,loss,-0.75,-0.75,0,0,9199.375,9118.75,long
IS,2020-02-04T00:00:00,,win,1.3671,1.3671,0,0,9318.25,9253.25,long
IS,2020-02-05T00:00:00,,loss,-0.75,-0.75,0,0,9309.375,9407.5,short
IS,2020-02-06T00:00:00,,loss,-0.75,-0.75,0,0,9376.0,9418.5,short
IS,2020-02-07T00:00:00,,win,1.3594,1.3594,0,0,9449.0,9387.75,long
IS,2020-02-10T00:00:00,,win,1.2128,1.2128,0,0,9472.625,9444.5,long
IS,2020-02-11T00:00:00,,loss,-0.75,-0.75,0,0,9635.875,9557.75,long
IS,2020-02-12T00:00:00,,scratch,0.9202,0.9202,1,0,9639.0,9559.0,long
IS,2020-02-13T00:00:00,,win,1.3876,1.3876,0,0,9631.5,9554.0,long
IS,2020-02-14T00:00:00,,loss,-0.75,-0.75,0,0,9661.375,9593.25,long
IS,2020-02-17T00:00:00,,scratch,0.1997,0.1997,1,0,9670.75,9658.25,long
IS,2020-02-18T00:00:00,,loss,-0.75,-0.75,0,0,9590.5,9628.0,short
IS,2020-02-19T00:00:00,,win,1.2071,1.2071,0,0,9732.75,9705.25,long
IS,2020-02-20T00:00:00,,win,1.3075,1.3075,0,0,9681.75,9725.5,short
IS,2020-02-21T00:00:00,,loss,-0.75,-0.75,0,0,9567.25,9492.25,long
IS,2020-02-24T00:00:00,,win,1.4069,1.4069,0,0,9107.875,9202.25,short
IS,2020-02-25T00:00:00,,win,1.4184,1.4184,0,0,9039.625,9147.75,short
IS,2020-02-26T00:00:00,,loss,-0.75,-0.75,0,0,9049.25,8925.5,long
IS,2020-02-27T00:00:00,,win,1.4455,1.4455,0,0,8534.5,8698.25,short
IS,2020-02-28T00:00:00,,scratch,0.8747,0.8747,1,0,8311.125,8136.75,long
IS,2020-03-02T00:00:00,,loss,-0.75,-0.75,0,0,8327.0,8534.5,short
IS,2020-03-03T00:00:00,,scratch,0.9317,0.9317,1,0,8433.0,9003.0,short
IS,2020-03-04T00:00:00,,win,1.45,1.45,0,0,8858.25,8679.5,long
IS,2020-03-05T00:00:00,,loss,-0.75,-0.75,0,0,8870.25,8715.25,long
IS,2020-03-06T00:00:00,,win,1.4365,1.4365,0,0,8533.5,8393.5,long
IS,2020-03-09T00:00:00,,loss,-0.75,-0.75,0,0,8353.5,8028.5,long
IS,2020-03-10T00:00:00,,win,1.4575,1.4575,0,0,8041.75,8253.0,short
IS,2020-03-11T00:00:00,,win,1.4453,1.4453,0,0,8059.125,8222.25,short
IS,2020-03-12T00:00:00,,loss,-0.75,-0.75,0,0,7733.25,7453.25,long
IS,2020-03-13T00:00:00,,loss,-0.75,-0.75,0,0,7688.125,7466.25,long
IS,2020-03-16T00:00:00,,win,1.4701,1.4701,0,0,7455.625,7153.75,long
IS,2020-03-17T00:00:00,,win,1.476,1.476,0,0,7307.5,6931.25,long
IS,2020-03-18T00:00:00,,loss,-0.75,-0.75,0,0,6990.0,7325.0,short
IS,2020-03-19T00:00:00,,loss,-0.75,-0.75,0,0,7635.875,7184.0,long
IS,2020-03-20T00:00:00,,loss,-0.75,-0.75,0,0,7518.5,7343.5,long
IS,2020-03-23T00:00:00,,win,1.468,1.468,0,0,6792.125,7074.0,short
IS,2020-03-24T00:00:00,,loss,-0.75,-0.75,0,0,7542.5,7311.25,long
IS,2020-03-25T00:00:00,,win,1.4671,1.4671,0,0,7646.25,7372.5,long
IS,2020-03-26T00:00:00,,loss,-0.75,-0.75,0,0,7776.5,7607.75,long
IS,2020-03-27T00:00:00,,loss,-0.75,-0.75,0,0,7528.875,7660.75,short
IS,2020-03-30T00:00:00,,win,1.4449,1.4449,0,0,7836.625,7674.75,long
