sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-22T00:00:00,,scratch,0.1679,0.1679,1,0,23936.375,23269.5,long
IS,2025-08-25T00:00:00,,win,1.4103,1.4103,0,0,23602.625,23504.5,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23554.0,23487.75,long
IS,2025-08-29T00:00:00,,scratch,0.3375,0.3375,1,0,23373.625,23551.75,short
IS,2025-09-03T00:00:00,,loss,-1.0,-1.0,0,0,23567.625,23372.0,long
IS,2025-09-04T00:00:00,,loss,-1.0,-1.0,0,0,23331.25,23488.75,short
IS,2025-09-08T00:00:00,,loss,-1.0,-1.0,0,0,23904.5,23827.0,long
IS,2025-09-10T00:00:00,,loss,-1.0,-1.0,0,0,24040.0,23923.75,long
IS,2025-09-11T00:00:00,,loss,-1.0,-1.0,0,0,24016.5,23961.5,long
IS,2025-09-12T00:00:00,,win,1.4063,1.4063,0,0,24111.75,24018.0,long
IS,2025-09-17T00:00:00,,win,1.3963,1.3963,0,0,24396.125,24480.5,short
IS,2025-09-18T00:00:00,,win,1.3956,1.3956,0,0,24777.75,24694.0,long
IS,2025-09-22T00:00:00,,loss,-1.0,-1.0,0,0,24918.875,24864.5,long
IS,2025-09-24T00:00:00,,win,1.4051,1.4051,0,0,24748.5,24841.0,short
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,25022.0,24919.5,long
IS,2025-10-01T00:00:00,,win,1.4482,1.4482,0,0,24927.5,24755.0,long
IS,2025-10-03T00:00:00,,loss,-1.0,-1.0,0,0,25000.25,25110.25,short
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25307.25,25213.5,long
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,25267.125,25174.0,long
IS,2025-10-09T00:00:00,,win,1.3621,1.3621,0,0,25223.5,25286.0,short
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24968.5,24864.75,long
IS,2025-10-15T00:00:00,,win,1.384,1.384,0,0,25088.25,25013.25,long
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,25141.25,25035.0,long
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,25043.75,24776.25,long
IS,2025-10-20T00:00:00,,win,1.4019,1.4019,0,0,25299.625,25210.25,long
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25588.125,25492.5,long
IS,2025-10-30T00:00:00,,win,1.4584,1.4584,0,0,25963.875,26179.5,short
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,26034.375,26145.0,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,25774.0,25642.75,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24788.75,25033.75,short
IS,2025-11-10T00:00:00,,loss,-1.0,-1.0,0,0,25688.25,25620.75,long
IS,2025-11-11T00:00:00,,win,1.3999,1.3999,0,0,25541.0,25628.5,short
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25055.875,24900.25,long
IS,2025-11-17T00:00:00,,win,1.4679,1.4679,0,0,24935.375,25216.0,short
IS,2025-11-19T00:00:00,,loss,-1.0,-1.0,0,0,25010.875,24880.25,long
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,23841.5,24229.0,short
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24855.125,24678.25,long
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25723.75,25595.0,long
IS,2025-12-05T00:00:00,,loss,-1.0,-1.0,0,0,25896.375,25767.0,long
IS,2025-12-08T00:00:00,,win,1.414,1.414,0,0,25675.0,25777.5,short
IS,2025-12-12T00:00:00,,win,1.4553,1.4553,0,0,25358.625,25559.25,short
IS,2025-12-15T00:00:00,,win,1.4438,1.4438,0,0,25070.5,25229.25,short
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25190.625,25340.0,short
IS,2025-12-24T00:00:00,,win,1.2519,1.2519,0,0,25837.125,25804.0,long
IS,2025-12-26T00:00:00,,loss,-1.0,-1.0,0,0,25774.0,25884.0,short
IS,2025-12-29T00:00:00,,loss,-1.0,-1.0,0,0,25644.625,25741.5,short
IS,2025-12-31T00:00:00,,win,1.341,1.341,0,0,25561.5,25615.25,short
IS,2020-01-03T00:00:00,,win,1.3338,1.3338,0,0,8856.25,8805.0,long
IS,2020-01-06T00:00:00,,win,1.1883,1.1883,0,0,8817.875,8792.25,long
IS,2020-01-09T00:00:00,,loss,-1.0,-1.0,0,0,9030.125,8992.0,long
IS,2020-01-10T00:00:00,,loss,-1.0,-1.0,0,0,9051.875,9027.5,long
IS,2020-01-15T00:00:00,,loss,-1.0,-1.0,0,0,9099.625,9077.75,long
IS,2020-01-16T00:00:00,,loss,-1.0,-1.0,0,0,9129.625,9106.5,long
IS,2020-01-20T00:00:00,,win,0.7994,0.7994,0,0,9162.375,9171.75,short
IS,2020-01-23T00:00:00,,win,1.0415,1.0415,0,0,9199.5,9183.25,long
IS,2020-01-24T00:00:00,,win,1.2519,1.2519,0,0,9236.375,9269.5,short
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,8927.5,8986.25,short
IS,2020-01-28T00:00:00,,win,1.3124,1.3124,0,0,9061.0,9016.0,long
IS,2020-01-30T00:00:00,,loss,-1.0,-1.0,0,0,9113.75,9080.0,long
IS,2020-01-31T00:00:00,,win,1.3909,1.3909,0,0,9048.75,9128.75,short
IS,2020-02-03T00:00:00,,loss,-1.0,-1.0,0,0,9188.125,9126.25,long
IS,2020-02-10T00:00:00,,win,1.1335,1.1335,0,0,9465.75,9444.5,long
IS,2020-02-11T00:00:00,,loss,-1.0,-1.0,0,0,9612.75,9557.75,long
IS,2020-02-14T00:00:00,,loss,-1.0,-1.0,0,0,9580.25,9620.25,short
IS,2020-02-19T00:00:00,,loss,-1.0,-1.0,0,0,9724.125,9708.5,long
IS,2020-02-21T00:00:00,,loss,-1.0,-1.0,0,0,9462.0,9522.0,short
IS,2020-02-25T00:00:00,,win,1.4063,1.4063,0,0,9054.0,9147.75,short
IS,2020-02-27T00:00:00,,win,1.442,1.442,0,0,8544.5,8698.25,short
IS,2020-03-06T00:00:00,,loss,-1.0,-1.0,0,0,8374.5,8443.25,short
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,8257.25,8157.25,long
IS,2020-03-13T00:00:00,,loss,-1.0,-1.0,0,0,7676.875,7466.25,long
IS,2020-03-16T00:00:00,,win,1.4624,1.4624,0,0,7392.5,7153.75,long
IS,2020-03-19T00:00:00,,win,1.4384,1.4384,0,0,7328.375,7184.0,long
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,7165.25,6961.5,long
IS,2020-03-24T00:00:00,,win,1.4324,1.4324,0,0,7442.5,7311.25,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7306.75,7481.75,short
IS,2020-03-26T00:00:00,,win,1.4081,1.4081,0,0,7703.375,7607.75,long
IS,2020-03-30T00:00:00,,win,1.432,1.432,0,0,7805.375,7674.75,long
IS,2020-04-13T00:00:00,,loss,-1.0,-1.0,0,0,8287.625,8163.25,long
IS,2020-04-21T00:00:00,,win,1.4006,1.4006,0,0,8501.875,8590.0,short
IS,2020-04-23T00:00:00,,win,1.3717,1.3717,0,0,8776.75,8709.25,long
IS,2020-04-24T00:00:00,,win,1.3375,1.3375,0,0,8640.0,8587.5,long
IS,2020-04-28T00:00:00,,win,1.3867,1.3867,0,0,8762.125,8839.0,short
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8938.75,8820.0,long
IS,2020-05-04T00:00:00,,loss,-1.0,-1.0,0,0,8809.75,8713.5,long
IS,2020-05-11T00:00:00,,win,1.3978,1.3978,0,0,9287.875,9202.25,long
IS,2020-05-12T00:00:00,,loss,-1.0,-1.0,0,0,9227.5,9278.75,short
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,9222.125,9109.0,long
IS,2020-05-15T00:00:00,,loss,-1.0,-1.0,0,0,8961.125,9033.0,short
IS,2020-05-18T00:00:00,,loss,-1.0,-1.0,0,0,9308.375,9252.75,long
IS,2020-05-19T00:00:00,,loss,-1.0,-1.0,0,0,9409.875,9368.0,long
IS,2020-05-25T00:00:00,,loss,-1.0,-1.0,0,0,9538.375,9516.5,long
IS,2020-05-28T00:00:00,,win,1.4051,1.4051,0,0,9500.75,9408.25,long
IS,2020-05-29T00:00:00,,loss,-1.0,-1.0,0,0,9482.125,9444.0,long
IS,2020-06-01T00:00:00,,loss,-1.0,-1.0,0,0,9611.875,9542.5,long
IS,2020-06-05T00:00:00,,loss,-1.0,-1.0,0,0,9795.875,9751.5,long
IS,2020-06-08T00:00:00,,loss,-1.0,-1.0,0,0,9716.75,9788.0,short
IS,2020-06-10T00:00:00,,loss,-1.0,-1.0,0,0,10099.125,10056.0,long
IS,2020-06-15T00:00:00,,loss,-1.0,-1.0,0,0,9650.25,9569.0,long
IS,2020-06-16T00:00:00,,loss,-1.0,-1.0,0,0,10033.25,9965.75,long
IS,2020-06-18T00:00:00,,loss,-1.0,-1.0,0,0,10005.5,9958.0,long
IS,2020-06-19T00:00:00,,loss,-1.0,-1.0,0,0,10111.875,10078.75,long
IS,2020-06-22T00:00:00,,loss,-1.0,-1.0,0,0,10082.0,10018.25,long
IS,2020-06-25T00:00:00,,loss,-1.0,-1.0,0,0,9897.375,9968.0,short
IS,2020-06-26T00:00:00,,win,1.412,1.412,0,0,9918.5,10018.5,short
IS,2020-06-29T00:00:00,,loss,-1.0,-1.0,0,0,9738.5,9824.75,short
IS,2020-07-01T00:00:00,,win,1.3909,1.3909,0,0,10221.25,10141.25,long
IS,2020-07-03T00:00:00,,win,0.956,0.956,0,0,10341.125,10354.25,short
IS,2020-07-07T00:00:00,,win,1.3523,1.3523,0,0,10656.875,10598.75,long
IS,2020-07-13T00:00:00,,win,1.3917,1.3917,0,0,11024.125,10943.5,long
IS,2020-07-14T00:00:00,,loss,-1.0,-1.0,0,0,10314.875,10485.5,short
IS,2020-07-16T00:00:00,,loss,-1.0,-1.0,0,0,10438.625,10563.0,short
IS,2020-07-20T00:00:00,,win,1.3792,1.3792,0,0,10742.375,10670.5,long
IS,2020-07-21T00:00:00,,win,1.3893,1.3893,0,0,10875.25,10954.0,short
IS,2020-07-23T00:00:00,,win,1.3933,1.3933,0,0,10773.625,10855.5,short
IS,2020-07-29T00:00:00,,loss,-1.0,-1.0,0,0,10680.5,10596.75,long
IS,2020-07-31T00:00:00,,loss,-1.0,-1.0,0,0,10694.5,10827.0,short
IS,2020-08-04T00:00:00,,loss,-1.0,-1.0,0,0,11094.5,11055.75,long
IS,2020-08-05T00:00:00,,loss,-1.0,-1.0,0,0,11144.875,11100.5,long
IS,2020-08-06T00:00:00,,win,1.2639,1.2639,0,0,11143.0,11108.0,long
IS,2020-08-10T00:00:00,,win,1.3695,1.3695,0,0,11020.5,11086.75,short
IS,2020-08-11T00:00:00,,loss,-1.0,-1.0,0,0,10877.25,11013.5,short
IS,2020-08-12T00:00:00,,loss,-1.0,-1.0,0,0,11096.375,11052.0,long
IS,2020-08-14T00:00:00,,win,1.4026,1.4026,0,0,11097.0,11187.0,short
IS,2020-08-20T00:00:00,,loss,-1.0,-1.0,0,0,11394.25,11358.0,long
IS,2020-08-21T00:00:00,,win,1.3706,1.3706,0,0,11540.875,11474.0,long
IS,2020-08-24T00:00:00,,loss,-1.0,-1.0,0,0,11510.5,11659.25,short
IS,2020-08-25T00:00:00,,loss,-1.0,-1.0,0,0,11569.0,11621.5,short
IS,2020-08-26T00:00:00,,win,1.3594,1.3594,0,0,11832.5,11771.25,long
IS,2020-08-27T00:00:00,,loss,-1.0,-1.0,0,0,11862.875,11983.5,short
IS,2020-09-01T00:00:00,,win,1.4287,1.4287,0,0,12314.625,12190.25,long
IS,2020-09-03T00:00:00,,win,1.4092,1.4092,0,0,12111.375,12208.25,short
IS,2020-09-04T00:00:00,,win,1.4609,1.4609,0,0,11382.0,11612.0,short
IS,2020-09-07T00:00:00,,win,1.2783,1.2783,0,0,11489.5,11452.0,long
IS,2020-09-10T00:00:00,,loss,-1.0,-1.0,0,0,11644.125,11501.0,long
IS,2020-09-14T00:00:00,,loss,-1.0,-1.0,0,0,11373.25,11268.25,long
IS,2020-09-16T00:00:00,,win,1.3633,1.3633,0,0,11393.125,11456.25,short
IS,2020-09-21T00:00:00,,loss,-1.0,-1.0,0,0,10626.125,10821.75,short
IS,2020-09-23T00:00:00,,win,1.3849,1.3849,0,0,11029.375,11105.0,short
IS,2020-09-24T00:00:00,,loss,-1.0,-1.0,0,0,11015.25,10835.25,long
IS,2020-09-30T00:00:00,,win,1.3607,1.3607,0,0,11471.875,11410.0,long
IS,2020-10-02T00:00:00,,loss,-1.0,-1.0,0,0,11482.75,11402.75,long
IS,2020-10-05T00:00:00,,win,1.3717,1.3717,0,0,11433.5,11366.0,long
IS,2020-10-06T00:00:00,,loss,-1.0,-1.0,0,0,11542.25,11444.75,long
IS,2020-10-08T00:00:00,,loss,-1.0,-1.0,0,0,11445.75,11550.75,short
