sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-03-28T00:00:00,,scratch,1.0673,1.0673,1,0,19257.75,19879.0,short
IS,2025-04-02T00:00:00,,win,1.4721,1.4721,0,0,19814.625,19491.5,long
IS,2025-04-03T00:00:00,,win,1.4755,1.4755,0,0,18634.125,19003.5,short
IS,2025-04-04T00:00:00,,win,1.4874,1.4874,0,0,17480.5,18200.5,short
IS,2025-04-14T00:00:00,,loss,-1.0,-1.0,0,0,19399.125,19029.75,long
IS,2025-04-17T00:00:00,,loss,-1.0,-1.0,0,0,18055.375,18488.5,short
IS,2025-04-21T00:00:00,,win,1.4645,1.4645,0,0,17745.25,17999.0,short
IS,2025-04-22T00:00:00,,win,1.4455,1.4455,0,0,18404.25,18240.5,long
IS,2025-04-23T00:00:00,,loss,-1.0,-1.0,0,0,19404.375,18972.5,long
IS,2025-04-24T00:00:00,,win,1.4629,1.4629,0,0,19287.75,19045.25,long
IS,2025-04-28T00:00:00,,win,1.4663,1.4663,0,0,19272.625,19539.5,short
IS,2025-04-29T00:00:00,,scratch,-0.2769,-0.2769,1,0,19799.25,19469.25,long
IS,2025-05-02T00:00:00,,scratch,0.1512,0.1512,1,0,20360.0,20061.25,long
IS,2025-05-07T00:00:00,,win,1.4478,1.4478,0,0,19805.75,19977.0,short
IS,2025-05-08T00:00:00,,loss,-1.0,-1.0,0,0,19874.75,20124.75,short
IS,2025-05-09T00:00:00,,scratch,-0.2175,-0.2175,1,0,19868.125,20275.0,short
IS,2025-05-13T00:00:00,,scratch,0.1338,0.1338,1,0,21433.875,21114.5,long
IS,2025-05-14T00:00:00,,loss,-1.0,-1.0,0,0,21462.75,21296.5,long
IS,2025-05-16T00:00:00,,loss,-1.0,-1.0,0,0,21288.875,21457.0,short
IS,2025-05-19T00:00:00,,scratch,0.299,0.299,1,0,21636.625,21347.25,long
IS,2025-05-21T00:00:00,,win,1.4544,1.4544,0,0,21558.5,21362.25,long
IS,2025-05-27T00:00:00,,scratch,0.9123,0.9123,1,0,21521.375,21292.0,long
IS,2025-05-28T00:00:00,,loss,-1.0,-1.0,0,0,21363.375,21487.75,short
IS,2025-05-29T00:00:00,,scratch,0.1659,0.1659,1,0,21149.0,21534.0,short
IS,2025-06-02T00:00:00,,scratch,0.8786,0.8786,1,0,21610.125,21234.5,long
IS,2025-06-03T00:00:00,,scratch,0.8292,0.8292,1,0,21761.25,21557.5,long
IS,2025-06-06T00:00:00,,loss,-1.0,-1.0,0,0,21972.25,21768.5,long
IS,2025-06-09T00:00:00,,scratch,-0.5321,-0.5321,1,0,21986.625,21787.25,long
IS,2025-06-10T00:00:00,,loss,-1.0,-1.0,0,0,21938.375,21847.75,long
IS,2025-06-11T00:00:00,,loss,-1.0,-1.0,0,0,22153.75,21970.0,long
IS,2025-06-12T00:00:00,,scratch,-0.559,-0.559,1,0,22068.5,21839.75,long
IS,2025-06-13T00:00:00,,loss,-1.0,-1.0,0,0,22026.25,21617.5,long
IS,2025-06-16T00:00:00,,loss,-1.0,-1.0,0,0,22286.625,22143.5,long
IS,2025-06-18T00:00:00,,loss,-1.0,-1.0,0,0,22234.25,21980.5,long
IS,2025-06-20T00:00:00,,scratch,0.0893,0.0893,1,0,21675.625,22030.0,short
IS,2025-06-24T00:00:00,,win,1.4401,1.4401,0,0,22414.5,22265.75,long
IS,2025-06-26T00:00:00,,win,1.4103,1.4103,0,0,22635.625,22537.5,long
IS,2025-07-01T00:00:00,,win,1.4628,1.4628,0,0,22603.125,22845.0,short
IS,2025-07-02T00:00:00,,scratch,0.4774,0.4774,1,0,22941.5,22702.75,long
IS,2025-07-03T00:00:00,,scratch,-0.32,-0.32,1,0,23184.375,22995.0,long
IS,2025-07-07T00:00:00,,win,1.4423,1.4423,0,0,22808.625,22963.0,short
IS,2025-07-11T00:00:00,,loss,-1.0,-1.0,0,0,23103.375,22939.0,long
IS,2025-07-14T00:00:00,,scratch,0.1459,0.1459,1,0,23112.375,22905.5,long
IS,2025-07-17T00:00:00,,win,1.4416,1.4416,0,0,23267.0,23114.5,long
IS,2025-07-18T00:00:00,,scratch,-0.4039,-0.4039,1,0,23026.375,23293.25,short
IS,2025-07-25T00:00:00,,win,1.3933,1.3933,0,0,23465.375,23383.5,long
IS,2025-07-28T00:00:00,,loss,-1.0,-1.0,0,0,23373.375,23527.75,short
IS,2025-07-29T00:00:00,,win,1.4345,1.4345,0,0,23457.125,23592.75,short
IS,2025-07-30T00:00:00,,loss,-1.0,-1.0,0,0,23610.625,23463.75,long
IS,2025-07-31T00:00:00,,win,1.4544,1.4544,0,0,23503.75,23700.0,short
IS,2025-08-05T00:00:00,,win,1.4642,1.4642,0,0,23111.0,23362.25,short
IS,2025-08-06T00:00:00,,win,1.4702,1.4702,0,0,23466.75,23164.25,long
IS,2025-08-08T00:00:00,,loss,-1.0,-1.0,0,0,23777.5,23626.25,long
IS,2025-08-11T00:00:00,,loss,-1.0,-1.0,0,0,23853.25,23710.75,long
IS,2025-08-13T00:00:00,,scratch,-0.0445,-0.0445,1,0,23840.875,24017.75,short
IS,2025-08-14T00:00:00,,loss,-1.0,-1.0,0,0,24034.125,23904.75,long
IS,2025-08-15T00:00:00,,scratch,-0.2708,-0.2708,1,0,23589.5,23883.25,short
IS,2025-08-18T00:00:00,,loss,-1.0,-1.0,0,0,23626.375,23824.5,short
IS,2025-08-19T00:00:00,,win,1.4659,1.4659,0,0,23464.25,23728.0,short
IS,2025-08-20T00:00:00,,loss,-1.0,-1.0,0,0,22835.75,23214.5,short
IS,2025-08-21T00:00:00,,scratch,-0.4659,-0.4659,1,0,22865.125,23348.25,short
IS,2025-08-22T00:00:00,,scratch,-0.1434,-0.1434,1,0,24180.125,23269.5,long
IS,2025-08-25T00:00:00,,loss,-1.0,-1.0,0,0,23646.375,23504.5,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23647.625,23482.0,long
IS,2025-08-27T00:00:00,,loss,-1.0,-1.0,0,0,23728.125,23526.25,long
IS,2025-08-28T00:00:00,,win,1.4569,1.4569,0,0,23801.375,23593.25,long
IS,2025-08-29T00:00:00,,scratch,-0.2249,-0.2249,1,0,23241.75,23551.75,short
IS,2025-09-01T00:00:00,,loss,-1.0,-1.0,0,0,23521.0,23476.0,long
IS,2025-09-02T00:00:00,,win,1.4614,1.4614,0,0,23047.75,23280.25,short
IS,2025-09-03T00:00:00,,loss,-1.0,-1.0,0,0,23622.625,23372.0,long
IS,2025-09-05T00:00:00,,scratch,-0.2007,-0.2007,1,0,23291.5,23854.0,short
IS,2025-09-08T00:00:00,,loss,-1.0,-1.0,0,0,23966.875,23806.25,long
IS,2025-09-09T00:00:00,,loss,-1.0,-1.0,0,0,23675.75,23850.75,short
IS,2025-09-11T00:00:00,,scratch,0.1381,0.1381,1,0,24088.625,23946.75,long
IS,2025-09-12T00:00:00,,scratch,0.6027,0.6027,1,0,24164.875,24018.0,long
IS,2025-09-15T00:00:00,,scratch,0.5703,0.5703,1,0,24320.875,24229.0,long
IS,2025-09-16T00:00:00,,loss,-1.0,-1.0,0,0,24452.25,24561.0,short
IS,2025-09-17T00:00:00,,loss,-1.0,-1.0,0,0,24368.875,24480.75,short
IS,2025-09-18T00:00:00,,loss,-1.0,-1.0,0,0,24934.625,24694.0,long
IS,2025-09-22T00:00:00,,win,1.4308,1.4308,0,0,24982.875,24854.75,long
IS,2025-09-24T00:00:00,,win,1.4051,1.4051,0,0,24748.5,24841.0,short
IS,2025-10-01T00:00:00,,scratch,0.8413,0.8413,1,0,25100.625,24755.0,long
IS,2025-10-02T00:00:00,,loss,-1.0,-1.0,0,0,24960.5,25091.75,short
IS,2025-10-08T00:00:00,,win,1.4378,1.4378,0,0,25317.125,25174.0,long
IS,2025-10-09T00:00:00,,win,1.4197,1.4197,0,0,25179.0,25289.0,short
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,25264.75,25013.5,long
IS,2025-10-20T00:00:00,,scratch,0.4708,0.4708,1,0,25394.0,25210.25,long
IS,2025-10-22T00:00:00,,win,1.478,1.478,0,0,24869.125,25281.0,short
IS,2025-10-23T00:00:00,,scratch,1.2025,1.2025,1,0,25315.625,25083.75,long
IS,2025-10-27T00:00:00,,win,1.4354,1.4354,0,0,25959.5,25822.0,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,25747.0,26179.5,short
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,25851.875,26155.0,short
IS,2025-11-05T00:00:00,,win,1.4639,1.4639,0,0,25867.875,25618.5,long
IS,2025-11-06T00:00:00,,scratch,0.6506,0.6506,1,0,25194.0,25544.0,short
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24636.25,25045.0,short
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25389.125,25628.5,short
IS,2025-11-12T00:00:00,,scratch,-0.6039,-0.6039,1,0,25447.25,25659.75,short
IS,2025-11-13T00:00:00,,win,1.4791,1.4791,0,0,25063.25,25497.0,short
IS,2025-11-14T00:00:00,,win,1.4782,1.4782,0,0,25277.5,24862.5,long
IS,2025-11-17T00:00:00,,win,1.4774,1.4774,0,0,24815.375,25216.0,short
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24159.0,24610.25,short
IS,2025-11-20T00:00:00,,loss,-1.0,-1.0,0,0,25517.25,25156.0,long
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,23723.375,24229.0,short
IS,2025-11-24T00:00:00,,win,1.466,1.466,0,0,24928.375,24664.0,long
IS,2025-11-27T00:00:00,,scratch,-0.5212,-0.5212,1,0,25269.625,25307.75,short
IS,2025-11-28T00:00:00,,win,1.4373,1.4373,0,0,25490.375,25348.5,long
