sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-21T00:00:00,,loss,-1.0,-1.0,0,0,23497.25,23155.25,long
IS,2025-08-22T00:00:00,,scratch,0.1679,0.1679,1,0,24069.75,23269.5,long
IS,2025-08-25T00:00:00,,loss,-1.0,-1.0,0,0,23622.25,23504.5,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23567.25,23487.75,long
IS,2025-08-27T00:00:00,,win,1.8153,1.8153,0,0,23593.0,23526.25,long
IS,2025-08-28T00:00:00,,win,1.8974,1.8974,0,0,23717.0,23593.25,long
IS,2025-08-29T00:00:00,,scratch,0.3375,0.3375,1,0,23338.0,23551.75,short
IS,2025-09-02T00:00:00,,win,1.9307,1.9307,0,0,23095.0,23280.25,short
IS,2025-09-03T00:00:00,,loss,-1.0,-1.0,0,0,23606.75,23372.0,long
IS,2025-09-04T00:00:00,,loss,-1.0,-1.0,0,0,23299.75,23488.75,short
IS,2025-09-05T00:00:00,,win,1.9132,1.9132,0,0,23707.0,23854.0,short
IS,2025-09-08T00:00:00,,loss,-1.0,-1.0,0,0,23920.0,23827.0,long
IS,2025-09-09T00:00:00,,loss,-1.0,-1.0,0,0,23938.5,23781.0,long
IS,2025-09-10T00:00:00,,loss,-1.0,-1.0,0,0,24063.25,23923.75,long
IS,2025-09-11T00:00:00,,loss,-1.0,-1.0,0,0,24027.5,23961.5,long
IS,2025-09-12T00:00:00,,win,1.8876,1.8876,0,0,24130.5,24018.0,long
IS,2025-09-15T00:00:00,,loss,-1.0,-1.0,0,0,24214.5,24265.5,short
IS,2025-09-16T00:00:00,,loss,-1.0,-1.0,0,0,24586.25,24529.25,long
IS,2025-09-17T00:00:00,,win,1.8756,1.8756,0,0,24379.25,24480.5,short
IS,2025-09-18T00:00:00,,win,1.8747,1.8747,0,0,24794.5,24694.0,long
IS,2025-09-19T00:00:00,,win,1.8028,1.8028,0,0,24742.5,24804.75,short
IS,2025-09-22T00:00:00,,loss,-1.0,-1.0,0,0,24929.75,24864.5,long
IS,2025-09-23T00:00:00,,loss,-1.0,-1.0,0,0,24999.25,24929.5,long
IS,2025-09-24T00:00:00,,win,1.8861,1.8861,0,0,24730.0,24841.0,short
IS,2025-09-25T00:00:00,,win,1.9444,1.9444,0,0,24676.25,24444.5,long
IS,2025-09-26T00:00:00,,win,1.9296,1.9296,0,0,24551.0,24733.25,short
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,25042.5,24919.5,long
IS,2025-09-30T00:00:00,,loss,-1.0,-1.0,0,0,24711.25,24812.5,short
IS,2025-10-01T00:00:00,,win,1.9378,1.9378,0,0,24962.0,24755.0,long
IS,2025-10-02T00:00:00,,loss,-1.0,-1.0,0,0,25148.25,25039.5,long
IS,2025-10-03T00:00:00,,loss,-1.0,-1.0,0,0,24978.25,25110.25,short
IS,2025-10-06T00:00:00,,loss,-1.0,-1.0,0,0,25066.5,25177.5,short
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25326.0,25213.5,long
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,25285.75,25174.0,long
IS,2025-10-09T00:00:00,,win,1.8345,1.8345,0,0,25211.0,25286.0,short
IS,2025-10-10T00:00:00,,win,1.9263,1.9263,0,0,25197.25,25371.25,short
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24989.25,24864.75,long
IS,2025-10-14T00:00:00,,win,1.926,1.926,0,0,24727.75,24554.5,long
IS,2025-10-15T00:00:00,,win,1.8608,1.8608,0,0,25103.25,25013.25,long
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,25162.5,25035.0,long
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,25097.25,24776.25,long
IS,2025-10-20T00:00:00,,win,1.8823,1.8823,0,0,25317.5,25210.25,long
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25303.5,25212.0,long
IS,2025-10-22T00:00:00,,win,1.902,1.902,0,0,25151.25,25281.0,short
IS,2025-10-23T00:00:00,,loss,-1.0,-1.0,0,0,25058.5,25176.25,short
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25607.25,25492.5,long
IS,2025-10-27T00:00:00,,loss,-1.0,-1.0,0,0,25774.25,25876.25,short
IS,2025-10-28T00:00:00,,win,1.8133,1.8133,0,0,26011.75,26077.75,short
IS,2025-10-29T00:00:00,,win,1.9009,1.9009,0,0,26198.25,26326.5,short
IS,2025-10-30T00:00:00,,win,1.9501,1.9501,0,0,25920.75,26179.5,short
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,26216.25,26062.5,long
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,26012.25,26145.0,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25818.5,25886.0,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,25800.25,25642.75,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25715.25,25413.0,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24739.75,25033.75,short
IS,2025-11-10T00:00:00,,loss,-1.0,-1.0,0,0,25701.75,25620.75,long
IS,2025-11-11T00:00:00,,win,1.8799,1.8799,0,0,25523.5,25628.5,short
IS,2025-11-12T00:00:00,,loss,-1.0,-1.0,0,0,25744.25,25582.25,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,25594.5,25323.75,long
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25087.0,24900.25,long
IS,2025-11-17T00:00:00,,win,1.9615,1.9615,0,0,24879.25,25216.0,short
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24801.75,24434.25,long
IS,2025-11-19T00:00:00,,loss,-1.0,-1.0,0,0,25037.0,24880.25,long
IS,2025-11-20T00:00:00,,win,1.9101,1.9101,0,0,25158.5,25300.25,short
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,23764.0,24229.0,short
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24890.5,24678.25,long
IS,2025-11-25T00:00:00,,scratch,1.426,1.426,1,0,25157.25,24654.0,long
IS,2025-11-26T00:00:00,,win,1.9346,1.9346,0,0,25331.25,25134.75,long
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25250.0,25385.0,short
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25749.5,25595.0,long
IS,2025-12-03T00:00:00,,scratch,0.8106,0.8106,1,0,25744.5,25488.75,long
IS,2025-12-04T00:00:00,,loss,-1.0,-1.0,0,0,25632.25,25549.0,long
IS,2025-12-05T00:00:00,,loss,-1.0,-1.0,0,0,25922.25,25767.0,long
IS,2025-12-08T00:00:00,,win,1.8968,1.8968,0,0,25654.5,25777.5,short
IS,2025-12-09T00:00:00,,scratch,0.0884,0.0884,1,0,25775.75,25617.5,long
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25692.75,25605.0,long
IS,2025-12-11T00:00:00,,win,1.9421,1.9421,0,0,25613.0,25390.25,long
IS,2025-12-12T00:00:00,,win,1.9464,1.9464,0,0,25318.5,25559.25,short
IS,2025-12-15T00:00:00,,win,1.9326,1.9326,0,0,25038.75,25229.25,short
IS,2025-12-16T00:00:00,,loss,-1.0,-1.0,0,0,25127.25,25408.5,short
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25160.75,25340.0,short
IS,2025-12-18T00:00:00,,win,1.8911,1.8911,0,0,25184.75,25301.0,short
IS,2025-12-19T00:00:00,,scratch,-0.9504,-0.9504,1,0,25439.0,25601.0,short
IS,2025-12-22T00:00:00,,scratch,0.0545,0.0545,1,0,25605.25,25754.5,short
IS,2025-12-23T00:00:00,,scratch,1.615,1.615,1,0,25834.25,25627.25,long
IS,2025-12-26T00:00:00,,loss,-1.0,-1.0,0,0,25752.0,25884.0,short
IS,2025-12-29T00:00:00,,loss,-1.0,-1.0,0,0,25625.25,25741.5,short
IS,2025-12-30T00:00:00,,win,1.8461,1.8461,0,0,25680.5,25761.5,short
IS,2025-12-31T00:00:00,,win,1.8092,1.8092,0,0,25550.75,25615.25,short
IS,2020-01-29T00:00:00,,scratch,-0.0544,-0.0544,1,0,9166.0,9076.0,long
IS,2020-01-31T00:00:00,,win,1.8691,1.8691,0,0,9032.75,9128.75,short
IS,2020-02-24T00:00:00,,loss,-1.0,-1.0,0,0,9262.25,9164.75,long
IS,2020-02-25T00:00:00,,win,1.8876,1.8876,0,0,9035.25,9147.75,short
IS,2020-02-26T00:00:00,,loss,-1.0,-1.0,0,0,8869.0,8965.0,short
IS,2020-02-27T00:00:00,,loss,-1.0,-1.0,0,0,8513.75,8698.25,short
IS,2020-02-28T00:00:00,,scratch,1.418,1.418,1,0,8298.0,8136.75,long
IS,2020-03-02T00:00:00,,loss,-1.0,-1.0,0,0,8403.25,8534.5,short
IS,2020-03-03T00:00:00,,scratch,0.9317,0.9317,1,0,8319.0,9003.0,short
IS,2020-03-04T00:00:00,,win,1.8992,1.8992,0,0,8805.5,8679.5,long
IS,2020-03-05T00:00:00,,win,1.8619,1.8619,0,0,8811.0,8720.25,long
IS,2020-03-11T00:00:00,,loss,-1.0,-1.0,0,0,8277.25,8157.25,long
IS,2020-03-12T00:00:00,,loss,-1.0,-1.0,0,0,7788.25,7453.75,long
IS,2020-03-17T00:00:00,,win,1.9221,1.9221,0,0,7095.5,6931.25,long
IS,2020-03-18T00:00:00,,win,1.9635,1.9635,0,0,6954.0,7309.5,short
IS,2020-03-19T00:00:00,,win,1.926,1.926,0,0,7357.25,7184.0,long
IS,2020-03-23T00:00:00,,loss,-1.0,-1.0,0,0,7206.0,6961.5,long
IS,2020-03-24T00:00:00,,win,1.9188,1.9188,0,0,7468.75,7311.25,long
IS,2020-03-25T00:00:00,,loss,-1.0,-1.0,0,0,7271.75,7481.75,short
IS,2020-03-26T00:00:00,,win,1.8897,1.8897,0,0,7722.5,7607.75,long
IS,2020-03-30T00:00:00,,win,1.9185,1.9185,0,0,7831.5,7674.75,long
IS,2020-04-02T00:00:00,,win,1.8574,1.8574,0,0,7547.75,7460.0,long
IS,2020-04-07T00:00:00,,win,1.9296,1.9296,0,0,8087.75,8270.0,short
IS,2020-04-16T00:00:00,,loss,-1.0,-1.0,0,0,8507.75,8652.5,short
IS,2020-04-21T00:00:00,,win,1.8807,1.8807,0,0,8484.25,8590.0,short
IS,2020-04-28T00:00:00,,win,1.864,1.864,0,0,8746.75,8839.0,short
IS,2020-04-30T00:00:00,,loss,-1.0,-1.0,0,0,9063.0,8979.75,long
IS,2020-05-01T00:00:00,,loss,-1.0,-1.0,0,0,8962.5,8820.0,long
IS,2020-05-04T00:00:00,,loss,-1.0,-1.0,0,0,8829.0,8713.5,long
IS,2020-05-11T00:00:00,,win,1.8773,1.8773,0,0,9305.0,9202.25,long
IS,2020-05-12T00:00:00,,loss,-1.0,-1.0,0,0,9217.25,9278.75,short
IS,2020-05-13T00:00:00,,loss,-1.0,-1.0,0,0,9244.75,9109.0,long
IS,2020-05-14T00:00:00,,loss,-1.0,-1.0,0,0,8932.25,8859.5,long
IS,2020-05-15T00:00:00,,loss,-1.0,-1.0,0,0,8946.75,9033.0,short
IS,2020-05-20T00:00:00,,loss,-1.0,-1.0,0,0,9425.0,9471.5,short
IS,2020-05-21T00:00:00,,win,1.9004,1.9004,0,0,9354.0,9481.5,short
IS,2020-05-22T00:00:00,,loss,-1.0,-1.0,0,0,9331.25,9396.5,short
IS,2022-06-27T00:00:00,,loss,-1.0,-1.0,0,0,11939.0,12121.25,short
IS,2022-06-28T00:00:00,,win,1.9353,1.9353,0,0,11926.0,12124.75,short
IS,2022-06-29T00:00:00,,loss,-1.0,-1.0,0,0,11506.25,11747.0,short
IS,2022-06-30T00:00:00,,loss,-1.0,-1.0,0,0,11272.0,11401.0,short
IS,2022-07-01T00:00:00,,loss,-1.0,-1.0,0,0,11360.0,11618.0,short
IS,2022-07-05T00:00:00,,win,1.9408,1.9408,0,0,11622.75,11405.25,long
IS,2022-07-06T00:00:00,,loss,-1.0,-1.0,0,0,11991.5,11785.25,long
IS,2022-07-07T00:00:00,,win,1.9096,1.9096,0,0,12131.25,11990.25,long
IS,2022-07-08T00:00:00,,win,1.9196,1.9196,0,0,12143.25,11984.25,long
IS,2022-07-11T00:00:00,,win,1.8691,1.8691,0,0,11949.0,11853.0,long
IS,2022-07-12T00:00:00,,loss,-1.0,-1.0,0,0,11964.5,11804.75,long
IS,2022-07-13T00:00:00,,loss,-1.0,-1.0,0,0,11476.0,11696.5,short
IS,2022-07-14T00:00:00,,loss,-1.0,-1.0,0,0,11438.75,11567.75,short
IS,2022-07-15T00:00:00,,loss,-1.0,-1.0,0,0,11724.5,11990.0,short
IS,2022-07-18T00:00:00,,loss,-1.0,-1.0,0,0,12059.25,12183.75,short
IS,2022-07-19T00:00:00,,loss,-1.0,-1.0,0,0,11993.75,12069.5,short
IS,2022-07-20T00:00:00,,win,1.8447,1.8447,0,0,12356.5,12276.25,long
IS,2022-07-21T00:00:00,,loss,-1.0,-1.0,0,0,12283.25,12541.25,short
IS,2022-07-22T00:00:00,,loss,-1.0,-1.0,0,0,12483.0,12586.5,short
IS,2022-07-25T00:00:00,,win,1.8585,1.8585,0,0,12314.5,12403.0,short
IS,2022-07-26T00:00:00,,win,1.9231,1.9231,0,0,12093.5,12260.0,short
IS,2022-07-27T00:00:00,,win,1.8513,1.8513,0,0,12456.25,12372.25,long
IS,2022-07-28T00:00:00,,loss,-1.0,-1.0,0,0,12400.25,12529.25,short
IS,2022-07-29T00:00:00,,loss,-1.0,-1.0,0,0,13018.5,12843.0,long
IS,2022-08-01T00:00:00,,loss,-1.0,-1.0,0,0,13152.5,12969.5,long
IS,2022-08-02T00:00:00,,loss,-1.0,-1.0,0,0,12785.5,12915.25,short
IS,2022-08-03T00:00:00,,loss,-1.0,-1.0,0,0,13279.25,13084.25,long
IS,2022-08-04T00:00:00,,win,1.9052,1.9052,0,0,13199.25,13333.5,short
IS,2022-08-05T00:00:00,,loss,-1.0,-1.0,0,0,13360.5,13167.0,long
IS,2022-08-08T00:00:00,,win,1.8992,1.8992,0,0,13293.5,13419.5,short
IS,2022-08-09T00:00:00,,loss,-1.0,-1.0,0,0,12925.25,13010.0,short
IS,2022-08-10T00:00:00,,loss,-1.0,-1.0,0,0,13209.25,13335.25,short
IS,2022-08-11T00:00:00,,loss,-1.0,-1.0,0,0,13599.75,13494.0,long
IS,2022-08-12T00:00:00,,win,1.9207,1.9207,0,0,13526.0,13364.75,long
IS,2022-08-15T00:00:00,,loss,-1.0,-1.0,0,0,13518.25,13619.5,short
IS,2022-08-16T00:00:00,,loss,-1.0,-1.0,0,0,13475.0,13613.75,short
IS,2022-08-17T00:00:00,,loss,-1.0,-1.0,0,0,13592.0,13510.25,long
IS,2022-08-18T00:00:00,,win,1.8681,1.8681,0,0,13517.75,13422.5,long
