sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-20T00:00:00,,win,2.4002,2.4002,0,0,23040.375,23214.5,short
IS,2025-08-22T00:00:00,,scratch,0.1679,0.1679,1,0,24203.125,23269.5,long
IS,2025-08-25T00:00:00,,loss,-1.0,-1.0,0,0,23641.875,23504.5,long
IS,2025-08-27T00:00:00,,win,2.2845,2.2845,0,0,23604.125,23526.25,long
IS,2025-08-28T00:00:00,,win,2.3804,2.3804,0,0,23737.625,23593.25,long
IS,2025-08-29T00:00:00,,scratch,0.3375,0.3375,1,0,23302.375,23551.75,short
IS,2025-09-03T00:00:00,,loss,-1.0,-1.0,0,0,23645.875,23372.0,long
IS,2025-09-04T00:00:00,,loss,-1.0,-1.0,0,0,23268.25,23488.75,short
IS,2025-09-05T00:00:00,,win,2.3987,2.3987,0,0,23682.5,23854.0,short
IS,2025-09-08T00:00:00,,loss,-1.0,-1.0,0,0,23935.5,23827.0,long
IS,2025-09-09T00:00:00,,loss,-1.0,-1.0,0,0,23964.75,23781.0,long
IS,2025-09-10T00:00:00,,loss,-1.0,-1.0,0,0,24086.5,23923.75,long
IS,2025-09-11T00:00:00,,loss,-1.0,-1.0,0,0,24038.5,23961.5,long
IS,2025-09-12T00:00:00,,win,2.3688,2.3688,0,0,24149.25,24018.0,long
IS,2025-09-17T00:00:00,,loss,-1.0,-1.0,0,0,24362.375,24480.5,short
IS,2025-09-18T00:00:00,,win,2.3538,2.3538,0,0,24811.25,24694.0,long
IS,2025-09-22T00:00:00,,loss,-1.0,-1.0,0,0,24940.625,24864.5,long
IS,2025-09-24T00:00:00,,win,2.3671,2.3671,0,0,24711.5,24841.0,short
IS,2025-09-25T00:00:00,,scratch,1.4425,1.4425,1,0,24714.875,24444.5,long
IS,2025-09-26T00:00:00,,win,2.4179,2.4179,0,0,24520.625,24733.25,short
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,25063.0,24919.5,long
IS,2025-10-01T00:00:00,,win,2.4275,2.4275,0,0,24996.5,24755.0,long
IS,2025-10-03T00:00:00,,loss,-1.0,-1.0,0,0,24956.25,25110.25,short
IS,2025-10-06T00:00:00,,loss,-1.0,-1.0,0,0,25048.0,25177.5,short
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25344.75,25213.5,long
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,25304.375,25174.0,long
IS,2025-10-09T00:00:00,,win,2.3069,2.3069,0,0,25198.5,25286.0,short
IS,2025-10-10T00:00:00,,win,2.4141,2.4141,0,0,25168.25,25371.25,short
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,25010.0,24864.75,long
IS,2025-10-14T00:00:00,,win,2.4137,2.4137,0,0,24756.625,24554.5,long
