strategy,session,filter,n_is,mean_is,annual_r,sharpe,skewness,kurtosis_excess,t,p,wfe,era_ok,years_positive,years_eligible,dd,tail5,start,end,n_2026,mean_2026,trades_per_year,era_detail,year_detail,orb_minutes,rr,null_pnl_is,null_pnl_total,p_for_bh,q_global,q_session,sr0,dsr,strict_pass,research_shortlist
MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,NYSE_OPEN,COST_LT10,1699,0.1362884638022366,34.77596012541118,0.10894548875726301,0.44236786006827833,-1.5463458135820265,4.490616223351713,7.58020916921094e-06,1.4731344501168848,True,7,7,16.869799999999998,-1.0,2019-05-06,2025-12-31,86,0.21579999999999996,255.1643708881579,2019:164:+0.094;2020_2022:765:+0.138;2023:255:+0.073;2024_2025:515:+0.179,2019:164:+0.094;2020:254:+0.027;2021:254:+0.238;2022:257:+0.149;2023:255:+0.073;2024:259:+0.184;2025:256:+0.174,15,2.0,0,0,7.58020916921094e-06,0.0004927135959987111,0.00016612329602167205,0.1841826006474741,0.000747746939953331,False,True
MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT12,NYSE_OPEN,COST_LT12,1706,0.1342723329425557,34.40267522615132,0.10736778367783995,0.4447622511827207,-1.5443049044266817,4.434692401739583,9.809256224002119e-06,1.5587406001763509,True,7,7,16.869799999999998,-1.0,2019-05-06,2025-12-31,86,0.21579999999999996,256.21566611842104,2019:167:+0.075;2020_2022:768:+0.136;2023:256:+0.079;2024_2025:515:+0.179,2019:167:+0.075;2020:255:+0.023;2021:256:+0.236;2022:257:+0.149;2023:256:+0.079;2024:259:+0.184;2025:256:+0.174,15,2.0,0,0,9.809256224002119e-06,0.0005033363100574447,0.00016612329602167205,0.1841826006474741,0.0005808348741245806,False,True
MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT15,NYSE_OPEN,COST_LT15,1707,0.13360785002929115,34.25249019325658,0.10684201422547727,0.4457287864243949,-1.5435106576083906,4.414269330071892,1.0770471283611392e-05,1.5797985161653358,True,7,7,16.869799999999998,-1.0,2019-05-06,2025-12-31,86,0.21579999999999996,256.3658511513158,2019:167:+0.075;2020_2022:769:+0.134;2023:256:+0.079;2024_2025:515:+0.179,2019:167:+0.075;2020:256:+0.019;2021:256:+0.236;2022:257:+0.149;2023:256:+0.079;2024:259:+0.184;2025:256:+0.174,15,2.0,0,0,1.0770471283611392e-05,0.0005033363100574447,0.00016612329602167205,0.1841826006474741,0.0005356247556665972,False,True
MNQ_NYSE_OPEN_O15_E2_RR2_NO_FILTER,NYSE_OPEN,NO_FILTER,1715,0.13187918367346937,33.96776940789473,0.10553715451121459,0.4479995862105881,-1.5408960044001563,4.370563583187598,1.313616918464655e-05,1.6655612977329963,True,7,7,17.4312,-1.0,2019-05-06,2025-12-31,86,0.21579999999999996,257.56733141447364,2019:170:+0.056;2020_2022:773:+0.133;2023:257:+0.084;2024_2025:515:+0.179,2019:170:+0.056;2020:258:+0.016;2021:258:+0.235;2022:257:+0.149;2023:257:+0.084;2024:259:+0.184;2025:256:+0.174,15,2.0,0,0,1.313616918464655e-05,0.0005123105982012154,0.00016612329602167205,0.1841826006474741,0.00042874601654496747,False,True
MNQ_US_DATA_1000_O15_E2_RR2_NO_FILTER,US_DATA_1000,NO_FILTER,1717,0.13077099592312175,33.721616138980266,0.10168356865701242,0.44509967052249505,-1.6186061487182624,4.213431398218695,2.6458729121436536e-05,0.8143650255043233,True,7,7,23.21520000000001,-1.0,2019-05-06,2025-12-31,85,0.15667999999999999,257.8677014802631,2019:170:+0.225;2020_2022:774:+0.133;2023:257:+0.134;2024_2025:516:+0.095,2019:170:+0.225;2020:258:+0.107;2021:258:+0.172;2022:258:+0.119;2023:257:+0.134;2024:259:+0.148;2025:257:+0.043,15,2.0,0,0,2.6458729121436536e-05,0.0006109877580015937,0.00023812856209292884,0.1841826006474741,0.0002363635119957963,False,True
MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT08,NYSE_OPEN,COST_LT08,1680,0.1315919642857143,33.202081054687504,0.10526320444243115,0.4511281424155425,-1.5366796146648343,4.3145074935549275,1.6927852551990582e-05,1.7102477549970683,True,7,7,16.869799999999998,-1.0,2019-05-06,2025-12-31,86,0.21579999999999996,252.3108552631579,2019:150:+0.031;2020_2022:764:+0.136;2023:252:+0.078;2024_2025:514:+0.181,2019:150:+0.031;2020:253:+0.020;2021:254:+0.238;2022:257:+0.149;2023:252:+0.078;2024:258:+0.188;2025:256:+0.174,15,2.0,0,0,1.6927852551990582e-05,0.0005305068076561334,0.00016612329602167205,0.1841826006474741,0.0004645360253401343,False,True
MNQ_US_DATA_1000_O15_E2_RR2_COST_LT12,US_DATA_1000,COST_LT12,1682,0.1300817479191439,32.860109734786185,0.10095823762182149,0.449885013724326,-1.6158197431345305,4.140518757463902,3.637014717887736e-05,0.8104701461199316,True,7,7,23.1532,-1.0,2019-05-06,2025-12-31,85,0.15667999999999999,252.61122532894734,2019:151:+0.224;2020_2022:763:+0.134;2023:254:+0.124;2024_2025:514:+0.100,2019:151:+0.224;2020:253:+0.114;2021:253:+0.167;2022:257:+0.121;2023:254:+0.124;2024:257:+0.157;2025:257:+0.043,15,2.0,0,0,3.637014717887736e-05,0.0007253364579423837,0.0002584194667972865,0.1841826006474741,0.00024092932670249922,False,True
MNQ_US_DATA_1000_O15_E2_RR2_COST_LT10,US_DATA_1000,COST_LT10,1662,0.13146089049338147,32.81362746710526,0.10193264175120242,0.4486522421495054,-1.6173784690149202,4.155552654121695,3.4101844354480896e-05,0.8264386787638738,True,7,7,23.1532,-1.0,2019-05-06,2025-12-31,85,0.15667999999999999,249.60752467105263,2019:140:+0.243;2020_2022:757:+0.131;2023:253:+0.126;2024_2025:512:+0.104,2019:140:+0.243;2020:248:+0.105;2021:252:+0.168;2022:257:+0.121;2023:253:+0.126;2024:256:+0.161;2025:256:+0.047,15,2.0,0,0,3.4101844354480896e-05,0.0007041027863778115,0.0002584194667972865,0.1841826006474741,0.00030209617494442176,False,True
MNQ_US_DATA_1000_O15_E2_RR2_COST_LT15,US_DATA_1000,COST_LT15,1695,0.1281119174041298,32.612634837582235,0.09947627718650637,0.4520004946070734,-1.6142448685782076,4.095475904005891,4.4116729935306645e-05,0.8120642985100606,True,7,7,23.21520000000001,-1.0,2019-05-06,2025-12-31,85,0.15667999999999999,254.56363075657893,2019:160:+0.220;2020_2022:765:+0.131;2023:255:+0.123;2024_2025:515:+0.097,2019:160:+0.220;2020:254:+0.110;2021:254:+0.162;2022:257:+0.121;2023:255:+0.123;2024:258:+0.152;2025:257:+0.043,15,2.0,0,0,4.4116729935306645e-05,0.0007900496024128895,0.0002625091425166879,0.1841826006474741,0.00018143840209888795,False,True
MNQ_US_DATA_1000_O15_E2_RR1_5_NO_FILTER,US_DATA_1000,NO_FILTER,1717,0.12025463016889924,31.009785074013152,0.10599878975615819,0.14321483648429698,-1.8677340237961049,4.392239914771901,1.1904346330750885e-05,0.7348746114340412,True,6,7,19.350799999999992,-1.0,2019-05-06,2025-12-31,85,0.15383058823529408,257.8677014802631,2019:170:+0.221;2020_2022:774:+0.129;2023:257:+0.135;2024_2025:516:+0.067,2019:170:+0.221;2020:258:+0.118;2021:258:+0.113;2022:258:+0.156;2023:257:+0.135;2024:259:+0.136;2025:257:-0.003,15,1.5,0,0,1.1904346330750885e-05,0.0005033363100574447,0.00023812856209292884,0.1841826006474741,0.0005512238827265481,False,True
