candidate,book_shape,book,overlay,us_data_rr,us_data_filter,stop_multiplier,risk_cap_dollars,realized_loss_throttle,n_is_days,active_trade_days_is,trades_before_throttle,trades_after_overlay,skipped_trades,null_pnl_count,annual_dollars,max_dd_dollars,worst_day_dollars,hist_daily_belt_breaches,operational_survival,trailing_dd_breach_mc,daily_loss_breach_mc,mean_2026_dollars,profile_safe,verdict
RAW_ANNUAL_RR2_NO_FILTER__RISK_CAP_300,RAW_ANNUAL_RR2_NO_FILTER,NYOPEN_USDATA_RR2_NO_FILTER,RISK_CAP_300,2.0,NO_FILTER,1.0,300.0,False,1719,1694,3397,3397,0,0,8257.54968305759,3250.160353999934,-534.84,25,0.2227,0.0927,0.6846,66.77885639534884,False,KILL
CURRENT_RR2_COST_LT10__RISK_CAP_300,CURRENT_RR2_COST_LT10,NYOPEN_USDATA_RR2_COST_LT10,RISK_CAP_300,2.0,COST_LT10,1.0,300.0,False,1719,1679,3342,3342,0,0,8243.418502910996,3250.160353999934,-534.84,25,0.2231,0.0925,0.6844,66.77885639534884,False,KILL
CURRENT_RR2_COST_LT10__REALIZED_LOSS_THROTTLE,CURRENT_RR2_COST_LT10,NYOPEN_USDATA_RR2_COST_LT10,REALIZED_LOSS_THROTTLE,2.0,COST_LT10,1.0,,True,1719,1704,3532,3317,215,0,7967.291674596859,3276.6027680000007,-866.34,48,0.0676,0.0447,0.8877,59.44175420930231,False,KILL
RAW_ANNUAL_RR2_NO_FILTER__RAW,RAW_ANNUAL_RR2_NO_FILTER,NYOPEN_USDATA_RR2_NO_FILTER,RAW,2.0,NO_FILTER,1.0,,False,1719,1719,3587,3587,0,0,7961.564128293194,3548.769733999914,-866.34,62,0.0317,0.0304,0.9379,70.73960432558137,False,KILL
RAW_ANNUAL_RR2_NO_FILTER__REALIZED_LOSS_THROTTLE,RAW_ANNUAL_RR2_NO_FILTER,NYOPEN_USDATA_RR2_NO_FILTER,REALIZED_LOSS_THROTTLE,2.0,NO_FILTER,1.0,,True,1719,1719,3587,3369,218,0,7958.078706764397,3276.6027680000007,-866.34,48,0.0676,0.0448,0.8876,59.44175420930231,False,KILL
CURRENT_RR2_COST_LT10__RAW,CURRENT_RR2_COST_LT10,NYOPEN_USDATA_RR2_COST_LT10,RAW,2.0,COST_LT10,1.0,,False,1719,1704,3532,3532,0,0,7947.432948146597,3548.769733999914,-866.34,62,0.0318,0.0308,0.9374,70.73960432558137,False,KILL
COMPROMISE_RR1_5_NO_FILTER__RISK_CAP_300,COMPROMISE_RR1_5_NO_FILTER,NYOPEN_USDATA_RR1_5_NO_FILTER,RISK_CAP_300,1.5,NO_FILTER,1.0,300.0,False,1719,1694,3397,3397,0,0,7939.119421528796,2660.232339999944,-534.84,25,0.2294,0.0759,0.6947,67.4561696511628,False,KILL
RAW_ANNUAL_RR2_NO_FILTER__RISK_CAP_225,RAW_ANNUAL_RR2_NO_FILTER,NYOPEN_USDATA_RR2_NO_FILTER,RISK_CAP_225,2.0,NO_FILTER,1.0,225.0,False,1719,1627,3055,3055,0,0,7879.102579057591,2583.4074199999923,-414.84,0,0.8377,0.1623,0.0,31.956503023255813,False,KILL
CURRENT_RR2_COST_LT10__RISK_CAP_225,CURRENT_RR2_COST_LT10,NYOPEN_USDATA_RR2_COST_LT10,RISK_CAP_225,2.0,COST_LT10,1.0,225.0,False,1719,1612,3000,3000,0,0,7864.971398910994,2583.4074199999923,-414.84,0,0.8374,0.1626,0.0,31.956503023255813,False,KILL
COMPROMISE_RR1_5_NO_FILTER__RISK_CAP_225,COMPROMISE_RR1_5_NO_FILTER,NYOPEN_USDATA_RR1_5_NO_FILTER,RISK_CAP_225,1.5,NO_FILTER,1.0,225.0,False,1719,1627,3055,3055,0,0,7693.592796649215,2448.256553999985,-414.84,0,0.8656,0.1344,0.0,30.206643860465118,False,KILL
