strategy,session,filter,n_is,mean_is,annual_r,sharpe,skewness,kurtosis_excess,t,p,wfe,era_ok,years_positive,years_eligible,dd,tail5,start,end,n_2026,mean_2026,trades_per_year,era_detail,year_detail,family,leg_1,leg_2,us_data_rr,us_data_filter,leg_corr_is,objective_score,q_family,sr0_family,dsr_family,sr0_inherited,dsr_inherited,verdict
NYOPEN_USDATA_RR1_NO_FILTER,,,1719,0.2266677719604421,58.518381568667756,0.137526637039395,0.2647862918939552,-1.007131835938662,5.701967815073431,1.3914345590415654e-08,1.115381799779775,True,7,7,13.954600000000084,-2.0,2019-05-06,2025-12-31,86,0.41893837209302326,258.1680715460526,2019:171:+0.231;2020_2022:775:+0.242;2023:257:+0.158;2024_2025:516:+0.237,2019:171:+0.231;2020:259:+0.130;2021:258:+0.336;2022:258:+0.259;2023:257:+0.158;2024:259:+0.302;2025:257:+0.171,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_NO_FILTER,1.0,NO_FILTER,0.13571512217273116,4.193483264921058,4.498779660159506e-08,0.0035552854427695966,0.9999999916526421,0.18520502973913,0.02230467267670544,NARROW
NYOPEN_USDATA_RR1_COST_LT15,,,1708,0.224025,57.46600500616776,0.1355756321164861,0.2669649170563255,-1.0166451394161036,5.603063845488859,2.4506832342478312e-08,1.1161895626020726,True,7,7,13.954600000000084,-2.0,2019-05-06,2025-12-31,86,0.41893837209302326,256.5160361842105,2019:167:+0.239;2020_2022:770:+0.236;2023:255:+0.154;2024_2025:516:+0.236,2019:167:+0.239;2020:257:+0.122;2021:255:+0.331;2022:258:+0.256;2023:255:+0.154;2024:259:+0.300;2025:257:+0.171,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_COST_LT15,1.0,COST_LT15,0.1371361779457214,4.11806895261544,4.498779660159506e-08,0.0035552854427695966,0.9999999851357759,0.18520502973913,0.018591536999217673,NARROW
NYOPEN_USDATA_RR1_COST_LT12,,,1705,0.22391671554252202,57.33734148848684,0.13558536643741656,0.2661853521877056,-1.0151698473908044,5.598542905462665,2.5149216281307436e-08,1.1279540292440497,True,7,7,13.954600000000084,-2.0,2019-05-06,2025-12-31,86,0.41893837209302326,256.0654810855263,2019:166:+0.232;2020_2022:768:+0.237;2023:255:+0.151;2024_2025:516:+0.238,2019:166:+0.232;2020:256:+0.120;2021:254:+0.336;2022:258:+0.256;2023:255:+0.151;2024:259:+0.304;2025:257:+0.171,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_COST_LT12,1.0,COST_LT12,0.1365161380979015,4.108848801720328,4.498779660159506e-08,0.0035552854427695966,0.9999999847243579,0.18520502973913,0.018699146494167873,NARROW
NYOPEN_USDATA_RR1_COST_LT10,,,1704,0.22234947183098588,56.90263091077301,0.13478714290483323,0.26928914559690037,-1.0110314147198238,5.563950567063952,3.057724141061618e-08,1.1489276654887823,True,7,7,13.954600000000084,-2.0,2019-05-06,2025-12-31,86,0.41893837209302326,255.91529605263156,2019:165:+0.218;2020_2022:768:+0.236;2023:255:+0.153;2024_2025:516:+0.238,2019:165:+0.218;2020:256:+0.118;2021:254:+0.333;2022:258:+0.256;2023:255:+0.153;2024:259:+0.300;2025:257:+0.175,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_COST_LT10,1.0,COST_LT10,0.1371461198051656,4.077697025409017,4.498779660159506e-08,0.0035552854427695966,0.9999999814188101,0.18520502973913,0.017235702726783486,NARROW
NYOPEN_USDATA_RR1_COST_LT08,,,1703,0.21979835584263066,56.21675088404605,0.13377750847180514,0.2761278227632452,-1.0040219961750065,5.520652704100249,3.8989423721382384e-08,1.170944434236109,True,7,7,13.954600000000084,-2.0,2019-05-06,2025-12-31,86,0.41893837209302326,255.76511101973682,2019:165:+0.163;2020_2022:768:+0.243;2023:255:+0.156;2024_2025:515:+0.235,2019:165:+0.163;2020:256:+0.140;2021:254:+0.333;2022:258:+0.256;2023:255:+0.156;2024:259:+0.291;2025:256:+0.178,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_COST_LT08,1.0,COST_LT08,0.1376863550264796,4.02854620584221,4.498779660159506e-08,0.0035552854427695966,0.9999999764333173,0.18520502973913,0.01550359587009087,NARROW
NYOPEN_USDATA_RR1_5_NO_FILTER,,,1719,0.2548175101803374,65.78574519942433,0.13869220577633232,0.34744643307266737,-1.0122468412992247,5.750293256364987,1.0522894506385552e-08,1.059931295311313,True,7,7,18.16949999999997,-2.0,2019-05-06,2025-12-31,86,0.36784186046511613,258.1680715460526,2019:171:+0.310;2020_2022:775:+0.265;2023:257:+0.207;2024_2025:516:+0.245,2019:171:+0.310;2020:259:+0.144;2021:258:+0.347;2022:258:+0.304;2023:257:+0.207;2024:259:+0.319;2025:257:+0.171,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_5_NO_FILTER,1.5,NO_FILTER,0.19255698391699225,3.6206689892085326,4.498779660159506e-08,0.0035552854427695966,0.9999999948896381,0.18520502973913,0.024351264025656627,NARROW
NYOPEN_USDATA_RR1_5_COST_LT15,,,1708,0.2520945550351288,64.66629600123355,0.1369470071588894,0.350317115692783,-1.016760173574768,5.659739973777854,1.7748107008709102e-08,1.0613536676601352,True,7,7,18.16949999999997,-2.0,2019-05-06,2025-12-31,86,0.36784186046511613,256.5160361842105,2019:167:+0.308;2020_2022:770:+0.263;2023:255:+0.200;2024_2025:516:+0.243,2019:167:+0.308;2020:257:+0.141;2021:255:+0.343;2022:258:+0.306;2023:255:+0.200;2024:259:+0.315;2025:257:+0.171,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_5_COST_LT15,1.5,COST_LT15,0.19417786914482046,3.5590575415522525,4.498779660159506e-08,0.0035552854427695966,0.999999991232936,0.18520502973913,0.020749415102317148,NARROW
NYOPEN_USDATA_RR1_5_COST_LT10,,,1704,0.2522103286384976,64.54448092105262,0.137445940287391,0.3492964984189337,-1.0051890746576966,5.673704486359025,1.6390322945379276e-08,1.0960747759232041,True,7,7,18.16949999999997,-2.0,2019-05-06,2025-12-31,86,0.36784186046511613,255.91529605263156,2019:165:+0.283;2020_2022:768:+0.264;2023:255:+0.202;2024_2025:516:+0.249,2019:165:+0.283;2020:256:+0.139;2021:254:+0.348;2022:258:+0.306;2023:255:+0.202;2024:259:+0.323;2025:257:+0.175,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_5_COST_LT10,1.5,COST_LT10,0.19249890838483302,3.552353169930528,4.498779660159506e-08,0.0035552854427695966,0.9999999919311949,0.18520502973913,0.02195161187276351,NARROW
NYOPEN_USDATA_RR1_5_COST_LT12,,,1705,0.2519897947214076,64.52588801398025,0.13703947907130934,0.34907900074112197,-1.0128435788677586,5.658585609068011,1.7870553421994062e-08,1.0771690949567994,True,7,7,18.16949999999997,-2.0,2019-05-06,2025-12-31,86,0.36784186046511613,256.0654810855263,2019:166:+0.285;2020_2022:768:+0.266;2023:255:+0.200;2024_2025:516:+0.245,2019:166:+0.285;2020:256:+0.146;2021:254:+0.348;2022:258:+0.306;2023:255:+0.200;2024:259:+0.319;2025:257:+0.171,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_5_COST_LT12,1.5,COST_LT12,0.19299315546595233,3.551329866753645,4.498779660159506e-08,0.0035552854427695966,0.9999999911548971,0.18520502973913,0.021044230369975936,NARROW
NYOPEN_USDATA_RR1_5_COST_LT08,,,1703,0.24554715208455666,62.80239461348683,0.1345599830813548,0.3592418747189173,-0.98715336980458,5.55294341289313,3.2533406884112167e-08,1.1655617801885079,True,7,7,18.16949999999997,-2.0,2019-05-06,2025-12-31,86,0.36784186046511613,255.76511101973682,2019:165:+0.188;2020_2022:768:+0.270;2023:255:+0.206;2024_2025:515:+0.248,2019:165:+0.188;2020:256:+0.155;2021:254:+0.348;2022:258:+0.306;2023:255:+0.206;2024:259:+0.317;2025:256:+0.177,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR1_5_COST_LT08,1.5,COST_LT08,0.1923790729398608,3.4564734645139894,4.498779660159506e-08,0.0035552854427695966,0.9999999837035576,0.18520502973913,0.01631348720316933,NARROW
NYOPEN_USDATA_RR2_COST_LT08,,,1703,0.25633458602466236,65.56144385279605,0.13128293565922367,0.47705281566933594,-0.880223219909452,5.417708118716113,6.899257969179977e-08,1.2059958315196617,True,7,7,22.423999999999978,-2.0,2019-05-06,2025-12-31,86,0.3706581395348837,255.76511101973682,2019:165:+0.205;2020_2022:768:+0.270;2023:255:+0.201;2024_2025:515:+0.279,2019:165:+0.205;2020:256:+0.139;2021:254:+0.404;2022:258:+0.269;2023:255:+0.201;2024:259:+0.335;2025:256:+0.223,usdata_rr_leg_choice,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,MNQ_US_DATA_1000_O15_E2_RR2_COST_LT08,2.0,COST_LT08,0.21450293690758795,2.9237176174097446,6.899257969179977e-08,0.0035552854427695966,0.9999999716134759,0.18520502973913,0.010958717655563277,NARROW
