scenario_id,replaced_incumbent_lane,candidate_lane,n_is_days,active_trade_days_is,n_is_trades,expected_r_after_costs,annual_dollars,max_drawdown_dollars,annual_dollars_per_max_drawdown,win_rate,sharpe,t_stat,p_value,mean_2026_dollars,mean_2026_r,historical_daily_loss_breaches,ninety_day_account_survival,daily_loss_breach_rate,trailing_drawdown_breach_rate,scaling_ok,account_safe,improves_incumbent,incumbent_annual_dollars_per_max_drawdown,chordia_severity,chordia_verdict,sr_regime_status,oos_status,verdict
R02_C05,MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15,MNQ_CME_PRECLOSE_O15_E2_RR2_COST_LT10,1722,1315,2045,0.16556016260162604,3549.7043754146343,1584.8336599999984,2.2397961786189207,0.5361216730038023,0.16198572615461576,6.721919708895467,2.4313892750162878e-11,,,1,0.9534,0.0466,0.0,True,False,True,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R03_C05,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT08,MNQ_CME_PRECLOSE_O15_E2_RR2_COST_LT10,1718,1468,2503,0.22559703143189755,5828.857953485449,2316.5372720000014,2.516194331918975,0.529291553133515,0.1946123616359841,8.066441761770628,1.3451240445348353e-15,,,2,0.8961,0.0991,0.0048,True,False,True,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R02_C01,MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,1722,1701,2659,0.24807648083623698,6983.931934243901,3268.1558459999997,2.1369641667461354,0.4673721340388007,0.16225269377674303,6.732998061065222,2.257605218742246e-11,,,15,0.4083,0.5272,0.0645,True,False,True,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R03_C01,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT08,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,1719,1709,3117,0.30812611983711463,9265.688086324608,3472.879644,2.668013014022149,0.4681100058513751,0.16834379670483748,6.979672675361675,4.21039474840706e-12,,,28,0.2025,0.731,0.0665,True,False,True,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R01_C01,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,MNQ_NYSE_OPEN_O15_E2_RR2_COST_LT10,1722,1710,3019,0.29308269454123115,8324.49533092683,4513.976678000001,1.8441600222478658,0.4637426900584795,0.16097724618558745,6.680070827881302,3.214257417654323e-11,,,35,0.1378,0.8081,0.0541,True,False,True,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R01_C05,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,MNQ_CME_PRECLOSE_O15_E2_RR2_COST_LT10,1722,1461,2405,0.2105663763066202,4890.267772097561,3306.8234999999877,1.4788414840095272,0.5304585900068446,0.182304552896179,7.565089815163837,6.274682379890015e-14,,,5,0.7648,0.2289,0.0063,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R02_C02,MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15,MNQ_US_DATA_1000_O15_E2_RR1_NO_FILTER,1722,1717,2677,0.20541312427409988,3947.5659640975614,2832.765911999977,1.3935376542675628,0.5730926033779848,0.1567449658302766,6.504443941430946,1.0193357657355406e-10,,,5,0.7499,0.2206,0.0295,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R02_C03,MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15,MNQ_US_DATA_1000_O15_E2_RR1_5_NO_FILTER,1722,1717,2677,0.23351382113821137,4830.523519902439,3124.453465999999,1.5460379143001264,0.5020384391380315,0.1605634118547053,6.662897949683879,3.602692445465398e-11,,,5,0.7379,0.2192,0.0429,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R02_C04,MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15,MNQ_US_DATA_1000_O15_E2_RR2_NO_FILTER,1722,1717,2677,0.2439996515679443,5107.753764585365,3500.7126299999763,1.4590611410984053,0.45777518928363425,0.15465407283805058,6.41767818035259,1.784266849112723e-10,,,5,0.7167,0.2169,0.0664,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R03_C02,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT08,MNQ_US_DATA_1000_O15_E2_RR1_NO_FILTER,1718,1717,3135,0.26554278230500583,6227.645878812572,4400.771271999998,1.4151260072151677,0.5463016889924287,0.1568715225319276,6.50213064548778,1.0353915891832814e-10,,,30,0.1876,0.7813,0.0311,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R03_C03,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT08,MNQ_US_DATA_1000_O15_E2_RR1_5_NO_FILTER,1718,1717,3135,0.29370890570430735,7112.6592147241,4728.345867999989,1.5042595049698924,0.48631333721607456,0.15294420630856104,6.339348243951034,2.9420600785891874e-10,,,34,0.1444,0.8103,0.0453,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R03_C04,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT08,MNQ_US_DATA_1000_O15_E2_RR2_NO_FILTER,1718,1717,3135,0.30421915017462164,7390.53493145518,4903.370911999991,1.5072355455240736,0.45719277810133957,0.150269981828913,6.228504945808797,5.908709808475847e-10,,,34,0.1413,0.8052,0.0535,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R01_C02,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,MNQ_US_DATA_1000_O15_E2_RR1_NO_FILTER,1722,1717,3037,0.2504193379790941,5288.129360780489,7194.389109999975,0.7350352170179614,0.5381479324403029,0.1468661720328903,6.094503755322314,1.351765042516663e-09,,,39,0.117,0.859,0.024,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R01_C03,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,MNQ_US_DATA_1000_O15_E2_RR1_5_NO_FILTER,1722,1717,3037,0.2785200348432056,6171.086916585366,8658.29763199995,0.7127367502103215,0.48456610366919045,0.14371940226727228,5.963922288615339,2.981971182914486e-09,,,42,0.0951,0.8687,0.0362,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
R01_C04,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_100,MNQ_US_DATA_1000_O15_E2_RR2_NO_FILTER,1722,1717,3037,0.2890058652729384,6448.317161268293,8195.470233999957,0.7868147863580328,0.45544554455445546,0.14103178354728865,5.852394207266921,5.789003927031389e-09,,,42,0.0921,0.8635,0.0444,True,False,False,1.7967857196168664,PASS,MISSING,UNKNOWN,UNKNOWN,KILL
