inst,sess,apt,rr,dir,n_on,n_off,expr_on,expr_off,delta
MNQ,CME_REOPEN,5,1.0,long,122,265,-0.01967131147540984,0.050468679245283025,-0.07013999072069287
MNQ,CME_REOPEN,5,1.0,short,107,267,0.15540280373831775,-0.043292883895131105,0.19869568763344886
MNQ,CME_REOPEN,5,1.5,long,108,211,-0.007658333333333298,-0.11738151658767773,0.10972318325434444
MNQ,CME_REOPEN,5,1.5,short,92,237,0.048363043478260856,-0.10397679324894514,0.152339836727206
MNQ,CME_REOPEN,5,2.0,long,103,199,-0.04725339805825243,-0.09763969849246232,0.050386300434209885
MNQ,CME_REOPEN,5,2.0,short,88,227,0.08922272727272726,-0.0795775330396476,0.16880026031237486
MNQ,CME_REOPEN,15,1.0,long,79,167,-0.09246582278481012,0.030655089820359274,-0.1231209126051694
MNQ,CME_REOPEN,15,1.0,short,70,168,0.24342999999999998,0.02540833333333334,0.21802166666666664
MNQ,CME_REOPEN,15,1.5,long,71,145,-0.13410281690140843,-0.12302206896551725,-0.011080747935891186
MNQ,CME_REOPEN,15,1.5,short,66,149,0.3619348484848486,-0.03379530201342283,0.3957301504982714
MNQ,CME_REOPEN,15,2.0,long,70,141,-0.35013714285714287,-0.1748801418439716,-0.17525700101317127
MNQ,CME_REOPEN,15,2.0,short,65,138,0.22193538461538465,-0.1279891304347826,0.34992451505016725
MNQ,CME_REOPEN,30,1.0,long,54,110,-0.18527222222222223,-0.012823636363636357,-0.17244858585858586
MNQ,CME_REOPEN,30,1.0,short,51,88,0.35182352941176465,0.00702954545454544,0.3447939839572192
MNQ,CME_REOPEN,30,1.5,long,52,104,-0.3535230769230769,-0.07900961538461537,-0.2745134615384615
MNQ,CME_REOPEN,30,1.5,short,49,84,0.32124285714285716,-0.10721904761904763,0.4284619047619048
MNQ,CME_REOPEN,30,2.0,long,51,103,-0.4352901960784314,-0.04857281553398061,-0.38671738054445076
MNQ,CME_REOPEN,30,2.0,short,49,81,0.291665306122449,-0.09588395061728396,0.38754925673973295
MNQ,TOKYO_OPEN,5,1.0,long,180,535,0.07514499999999999,0.021279999999999993,0.053864999999999996
MNQ,TOKYO_OPEN,5,1.0,short,201,531,0.128407960199005,0.044025235404896425,0.08438272479410858
MNQ,TOKYO_OPEN,5,1.5,long,180,535,0.14238555555555552,0.05511102803738317,0.08727452751817234
MNQ,TOKYO_OPEN,5,1.5,short,201,531,0.11955074626865671,0.045505649717514134,0.07404509655114258
MNQ,TOKYO_OPEN,5,2.0,long,180,535,0.2020944444444444,0.06365532710280372,0.1384391173416407
MNQ,TOKYO_OPEN,5,2.0,short,201,531,0.1110970149253731,0.007988323917137476,0.10310869100823564
MNQ,TOKYO_OPEN,15,1.0,long,175,551,0.15176742857142853,0.06992105263157894,0.08184637593984959
MNQ,TOKYO_OPEN,15,1.0,short,206,514,0.07098689320388352,0.031470233463035034,0.03951665974084848
MNQ,TOKYO_OPEN,15,1.5,long,175,551,0.18429314285714282,0.07290090744101634,0.11139223541612649
MNQ,TOKYO_OPEN,15,1.5,short,206,514,0.07511747572815536,-0.0010922178988326807,0.07620969362698804
MNQ,TOKYO_OPEN,15,2.0,long,175,551,0.2121074285714286,0.07616116152450088,0.13594626704692775
MNQ,TOKYO_OPEN,15,2.0,short,206,514,0.04342135922330097,-0.05013210116731517,0.09355346039061613
MNQ,TOKYO_OPEN,30,1.0,long,206,553,0.04842864077669905,0.05360669077757685,-0.005178050000877801
MNQ,TOKYO_OPEN,30,1.0,short,175,503,0.06993200000000001,-0.017940159045725664,0.08787215904572568
MNQ,TOKYO_OPEN,30,1.5,long,206,551,0.11266650485436897,0.038899274047186926,0.07376723080718203
MNQ,TOKYO_OPEN,30,1.5,short,175,502,0.06403657142857143,-0.05299581673306772,0.11703238816163915
