trading_day,window_label,rel_vol,size_bucket,actual_pnl_r,counterfactual_pnl_r_scaled,outcome
2026-01-02,retrospective,2.396300,1.5,-1.000000,-1.500000,loss
2026-01-05,retrospective,2.542600,1.5,-1.000000,-1.500000,loss
2026-01-06,retrospective,1.009200,0.5,1.319400,0.659700,win
2026-01-07,retrospective,0.475200,0.5,-1.000000,-0.500000,loss
2026-01-08,retrospective,1.364900,1.0,-1.000000,-1.000000,loss
2026-01-09,retrospective,2.446800,1.5,1.347700,2.021550,win
2026-01-12,retrospective,0.771200,0.5,1.228800,0.614400,win
2026-01-13,retrospective,1.419700,1.0,-1.000000,-1.000000,loss
2026-01-14,retrospective,2.613500,1.5,-1.000000,-1.500000,loss
2026-01-15,retrospective,2.395600,1.5,1.287900,1.931850,win
2026-01-16,retrospective,1.059400,1.0,-1.000000,-1.000000,loss
2026-01-20,retrospective,3.066700,1.5,1.407500,2.111250,win
2026-01-21,retrospective,4.974400,1.5,-1.000000,-1.500000,loss
2026-01-22,retrospective,2.607900,1.5,-1.000000,-1.500000,loss
2026-01-23,retrospective,2.072100,1.5,-1.000000,-1.500000,loss
2026-01-26,retrospective,2.344500,1.5,1.371700,2.057550,win
2026-01-27,retrospective,1.179200,1.0,-1.000000,-1.000000,loss
2026-01-28,retrospective,0.861300,0.5,-1.000000,-0.500000,loss
2026-01-29,retrospective,1.446300,1.0,1.378200,1.378200,win
2026-01-30,retrospective,2.664600,1.5,-1.000000,-1.500000,loss
2026-02-02,retrospective,1.895500,1.5,-1.000000,-1.500000,loss
2026-02-03,retrospective,2.206300,1.5,1.403800,2.105700,win
2026-02-04,retrospective,2.336900,1.5,-1.000000,-1.500000,loss
2026-02-05,retrospective,0.974300,0.5,-1.000000,-0.500000,loss
2026-02-06,retrospective,0.647200,0.5,-1.000000,-0.500000,loss
2026-02-10,retrospective,3.678000,1.5,-1.000000,-1.500000,loss
2026-02-11,retrospective,1.916000,1.5,-1.000000,-1.500000,loss
2026-02-12,retrospective,1.803500,1.5,1.391700,2.087550,win
2026-02-13,retrospective,0.829100,0.5,-1.000000,-0.500000,loss
2026-02-17,retrospective,1.710700,1.0,1.431400,1.431400,win
2026-02-18,retrospective,3.493600,1.5,1.369500,2.054250,win
2026-02-19,retrospective,1.913300,1.5,-1.000000,-1.500000,loss
2026-02-23,retrospective,1.237900,1.0,-1.000000,-1.000000,loss
2026-02-24,retrospective,0.531300,0.5,-1.000000,-0.500000,loss
2026-02-25,retrospective,0.612400,0.5,1.114200,0.557100,win
2026-02-26,retrospective,2.147300,1.5,1.451500,2.177250,win
2026-02-27,retrospective,0.920400,0.5,-1.000000,-0.500000,loss
2026-03-02,retrospective,0.384700,0.5,1.350800,0.675400,win
2026-03-03,retrospective,1.149400,1.0,-1.000000,-1.000000,loss
2026-03-04,retrospective,1.022300,0.5,-1.000000,-0.500000,loss
2026-03-05,retrospective,1.180400,1.0,1.429400,1.429400,win
2026-03-06,retrospective,1.438400,1.0,1.403800,1.403800,win
2026-03-09,retrospective,1.276400,1.0,-1.000000,-1.000000,loss
2026-03-10,retrospective,2.114800,1.5,1.433600,2.150400,win
2026-03-11,retrospective,1.744100,1.0,1.370600,1.370600,win
2026-03-12,retrospective,0.815400,0.5,-1.000000,-0.500000,loss
2026-03-13,retrospective,1.211100,1.0,1.391700,1.391700,win
2026-03-16,retrospective,0.403800,0.5,-1.000000,-0.500000,loss
2026-03-17,retrospective,0.607200,0.5,-1.000000,-0.500000,loss
2026-03-18,retrospective,1.198700,1.0,1.390100,1.390100,win
2026-03-19,retrospective,0.742800,0.5,-1.000000,-0.500000,loss
2026-03-20,retrospective,1.512100,1.0,1.418400,1.418400,win
2026-03-24,retrospective,1.357200,1.0,-1.000000,-1.000000,loss
2026-03-25,retrospective,0.589900,0.5,1.389300,0.694650,win
2026-03-26,retrospective,1.116900,1.0,1.399900,1.399900,win
2026-03-27,retrospective,1.170300,1.0,1.375000,1.375000,win
2026-03-30,retrospective,2.006600,1.5,1.382100,2.073150,win
2026-03-31,retrospective,3.091600,1.5,-1.000000,-1.500000,loss
2026-04-01,retrospective,1.012200,0.5,1.403200,0.701600,win
2026-04-02,retrospective,1.003900,0.5,1.370600,0.685300,win
2026-04-06,retrospective,0.928000,0.5,-1.000000,-0.500000,loss
2026-04-08,retrospective,3.126700,1.5,-1.000000,-1.500000,loss
2026-04-09,retrospective,1.303700,1.0,-1.000000,-1.000000,loss
2026-04-10,retrospective,1.369700,1.0,1.368300,1.368300,win
2026-04-14,retrospective,1.467800,1.0,-1.000000,-1.000000,loss
2026-04-16,retrospective,1.718900,1.0,-1.000000,-1.000000,loss
