family,mechanism,role,instrument,session,cells,median_exp_r,mean_exp_r,best_exp_r,bh_pass_cells,t3_cells,deployable_candidates,provisional_cells,unsupported_cells,min_n_is,max_n_is,median_oos
baseline_orb,ORB continuation / stop cascade,standalone,MES,CME_PRECLOSE,18,-0.03964243044189853,-0.040579238527673075,0.00411402671755725,9,0,0,0,18,564,1634,-0.09818422057502248
baseline_orb,ORB continuation / stop cascade,standalone,MES,CME_REOPEN,18,-0.13388484543010754,-0.13473643078425676,-0.08613643867924528,18,0,0,0,18,838,1488,-0.047787112299465265
baseline_orb,ORB continuation / stop cascade,standalone,MES,COMEX_SETTLE,18,-0.10005856622114215,-0.1064801818336202,-0.03901998784933171,15,0,0,0,18,1646,1658,-0.04548732394366198
baseline_orb,ORB continuation / stop cascade,standalone,MES,EUROPE_FLOW,18,-0.14008895949157912,-0.1488864297939051,-0.07048289550496206,18,0,0,0,18,1713,1719,-0.1390760208711434
baseline_orb,ORB continuation / stop cascade,standalone,MES,LONDON_METALS,18,-0.10160265322208151,-0.10622299752058399,-0.036330429664508536,15,0,0,0,18,1699,1719,-0.11279142468239564
baseline_orb,ORB continuation / stop cascade,standalone,MES,NYSE_CLOSE,18,-0.11038012202491795,-0.11498000751711485,-0.08800256959314776,18,0,0,0,18,748,1401,0.03457549019607842
baseline_orb,ORB continuation / stop cascade,standalone,MES,NYSE_OPEN,18,0.01133361466821886,0.007287116779762117,0.08550605355064027,2,0,0,1,17,1711,1719,-0.01056933333333333
baseline_orb,ORB continuation / stop cascade,standalone,MES,SINGAPORE_OPEN,18,-0.14313607558139535,-0.15820935766494704,-0.06486653037383176,17,0,0,0,18,1712,1721,-0.12066578947368421
baseline_orb,ORB continuation / stop cascade,standalone,MES,TOKYO_OPEN,18,-0.13014812666805628,-0.1292558859183602,-0.06912640515222483,18,0,0,0,18,1708,1721,0.015602873563218376
baseline_orb,ORB continuation / stop cascade,standalone,MES,US_DATA_1000,18,-0.009756936106547657,-0.007885866566268527,0.055415384615384616,3,0,0,0,18,1705,1719,0.007311270270270261
baseline_orb,ORB continuation / stop cascade,standalone,MES,US_DATA_830,18,-0.10709002881208379,-0.10374089572843935,-0.06868490675990677,18,0,0,0,18,1716,1719,-0.09570828039927404
baseline_orb,ORB continuation / stop cascade,standalone,MGC,CME_REOPEN,18,-0.22507298628195946,-0.22375321695596387,-0.18027309644670053,18,0,0,0,18,437,788,0.3103259795918367
baseline_orb,ORB continuation / stop cascade,standalone,MGC,COMEX_SETTLE,18,-0.17404826018632844,-0.18070539542394978,-0.11661343115124154,18,0,0,0,18,885,916,-0.05421267605633802
baseline_orb,ORB continuation / stop cascade,standalone,MGC,EUROPE_FLOW,18,-0.10954422028353325,-0.1063377992579318,-0.001287308533916837,12,0,0,0,18,914,917,0.027995138888888875
baseline_orb,ORB continuation / stop cascade,standalone,MGC,LONDON_METALS,18,-0.0993201234684013,-0.1021407459613733,0.008532969432314417,9,0,0,0,18,916,917,-0.16462941176470589
baseline_orb,ORB continuation / stop cascade,standalone,MGC,NYSE_OPEN,18,-0.04239940105402806,-0.048168776932219444,0.039598547486033524,5,0,0,0,18,895,918,0.11119652777777778
baseline_orb,ORB continuation / stop cascade,standalone,MGC,SINGAPORE_OPEN,18,-0.12197407407407407,-0.12070260147927758,-0.018946850828729274,14,0,0,0,18,905,918,0.22868226022803484
baseline_orb,ORB continuation / stop cascade,standalone,MGC,TOKYO_OPEN,18,-0.13021579520697169,-0.1515363282368833,-0.05532366412213741,15,0,0,0,18,917,918,0.08474652777777777
baseline_orb,ORB continuation / stop cascade,standalone,MGC,US_DATA_1000,18,-0.037283356440219184,-0.033841147416864434,0.023834649122807024,3,0,0,0,18,891,918,-0.08382588235294117
baseline_orb,ORB continuation / stop cascade,standalone,MGC,US_DATA_830,18,-0.03494989365697242,-0.0399333458184951,0.062481567328918325,5,0,0,0,18,906,917,-0.12120191176470588
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,BRISBANE_1025,18,-0.05078282403707955,-0.053369238375570185,0.014920557491289189,7,0,0,0,18,1718,1722,0.18946406709435978
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,CME_PRECLOSE,18,0.01609685128829377,0.023508417834280777,0.11935873402312841,6,6,3,1,14,609,1643,0.003274218750000009
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,CME_REOPEN,18,-0.06753654776174389,-0.06291235056270882,-0.004170407481629925,9,0,0,0,18,874,1497,0.08769097222222223
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,COMEX_SETTLE,18,-0.015931458966565348,-0.01340136621497242,0.06940054282267794,6,0,0,2,16,1645,1658,0.011167202380952363
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,EUROPE_FLOW,18,-0.01620298878794401,-0.012247211950994534,0.06153905704307333,4,0,0,0,18,1711,1719,0.04807988505747127
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,LONDON_METALS,18,-0.0032408049353701523,-0.016660389881221538,0.055179318448883664,3,0,0,0,18,1702,1718,-0.04257674418604651
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,NYSE_CLOSE,18,-0.019996095101703193,-0.02017146383737558,0.03861258692628652,6,0,0,0,18,749,1438,0.1458343454790823
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,NYSE_OPEN,18,0.06914799105181837,0.06180903024491477,0.13187918367346937,9,9,9,0,9,1702,1719,0.05117823529411765
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,NYSE_PREOPEN,18,-0.008768260609683203,-0.009916662342199602,0.14879743130227002,7,3,0,3,15,1673,1674,-0.03550416666666669
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,SINGAPORE_OPEN,18,-0.002336757951790048,-0.007246601162498482,0.10135198830409356,6,1,1,1,16,1710,1722,0.12006162790697675
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,TOKYO_OPEN,18,-0.013951961179387348,-0.004155496559535394,0.07003443670150987,4,0,0,2,16,1713,1722,0.08803020721925137
