instrument,session,day_of_week,vol_regime,day_count
MNQ,BRISBANE_1025,2,Stable,627
MNQ,CME_REOPEN,2,Stable,627
MNQ,LONDON_METALS,2,Stable,627
MNQ,US_DATA_830,2,Stable,627
MNQ,CME_PRECLOSE,2,Stable,624
MNQ,NYSE_CLOSE,2,Stable,624
MNQ,BRISBANE_1025,3,Stable,615
MNQ,LONDON_METALS,3,Stable,615
MNQ,US_DATA_830,3,Stable,615
MNQ,CME_REOPEN,3,Stable,609
MNQ,CME_PRECLOSE,3,Stable,600
MNQ,NYSE_CLOSE,3,Stable,600
MES,BRISBANE_1025,2,Stable,573
MES,CME_REOPEN,2,Stable,573
MES,EUROPE_FLOW,2,Stable,573
MES,LONDON_METALS,2,Stable,573
MES,NYSE_OPEN,2,Stable,573
MES,SINGAPORE_OPEN,2,Stable,573
MES,TOKYO_OPEN,2,Stable,573
MES,US_DATA_1000,2,Stable,573
MES,US_DATA_830,2,Stable,573
MES,BRISBANE_1025,3,Stable,570
MES,EUROPE_FLOW,3,Stable,570
MES,LONDON_METALS,3,Stable,570
MES,NYSE_OPEN,3,Stable,570
MES,SINGAPORE_OPEN,3,Stable,570
MES,TOKYO_OPEN,3,Stable,570
MES,US_DATA_1000,3,Stable,570
MES,US_DATA_830,3,Stable,570
MES,CME_PRECLOSE,2,Stable,567
MES,COMEX_SETTLE,2,Stable,567
MES,NYSE_CLOSE,2,Stable,567
MES,CME_REOPEN,3,Stable,561
MES,CME_PRECLOSE,3,Stable,546
MES,COMEX_SETTLE,3,Stable,546
MES,NYSE_CLOSE,3,Stable,546
MNQ,BRISBANE_1025,0,Stable,531
MNQ,BRISBANE_1025,4,Stable,531
MNQ,CME_REOPEN,0,Stable,531
MNQ,LONDON_METALS,0,Stable,531
MNQ,US_DATA_830,0,Stable,531
MNQ,US_DATA_830,4,Stable,531
MNQ,LONDON_METALS,4,Stable,528
MES,BRISBANE_1025,0,Stable,519
MES,CME_REOPEN,0,Stable,519
MES,EUROPE_FLOW,0,Stable,519
MES,LONDON_METALS,0,Stable,519
MES,NYSE_OPEN,0,Stable,519
MES,SINGAPORE_OPEN,0,Stable,519
MES,TOKYO_OPEN,0,Stable,519
MES,US_DATA_1000,0,Stable,519
MES,US_DATA_830,0,Stable,519
MNQ,CME_PRECLOSE,4,Stable,519
MNQ,NYSE_CLOSE,4,Stable,519
MES,BRISBANE_1025,4,Stable,504
MES,NYSE_OPEN,4,Stable,504
MES,SINGAPORE_OPEN,4,Stable,504
MES,TOKYO_OPEN,4,Stable,504
MES,US_DATA_1000,4,Stable,504
MES,US_DATA_830,4,Stable,504
MES,EUROPE_FLOW,4,Stable,501
MES,LONDON_METALS,4,Stable,501
MNQ,BRISBANE_1025,1,Stable,498
MNQ,LONDON_METALS,1,Stable,498
MNQ,US_DATA_830,1,Stable,498
MNQ,CME_PRECLOSE,1,Stable,495
MNQ,CME_REOPEN,1,Stable,495
MNQ,NYSE_CLOSE,1,Stable,495
MES,CME_PRECLOSE,4,Stable,492
MES,COMEX_SETTLE,4,Stable,492
MES,NYSE_CLOSE,4,Stable,492
MNQ,CME_PRECLOSE,0,Stable,486
MNQ,NYSE_CLOSE,0,Stable,486
MES,BRISBANE_1025,1,Stable,465
MES,CME_PRECLOSE,0,Stable,465
MES,COMEX_SETTLE,0,Stable,465
MES,EUROPE_FLOW,1,Stable,465
MES,LONDON_METALS,1,Stable,465
MES,NYSE_CLOSE,0,Stable,465
MES,NYSE_OPEN,1,Stable,465
MES,SINGAPORE_OPEN,1,Stable,465
MES,TOKYO_OPEN,1,Stable,465
MES,US_DATA_1000,1,Stable,465
MES,US_DATA_830,1,Stable,465
MES,CME_REOPEN,1,Stable,462
MES,CME_PRECLOSE,1,Stable,456
MES,COMEX_SETTLE,1,Stable,456
MES,NYSE_CLOSE,1,Stable,456
MNQ,BRISBANE_1025,1,Contracting,387
MNQ,CME_REOPEN,1,Contracting,387
MNQ,LONDON_METALS,1,Contracting,387
MNQ,US_DATA_830,1,Contracting,387
MES,BRISBANE_1025,1,Contracting,384
