instrument,filter,n_1000,avgR_1000,wr_1000,totR_1000,n_1015,avgR_1015,wr_1015,totR_1015,delta_avgR
MNQ,G3+,516,0.2085,0.4128,107.6112,516,0.2002,0.4089,103.3146,-0.0083
MNQ,G4+,516,0.2085,0.4128,107.6112,514,0.1932,0.4066,99.3146,-0.0153
MNQ,G5+,516,0.2085,0.4128,107.6112,513,0.1955,0.4074,100.3146,-0.0130
MNQ,G6+,514,0.2133,0.4144,109.6112,512,0.1979,0.4082,101.3146,-0.0154
MNQ,G8+,506,0.2087,0.4130,105.6112,501,0.1883,0.4052,94.3146,-0.0205
MNQ,G4-G6,2,-1.0000,0.0000,-2.0000,2,-1.0000,0.0000,-2.0000,0.0000
MNQ,G6-G8,8,0.5000,0.5000,4.0000,11,0.6364,0.5455,7.0000,0.1364
MNQ,G8-G12,24,-0.1250,0.2917,-3.0000,43,0.8140,0.6047,35.0000,0.9390
MNQ,G12+,482,0.2253,0.4191,108.6112,458,0.1295,0.3865,59.3146,-0.0958
MES,G3+,452,0.2197,0.4115,99.3258,421,0.1380,0.3800,58.1143,-0.0817
MES,G4+,390,0.2213,0.4128,86.3258,339,0.1185,0.3746,40.1858,-0.1028
MES,G5+,324,0.2294,0.4167,74.3258,271,0.1114,0.3727,30.1858,-0.1180
MES,G6+,277,0.1997,0.4079,55.3258,202,0.1643,0.3911,33.1858,-0.0354
MES,G8+,187,0.1832,0.4064,34.2569,119,0.1380,0.3866,16.4165,-0.0452
MES,G4-G6,113,0.2743,0.4248,31.0000,137,0.0511,0.3504,7.0000,-0.2232
MES,G6-G8,90,0.2341,0.4111,21.0690,83,0.2020,0.3976,16.7692,-0.0321
MES,G8-G12,84,0.2760,0.4286,23.1814,74,0.1608,0.3919,11.9003,-0.1152
MES,G12+,103,0.1075,0.3883,11.0754,45,0.1004,0.3778,4.5162,-0.0072
MGC,G3+,967,0.1124,0.4095,108.7091,669,0.0899,0.3961,60.1184,-0.0226
MGC,G4+,612,0.0935,0.4101,57.2174,385,0.0829,0.3974,31.9115,-0.0106
MGC,G5+,401,0.1100,0.4289,44.1230,225,0.0196,0.3689,4.4035,-0.0905
MGC,G6+,278,0.1308,0.4388,36.3620,145,-0.0854,0.3379,-12.3795,-0.2162
MGC,G8+,140,0.1460,0.4643,20.4421,56,0.0765,0.4107,4.2864,-0.0695
MGC,G4-G6,334,0.0624,0.3862,20.8554,240,0.1845,0.4333,44.2910,0.1221
MGC,G6-G8,138,0.1154,0.4130,15.9199,89,-0.1873,0.2921,-16.6659,-0.3026
MGC,G8-G12,100,0.1577,0.4700,15.7722,38,-0.1363,0.3421,-5.1786,-0.2940
MGC,G12+,40,0.1167,0.4500,4.6698,18,0.5258,0.5556,9.4649,0.4091
