instrument,minute,win_vol,win_move,win_range,win_cross_pct,loss_vol,loss_move,loss_range,loss_cross_pct
MNQ,10:00,5332.9718,11.1162,23.9577,0.0000,5174.5149,12.2607,24.1823,0.0000
MNQ,10:01,4073.2911,13.3603,17.4824,0.0000,4231.7987,15.2038,18.2632,0.0000
MNQ,10:02,3678.5540,14.8885,16.2535,0.0000,3719.8746,16.4035,16.5908,0.0000
MNQ,10:03,3547.0892,16.9894,15.3357,0.0000,3462.8218,17.6081,15.5322,0.0000
MNQ,10:04,3552.2347,18.2171,15.6937,0.0000,3280.3069,19.1089,15.0644,0.0000
MNQ,10:05,3883.5023,19.9636,16.2383,0.4601,3610.3267,20.2640,15.9208,0.3828
MNQ,10:06,3675.5493,22.6033,15.6502,0.5258,3693.8680,20.9241,16.4901,0.5215
MNQ,10:07,3635.6808,24.2066,15.2523,0.6056,3277.3993,21.2649,14.6774,0.5611
MNQ,10:08,3516.5164,27.2007,14.9624,0.6197,3271.3366,22.2302,15.0949,0.5776
MNQ,10:09,3195.5211,29.5599,13.6995,0.6479,3121.7459,22.5355,14.5099,0.6337
MNQ,10:10,3950.0751,33.5469,16.7418,0.6948,3503.3861,22.2558,15.3540,0.6370
MNQ,10:11,3597.1643,35.4648,14.9190,0.7089,3290.5710,22.6782,15.1320,0.6271
MNQ,10:12,3651.9061,38.1009,15.7934,0.7418,3385.7228,24.2715,15.0751,0.6634
MNQ,10:13,3338.8638,40.0000,15.3967,0.7746,3036.7591,23.8985,13.9464,0.6271
MNQ,10:14,3135.4554,40.3192,13.5258,0.7653,2954.5512,24.3292,13.8053,0.6205
MES,10:00,4763.6832,2.8882,5.9317,0.0000,4700.6201,3.0153,6.2609,0.0000
MES,10:01,3620.6522,3.3571,4.2857,0.0000,3569.6245,3.7522,4.1976,0.0000
MES,10:02,3146.7391,3.7143,3.8401,0.0000,3177.9301,4.2347,3.9312,0.0000
MES,10:03,2891.3416,4.1413,3.4534,0.0000,3054.6114,4.7194,3.7249,0.0000
MES,10:04,2890.3851,4.4736,3.6988,0.0000,2897.7336,5.0109,3.6103,0.0000
MES,10:05,3188.2981,4.9115,3.7671,0.3789,3060.4716,5.3395,3.7697,0.3930
MES,10:06,3014.1180,5.3696,3.6444,0.4969,3061.5284,5.5164,3.8100,0.4803
MES,10:07,3030.0621,5.8804,3.5155,0.5404,2825.4017,5.7380,3.5579,0.5240
MES,10:08,2863.9689,6.3820,3.4053,0.5528,2869.2489,5.7489,3.5961,0.5502
MES,10:09,2577.3292,6.8121,3.1646,0.6025,2743.8515,5.9094,3.4858,0.6026
MES,10:10,3202.8944,7.5730,4.0109,0.6584,2985.6026,6.0306,3.5491,0.6594
MES,10:11,2998.3540,8.3696,3.6630,0.6646,2760.6026,6.2478,3.5218,0.6856
MES,10:12,2982.1304,9.0963,3.7019,0.6832,2831.1485,6.5142,3.5644,0.6463
MES,10:13,2768.8385,9.6786,3.7857,0.6957,2552.8996,6.4520,3.2795,0.6376
MES,10:14,2696.5155,9.8307,3.3245,0.7081,2380.4061,6.4563,3.0699,0.6245
MGC,10:00,1379.3227,2.2139,3.9833,0.0000,1165.2798,2.1130,3.7510,0.0000
MGC,10:01,1022.2112,2.8259,2.6753,0.0000,832.6205,2.6878,2.5748,0.0000
MGC,10:02,951.0478,3.2438,2.4880,0.0000,754.5346,3.1482,2.5205,0.0000
MGC,10:03,842.8566,3.5247,2.4339,0.0000,730.4875,3.5468,2.4997,0.0000
MGC,10:04,754.6733,3.7821,2.3104,0.0000,651.5097,3.7560,2.3449,0.0000
MGC,10:05,737.2470,3.8068,2.4797,0.3466,645.9584,4.0709,2.4748,0.4072
MGC,10:06,668.0677,4.0514,2.2394,0.3904,566.4211,4.2161,2.2809,0.4737
MGC,10:07,641.3347,4.4139,2.2378,0.4303,526.3130,4.1701,2.1554,0.4765
MGC,10:08,634.5498,4.8689,2.2371,0.4980,495.9224,4.2382,2.0831,0.5014
MGC,10:09,559.7928,4.8992,1.9598,0.5139,486.3047,4.1684,2.0324,0.4654
MGC,10:10,625.4462,5.3574,2.2394,0.5418,503.9778,4.2665,2.1560,0.5097
MGC,10:11,595.1992,5.6044,2.0598,0.6255,467.2548,4.2432,2.0280,0.4848
MGC,10:12,557.9880,5.7805,1.9020,0.6414,437.0886,4.3645,1.9089,0.5097
MGC,10:13,520.2550,5.9916,1.9347,0.6653,447.2050,4.4271,1.9449,0.5319
MGC,10:14,523.1633,6.0100,1.8873,0.6534,416.1828,4.4967,1.8554,0.5125
