instrument,session,aperture_min,n_days,n_g4,n_breaks,n_trades,avg_r,total_r,win_rate,avg_orb_size,p_value,p_adj_bh,n_winter,avg_r_winter,wr_winter,n_summer,avg_r_summer,wr_summer,sensitivity_verdict,sample_class,delta_vs_5m
MGC,0900,5,2498,185,182,182,0.444331,80.868311,0.395604,9.641081,0.000026,0.000483,124,0.426096,0.354839,58,0.483318,0.482759,SKIP,PRELIMINARY,0.000000
MGC,0900,10,2367,239,233,233,0.313695,73.090978,0.351931,10.028452,0.000600,0.003932,145,0.420347,0.351724,88,0.137962,0.352273,ROBUST,CORE,-0.130636
MGC,0900,15,2260,283,276,276,0.269152,74.285881,0.326087,10.448410,0.001115,0.005218,159,0.398060,0.320755,117,0.093969,0.333333,ROBUST,CORE,-0.175180
MGC,0900,20,2148,314,302,302,0.173472,52.388580,0.284768,10.869745,0.023370,0.047099,164,0.297229,0.268293,138,0.026399,0.304348,ROBUST,CORE,-0.270859
MGC,0900,30,1945,379,364,364,0.180181,65.585981,0.271978,10.805805,0.008882,0.021954,184,0.282168,0.239130,180,0.075929,0.305556,ROBUST,CORE,-0.264150
MGC,0900,45,1798,473,447,447,0.173953,77.756846,0.246085,10.991755,0.003976,0.013705,209,0.229540,0.196172,238,0.125138,0.289916,ROBUST,CORE,-0.270379
MGC,0900,60,1726,554,523,523,0.155431,81.290259,0.235182,10.914621,0.004493,0.014715,235,0.164996,0.178723,288,0.147625,0.281250,ROBUST,CORE,-0.288901
MGC,1000,5,2580,146,146,146,0.265538,38.768497,0.404110,7.552740,0.030250,0.052837,146,0.265538,0.404110,0,,,SKIP,PRELIMINARY,0.000000
MGC,1000,10,2573,233,233,233,0.172383,40.165346,0.360515,7.981116,0.066706,0.104030,233,0.172383,0.360515,0,,,ROBUST,CORE,-0.093154
MGC,1000,15,2550,300,300,300,0.234049,70.214636,0.360000,8.446667,0.004369,0.014675,300,0.234049,0.360000,0,,,ROBUST,CORE,-0.031489
MGC,1000,20,2538,366,363,363,0.157204,57.064883,0.319559,8.545628,0.029756,0.052676,363,0.157204,0.319559,0,,,ROBUST,CORE,-0.108334
MGC,1000,30,2496,472,463,463,0.142946,66.183781,0.291577,8.947246,0.021852,0.044728,463,0.142946,0.291577,0,,,ROBUST,CORE,-0.122592
MGC,1000,45,2441,623,602,602,0.093449,56.256563,0.244186,9.206260,0.071770,0.108471,602,0.093449,0.244186,0,,,ROBUST,CORE,-0.172088
MGC,1000,60,2415,787,750,750,0.140307,105.230207,0.237333,9.120712,0.002074,0.007763,750,0.140307,0.237333,0,,,ROBUST,CORE,-0.125231
MGC,1100,5,2581,362,358,358,0.198272,70.981429,0.349162,7.878177,0.007778,0.020062,358,0.198272,0.349162,0,,,SKIP,CORE,0.000000
MGC,1100,10,2578,520,505,505,0.129797,65.547451,0.287129,8.680962,0.028540,0.051926,505,0.129797,0.287129,0,,,ROBUST,CORE,-0.068475
MGC,1100,15,2576,654,619,619,0.078786,48.768696,0.253635,8.958716,0.127171,0.177228,619,0.078786,0.253635,0,,,ROBUST,CORE,-0.119486
MGC,1100,20,2575,777,727,727,0.043787,31.833256,0.228336,8.936680,0.342325,0.400398,727,0.043787,0.228336,0,,,ROBUST,CORE,-0.154485
MGC,1100,30,2572,936,848,848,0.059259,50.251768,0.211085,9.167415,0.154608,0.206670,848,0.059259,0.211085,0,,,ROBUST,CORE,-0.139013
