instrument,session,dst_regime,baseline_lo,baseline_hi,lo_shift_pct,hi_shift_pct,actual_lo,actual_hi,n_breaks,avg_r,wr,total_r,test_type
MES,1000,ALL,4.0000,6.0000,-0.2000,-0.2000,3.2000,4.8000,120,0.3895,0.4667,46.7368,band
MES,1000,ALL,4.0000,6.0000,-0.2000,-0.1000,3.2000,5.4000,144,0.3523,0.4514,50.7368,band
MES,1000,ALL,4.0000,6.0000,-0.2000,0.0000,3.2000,6.0000,154,0.3619,0.4545,55.7368,band
MES,1000,ALL,4.0000,6.0000,-0.2000,0.1000,3.2000,6.6000,177,0.3205,0.4407,56.7368,band
MES,1000,ALL,4.0000,6.0000,-0.2000,0.2000,3.2000,7.2000,183,0.3264,0.4426,59.7368,band
MES,1000,ALL,4.0000,6.0000,-0.1000,-0.2000,3.6000,4.8000,71,0.3766,0.4648,26.7368,band
MES,1000,ALL,4.0000,6.0000,-0.1000,-0.1000,3.6000,5.4000,95,0.3235,0.4421,30.7368,band
MES,1000,ALL,4.0000,6.0000,-0.1000,0.0000,3.6000,6.0000,105,0.3404,0.4476,35.7368,band
MES,1000,ALL,4.0000,6.0000,-0.1000,0.1000,3.6000,6.6000,128,0.2870,0.4297,36.7368,band
MES,1000,ALL,4.0000,6.0000,-0.1000,0.2000,3.6000,7.2000,134,0.2965,0.4328,39.7368,band
MES,1000,ALL,4.0000,6.0000,0.0000,-0.2000,4.0000,4.8000,55,0.3952,0.4727,21.7368,band
MES,1000,ALL,4.0000,6.0000,0.0000,-0.1000,4.0000,5.4000,79,0.3258,0.4430,25.7368,band
MES,1000,ALL,4.0000,6.0000,0.0000,0.0000,4.0000,6.0000,89,0.3454,0.4494,30.7368,band
MES,1000,ALL,4.0000,6.0000,0.0000,0.1000,4.0000,6.6000,112,0.2834,0.4286,31.7368,band
MES,1000,ALL,4.0000,6.0000,0.0000,0.2000,4.0000,7.2000,118,0.2944,0.4322,34.7368,band
MES,1000,ALL,4.0000,6.0000,0.1000,-0.2000,4.4000,4.8000,23,0.7712,0.6087,17.7368,band
MES,1000,ALL,4.0000,6.0000,0.1000,-0.1000,4.4000,5.4000,47,0.4625,0.4894,21.7368,band
MES,1000,ALL,4.0000,6.0000,0.1000,0.0000,4.4000,6.0000,57,0.4691,0.4912,26.7368,band
MES,1000,ALL,4.0000,6.0000,0.1000,0.1000,4.4000,6.6000,80,0.3467,0.4500,27.7368,band
MES,1000,ALL,4.0000,6.0000,0.1000,0.2000,4.4000,7.2000,86,0.3574,0.4535,30.7368,band
MES,1000,ALL,4.0000,6.0000,0.2000,-0.2000,4.8000,4.8000,0,,,,band
MES,1000,ALL,4.0000,6.0000,0.2000,-0.1000,4.8000,5.4000,24,0.1667,0.3750,4.0000,band
MES,1000,ALL,4.0000,6.0000,0.2000,0.0000,4.8000,6.0000,34,0.2647,0.4118,9.0000,band
MES,1000,ALL,4.0000,6.0000,0.2000,0.1000,4.8000,6.6000,57,0.1754,0.3860,10.0000,band
MES,1000,ALL,4.0000,6.0000,0.2000,0.2000,4.8000,7.2000,63,0.2063,0.3968,13.0000,band
MES,1000,ALL,4.0000,6.0000,-0.2000,,3.2000,,234,0.2884,0.4316,67.4910,floor
MES,1000,ALL,4.0000,6.0000,0.0000,,4.0000,,169,0.2514,0.4201,42.4910,floor
MES,1000,ALL,4.0000,6.0000,0.2000,,4.8000,,114,0.1821,0.3947,20.7542,floor
MES,1000,ALL,6.0000,8.0000,-0.2000,-0.2000,4.8000,6.4000,48,0.2083,0.3958,10.0000,band
MES,1000,ALL,6.0000,8.0000,-0.2000,-0.1000,4.8000,7.2000,63,0.2063,0.3968,13.0000,band
MES,1000,ALL,6.0000,8.0000,-0.2000,0.0000,4.8000,8.0000,74,0.1644,0.3919,12.1667,band
MES,1000,ALL,6.0000,8.0000,-0.2000,0.1000,4.8000,8.8000,87,0.2508,0.4253,21.8238,band
MES,1000,ALL,6.0000,8.0000,-0.2000,0.2000,4.8000,9.6000,90,0.2092,0.4111,18.8238,band
MES,1000,ALL,6.0000,8.0000,-0.1000,-0.2000,5.4000,6.4000,24,0.2500,0.4167,6.0000,band
MES,1000,ALL,6.0000,8.0000,-0.1000,-0.1000,5.4000,7.2000,39,0.2308,0.4103,9.0000,band
MES,1000,ALL,6.0000,8.0000,-0.1000,0.0000,5.4000,8.0000,50,0.1633,0.4000,8.1667,band
MES,1000,ALL,6.0000,8.0000,-0.1000,0.1000,5.4000,8.8000,63,0.2829,0.4444,17.8238,band
MES,1000,ALL,6.0000,8.0000,-0.1000,0.2000,5.4000,9.6000,66,0.2246,0.4242,14.8238,band
MES,1000,ALL,6.0000,8.0000,0.0000,-0.2000,6.0000,6.4000,14,0.0714,0.3571,1.0000,band
MES,1000,ALL,6.0000,8.0000,0.0000,-0.1000,6.0000,7.2000,29,0.1379,0.3793,4.0000,band
MES,1000,ALL,6.0000,8.0000,0.0000,0.0000,6.0000,8.0000,40,0.0792,0.3750,3.1667,band
MES,1000,ALL,6.0000,8.0000,0.0000,0.1000,6.0000,8.8000,53,0.2420,0.4340,12.8238,band
MES,1000,ALL,6.0000,8.0000,0.0000,0.2000,6.0000,9.6000,56,0.1754,0.4107,9.8238,band
MES,1000,ALL,6.0000,8.0000,0.1000,-0.1000,6.6000,7.2000,6,0.5000,0.5000,3.0000,band
MES,1000,ALL,6.0000,8.0000,0.1000,0.0000,6.6000,8.0000,17,0.1275,0.4118,2.1667,band
MES,1000,ALL,6.0000,8.0000,0.1000,0.1000,6.6000,8.8000,30,0.3941,0.5000,11.8238,band
MES,1000,ALL,6.0000,8.0000,0.1000,0.2000,6.6000,9.6000,33,0.2674,0.4545,8.8238,band
MES,1000,ALL,6.0000,8.0000,0.2000,-0.1000,7.2000,7.2000,0,,,,band
MES,1000,ALL,6.0000,8.0000,0.2000,0.0000,7.2000,8.0000,11,-0.0758,0.3636,-0.8333,band
MES,1000,ALL,6.0000,8.0000,0.2000,0.1000,7.2000,8.8000,24,0.3677,0.5000,8.8238,band
MES,1000,ALL,6.0000,8.0000,0.2000,0.2000,7.2000,9.6000,27,0.2157,0.4444,5.8238,band
MES,1000,ALL,6.0000,8.0000,-0.2000,,4.8000,,114,0.1821,0.3947,20.7542,floor
MES,1000,ALL,6.0000,8.0000,0.0000,,6.0000,,80,0.1469,0.3875,11.7542,floor
MES,1000,ALL,6.0000,8.0000,0.2000,,7.2000,,51,0.1520,0.3922,7.7542,floor
MES,1245,ALL,6.0000,8.0000,-0.2000,-0.2000,4.8000,6.4000,11,-0.4545,0.1818,-5.0000,band
MES,1245,ALL,6.0000,8.0000,-0.2000,-0.1000,4.8000,7.2000,18,0.0000,0.3333,0.0000,band
MES,1245,ALL,6.0000,8.0000,-0.2000,0.0000,4.8000,8.0000,19,-0.0526,0.3158,-1.0000,band
MES,1245,ALL,6.0000,8.0000,-0.2000,0.1000,4.8000,8.8000,20,-0.1000,0.3000,-2.0000,band
MES,1245,ALL,6.0000,8.0000,-0.2000,0.2000,4.8000,9.6000,22,0.0909,0.3636,2.0000,band
MES,1245,ALL,6.0000,8.0000,-0.1000,-0.2000,5.4000,6.4000,6,0.0000,0.3333,0.0000,band
MES,1245,ALL,6.0000,8.0000,-0.1000,-0.1000,5.4000,7.2000,13,0.3846,0.4615,5.0000,band
MES,1245,ALL,6.0000,8.0000,-0.1000,0.0000,5.4000,8.0000,14,0.2857,0.4286,4.0000,band
MES,1245,ALL,6.0000,8.0000,-0.1000,0.1000,5.4000,8.8000,15,0.2000,0.4000,3.0000,band
MES,1245,ALL,6.0000,8.0000,-0.1000,0.2000,5.4000,9.6000,17,0.4118,0.4706,7.0000,band
MES,1245,ALL,6.0000,8.0000,0.0000,-0.2000,6.0000,6.4000,1,-1.0000,0.0000,-1.0000,band
MES,1245,ALL,6.0000,8.0000,0.0000,-0.1000,6.0000,7.2000,8,0.5000,0.5000,4.0000,band
MES,1245,ALL,6.0000,8.0000,0.0000,0.0000,6.0000,8.0000,9,0.3333,0.4444,3.0000,band
MES,1245,ALL,6.0000,8.0000,0.0000,0.1000,6.0000,8.8000,10,0.2000,0.4000,2.0000,band
MES,1245,ALL,6.0000,8.0000,0.0000,0.2000,6.0000,9.6000,12,0.5000,0.5000,6.0000,band
MES,1245,ALL,6.0000,8.0000,0.1000,-0.1000,6.6000,7.2000,7,0.7143,0.5714,5.0000,band
MES,1245,ALL,6.0000,8.0000,0.1000,0.0000,6.6000,8.0000,8,0.5000,0.5000,4.0000,band
MES,1245,ALL,6.0000,8.0000,0.1000,0.1000,6.6000,8.8000,9,0.3333,0.4444,3.0000,band
MES,1245,ALL,6.0000,8.0000,0.1000,0.2000,6.6000,9.6000,11,0.6364,0.5455,7.0000,band
MES,1245,ALL,6.0000,8.0000,0.2000,-0.1000,7.2000,7.2000,0,,,,band
MES,1245,ALL,6.0000,8.0000,0.2000,0.0000,7.2000,8.0000,1,-1.0000,0.0000,-1.0000,band
MES,1245,ALL,6.0000,8.0000,0.2000,0.1000,7.2000,8.8000,2,-1.0000,0.0000,-2.0000,band
MES,1245,ALL,6.0000,8.0000,0.2000,0.2000,7.2000,9.6000,4,0.5000,0.5000,2.0000,band
MES,1245,ALL,6.0000,8.0000,-0.2000,,4.8000,,27,0.3333,0.4444,9.0000,floor
MES,1245,ALL,6.0000,8.0000,0.0000,,6.0000,,17,0.7647,0.5882,13.0000,floor
MES,1245,ALL,6.0000,8.0000,0.2000,,7.2000,,9,1.0000,0.6667,9.0000,floor
MGC,1900,ALL,6.0000,8.0000,-0.2000,-0.2000,4.8000,6.4000,46,-0.1801,0.2826,-8.2833,band
MGC,1900,ALL,6.0000,8.0000,-0.2000,-0.1000,4.8000,7.2000,61,-0.1358,0.2951,-8.2833,band
MGC,1900,ALL,6.0000,8.0000,-0.2000,0.0000,4.8000,8.0000,66,-0.0194,0.3333,-1.2833,band
MGC,1900,ALL,6.0000,8.0000,-0.2000,0.1000,4.8000,8.8000,72,-0.0178,0.3333,-1.2833,band
MGC,1900,ALL,6.0000,8.0000,-0.2000,0.2000,4.8000,9.6000,77,0.0109,0.3506,0.8389,band
MGC,1900,ALL,6.0000,8.0000,-0.1000,-0.2000,5.4000,6.4000,24,-0.1785,0.2917,-4.2833,band
MGC,1900,ALL,6.0000,8.0000,-0.1000,-0.1000,5.4000,7.2000,39,-0.1098,0.3077,-4.2833,band
MGC,1900,ALL,6.0000,8.0000,-0.1000,0.0000,5.4000,8.0000,44,0.0617,0.3636,2.7167,band
MGC,1900,ALL,6.0000,8.0000,-0.1000,0.1000,5.4000,8.8000,50,0.0543,0.3600,2.7167,band
MGC,1900,ALL,6.0000,8.0000,-0.1000,0.2000,5.4000,9.6000,55,0.0880,0.3818,4.8389,band
MGC,1900,ALL,6.0000,8.0000,0.0000,-0.2000,6.0000,6.4000,11,-0.2985,0.2727,-3.2833,band
MGC,1900,ALL,6.0000,8.0000,0.0000,-0.1000,6.0000,7.2000,26,-0.1263,0.3077,-3.2833,band
MGC,1900,ALL,6.0000,8.0000,0.0000,0.0000,6.0000,8.0000,31,0.1199,0.3871,3.7167,band
MGC,1900,ALL,6.0000,8.0000,0.0000,0.1000,6.0000,8.8000,37,0.1005,0.3784,3.7167,band
MGC,1900,ALL,6.0000,8.0000,0.0000,0.2000,6.0000,9.6000,42,0.1390,0.4048,5.8389,band
MGC,1900,ALL,6.0000,8.0000,0.1000,-0.1000,6.6000,7.2000,12,0.2500,0.4167,3.0000,band
MGC,1900,ALL,6.0000,8.0000,0.1000,0.0000,6.6000,8.0000,17,0.5882,0.5294,10.0000,band
MGC,1900,ALL,6.0000,8.0000,0.1000,0.1000,6.6000,8.8000,23,0.4348,0.4783,10.0000,band
MGC,1900,ALL,6.0000,8.0000,0.1000,0.2000,6.6000,9.6000,28,0.4329,0.5000,12.1222,band
MGC,1900,ALL,6.0000,8.0000,0.2000,-0.1000,7.2000,7.2000,0,,,,band
