instrument,session,filter,event,on_n,off_n,on_avgR,off_avgR,delta,p_raw,p_bh
MGC,1800,G6+,FOMC,7,114,1.5317,0.0223,1.5094,0.0018,0.0711
MES,1800,G4+,FOMC,35,537,0.7949,-0.0274,0.8223,0.001,0.0711
MES,1800,G6+,FOMC,20,299,0.7542,-0.0078,0.762,0.0183,0.4819
MGC,0900,G6+,NFP,6,158,-0.7388,-0.0261,-0.7128,0.0404,0.7979
MES,0900,G6+,OPEX,14,239,-0.5714,0.0605,-0.6319,0.0555,0.8769
MNQ,1100,G6+,NFP,22,492,-0.4273,0.0345,-0.4618,0.0873,0.9223
MNQ,1100,G4+,NFP,22,493,-0.4273,0.0324,-0.4597,0.0887,0.9223
MGC,0900,G4+,OPEX,20,419,-0.4,0.0982,-0.4982,0.0934,0.9223
MGC,1100,G6+,FOMC,11,180,-0.0362,0.1536,-0.1898,0.6322,0.9485
MGC,1100,G4+,FOMC,24,425,0.3194,0.0594,0.26,0.3697,0.9485
MGC,2300,G4+,OPEX,6,100,0.5,0.1,0.4,0.5829,0.9485
MGC,2300,G4+,FOMC,5,101,-0.4,0.1486,-0.5486,0.419,0.9485
MGC,1800,G4+,FOMC,14,199,0.5405,0.1111,0.4294,0.281,0.9485
MGC,1100,G4+,NFP,19,430,0.2256,0.0665,0.159,0.6215,0.9485
MGC,1000,G4+,FOMC,34,578,-0.061,0.1026,-0.1636,0.4935,0.9485
MGC,0900,G6+,FOMC,7,157,0.7143,-0.0863,0.8006,0.2383,0.9485
MNQ,1000,G4+,OPEX,24,492,-0.0137,0.2194,-0.2331,0.4419,0.9485
MNQ,0900,G6+,NFP,21,489,-0.1429,0.0245,-0.1674,0.5944,0.9485
MNQ,0900,G6+,OPEX,24,486,-0.25,0.0309,-0.2809,0.3226,0.9485
MNQ,1000,G4+,FOMC,32,484,0.125,0.2141,-0.0891,0.7426,0.9485
MNQ,1000,G6+,FOMC,32,482,0.125,0.2191,-0.0941,0.7286,0.9485
MNQ,1000,G4+,NFP,22,494,-0.1392,0.224,-0.3632,0.2325,0.9485
MNQ,0900,G4+,NFP,21,493,-0.1429,0.0223,-0.1652,0.5993,0.9485
MNQ,0900,G4+,OPEX,24,490,-0.25,0.0286,-0.2786,0.3264,0.9485
MNQ,1000,G6+,NFP,21,493,-0.0982,0.2265,-0.3247,0.3018,0.9485
MNQ,1800,G4+,NFP,15,319,0.0,0.1818,-0.1818,0.6441,0.9485
MNQ,1100,G6+,FOMC,32,482,0.1609,0.0051,0.1558,0.5618,0.9485
MNQ,1100,G4+,FOMC,32,483,0.1609,0.003,0.1579,0.5566,0.9485
MNQ,1000,G6+,OPEX,24,490,-0.0137,0.2244,-0.2381,0.4324,0.9485
MGC,1100,G6+,OPEX,5,186,-0.4,0.1573,-0.5573,0.4083,0.9485
MGC,1000,G6+,FOMC,17,261,-0.0044,0.1396,-0.144,0.6659,0.9485
MGC,0900,G4+,FOMC,18,421,0.3333,0.0645,0.2688,0.4742,0.9485
MES,1000,G6+,FOMC,41,721,-0.1078,0.1419,-0.2496,0.2565,0.9485
MES,1000,G6+,NFP,38,724,-0.1014,0.1405,-0.2419,0.2948,0.9485
MES,1000,G4+,FOMC,72,1109,0.0081,0.1445,-0.1364,0.4276,0.9485
MES,1000,G4+,NFP,57,1124,0.0201,0.1421,-0.122,0.5288,0.9485
MES,0900,G6+,FOMC,13,240,-0.3077,0.0436,-0.3513,0.3669,0.9485
MES,0900,G4+,OPEX,37,523,-0.027,0.0525,-0.0795,0.7444,0.9485
MES,0900,G6+,NFP,14,239,0.2857,0.0103,0.2754,0.5242,0.9485
MES,0900,G4+,NFP,26,534,0.1538,0.0421,0.1118,0.7108,0.9485
MNQ,2300,G4+,NFP,21,434,0.2857,0.074,0.2118,0.5388,0.9485
MNQ,2300,G4+,FOMC,30,425,0.0,0.0896,-0.0896,0.7436,0.9485
MNQ,1800,G6+,FOMC,22,312,0.512,0.1497,0.3622,0.2525,0.9485
MNQ,1800,G6+,NFP,15,319,0.0,0.1818,-0.1818,0.6441,0.9485
MNQ,2300,G6+,FOMC,23,325,-0.2174,0.1388,-0.3561,0.234,0.9485
MNQ,2300,G6+,NFP,18,330,0.3333,0.1033,0.23,0.5419,0.9485
MNQ,2300,G4+,OPEX,22,433,-0.1818,0.0972,-0.279,0.3613,0.9485
MNQ,1800,G4+,FOMC,22,312,0.512,0.1497,0.3622,0.2525,0.9485
MES,1000,G6+,OPEX,38,724,0.0263,0.1338,-0.1075,0.6565,0.9485
MES,1800,G4+,OPEX,24,548,0.1679,0.0166,0.1514,0.6176,0.9485
MES,1100,G6+,NFP,45,787,-0.036,0.1232,-0.1592,0.4615,0.9485
MES,2300,G4+,OPEX,5,151,0.8,0.15,0.65,0.4294,0.9485
MES,1800,G6+,OPEX,6,313,-0.2413,0.0454,-0.2867,0.6041,0.9485
MES,1800,G6+,NFP,13,306,0.2231,0.0322,0.1909,0.6549,0.9485
MES,2300,G4+,NFP,8,148,-0.25,0.1935,-0.4435,0.4062,0.9485
MES,2300,G4+,FOMC,11,145,-0.1818,0.1976,-0.3794,0.4054,0.9485
MES,1100,G4+,NFP,58,1218,0.0582,0.1319,-0.0736,0.7033,0.9485
MES,1100,G6+,FOMC,46,786,0.3922,0.0983,0.2939,0.1908,0.9485
MGC,1100,G6+,NFP,7,184,-0.2449,0.1574,-0.4023,0.2327,0.9485
MES,1800,G4+,NFP,23,549,-0.0913,0.0277,-0.119,0.6808,0.9485
MES,1100,G4+,FOMC,69,1207,0.3346,0.1167,0.2178,0.231,0.9485
MGC,1000,G4+,OPEX,27,585,-0.0167,0.0986,-0.1152,0.6742,0.9485
MNQ,2300,G6+,OPEX,15,333,0.0,0.1204,-0.1204,0.7595,0.9524
MNQ,1100,G4+,OPEX,24,491,0.0939,0.0088,0.0851,0.7808,0.9553
MNQ,1100,G6+,OPEX,24,490,0.0939,0.0109,0.083,0.786,0.9553
MGC,0900,G4+,NFP,25,414,0.0227,0.0787,-0.056,0.8493,0.9585
MGC,1000,G6+,OPEX,7,271,0.2857,0.1268,0.1589,0.8032,0.9585
MES,0900,G4+,FOMC,30,530,0.1,0.0443,0.0557,0.841,0.9585
MGC,1000,G4+,NFP,33,579,0.14,0.0908,0.0491,0.8447,0.9585
MES,1100,G6+,OPEX,41,791,0.1654,0.1119,0.0535,0.8188,0.9585
MGC,1100,G4+,OPEX,14,435,0.0134,0.0752,-0.0618,0.8694,0.9674
MNQ,0900,G4+,FOMC,32,482,0.0312,0.0145,0.0167,0.9498,0.9813
MGC,1000,G6+,NFP,16,262,0.1509,0.1296,0.0214,0.9526,0.9813
MGC,0900,G6+,OPEX,10,154,-0.1,-0.049,-0.051,0.916,0.9813
MES,1000,G4+,OPEX,54,1127,0.1111,0.1374,-0.0263,0.8977,0.9813
MNQ,0900,G6+,FOMC,32,478,0.0312,0.0167,0.0145,0.9565,0.9813
MES,1100,G4+,OPEX,59,1217,0.115,0.1292,-0.0142,0.9413,0.9813
MNQ,1800,G6+,OPEX,15,319,0.1764,0.1735,0.0029,0.9939,0.9939
MNQ,1800,G4+,OPEX,15,319,0.1764,0.1735,0.0029,0.9939,0.9939
