trading_day,pnl_r,outcome,break_dir,orb_size,c1_break_distance_r,c2_wick_ratio,c3_break_speed_min,c4_entry_bar_engulf,c5_entry_bar_continues,c6_reversal_1bar,c6_reversal_3bar,c6_reversal_5bar,c6_reversal_10bar,c6_reversal_15bar,c6_reversal_30bar,c7_first_inside_bar,c6_exit_pnl_r_3bar,c6_exit_pnl_r_5bar,c8_held_outside_30,c8_held30_then_returned,c8_open_at_bar30,c8_returned_while_open,c9_mfe_10bar_r,c9_mfe_30bar_r,c10_vol_ratio,entry_bar_dist_r,c5_exit_pnl_r,c9_bar30_close_r,instrument,session
2016-02-08,-1.0000,loss,short,4.9000,0.2245,0.4444,1.0000,False,False,False,False,False,False,False,False,577.0000,,,True,True,True,True,0.2449,0.5714,0.5855,0.0612,-0.1633,0.4082,MGC,0900
2016-11-07,-1.0000,loss,short,4.1000,0.0488,0.0000,1.0000,True,False,False,False,False,False,False,False,33.0000,,,True,True,True,True,0.6585,0.6585,3.4458,0.0000,-0.0488,0.2439,MGC,0900
2016-11-25,-1.0000,loss,long,4.3000,0.1628,0.1111,1.0000,False,True,False,False,False,False,False,True,22.0000,,,False,False,True,False,0.0233,0.0233,0.0952,0.1860,,-0.1860,MGC,0900
2016-12-05,-1.0000,loss,long,4.8000,0.0625,0.2500,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.3958,-0.3958,False,False,True,False,0.0000,0.5000,0.6738,-0.0625,-0.1458,-0.3750,MGC,0900
2017-02-06,-1.0000,loss,short,5.2000,0.0385,0.5000,1.0000,False,True,False,True,True,True,True,True,2.0000,-0.0577,-0.0577,False,False,True,False,0.0962,0.0962,1.7138,0.0577,,-0.2500,MGC,0900
2019-08-26,-0.4949,early_exit,long,4.4000,0.1591,0.7000,1.0000,False,False,True,True,True,True,True,True,1.0000,-0.1818,-0.1818,False,False,False,False,0.0682,0.0682,0.9402,0.1136,-0.0455,-0.4545,MGC,0900
2020-02-24,1.7675,win,long,9.8000,0.0408,0.8750,1.0000,False,True,False,False,False,False,False,False,68.0000,,,True,True,True,True,1.9898,1.9898,1.9585,0.2857,,0.3776,MGC,0900
2020-02-25,-0.2139,early_exit,short,8.5000,0.2000,0.0000,1.0000,False,False,False,False,False,False,True,True,11.0000,,,False,False,False,False,0.1176,0.1176,0.7901,0.0941,-0.0941,-0.0353,MGC,0900
2020-02-26,1.5532,win,long,4.4000,0.0682,0.1429,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.3636,-0.3636,False,False,True,False,-0.1364,0.3864,1.0183,-0.0682,-0.1591,0.2955,MGC,0900
2020-02-27,1.6025,win,long,4.6000,0.2174,0.4286,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.2826,-0.2826,False,False,True,False,0.3696,0.9130,0.4136,0.0000,-0.1957,0.3043,MGC,0900
2020-03-02,-1.0000,loss,short,11.1000,0.0991,0.3284,1.0000,False,True,False,True,True,True,True,True,2.0000,-0.2252,-0.2252,False,False,True,False,0.3784,0.3784,0.4523,0.4234,,-0.5315,MGC,0900
2020-03-03,-0.1298,early_exit,long,5.7000,0.1228,0.1111,1.0000,False,True,False,False,True,True,True,True,4.0000,,-0.1228,False,False,False,False,0.2281,0.4211,0.5045,0.2456,,0.2105,MGC,0900
2020-03-04,-1.0000,loss,long,5.8000,0.3621,0.0000,1.0000,False,True,False,False,False,False,False,False,57.0000,,,True,True,True,True,1.3448,1.3448,0.4488,0.5172,,-0.1379,MGC,0900
2020-03-09,-1.0000,loss,short,5.7000,0.3509,0.1667,71.0000,True,False,True,True,True,True,True,True,1.0000,-0.5263,-0.5263,False,False,False,False,-0.0877,-0.0877,0.3257,-0.0526,-0.3333,-1.7544,MGC,0900
2020-03-10,-0.5205,early_exit,short,4.8000,0.1042,0.0000,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.1042,-0.1042,False,False,False,False,-0.0417,0.8542,0.5235,-0.0833,-0.1250,0.4583,MGC,0900
2020-03-16,1.6826,win,long,6.5000,0.0923,0.3784,1.0000,True,False,False,False,False,False,False,False,84.0000,,,True,True,True,False,1.6769,1.6769,0.9748,0.0000,-0.0923,1.3077,MGC,0900
2020-03-18,-1.0000,loss,long,4.3000,0.2558,0.0000,1.0000,True,False,False,False,False,False,False,True,22.0000,,,False,False,True,False,0.0930,0.5116,0.8133,-0.0698,-0.3488,-0.3488,MGC,0900
2020-07-22,1.6420,win,long,4.8000,0.2917,0.5833,114.0000,False,True,False,False,False,False,False,False,474.0000,,,True,True,False,False,3.6458,3.6458,1.3886,0.7292,,2.3125,MGC,0900
2020-08-12,1.6904,win,short,4.4000,0.7500,0.0000,1.0000,False,True,False,False,False,False,False,False,84.0000,,,True,True,True,True,1.1818,1.1818,0.3833,1.1591,,0.6818,MGC,0900
2020-11-09,-1.0000,loss,long,4.7000,0.0638,0.0000,1.0000,False,False,False,False,False,False,False,True,19.0000,,,False,False,True,False,0.3191,0.3191,1.8029,0.0638,-0.0213,-0.1277,MGC,0900
2020-11-10,1.6369,win,long,5.8000,0.0345,0.7143,1.0000,True,False,False,True,True,True,True,True,2.0000,-0.0690,-0.0690,False,False,True,False,0.3276,0.8448,0.7364,-0.0172,-0.0690,0.6724,MGC,0900
2020-11-12,-0.2065,early_exit,short,6.4000,0.1250,0.2000,1.0000,False,False,False,False,False,True,True,True,8.0000,,,False,False,False,False,0.1250,0.1250,0.5719,0.0937,-0.0156,-0.0938,MGC,0900
2020-11-30,1.5000,win,short,4.1000,0.0244,0.7500,53.0000,True,False,False,True,True,True,True,True,2.0000,-0.0976,-0.0976,False,False,True,False,0.8049,1.4146,1.5500,0.0000,-0.0244,1.1707,MGC,0900
2021-01-04,1.8022,win,long,11.5000,0.0435,0.4444,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.0609,-0.0609,False,False,True,False,0.0783,0.0783,0.3403,-0.0261,-0.0609,-0.1565,MGC,0900
2021-01-11,-0.2601,early_exit,short,10.4000,0.1827,0.0606,6.0000,False,True,False,False,False,True,True,True,10.0000,,,False,False,False,False,0.2500,0.2500,0.5288,0.3462,,-0.0288,MGC,0900
2021-01-25,-0.3321,early_exit,long,4.3000,0.1163,0.3750,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.1628,-0.1628,False,False,False,False,0.0465,0.1628,0.1882,0.0000,-0.0930,-0.1860,MGC,0900
2021-02-01,-0.4032,early_exit,short,12.6000,0.0159,0.3636,8.0000,False,False,False,False,True,True,True,True,5.0000,,-0.0794,False,False,False,False,0.1667,0.1667,0.8463,0.0238,0.0000,-0.0873,MGC,0900
2021-02-22,-1.0000,loss,long,5.5000,0.0727,0.6667,1.0000,False,False,True,True,True,True,True,True,1.0000,-0.0727,-0.0727,False,False,False,False,-0.0364,-0.0364,0.8156,0.0182,-0.0545,-0.6909,MGC,0900
2021-03-01,-0.2808,early_exit,long,4.7000,0.0213,0.2500,1.0000,False,False,False,False,False,True,True,True,6.0000,,,False,False,False,False,0.3617,0.3617,0.8412,0.0426,-0.0213,-0.1915,MGC,0900
2021-03-08,-0.2232,early_exit,long,7.1000,0.1690,0.2381,1.0000,False,True,False,False,False,False,True,True,15.0000,,,False,False,False,False,0.3380,0.3380,0.6189,0.2817,,-0.5634,MGC,0900
2021-08-09,-0.3020,early_exit,short,13.2000,0.0303,0.5833,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.5379,-0.5379,False,False,False,False,0.2500,0.2500,0.9143,-0.3106,-0.3106,-1.3409,MGC,0900
2021-11-29,-1.0000,loss,long,12.8000,0.0547,0.5714,1.0000,False,False,False,False,False,False,False,True,17.0000,,,False,False,True,False,0.1875,0.1875,1.6880,0.0078,-0.0391,-0.1484,MGC,0900
2021-12-06,-0.2857,early_exit,short,6.6000,0.0758,0.0000,1.0000,False,True,True,True,True,True,True,True,1.0000,-0.1061,-0.1061,False,False,False,False,0.0303,0.0303,1.0667,0.0758,,-0.2273,MGC,0900
2022-02-22,-0.2164,early_exit,short,7.1000,0.0282,0.2857,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.0282,-0.0282,False,False,False,False,0.0704,0.0704,0.3651,-0.0986,-0.1127,-0.4366,MGC,0900
2022-02-25,1.5610,win,long,4.6000,0.1087,0.6000,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.1304,-0.1304,False,False,True,False,0.1522,1.3261,1.5760,-0.0217,-0.0870,0.5000,MGC,0900
2022-03-07,-0.1655,early_exit,long,8.9000,0.5730,0.0256,1.0000,False,False,False,False,False,False,False,False,420.0000,,,True,True,False,False,0.5506,0.5506,0.4047,0.5281,-0.0337,0.2360,MGC,0900
2022-11-07,-0.2717,early_exit,short,5.7000,0.1053,0.1667,1.0000,False,True,False,False,False,True,True,True,7.0000,,,False,False,False,False,0.1404,0.3860,0.6777,0.1228,,0.1930,MGC,0900
2023-01-09,-0.3617,early_exit,long,4.4000,0.0909,0.2857,33.0000,False,True,False,False,False,False,True,True,13.0000,,,False,False,False,False,0.2955,0.2955,0.2836,0.1136,,-0.0682,MGC,0900
2023-02-06,1.6261,win,long,5.7000,0.0526,1.0000,1.0000,False,True,False,False,False,False,False,True,26.0000,,,False,False,True,False,0.5789,0.5789,1.1363,0.1404,,-0.1930,MGC,0900
2023-03-13,-1.0000,loss,long,4.2000,0.1429,0.2143,3.0000,False,False,True,True,True,True,True,True,1.0000,-0.3095,-0.3095,False,False,False,False,-0.1429,-0.1429,0.4432,0.0238,-0.0952,-1.6667,MGC,0900
2023-12-04,1.7697,win,long,6.1000,0.6721,0.5581,1.0000,False,True,False,False,False,False,False,False,451.0000,,,True,True,False,False,7.7049,7.8689,1.0378,2.0656,,6.8852,MGC,0900
2023-12-14,1.6420,win,long,4.8000,0.3125,0.0000,19.0000,False,True,False,False,False,False,False,False,,,,True,False,True,False,0.5208,0.7708,0.8678,0.5417,,0.1875,MGC,0900
2024-01-29,-1.1145,early_exit,long,4.4000,0.0227,0.2381,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.5909,-0.5909,False,False,False,False,-0.2955,2.9773,0.1957,-0.2955,-0.2955,2.8182,MGC,0900
2024-03-21,-0.1335,early_exit,long,4.6000,0.6957,0.0270,1.0000,False,False,False,False,False,False,False,False,51.0000,,,True,True,False,False,0.4783,0.4783,0.3386,0.1739,-0.5000,0.2826,MGC,0900
2024-04-08,-0.2818,early_exit,long,5.9000,0.1017,0.7222,1.0000,True,False,False,True,True,True,True,True,3.0000,-0.1017,-0.1017,False,False,False,False,0.3390,0.3390,0.7313,-0.0678,-0.1525,0.1186,MGC,0900
2024-04-15,-1.0000,loss,long,4.1000,0.0488,0.5882,5.0000,False,True,False,False,False,False,False,False,58.0000,,,True,True,True,True,0.7073,1.7805,0.9922,0.0488,,0.4878,MGC,0900
2024-11-04,-0.3669,early_exit,long,9.6000,0.0208,0.2500,83.0000,False,False,True,True,True,True,True,True,1.0000,-0.0313,-0.0313,False,False,False,False,0.1563,0.1563,3.3385,0.0104,-0.0208,-0.1458,MGC,0900
2024-11-18,1.6025,win,long,5.1000,0.1373,0.3750,3.0000,False,True,False,False,False,False,False,False,,,,True,False,True,False,0.7843,1.1765,2.1839,0.2353,,1.0588,MGC,0900
2024-11-25,-0.0439,early_exit,long,27.9000,0.0645,0.3182,9.0000,False,False,False,False,False,True,True,True,6.0000,,,False,False,False,False,0.0358,0.1254,0.3814,0.0358,-0.0287,-0.0108,MGC,0900
2024-12-02,1.7331,win,short,7.4000,0.1622,0.0833,12.0000,False,True,False,False,False,False,False,False,,,,True,False,True,False,0.5811,0.5811,0.5329,0.1892,,-0.0405,MGC,0900
2024-12-09,-1.0000,loss,short,10.3000,0.1748,0.3333,1.0000,False,True,False,False,False,False,False,True,30.0000,,,False,False,True,False,0.2136,0.2136,1.7862,0.2136,,-0.1650,MGC,0900
2024-12-19,1.5962,win,long,4.0000,0.3250,0.1429,1.0000,False,True,False,False,False,False,False,False,39.0000,,,True,True,True,True,0.3750,0.8750,0.4536,0.6250,,0.1250,MGC,0900
2025-02-03,-0.1771,early_exit,short,27.5000,0.2618,0.1406,1.0000,False,False,False,False,False,False,False,True,19.0000,,,False,False,False,False,0.1709,0.1709,0.4791,0.1673,-0.0836,-0.3345,MGC,0900
2025-02-10,1.7014,win,long,6.8000,0.1324,0.0000,1.0000,False,True,False,False,False,False,False,False,,,,True,False,True,False,0.5294,1.1029,0.5065,0.1471,,0.9118,MGC,0900
2025-02-11,1.6613,win,long,5.2000,0.2885,0.2222,1.0000,False,True,False,False,False,False,False,False,208.0000,,,True,True,True,False,0.8846,0.8846,2.0877,0.5192,,-0.0962,MGC,0900
2025-02-17,-1.0000,loss,short,9.5000,0.0105,0.2353,1.0000,False,True,False,True,True,True,True,True,3.0000,-0.0211,-0.0211,False,False,True,False,0.7263,0.7263,2.7074,0.3579,,0.1053,MGC,0900
2025-02-24,-0.3525,early_exit,long,6.9000,0.1014,0.4286,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.0870,-0.0870,False,False,False,False,0.0435,0.0435,0.4000,-0.0580,-0.1449,-0.4203,MGC,0900
2025-04-03,1.6420,win,long,5.0000,0.2600,0.4762,1.0000,True,False,False,False,False,False,False,False,62.0000,,,True,True,True,False,1.2600,1.8400,0.7184,-0.0800,-0.3200,1.0200,MGC,0900
2025-04-07,1.7083,win,short,7.7000,0.0519,0.1475,1.0000,False,True,False,False,False,False,False,False,122.0000,,,True,True,False,False,2.8961,4.4545,0.4865,0.0649,,2.8182,MGC,0900
2025-04-09,1.7181,win,long,8.3000,0.0361,0.5652,145.0000,False,True,False,False,False,False,False,False,,,,True,False,False,False,1.5904,2.4819,4.0828,0.3614,,2.4337,MGC,0900
2025-04-14,-0.2971,early_exit,long,5.7000,0.2281,0.2500,1.0000,False,True,False,True,True,True,True,True,2.0000,-0.5088,-0.5088,False,False,False,False,0.1754,0.7018,0.4545,0.2456,,0.4035,MGC,0900
2025-04-21,-0.7962,early_exit,long,6.8000,0.1618,0.2667,1.0000,True,False,True,True,True,True,True,True,1.0000,-0.1471,-0.1471,False,False,False,False,-0.0735,-0.0735,0.2436,-0.0882,-0.1912,-0.7206,MGC,0900
2025-04-23,1.7717,win,long,8.1000,0.2469,0.2500,3.0000,False,True,False,False,False,False,False,True,27.0000,,,False,False,True,False,1.5556,1.5556,0.9203,0.5679,,-0.1975,MGC,0900
2025-04-25,1.7924,win,short,9.8000,0.1429,0.6667,1.0000,False,True,False,False,False,False,False,False,52.0000,,,True,True,True,True,0.5816,0.9796,1.8951,0.4796,,0.3061,MGC,0900
