trading_day,year,instrument,session,dst_regime,day_of_week,pnl_r,outcome,break_dir,orb_size,entry_price,stop_price,risk_dollars,eb_open,eb_close,c1_break_distance_r,c2_wick_ratio,c3_break_speed_min,c4_entry_bar_engulf,c5_entry_bar_continues,c6_reversal_1bar,c6_reversal_2bar,c6_reversal_3bar,c6_reversal_4bar,c6_reversal_5bar,c6_reversal_6bar,c6_reversal_7bar,c6_reversal_8bar,c6_reversal_10bar,c6_exit_close_1bar,c6_exit_close_2bar,c6_exit_close_3bar,c6_exit_close_4bar,c6_exit_close_5bar,c6_exit_close_6bar,c6_exit_close_7bar,c6_exit_close_8bar,c6_exit_close_10bar
2019-10-10,2019,MGC,1000,clean,3,-0.4034,early_exit,long,5.4000,1518.9000,1512.7000,,1518.9000,1518.6000,0.1296,0.5000,1.0000,False,False,True,True,True,True,True,True,True,True,True,1518.0000,1518.0000,1518.0000,1518.0000,1518.0000,1518.0000,1518.0000,1518.0000,1518.0000
2020-03-10,2020,MGC,1000,clean,1,-0.4444,early_exit,long,4.1000,1670.7000,1665.6000,,1670.7000,1670.2000,0.2683,0.0000,94.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2020-03-18,2020,MGC,1000,clean,2,-1.0000,loss,long,5.0000,1539.7000,1533.5000,,1539.7000,1539.4000,0.2200,0.0000,1.0000,False,False,False,False,False,True,True,True,True,True,True,,,,1538.4000,1538.4000,1538.4000,1538.4000,1538.4000,1538.4000
2020-03-19,2020,MGC,1000,clean,3,1.7413,win,short,4.9000,1491.5000,1500.4000,,1491.5000,1491.3000,0.7347,0.0000,21.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2020-04-06,2020,MGC,1000,clean,0,1.5532,win,short,4.1000,1649.3000,1654.1000,,1649.3000,1650.2000,0.1707,0.2222,1.0000,True,False,True,True,True,True,True,True,True,True,True,1651.1000,1651.1000,1651.1000,1651.1000,1651.1000,1651.1000,1651.1000,1651.1000,1651.1000
2020-04-14,2020,MGC,1000,clean,1,-1.0000,loss,long,4.0000,1773.7000,1768.0000,,1773.7000,1774.3000,0.4250,0.0000,1.0000,False,True,False,False,False,False,True,True,True,True,True,,,,,1771.1000,1771.1000,1771.1000,1771.1000,1771.1000
2020-06-03,2020,MGC,1000,clean,2,-0.3725,early_exit,long,9.1000,1733.2000,1724.0000,,1733.2000,1733.1000,0.0110,0.0000,1.0000,True,False,True,True,True,True,True,True,True,True,True,1732.9000,1732.9000,1732.9000,1732.9000,1732.9000,1732.9000,1732.9000,1732.9000,1732.9000
2020-07-28,2020,MGC,1000,clean,1,-0.3375,early_exit,long,4.5000,1960.1000,1954.6000,,1960.1000,1961.0000,0.2000,0.4167,5.0000,False,True,True,True,True,True,True,True,True,True,True,1958.7000,1958.7000,1958.7000,1958.7000,1958.7000,1958.7000,1958.7000,1958.7000,1958.7000
2020-08-05,2020,MGC,1000,clean,2,1.5962,win,short,5.0000,2042.9000,2048.3000,,2042.9000,2042.7000,0.1400,0.1111,3.0000,False,True,True,True,True,True,True,True,True,True,True,2043.5000,2043.5000,2043.5000,2043.5000,2043.5000,2043.5000,2043.5000,2043.5000,2043.5000
2020-08-11,2020,MGC,1000,clean,1,1.5451,win,short,4.3000,2033.5000,2038.2000,,2033.5000,2034.1000,0.1163,0.5000,4.0000,True,False,True,True,True,True,True,True,True,True,True,2035.0000,2035.0000,2035.0000,2035.0000,2035.0000,2035.0000,2035.0000,2035.0000,2035.0000
2020-08-12,2020,MGC,1000,clean,2,-1.0000,loss,long,5.4000,1927.4000,1919.0000,,1927.4000,1927.5000,0.5556,0.0313,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2020-08-20,2020,MGC,1000,clean,3,1.5191,win,long,4.3000,1936.5000,1932.1000,,1936.5000,1936.3000,0.0465,0.1429,1.0000,True,False,False,True,True,True,True,True,True,True,True,,1936.1000,1936.1000,1936.1000,1936.1000,1936.1000,1936.1000,1936.1000,1936.1000
2020-08-24,2020,MGC,1000,clean,0,-0.5390,early_exit,long,4.1000,1943.2000,1938.4000,,1943.2000,1943.2000,0.1951,0.4000,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2020-08-25,2020,MGC,1000,clean,1,-1.0000,loss,long,4.0000,1937.7000,1932.6000,,1937.7000,1937.6000,0.2250,0.2727,13.0000,False,False,False,True,True,True,True,True,True,True,True,,1936.6000,1936.6000,1936.6000,1936.6000,1936.6000,1936.6000,1936.6000,1936.6000
2020-09-04,2020,MGC,1000,clean,4,1.5610,win,long,4.0000,1939.1000,1934.2000,,1939.1000,1939.9000,0.1750,0.4615,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2020-09-24,2020,MGC,1000,clean,3,1.5451,win,long,4.2000,1861.9000,1857.2000,,1861.9000,1861.2000,0.1429,0.2857,1.0000,True,False,True,True,True,True,True,True,True,True,True,1861.4000,1861.4000,1861.4000,1861.4000,1861.4000,1861.4000,1861.4000,1861.4000,1861.4000
2024-04-15,2024,MGC,1000,clean,0,1.7797,win,short,6.2000,2371.8000,2382.4000,,2371.8000,2372.5000,0.6935,0.2703,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2024-07-12,2024,MGC,1000,clean,4,-0.2908,early_exit,short,4.1000,2417.0000,2421.8000,,2417.0000,2417.1000,0.1951,0.2500,1.0000,False,False,True,True,True,True,True,True,True,True,True,2417.7000,2417.7000,2417.7000,2417.7000,2417.7000,2417.7000,2417.7000,2417.7000,2417.7000
2024-07-19,2024,MGC,1000,clean,4,-0.4614,early_exit,short,10.8000,2432.2000,2443.8000,,2432.2000,2431.2000,0.0741,0.2727,1.0000,False,True,False,False,False,False,False,False,False,False,True,,,,,,,,,2433.1000
2024-08-05,2024,MGC,1000,clean,0,1.6316,win,short,4.0000,2477.2000,2483.2000,,2477.2000,2475.7000,0.5500,0.1667,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2024-12-09,2024,MGC,1000,clean,0,-1.0000,loss,short,5.8000,2656.6000,2662.4000,,2656.6000,2655.4000,0.0172,0.3000,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-02-03,2025,MGC,1000,clean,0,1.5610,win,long,4.6000,2837.7000,2832.8000,,2837.7000,2837.4000,0.0870,0.3333,736.0000,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
