layer,group,n,avg_r,wr,t,p
L0_baseline,all,1795,-0.17432378830083567,0.2373259052924791,-6.268637336002768,4.551251128467913e-10
L1_atr_vel,Expanding,476,-0.11543109243697479,0.2542016806722689,-2.031820355033642,0.04272787704146702
L1_atr_vel,Stable,835,-0.19242526946107782,0.23233532934131737,-4.7855851623706585,2.016234387994147e-06
L1_atr_vel,Contracting,479,-0.1975496868475992,0.22964509394572025,-3.7736989102297023,0.00018105400339145822
L1_exp_vs_con,vs,1795,,,1.06324809497162,0.287938796455986
L2_compression,Compressed,662,-0.25770377643504533,0.229607250755287,-6.022997551471233,2.8416727720919235e-09
L2_compression,Neutral,652,-0.19529447852760734,0.23159509202453987,-4.1939865628149775,3.120791177076263e-05
L2_compression,Expanded,479,-0.03197223382045929,0.2546972860125261,-0.5581374032945926,0.5770118817570443
L2_comp_vs_exp,vs,1795,,,-3.2233373720301417,0.0013030035697053162
L3_gap,Aligned,114,-0.11009298245614035,0.2719298245614035,-0.9381038920903549,0.35019180799789384
L3_gap,Neutral,1552,-0.18965921391752574,0.23195876288659795,-6.419432513255837,1.81334880688079e-10
L3_gap,Counter,114,-0.01164122807017544,0.2894736842105263,-0.09543582084295221,0.9241377028509719
L3_aligned_vs_counter,vs,1795,,,-0.5816321464314401,0.5613941664348577
L4_vel_x_comp,Expanding×Compressed,163,-0.18791042944785274,0.25153374233128833,-2.0363971744630747,0.0433389036241607
L4_vel_x_comp,Expanding×Neutral,169,-0.1467337278106509,0.2485207100591716,-1.530229460164215,0.1278407145465577
L4_vel_x_comp,Expanding×Expanded,144,0.003348611111111103,0.2638888888888889,0.03096640216498296,0.9753395116994552
L4_vel_x_comp,Stable×Compressed,326,-0.29914417177914104,0.2147239263803681,-5.025253681103015,8.317231817119747e-07
L4_vel_x_comp,Stable×Neutral,310,-0.1543422580645161,0.24838709677419354,-2.248165467585368,0.02527036465185448
L4_vel_x_comp,Stable×Expanded,199,-0.0769246231155779,0.23618090452261306,-0.8933022124367498,0.37277981427951834
L4_vel_x_comp,Contracting×Compressed,172,-0.24098546511627908,0.23837209302325582,-2.9309103336530615,0.003841912207285015
L4_vel_x_comp,Contracting×Neutral,172,-0.31213895348837206,0.18604651162790697,-3.748855749302561,0.0002427915967060741
L4_vel_x_comp,Contracting×Expanded,135,0.0037859259259259283,0.2740740740740741,0.03459436397916162,0.9724546747845986
L5_spring,Spring,3,,,,
L5_rest,Rest,1792,-0.173220703125,0.23772321428571427,-6.220395343057131,6.158337292434787e-10
L5_spring_vs_rest,vs,1795,,,,
L5_2way,L5_Expa+Comp,163,-0.18791042944785274,0.25153374233128833,-2.0363971744630747,0.0433389036241607
L5_2way,L5_Expa+Alig,33,-0.29770606060606064,0.18181818181818182,-1.4774558816373482,0.14932881345569132
L5_2way,L5_Comp+Alig,23,-0.2817391304347826,0.21739130434782608,-1.2279322366660457,0.2324486154691806
L7_sensitivity,vel>1.03,7,,,,
L7_sensitivity,vel>1.05,3,,,,
L7_sensitivity,vel>1.07,1,,,,
L7_sensitivity,vel>1.1,1,,,,
L9_avoid_sensitivity,vel<0.92,110,-0.3029236363636364,0.19090909090909092,-2.876448836772478,0.004838879782753147
L9_avoid_sensitivity,vel<0.93,127,-0.28583937007874016,0.1968503937007874,-2.8606351894115374,0.004951037780959201
L9_avoid_sensitivity,vel<0.95,172,-0.31213895348837206,0.18604651162790697,-3.748855749302561,0.0002427915967060741
L9_avoid_sensitivity,vel<0.97,237,-0.24477890295358648,0.20675105485232068,-3.290193984940727,0.0011542882084832967
L9_avoid_sensitivity,vel<0.98,274,-0.21297153284671533,0.21897810218978103,-3.032504871227729,0.002658624477328615
