layer,group,n,avg_r,wr,t,p
L0_baseline,all,1250,0.0015376800000000003,0.3,0.039144929768693416,0.9687810954109847
L1_atr_vel,Expanding,324,0.11701419753086419,0.3271604938271605,1.4264607636905895,0.1547012238535553
L1_atr_vel,Stable,614,-0.01588990228013029,0.2964169381107492,-0.28755444115076373,0.7737850067109132
L1_atr_vel,Contracting,312,-0.08408365384615382,0.27884615384615385,-1.1180632416719773,0.26440288754115954
L1_exp_vs_con,vs,1250,,,1.8034211342348756,0.07179672118248037
L2_compression,Compressed,467,0.020472805139186288,0.34475374732334046,0.3339531062385281,0.7385651739837298
L2_compression,Neutral,448,-0.11420424107142857,0.2544642857142857,-1.7725663015679318,0.07698161855729455
L2_compression,Expanded,335,0.12992477611940303,0.29850746268656714,1.588780567577026,0.1130560647375237
L2_comp_vs_exp,vs,1250,,,-1.0925692564362073,0.274911867825027
L3_gap,Aligned,75,-0.08048533333333337,0.25333333333333335,-0.4968088788366505,0.6207965827836206
L3_gap,Neutral,1111,0.008219801980198005,0.30423042304230424,0.19791951126201027,0.8431442773993162
L3_gap,Counter,64,-0.018339062499999986,0.28125,-0.09993684925140235,0.9207118029201804
L3_aligned_vs_counter,vs,1250,,,-0.25479840416977007,0.7992608901487203
L4_vel_x_comp,Expanding×Compressed,114,0.1998640350877193,0.38596491228070173,1.4963116222713226,0.13736030656781748
L4_vel_x_comp,Expanding×Neutral,114,-0.02842631578947367,0.2807017543859649,-0.20891120666389468,0.8348936849745595
L4_vel_x_comp,Expanding×Expanded,96,0.19134062500000001,0.3125,1.1992728984228194,0.23340453455126411
L4_vel_x_comp,Stable×Compressed,241,-0.03936016597510376,0.3278008298755187,-0.4717562747219327,0.6375293656619869
L4_vel_x_comp,Stable×Neutral,233,-0.045993562231759655,0.27467811158798283,-0.5068530745150601,0.6127393033925401
L4_vel_x_comp,Stable×Expanded,140,0.07461357142857142,0.2785714285714286,0.6008803189949737,0.5488982700623126
L4_vel_x_comp,Contracting×Compressed,112,-0.033374107142857136,0.3392857142857143,-0.27693225862532367,0.7823471666240895
L4_vel_x_comp,Contracting×Neutral,101,-0.368380198019802,0.1782178217821782,-3.137842154334077,0.0022365578489524952
L4_vel_x_comp,Contracting×Expanded,99,0.1485878787878788,0.31313131313131315,0.9976426851534865,0.3209096319264321
L5_spring,Spring,2,,,,
L5_rest,Rest,1248,0.0031427083333333363,0.3004807692307692,0.07990962942854925,0.9363219528810492
L5_spring_vs_rest,vs,1250,,,,
L5_2way,L5_Expa+Comp,114,0.1998640350877193,0.38596491228070173,1.4963116222713226,0.13736030656781748
L5_2way,L5_Expa+Alig,22,-0.3935772727272727,0.13636363636363635,-1.4768886574801836,0.15454559907064408
L5_2way,L5_Comp+Alig,12,-0.4487166666666667,0.16666666666666666,-1.3423028812172217,0.2065446034539714
L7_sensitivity,vel>1.03,4,,,,
L7_sensitivity,vel>1.05,2,,,,
L7_sensitivity,vel>1.07,1,,,,
L7_sensitivity,vel>1.1,1,,,,
L9_avoid_sensitivity,vel<0.92,56,-0.35956607142857144,0.17857142857142858,-2.298091516610759,0.02538352775943104
L9_avoid_sensitivity,vel<0.93,68,-0.3216,0.19117647058823528,-2.165796111632831,0.0338900541980787
L9_avoid_sensitivity,vel<0.95,101,-0.368380198019802,0.1782178217821782,-3.137842154334077,0.0022365578489524952
L9_avoid_sensitivity,vel<0.97,151,-0.20954437086092714,0.2251655629139073,-1.9875154782645714,0.04868584777992776
L9_avoid_sensitivity,vel<0.98,178,-0.15668595505617977,0.24157303370786518,-1.57501161457456,0.1170394573316001
