label,n,avg_r,wr,total_r,sharpe,median_mfe,mfe_gte_0.5R,mfe_gte_1.0R,mfe_gte_1.5R,mfe_gte_2.0R,mfe_gte_2.5R,mfe_gte_3.0R,instrument,session,lookback,test,threshold
ALL (N=965),965,-0.37673906735751295,0.1533678756476684,-363.5532,-0.3202589504097884,0.3509,0.43316062176165804,0.2787564766839378,0.21036269430051813,0.16269430051813472,0.11606217616580311,0.06735751295336788,MGC,0900,5,expansion_ratio,ALL
EXPAND>=1.0x (N=514),514,-0.3327369649805447,0.14396887159533073,-171.02679999999998,-0.2679273378286445,0.3922,0.45136186770428016,0.3035019455252918,0.22568093385214008,0.18482490272373542,0.13813229571984437,0.08560311284046693,MGC,0900,5,expansion_ratio,>=1.0
CONTRACT<1.0x (N=451),451,-0.42688780487804884,0.164079822616408,-192.52640000000002,-0.389940828117432,0.2885,0.4124168514412417,0.25055432372505543,0.19290465631929046,0.13747228381374724,0.09090909090909091,0.04656319290465632,MGC,0900,5,expansion_ratio,<1.0
EXPAND>=1.25x (N=341),341,-0.24563284457478002,0.15249266862170088,-83.76079999999999,-0.1843878313847941,0.3817,0.44868035190615835,0.31085043988269795,0.23460410557184752,0.19648093841642228,0.1495601173020528,0.10557184750733138,MGC,0900,5,expansion_ratio,>=1.25
CONTRACT<1.25x (N=624),624,-0.4483852564102564,0.15384615384615385,-279.7924,-0.4170853173544805,0.327,0.42467948717948717,0.26121794871794873,0.1971153846153846,0.14423076923076922,0.09775641025641026,0.046474358974358976,MGC,0900,5,expansion_ratio,<1.25
EXPAND>=1.5x (N=268),268,-0.14685597014925375,0.17537313432835822,-39.357400000000005,-0.10609620420675664,0.42769999999999997,0.458955223880597,0.3358208955223881,0.26119402985074625,0.22014925373134328,0.16791044776119404,0.11567164179104478,MGC,0900,5,expansion_ratio,>=1.5
CONTRACT<1.5x (N=697),697,-0.46513027259684364,0.1449067431850789,-324.1958,-0.43353304951402744,0.3247,0.4232424677187948,0.2568149210903874,0.1908177905308465,0.1406025824964132,0.09612625538020086,0.04878048780487805,MGC,0900,5,expansion_ratio,<1.5
EXPAND>=2.0x (N=147),147,-0.05772993197278912,0.19727891156462585,-8.4863,-0.03967086980013616,0.5198,0.5034013605442177,0.35374149659863946,0.2857142857142857,0.24489795918367346,0.19727891156462585,0.1360544217687075,MGC,0900,5,expansion_ratio,>=2.0
CONTRACT<2.0x (N=818),818,-0.4340671149144254,0.14547677261613692,-355.0669,-0.39132721112540225,0.3254,0.42053789731051344,0.265281173594132,0.19682151589242053,0.14792176039119803,0.10146699266503667,0.0550122249388753,MGC,0900,5,expansion_ratio,<2.0
EXPAND>=3.0x (N=51),51,0.3081274509803921,0.27450980392156865,15.7145,0.18549215367447855,0.7243,0.5882352941176471,0.39215686274509803,0.3137254901960784,0.3137254901960784,0.27450980392156865,0.21568627450980393,MGC,0900,5,expansion_ratio,>=3.0
